,Team,rating,Type,mu,sd,name,player_id,index,player_name,coefs
47,Washington Wizards,2.37472787,Rookie,0.4904606666666666,5,Chris McCullough,1626191.0,356,Chris McCullough,0.5466049486781106
48,Washington Wizards,2.37472787,Rookie,0.69768,5,Kelly Oubre Jr.,1626162.0,394,Kelly Oubre Jr.,-4.962271401142006
49,Washington Wizards,2.37472787,Rookie,1.0,5,Tomas Satoransky,203107.0,56,Tomas Satoransky,1.7102574426352142
50,Oklahoma City Thunder,2.082185522,Rookie,1.9083333333333332,5,Alex Abrines,203518.0,103,Alex Abrines,4.829109104584991
51,Oklahoma City Thunder,2.082185522,Rookie,0.595,5,Terrance Ferguson,1628390.0,99,Terrance Ferguson,1.1750905191470356
52,Oklahoma City Thunder,2.082185522,Rookie,0.5081016666666667,5,Jerami Grant,203924.0,101,Jerami Grant,-1.3477037080856107
53,Oklahoma City Thunder,2.082185522,Rookie,0.4904606666666666,5,Josh Huestis,203962.0,340,Josh Huestis,7.982324573328524
54,Oklahoma City Thunder,2.082185522,Rookie,0.2718716666666667,5,Dakari Johnson,1626177.0,131,Dakari Johnson,-0.22837682024294992
55,Memphis Grizzlies,1.934503325,Rookie,0.2718716666666667,5,Dillon Brooks,1628415.0,501,Dillon Brooks,0.04973776846655653
56,Memphis Grizzlies,1.934503325,Rookie,0.437537,5,Deyonta Davis,1627738.0,377,Deyonta Davis,-0.18850777818845188
57,Memphis Grizzlies,1.934503325,Rookie,0.437537,5,Andrew Harrison,1626150.0,23,Andrew Harrison,-3.6856270609296464
58,Memphis Grizzlies,1.934503325,Rookie,0.44372,5,Brice Johnson,1627744.0,222,Brice Johnson,-5.1409446346280685
59,Memphis Grizzlies,1.934503325,Rookie,0.009216,5,Omari Johnson,204179.0,266,Omari Johnson,2.4048565714887813
60,Memphis Grizzlies,1.934503325,Rookie,0.4904606666666666,5,Jarell Martin,1626185.0,22,Jarell Martin,-2.8379277224775485
61,Memphis Grizzlies,1.934503325,Rookie,0.31666666666666665,5,Ivan Rabb,1628397.0,163,Ivan Rabb,1.2683524084711788
62,Memphis Grizzlies,1.934503325,Rookie,0.015359999999999999,5,Xavier Rathan-Mayes,1628504.0,370,Xavier Rathan-Mayes,-6.0584629864886335
63,Memphis Grizzlies,1.934503325,Rookie,0.437537,5,Wayne Selden,1627782.0,105,Wayne Selden,0.09227616943450023
64,Miami Heat,1.904907009,Rookie,0.8301200000000001,5,Bam Adebayo,1628389.0,84,Bam Adebayo,-4.642294315126282
65,Miami Heat,1.904907009,Rookie,1.96042,5,Tyler Johnson,204020.0,262,Tyler Johnson,0.740309389208551
66,Miami Heat,1.904907009,Rookie,0.437537,5,Rodney McGruder,203585.0,218,Rodney McGruder,2.411087259785919
67,Miami Heat,1.904907009,Rookie,0.4904606666666666,5,Jordan Mickey,1626175.0,516,Jordan Mickey,-6.939311149488761
68,Miami Heat,1.904907009,Rookie,0.4904606666666666,5,Josh Richardson,1626196.0,351,Josh Richardson,4.523027084964301
69,Miami Heat,1.904907009,Rookie,0.9016799999999999,5,Justise Winslow,1626159.0,221,Justise Winslow,-4.455834271148673
70,Denver Nuggets,1.813798095,Rookie,0.56688,5,Malik Beasley,1627736.0,208,Malik Beasley,-2.078678412427222
71,Denver Nuggets,1.813798095,Rookie,0.8500183333333333,5,Gary Harris,203914.0,32,Gary Harris,7.404143437209367
72,Denver Nuggets,1.813798095,Rookie,0.4904606666666666,5,Nikola Jokic,203999.0,503,Nikola Jokic,5.751834506854015
73,Denver Nuggets,1.813798095,Rookie,0.5264800000000001,5,Tyler Lydon,1628399.0,537,Tyler Lydon,-0.843098272761852
74,Denver Nuggets,1.813798095,Rookie,0.8138,5,Trey Lyles,1626168.0,448,Trey Lyles,4.457529397952252
75,Denver Nuggets,1.813798095,Rookie,1.1184399999999999,5,Jamal Murray,1627750.0,31,Jamal Murray,2.274871344641589
76,Charlotte Hornets,1.0653689709999998,Rookie,0.2718716666666667,5,Dwayne Bacon,1628407.0,461,Dwayne Bacon,3.0006616203832133
77,Charlotte Hornets,1.0653689709999998,Rookie,0.437537,5,Treveon Graham,1626203.0,474,Treveon Graham,-0.4845438206801749
78,Charlotte Hornets,1.0653689709999998,Rookie,0.4785833333333334,5,Willy Hernangomez,1626195.0,341,Willy Hernangomez,4.969298042500208
79,Charlotte Hornets,1.0653689709999998,Rookie,0.9492,5,Frank Kaminsky,1626163.0,233,Frank Kaminsky,1.5782307675450795
80,Charlotte Hornets,1.0653689709999998,Rookie,0.96816,5,Malik Monk,1628370.0,212,Malik Monk,-7.672098644981521
81,Milwaukee Bucks,0.8606942540000001,Rookie,0.437537,5,Malcolm Brogdon,1627763.0,452,Malcolm Brogdon,-0.12581142717955984
82,Milwaukee Bucks,0.8606942540000001,Rookie,0.2718716666666667,5,Sterling Brown,1628425.0,174,Sterling Brown,-0.016282481862676335
83,Milwaukee Bucks,0.8606942540000001,Rookie,0.8947200000000001,5,Thon Maker,1627748.0,26,Thon Maker,1.2215714286707957
84,Milwaukee Bucks,0.8606942540000001,Rookie,2.260797333333333,5,Jabari Parker,203953.0,352,Jabari Parker,-8.038982701787068
85,Milwaukee Bucks,0.8606942540000001,Rookie,0.71168,5,D.J. Wilson,1628391.0,304,D.J. Wilson,-6.972448102372005
86,Chicago Bulls,0.8249325909999999,Rookie,1.3489200000000001,5,Kris Dunn,1627739.0,434,Kris Dunn,0.7333844438762629
87,Chicago Bulls,0.8249325909999999,Rookie,0.033451,5,Jarell Eddie,204067.0,226,Jarell Eddie,0.17870194770552006
88,Chicago Bulls,0.8249325909999999,Rookie,0.57128,5,Jerian Grant,1626170.0,258,Jerian Grant,-1.7164564954471393
89,Chicago Bulls,0.8249325909999999,Rookie,1.5384616666666666,5,Justin Holiday,203200.0,76,Justin Holiday,6.401102716935082
90,Chicago Bulls,0.8249325909999999,Rookie,0.721002,5,Sean Kilpatrick,203930.0,263,Sean Kilpatrick,-5.217758433174088
91,Chicago Bulls,0.8249325909999999,Rookie,1.0674056666666667,5,Zach LaVine,203897.0,354,Zach LaVine,0.42561059993446415
92,Chicago Bulls,0.8249325909999999,Rookie,1.27388,5,Lauri Markkanen,1628374.0,335,Lauri Markkanen,-2.729026501527608
93,Chicago Bulls,0.8249325909999999,Rookie,0.437537,5,David Nwaba,1628021.0,203,David Nwaba,-3.1856287380159127
94,Chicago Bulls,0.8249325909999999,Rookie,0.73448,5,Cameron Payne,1626166.0,355,Cameron Payne,3.759531066271765
95,Chicago Bulls,0.8249325909999999,Rookie,0.50544,5,Bobby Portis,1626171.0,126,Bobby Portis,2.6082284241369145
96,Chicago Bulls,0.8249325909999999,Rookie,0.4904606666666666,5,Willie Reed,203186.0,344,Willie Reed,-2.2998580791348555
97,Chicago Bulls,0.8249325909999999,Rookie,0.7288,5,Denzel Valentine,1627756.0,78,Denzel Valentine,3.3424934028807884
98,Chicago Bulls,0.8249325909999999,Rookie,1.168411,5,Noah Vonleh,203943.0,162,Noah Vonleh,-3.0788909555175907
99,Chicago Bulls,0.8249325909999999,Rookie,0.437537,5,Paul Zipser,1627835.0,514,Paul Zipser,-3.7735464897643043
100,Chicago Bulls,0.8249325909999999,Rookie,0.437537,5,Kay Felder,1627770.0,464,Kay Felder,0.30973044536702976
101,Indiana Pacers,0.567018304,Rookie,0.31666666666666665,5,Ike Anigbogu,1628387.0,271,Ike Anigbogu,-3.207916968084364
102,Indiana Pacers,0.567018304,Rookie,0.015359999999999999,5,Trey McKinney-Jones,203590.0,408,Trey McKinney-Jones,0.08812958068058667
103,Indiana Pacers,0.567018304,Rookie,0.259556,5,Alex Poythress,1627816.0,305,Alex Poythress,-4.6611575144933015
104,Indiana Pacers,0.567018304,Rookie,0.5081016666666667,5,Glenn Robinson III,203922.0,2,Glenn Robinson III,5.007714477606996
105,Indiana Pacers,0.567018304,Rookie,0.85,5,Domantas Sabonis,1627734.0,348,Domantas Sabonis,-0.24781711169191967
106,Indiana Pacers,0.567018304,Rookie,0.85664,5,Myles Turner,1626167.0,309,Myles Turner,1.303770253192333
107,Indiana Pacers,0.567018304,Rookie,0.4904606666666666,5,Joe Young,1626202.0,3,Joe Young,-1.943543712216501
108,Indiana Pacers,0.567018304,Rookie,0.03333333333333333,5,Georges Niang,1627777.0,179,Georges Niang,0.07907211279801563
109,Minnesota Timberwolves,0.487595368,Rookie,1.3166663333333333,5,Nemanja Bjelica,202357.0,415,Nemanja Bjelica,-1.192724592136667
110,Minnesota Timberwolves,0.487595368,Rookie,0.437537,5,Marcus Georges-Hunt,1627875.0,30,Marcus Georges-Hunt,-2.05362159391586
111,Minnesota Timberwolves,0.487595368,Rookie,0.4904606666666666,5,Tyus Jones,1626145.0,28,Tyus Jones,4.072752232341958
112,Minnesota Timberwolves,0.487595368,Rookie,0.74916,5,Justin Patton,1628383.0,523,Justin Patton,0.1232705465157197
113,Minnesota Timberwolves,0.487595368,Rookie,2.07228,5,Karl-Anthony Towns,1626157.0,29,Karl-Anthony Towns,3.008989934882459
114,Atlanta Hawks,0.0,Rookie,0.5224,5,DeAndre' Bembry,1627761.0,299,DeAndre' Bembry,-3.97123692338792
115,Atlanta Hawks,0.0,Rookie,0.3017496666666667,5,Nicolas Brussino,1627852.0,497,Nicolas Brussino,2.5924590754044123
116,Atlanta Hawks,0.0,Rookie,0.2433063333333333,5,Tyler Cavanaugh,1628463.0,381,Tyler Cavanaugh,3.703206293158715
117,Atlanta Hawks,0.0,Rookie,0.64564,5,John Collins,1628381.0,420,John Collins,-1.8665356491061624
118,Atlanta Hawks,0.0,Rookie,2.0,5,Dewayne Dedmon,203473.0,364,Dewayne Dedmon,3.216524051116764
119,Atlanta Hawks,0.0,Rookie,0.8333333333333334,5,Malcolm Delaney,1627098.0,423,Malcolm Delaney,-0.9542892967691134
120,Atlanta Hawks,0.0,Rookie,0.2718716666666667,5,Tyler Dorsey,1628416.0,60,Tyler Dorsey,-6.047341441256016
121,Atlanta Hawks,0.0,Rookie,0.04608,5,Damion Lee,1627814.0,237,Damion Lee,3.772061515483898
122,Atlanta Hawks,0.0,Rookie,0.064512,5,Jaylen Morris,1628537.0,438,Jaylen Morris,-0.8249004314869772
123,Atlanta Hawks,0.0,Rookie,1.6666666666666667,5,Mike Muscala,203488.0,59,Mike Muscala,2.868850694566307
124,Atlanta Hawks,0.0,Rookie,0.80752,5,Taurean Prince,1627752.0,58,Taurean Prince,1.781932756121158
125,Atlanta Hawks,0.0,Rookie,0.437537,5,Isaiah Taylor,1627819.0,225,Isaiah Taylor,-0.06226103287025353
126,Atlanta Hawks,0.0,Rookie,0.437537,5,Okaro White,1627855.0,390,Okaro White,0.14543100437643766
127,Atlanta Hawks,0.0,Rookie,0.03333333333333333,5,Quinn Cook,1626188.0,255,Quinn Cook,3.9962054654909114
128,Detroit Pistons,-0.16488799,Rookie,0.2493866666666667,5,Dwight Buycks,202779.0,343,Dwight Buycks,1.8430992467616116
129,Detroit Pistons,-0.16488799,Rookie,0.5936,5,Henry Ellenson,1627740.0,451,Henry Ellenson,-3.6523990288585564
130,Detroit Pistons,-0.16488799,Rookie,2.2222223333333333,5,Langston Galloway,204038.0,138,Langston Galloway,4.519121627398239
131,Detroit Pistons,-0.16488799,Rookie,1.0326,5,Stanley Johnson,1626169.0,328,Stanley Johnson,-2.759041631116464
132,Detroit Pistons,-0.16488799,Rookie,0.91976,5,Luke Kennard,1628379.0,205,Luke Kennard,5.969214624016434
133,Detroit Pistons,-0.16488799,Rookie,0.5797776666666666,5,Eric Moreland,203961.0,178,Eric Moreland,-4.212661433976061
134,New Orleans Pelicans,-0.5621548279999999,Rookie,0.4904606666666666,5,Ian Clark,203546.0,427,Ian Clark,-0.5698398474911972
135,New Orleans Pelicans,-0.5621548279999999,Rookie,0.437537,5,Cheick Diallo,1627767.0,372,Cheick Diallo,-5.678403936345293
136,New Orleans Pelicans,-0.5621548279999999,Rookie,0.049439333333333335,5,Larry Drew II,203580.0,496,Larry Drew II,-2.9583216142466187
137,New Orleans Pelicans,-0.5621548279999999,Rookie,0.62968,5,Rashad Vaughn,1626173.0,362,Rashad Vaughn,-5.929515993950634
138,Dallas Mavericks,-1.412858355,Rookie,0.437537,5,Yogi Ferrell,1627812.0,152,Yogi Ferrell,7.299015439604144
139,Dallas Mavericks,-1.412858355,Rookie,0.437537,5,Dorian Finney-Smith,1627827.0,388,Dorian Finney-Smith,-0.31510496231156626
140,Dallas Mavericks,-1.412858355,Rookie,0.05819033333333332,5,Aaron Harrison,1626151.0,250,Aaron Harrison,-4.0960884553756145
141,Dallas Mavericks,-1.412858355,Rookie,0.024719666666666668,5,Scotty Hopson,203816.0,365,Scotty Hopson,-2.490068925088177
142,Dallas Mavericks,-1.412858355,Rookie,0.2718716666666667,5,Maxi Kleber,1628467.0,329,Maxi Kleber,-2.166392691611839
143,Dallas Mavericks,-1.412858355,Rookie,1.098331333333333,5,Doug McDermott,203926.0,478,Doug McDermott,3.3772073997726935
144,Dallas Mavericks,-1.412858355,Rookie,0.4904606666666666,5,Salah Mejri,1626257.0,336,Salah Mejri,-1.6154201567911226
145,Dallas Mavericks,-1.412858355,Rookie,1.07276,5,Dennis Smith Jr.,1628372.0,358,Dennis Smith Jr.,0.694252600842284
146,Dallas Mavericks,-1.412858355,Rookie,0.015359999999999999,5,Jameel Warney,1627866.0,520,Jameel Warney,-1.7431689809928304
147,Dallas Mavericks,-1.412858355,Rookie,0.5257733333333333,5,Jeff Withey,203481.0,526,Jeff Withey,1.352946028699586
148,Dallas Mavericks,-1.412858355,Rookie,0.016666666666666666,5,Gian Clavell,1628492.0,283,Gian Clavell,2.316166404918853
149,Sacramento Kings,-2.167864662,Rookie,0.817075,5,Bruno Caboclo,203998.0,359,Bruno Caboclo,-4.725741010230661
150,Sacramento Kings,-2.167864662,Rookie,1.23472,5,Willie Cauley-Stein,1626161.0,11,Willie Cauley-Stein,1.4705087270470791
151,Sacramento Kings,-2.167864662,Rookie,1.5364,5,De'Aaron Fox,1628368.0,8,De'Aaron Fox,-3.169881204650223
152,Sacramento Kings,-2.167864662,Rookie,1.22516,5,Buddy Hield,1627741.0,470,Buddy Hield,-1.1686587466894451
153,Sacramento Kings,-2.167864662,Rookie,0.78852,5,Justin Jackson,1628382.0,251,Justin Jackson,0.7552256061796037
154,Sacramento Kings,-2.167864662,Rookie,0.437537,5,Skal Labissiere,1627746.0,45,Skal Labissiere,-4.318124720612708
155,Sacramento Kings,-2.167864662,Rookie,0.76712,5,Georgios Papagiannis,1627834.0,429,Georgios Papagiannis,-0.5444397255514797
156,Sacramento Kings,-2.167864662,Rookie,0.394795,5,Frank Mason,1628412.0,437,Frank Mason,3.3500523981497694
157,New York Knicks,-2.742011328,Rookie,1.4426666666666668,5,Ron Baker,1627758.0,286,Ron Baker,4.447740839485763
158,New York Knicks,-2.742011328,Rookie,0.36666666666666653,5,Damyean Dotson,1628422.0,197,Damyean Dotson,-7.74475210007439
159,New York Knicks,-2.742011328,Rookie,1.008345,5,Mindaugas Kuzminskas,1627851.0,535,Mindaugas Kuzminskas,-0.03478402861905057
160,New York Knicks,-2.742011328,Rookie,1.12716,5,Emmanuel Mudiay,1626144.0,142,Emmanuel Mudiay,-3.9287588308625203
161,New York Knicks,-2.742011328,Rookie,1.1670399999999999,5,Frank Ntilikina,1628373.0,414,Frank Ntilikina,4.1782834374388464
162,New York Knicks,-2.742011328,Rookie,1.5012,5,Kristaps Porzingis,204001.0,86,Kristaps Porzingis,0.980551885338663
163,New York Knicks,-2.742011328,Rookie,0.03333333333333333,5,Marshall Plumlee,1627850.0,421,Marshall Plumlee,0.9596935547129282
164,Phoenix Suns,-4.014177796,Rookie,1.4896,5,Dragan Bender,1627733.0,337,Dragan Bender,-1.8857859123414955
165,Phoenix Suns,-4.014177796,Rookie,0.77312,5,Devin Booker,1626164.0,167,Devin Booker,2.169519412879332
166,Phoenix Suns,-4.014177796,Rookie,0.33251566666666665,5,Isaiah Canaan,203477.0,404,Isaiah Canaan,4.884949272601778
167,Phoenix Suns,-4.014177796,Rookie,1.0246,5,Marquese Chriss,1627737.0,338,Marquese Chriss,-1.5327022964762964
168,Phoenix Suns,-4.014177796,Rookie,1.1361733333333333,5,Troy Daniels,203584.0,65,Troy Daniels,-0.5974381452893658
