,Team,rating,Type,mu,sd,name,player_id,index,player_name,coefs
47,Utah Jazz,4.969595181,Non-rookie,2.265372333333333,5,Jae Crowder,203109.0,106,Jae Crowder,1.2387448852308705
48,Utah Jazz,4.969595181,Non-rookie,4.0,5,Derrick Favors,202324.0,282,Derrick Favors,0.1754151592271116
49,Utah Jazz,4.969595181,Non-rookie,7.324906333333334,5,Rudy Gobert,203497.0,143,Rudy Gobert,0.738279928943884
50,Utah Jazz,4.969595181,Non-rookie,4.712121333333333,5,Joe Ingles,204060.0,480,Joe Ingles,2.1250062933876386
51,Utah Jazz,4.969595181,Non-rookie,1.3333333333333333,5,Jonas Jerebko,201973.0,323,Jonas Jerebko,-4.478167517503872
52,Utah Jazz,4.969595181,Non-rookie,4.758333333333334,5,Ricky Rubio,201937.0,109,Ricky Rubio,3.6258486959427705
53,Utah Jazz,4.969595181,Non-rookie,1.75,5,Thabo Sefolosha,200757.0,386,Thabo Sefolosha,3.1850440130454754
54,Utah Jazz,4.969595181,Non-rookie,1.0666666666666669,5,Ekpe Udoh,202327.0,406,Ekpe Udoh,-1.826919984874273
55,Boston Celtics,2.709757135,Non-rookie,1.4426666666666668,5,Aron Baynes,203382.0,324,Aron Baynes,-7.093947015588132
56,Boston Celtics,2.709757135,Non-rookie,9.9093,5,Gordon Hayward,202330.0,538,Gordon Hayward,0.6056514418538788
57,Boston Celtics,2.709757135,Non-rookie,9.244801666666667,5,Al Horford,201143.0,418,Al Horford,3.311307141869496
58,Boston Celtics,2.709757135,Non-rookie,6.2895416666666675,5,Kyrie Irving,202681.0,481,Kyrie Irving,4.020491689367923
59,Boston Celtics,2.709757135,Non-rookie,0.4904606666666666,5,Shane Larkin,203499.0,135,Shane Larkin,-1.6060369500928982
60,Boston Celtics,2.709757135,Non-rookie,1.6666666666666667,5,Marcus Morris,202694.0,118,Marcus Morris,-0.2620907228859233
61,Washington Wizards,2.37472787,Non-rookie,7.925168666666668,5,Bradley Beal,203078.0,57,Bradley Beal,4.117677101482222
62,Washington Wizards,2.37472787,Non-rookie,4.260869666666666,5,Marcin Gortat,101162.0,279,Marcin Gortat,-2.633871656696016
63,Washington Wizards,2.37472787,Non-rookie,5.553880333333334,5,Ian Mahinmi,101133.0,73,Ian Mahinmi,2.038757286657168
64,Washington Wizards,2.37472787,Non-rookie,1.096666666666667,5,Jodie Meeks,201975.0,485,Jodie Meeks,0.8322602950939371
65,Washington Wizards,2.37472787,Non-rookie,2.6666666666666665,5,Markieff Morris,202693.0,55,Markieff Morris,-6.068383791259407
66,Washington Wizards,2.37472787,Non-rookie,0.4904606666666666,5,Mike Scott,203118.0,213,Mike Scott,0.892159294251563
67,Washington Wizards,2.37472787,Non-rookie,1.7416666666666667,5,Jason Smith,201160.0,254,Jason Smith,-6.473941392620127
68,Washington Wizards,2.37472787,Non-rookie,6.021283333333334,5,John Wall,202322.0,392,John Wall,7.830350038227877
69,Oklahoma City Thunder,2.082185522,Non-rookie,7.490636666666667,5,Steven Adams,203500.0,100,Steven Adams,3.54457063785636
70,Oklahoma City Thunder,2.082185522,Non-rookie,8.74792,5,Carmelo Anthony,2546.0,102,Carmelo Anthony,6.722275331173941
71,Oklahoma City Thunder,2.082185522,Non-rookie,0.7762173333333333,5,Nick Collison,2555.0,442,Nick Collison,0.7577371329459917
72,Oklahoma City Thunder,2.082185522,Non-rookie,0.4904606666666666,5,Raymond Felton,101109.0,234,Raymond Felton,-0.6281395455032737
73,Oklahoma City Thunder,2.082185522,Non-rookie,6.502986,5,Paul George,202331.0,416,Paul George,-1.8177073109402073
74,Oklahoma City Thunder,2.082185522,Non-rookie,1.7306666666666666,5,Patrick Patterson,202335.0,510,Patrick Patterson,-10.647297609662496
75,Oklahoma City Thunder,2.082185522,Non-rookie,3.0864196666666666,5,Andre Roberson,203460.0,129,Andre Roberson,-2.058180623836383
76,Oklahoma City Thunder,2.082185522,Non-rookie,1.5555,5,Kyle Singler,202713.0,468,Kyle Singler,-0.6745164264444572
77,Oklahoma City Thunder,2.082185522,Non-rookie,9.510202666666666,5,Russell Westbrook,201566.0,130,Russell Westbrook,7.410767679648853
78,Memphis Grizzlies,1.934503325,Non-rookie,0.11082566666666667,5,MarShon Brooks,202705.0,267,MarShon Brooks,7.879875545914603
79,Memphis Grizzlies,1.934503325,Non-rookie,0.7021356666666667,5,Mario Chalmers,201596.0,128,Mario Chalmers,1.4061409999768886
80,Memphis Grizzlies,1.934503325,Non-rookie,9.510202666666666,5,Mike Conley,201144.0,385,Mike Conley,6.8318668956303945
81,Memphis Grizzlies,1.934503325,Non-rookie,1.096666666666667,5,Tyreke Evans,201936.0,281,Tyreke Evans,2.8894841961211997
82,Memphis Grizzlies,1.934503325,Non-rookie,7.54745,5,Marc Gasol,201188.0,20,Marc Gasol,3.4515939264903137
83,Memphis Grizzlies,1.934503325,Non-rookie,2.844444333333333,5,JaMychal Green,203210.0,127,JaMychal Green,-1.9484352302291823
84,Memphis Grizzlies,1.934503325,Non-rookie,1.7333333333333334,5,Ben McLemore,203463.0,141,Ben McLemore,-2.1381122379145614
85,Memphis Grizzlies,1.934503325,Non-rookie,7.704001333333332,5,Chandler Parsons,202718.0,488,Chandler Parsons,-2.990709340083856
86,Memphis Grizzlies,1.934503325,Non-rookie,0.05264833333333333,5,Marquis Teague,203104.0,531,Marquis Teague,-4.052485832253817
87,Memphis Grizzlies,1.934503325,Non-rookie,1.7265866666666667,5,Brandan Wright,201148.0,160,Brandan Wright,-0.5018206352645738
88,Miami Heat,1.904907009,Non-rookie,0.658053,5,Luke Babbitt,202337.0,148,Luke Babbitt,0.9029442315167711
89,Miami Heat,1.904907009,Non-rookie,5.6668166666666675,5,Goran Dragic,201609.0,83,Goran Dragic,8.126785693333288
90,Miami Heat,1.904907009,Non-rookie,2.09,5,Wayne Ellington,201961.0,85,Wayne Ellington,2.5178633609383
91,Miami Heat,1.904907009,Non-rookie,0.4904606666666666,5,Udonis Haslem,2617.0,403,Udonis Haslem,0.8645797406846403
92,Miami Heat,1.904907009,Non-rookie,4.6513333333333335,5,James Johnson,201949.0,495,James Johnson,0.19308795162448433
93,Miami Heat,1.904907009,Non-rookie,3.5357230000000004,5,Kelly Olynyk,203482.0,405,Kelly Olynyk,2.6935370159307688
94,Miami Heat,1.904907009,Non-rookie,3.6666666666666665,5,Dion Waiters,203079.0,285,Dion Waiters,-4.3412592298221355
95,Miami Heat,1.904907009,Non-rookie,7.925168666666668,5,Hassan Whiteside,202355.0,217,Hassan Whiteside,-4.569603098201857
96,Denver Nuggets,1.813798095,Non-rookie,2.4883040000000003,5,Darrell Arthur,201589.0,424,Darrell Arthur,-2.5003555034966607
97,Denver Nuggets,1.813798095,Non-rookie,1.1777776666666666,5,Will Barton,203115.0,33,Will Barton,2.9214203120170996
98,Denver Nuggets,1.813798095,Non-rookie,4.005618,5,Wilson Chandler,201163.0,121,Wilson Chandler,-5.1038405006173155
99,Denver Nuggets,1.813798095,Non-rookie,4.307116000000001,5,Kenneth Faried,202702.0,313,Kenneth Faried,-8.764557605184299
100,Denver Nuggets,1.813798095,Non-rookie,1.4675153333333333,5,Devin Harris,2734.0,260,Devin Harris,5.736396036146733
101,Denver Nuggets,1.813798095,Non-rookie,10.423077000000001,5,Paul Millsap,200794.0,489,Paul Millsap,1.8009706910233554
102,Denver Nuggets,1.813798095,Non-rookie,1.5786833333333334,5,Jameer Nelson,2749.0,301,Jameer Nelson,-4.8049338186602295
103,Denver Nuggets,1.813798095,Non-rookie,4.6803653333333335,5,Mason Plumlee,203486.0,471,Mason Plumlee,-5.7741790613879775
104,Charlotte Hornets,1.0653689709999998,Non-rookie,7.478261,5,Nicolas Batum,201587.0,361,Nicolas Batum,-0.5931158295827323
105,Charlotte Hornets,1.0653689709999998,Non-rookie,0.9,5,Michael Carter-Williams,203487.0,506,Michael Carter-Williams,-2.875320179777275
106,Charlotte Hornets,1.0653689709999998,Non-rookie,7.833333333333332,5,Dwight Howard,2730.0,51,Dwight Howard,-1.0188453811765772
107,Charlotte Hornets,1.0653689709999998,Non-rookie,4.333333333333333,5,Michael Kidd-Gilchrist,203077.0,228,Michael Kidd-Gilchrist,1.9217806472458872
108,Charlotte Hornets,1.0653689709999998,Non-rookie,2.333333333333333,5,Jeremy Lamb,203087.0,53,Jeremy Lamb,6.0974955043516506
109,Charlotte Hornets,1.0653689709999998,Non-rookie,0.5081016666666667,5,Julyan Stone,202933.0,419,Julyan Stone,1.2381366961463331
110,Charlotte Hornets,1.0653689709999998,Non-rookie,4.0,5,Kemba Walker,202689.0,50,Kemba Walker,7.77391226264851
111,Charlotte Hornets,1.0653689709999998,Non-rookie,4.389583333333333,5,Marvin Williams,101107.0,413,Marvin Williams,-2.379849013496712
112,Charlotte Hornets,1.0653689709999998,Non-rookie,4.194756666666667,5,Cody Zeller,203469.0,189,Cody Zeller,0.89406289265753
113,Milwaukee Bucks,0.8606942540000001,Non-rookie,7.490636666666667,5,Giannis Antetokounmpo,203507.0,433,Giannis Antetokounmpo,3.426875937746091
114,Milwaukee Bucks,0.8606942540000001,Non-rookie,4.833333333333333,5,Eric Bledsoe,202339.0,24,Eric Bledsoe,5.109122714990294
115,Milwaukee Bucks,0.8606942540000001,Non-rookie,3.2025,5,Matthew Dellavedova,203521.0,25,Matthew Dellavedova,-3.043223515254356
116,Milwaukee Bucks,0.8606942540000001,Non-rookie,3.8075120000000005,5,John Henson,203089.0,400,John Henson,3.700223589127706
