,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,0.938,0.454,0.081,1.788,0.007,0.006,4825.0,1391.0,1.0
x[0],2.585,2.304,-1.901,6.706,0.035,0.037,4341.0,1421.0,1.0
x[1],1.91,2.25,-2.32,6.062,0.037,0.041,3815.0,1327.0,1.0
x[2],-3.266,2.435,-7.72,1.354,0.037,0.032,4354.0,1555.0,1.0
x[3],-1.254,2.096,-5.434,2.508,0.031,0.047,4465.0,1161.0,1.0
x[4],1.408,2.333,-2.911,5.898,0.031,0.052,5840.0,1168.0,1.01
x[5],0.069,2.288,-4.483,4.204,0.033,0.052,4875.0,1527.0,1.0
x[6],2.521,2.319,-1.809,6.972,0.034,0.04,4440.0,1413.0,1.0
x[7],-2.268,2.296,-6.434,2.05,0.033,0.037,4737.0,1310.0,1.0
x[8],3.242,2.185,-1.188,7.117,0.033,0.028,4342.0,1729.0,1.0
x[9],6.289,2.361,1.441,10.364,0.036,0.029,4391.0,1215.0,1.0
x[10],0.745,2.485,-3.751,5.664,0.033,0.073,5461.0,1265.0,1.0
x[11],0.694,2.165,-3.143,5.159,0.032,0.055,4649.0,1130.0,1.0
x[12],-3.369,2.401,-7.472,1.598,0.035,0.038,4590.0,1391.0,1.0
x[13],-1.438,2.444,-6.433,2.974,0.034,0.057,5245.0,1276.0,1.0
x[14],-1.598,2.327,-5.98,2.661,0.035,0.045,4429.0,1402.0,1.0
x[15],1.228,2.248,-2.854,5.346,0.038,0.046,3580.0,1554.0,1.0
x[16],0.925,2.317,-3.661,5.073,0.035,0.069,4315.0,1183.0,1.01
x[17],3.011,1.954,-0.911,6.387,0.033,0.031,3519.0,1398.0,1.0
x[18],0.203,2.315,-4.031,4.609,0.034,0.058,4565.0,1447.0,1.0
x[19],0.15,2.603,-5.062,4.913,0.04,0.072,4237.0,1364.0,1.0
x[20],0.465,2.153,-3.467,4.764,0.028,0.052,5871.0,1559.0,1.0
x[21],0.128,2.291,-4.272,4.212,0.03,0.067,5874.0,1473.0,1.0
x[22],-1.458,2.157,-5.262,2.832,0.03,0.045,5073.0,1299.0,1.0
x[23],5.396,2.161,1.182,9.389,0.032,0.026,4666.0,1333.0,1.0
x[24],-1.812,2.24,-6.199,2.088,0.03,0.037,5545.0,1362.0,1.0
x[25],-1.321,2.703,-6.66,3.338,0.04,0.067,4661.0,1263.0,1.01
x[26],1.429,2.214,-2.672,5.827,0.032,0.044,4650.0,1366.0,1.0
x[27],5.761,2.264,1.582,10.001,0.037,0.027,3859.0,1122.0,1.0
x[28],-0.945,2.45,-5.282,4.004,0.036,0.062,4694.0,1242.0,1.0
x[29],1.645,2.184,-2.264,5.599,0.033,0.038,4416.0,1536.0,1.0
x[30],1.254,2.312,-3.078,5.318,0.034,0.046,4725.0,1692.0,1.0
x[31],-2.869,2.548,-7.58,1.884,0.034,0.039,5516.0,1587.0,1.0
x[32],4.271,2.326,-0.041,8.618,0.033,0.031,5132.0,1224.0,1.0
x[33],0.274,2.139,-3.767,4.271,0.032,0.053,4495.0,1228.0,1.0
x[34],-0.17,2.235,-4.497,3.769,0.029,0.064,6072.0,1300.0,1.0
x[35],6.366,2.298,1.864,10.362,0.033,0.026,4873.0,1585.0,1.0
x[36],0.898,2.489,-3.873,5.54,0.033,0.059,5834.0,1578.0,1.01
x[37],1.452,2.182,-2.382,5.681,0.031,0.044,4997.0,1264.0,1.0
x[38],5.854,2.135,2.018,10.046,0.032,0.025,4492.0,1407.0,1.0
x[39],2.131,2.654,-2.422,7.77,0.043,0.053,3936.0,1284.0,1.0
x[40],3.088,2.27,-1.142,7.392,0.032,0.031,5035.0,1464.0,1.0
x[41],0.408,3.41,-5.877,6.66,0.045,0.091,5843.0,1265.0,1.0
x[42],4.316,2.268,-0.178,8.34,0.034,0.032,4427.0,1296.0,1.0
x[43],1.47,2.125,-2.703,5.233,0.033,0.04,4227.0,1576.0,1.0
x[44],0.008,2.171,-3.99,4.072,0.027,0.054,6393.0,1508.0,1.0
x[45],-0.171,2.519,-4.592,4.676,0.032,0.07,6197.0,1117.0,1.0
x[46],-1.466,2.276,-5.382,3.069,0.033,0.045,4664.0,1222.0,1.0
x[47],-2.337,2.736,-7.144,3.308,0.039,0.049,4989.0,1370.0,1.01
x[48],4.631,2.208,0.546,8.845,0.032,0.033,4845.0,1064.0,1.0
x[49],-3.567,2.807,-8.481,2.074,0.038,0.041,5657.0,1370.0,1.0
x[50],-4.278,2.362,-8.913,-0.086,0.032,0.031,5271.0,1398.0,1.0
x[51],0.984,2.241,-3.284,5.202,0.03,0.054,5444.0,1188.0,1.0
x[52],1.574,2.26,-2.84,5.524,0.033,0.04,4914.0,1467.0,1.0
x[53],2.196,2.256,-1.957,6.407,0.032,0.042,5195.0,1449.0,1.0
x[54],0.369,2.116,-3.873,4.108,0.029,0.052,5448.0,1518.0,1.0
x[55],2.324,2.244,-1.671,6.663,0.033,0.036,4551.0,1532.0,1.0
x[56],-1.133,2.23,-5.241,3.066,0.03,0.047,5420.0,1686.0,1.0
x[57],0.886,2.309,-3.323,5.342,0.033,0.052,5034.0,1424.0,1.0
x[58],-1.425,2.505,-6.367,3.187,0.032,0.067,6008.0,1300.0,1.0
x[59],0.765,2.306,-3.333,5.533,0.03,0.068,5785.0,1457.0,1.01
x[60],0.162,2.114,-3.52,4.42,0.029,0.052,5560.0,1577.0,1.0
x[61],2.784,2.215,-1.095,6.931,0.031,0.033,5176.0,1581.0,1.0
x[62],0.83,2.272,-3.437,5.03,0.032,0.058,5067.0,1342.0,1.0
x[63],0.523,2.036,-3.04,4.563,0.032,0.054,3938.0,1198.0,1.0
x[64],-1.546,1.999,-5.033,2.328,0.031,0.036,4196.0,1295.0,1.0
x[65],-0.433,2.436,-4.994,4.018,0.035,0.062,4789.0,1501.0,1.0
x[66],0.718,2.191,-3.219,5.058,0.028,0.055,6370.0,1406.0,1.0
x[67],-0.456,2.244,-4.737,3.788,0.033,0.05,4515.0,1448.0,1.0
x[68],-0.432,2.312,-4.781,3.95,0.037,0.061,3859.0,1347.0,1.0
x[69],0.974,2.49,-3.779,5.43,0.037,0.054,4576.0,1566.0,1.0
x[70],-0.956,2.624,-6.014,3.824,0.035,0.074,5544.0,1168.0,1.0
x[71],-1.345,2.246,-5.825,2.503,0.034,0.05,4483.0,1298.0,1.0
x[72],-0.919,2.115,-4.985,2.908,0.031,0.045,4780.0,1530.0,1.0
x[73],0.363,2.199,-3.892,4.352,0.034,0.055,4234.0,1533.0,1.0
x[74],1.209,2.162,-2.851,5.237,0.029,0.046,5429.0,1426.0,1.0
x[75],-0.109,2.493,-4.746,4.517,0.036,0.067,4853.0,1248.0,1.0
x[76],-2.887,2.284,-7.22,1.299,0.031,0.035,5463.0,1452.0,1.0
x[77],0.773,2.249,-3.546,4.788,0.035,0.053,4035.0,1613.0,1.0
x[78],5.265,2.176,1.015,9.13,0.032,0.025,4761.0,1640.0,1.0
x[79],-4.274,2.232,-8.359,-0.114,0.036,0.029,3782.0,1537.0,1.0
x[80],-1.237,2.515,-5.864,3.567,0.041,0.062,3739.0,1116.0,1.0
x[81],-4.796,2.358,-9.197,-0.559,0.034,0.031,4912.0,1334.0,1.0
x[82],7.654,2.2,3.732,11.809,0.033,0.026,4341.0,1404.0,1.0
x[83],1.136,2.101,-2.594,5.238,0.032,0.049,4266.0,1429.0,1.01
x[84],0.348,2.552,-4.761,4.769,0.035,0.067,5153.0,1316.0,1.0
x[85],-2.768,2.139,-7.167,0.755,0.033,0.034,4273.0,1418.0,1.0
x[86],0.938,2.564,-3.573,6.004,0.04,0.057,4105.0,1487.0,1.0
x[87],0.699,2.532,-3.834,5.759,0.036,0.078,5038.0,1049.0,1.0
x[88],-1.359,2.138,-5.151,2.664,0.029,0.042,5606.0,1502.0,1.0
x[89],0.297,2.014,-3.368,4.209,0.029,0.048,4993.0,1687.0,1.0
x[90],-0.086,2.13,-4.242,3.919,0.03,0.052,4616.0,1396.0,1.0
x[91],0.422,2.022,-3.267,4.259,0.029,0.057,4766.0,1243.0,1.0
x[92],-0.9,2.269,-5.235,3.237,0.032,0.05,4866.0,1518.0,1.0
x[93],8.216,2.244,3.923,12.36,0.037,0.028,3641.0,1409.0,1.0
x[94],0.985,2.231,-3.225,5.089,0.038,0.049,3547.0,1337.0,1.0
