,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[365],0.177,3.177,-5.429,6.333,0.047,0.085,4591.0,1331.0,1.0
x[366],-3.422,2.152,-7.323,0.489,0.032,0.029,4456.0,1699.0,1.0
x[367],-1.436,3.863,-8.179,5.962,0.051,0.105,5616.0,1268.0,1.0
x[368],-1.242,2.88,-6.058,4.711,0.041,0.065,4953.0,1356.0,1.0
x[369],-2.911,2.58,-7.614,1.916,0.036,0.037,5002.0,1516.0,1.0
x[370],-0.713,2.918,-5.996,4.742,0.042,0.075,4911.0,1285.0,1.0
x[371],-0.707,2.813,-5.635,4.652,0.043,0.072,4202.0,1447.0,1.01
x[372],0.598,3.123,-5.374,6.051,0.042,0.08,5256.0,1386.0,1.0
x[373],2.443,2.425,-2.038,7.197,0.036,0.042,4581.0,1495.0,1.0
x[374],-1.189,2.281,-5.259,3.214,0.035,0.055,4310.0,1209.0,1.0
x[375],1.344,2.663,-3.755,6.193,0.039,0.058,4663.0,1534.0,1.01
x[376],-0.997,2.462,-5.62,3.587,0.038,0.059,4225.0,1330.0,1.0
x[377],3.396,2.553,-1.174,8.274,0.042,0.037,3640.0,1783.0,1.0
x[378],-0.719,2.534,-5.346,3.958,0.038,0.055,4400.0,1662.0,1.0
x[379],-1.948,3.029,-7.328,3.931,0.043,0.06,5034.0,1526.0,1.0
x[380],4.176,2.489,-0.527,8.756,0.039,0.034,4092.0,1500.0,1.0
x[381],-2.862,2.115,-7.025,1.006,0.029,0.028,5482.0,1767.0,1.0
x[382],-3.903,2.75,-8.789,1.482,0.04,0.04,4836.0,1503.0,1.0
x[383],-0.977,2.197,-5.34,2.781,0.029,0.048,5873.0,1496.0,1.0
x[384],-1.898,2.237,-5.895,2.414,0.033,0.036,4590.0,1719.0,1.0
x[385],-2.978,2.586,-7.644,1.795,0.038,0.036,4629.0,1725.0,1.0
x[386],-2.194,2.98,-7.942,3.145,0.045,0.06,4428.0,1552.0,1.0
x[387],0.094,3.667,-6.693,6.758,0.053,0.093,4751.0,1473.0,1.0
x[388],0.115,2.326,-4.119,4.535,0.033,0.057,5053.0,1468.0,1.0
x[389],-0.622,2.249,-4.766,3.709,0.033,0.051,4595.0,1645.0,1.0
x[390],-1.05,2.32,-5.182,3.418,0.041,0.048,3304.0,1416.0,1.0
x[391],4.922,2.587,0.229,9.78,0.037,0.032,4829.0,1631.0,1.0
x[392],0.917,3.744,-5.924,7.669,0.05,0.092,5576.0,1135.0,1.0
x[393],-0.693,2.888,-6.178,4.723,0.05,0.068,3380.0,1503.0,1.0
x[394],-2.239,3.862,-10.085,4.435,0.052,0.087,5555.0,1185.0,1.0
x[395],0.448,2.222,-3.757,4.332,0.031,0.052,5174.0,1639.0,1.0
x[396],-0.333,2.939,-5.868,5.066,0.036,0.08,6602.0,1489.0,1.0
x[397],0.04,2.862,-5.323,5.199,0.051,0.067,3147.0,1521.0,1.0
x[398],0.299,2.513,-4.148,5.298,0.038,0.07,4524.0,1207.0,1.0
x[399],1.175,2.288,-3.341,5.383,0.031,0.048,5291.0,1244.0,1.01
x[400],2.114,2.947,-3.559,7.32,0.042,0.059,5041.0,1357.0,1.0
x[401],3.486,2.679,-1.794,8.211,0.04,0.043,4402.0,1365.0,1.0
x[402],-0.329,2.49,-4.711,4.633,0.039,0.06,4122.0,1639.0,1.0
x[403],-1.36,2.864,-6.87,3.784,0.04,0.06,5028.0,1407.0,1.0
x[404],1.148,2.729,-4.153,6.176,0.037,0.066,5496.0,1316.0,1.01
x[405],0.1,2.879,-5.112,5.707,0.038,0.08,5626.0,1237.0,1.0
x[406],2.758,3.1,-3.071,8.62,0.047,0.06,4366.0,1412.0,1.0
x[407],-1.024,2.763,-6.222,3.942,0.044,0.065,3937.0,1284.0,1.0
x[408],-1.034,3.956,-8.284,6.623,0.061,0.099,4353.0,1355.0,1.0
x[409],1.47,2.164,-2.582,5.289,0.03,0.041,5243.0,1568.0,1.0
x[410],1.655,2.705,-3.251,6.665,0.042,0.055,4038.0,1443.0,1.0
x[411],-0.185,3.589,-6.498,6.902,0.046,0.1,5961.0,1395.0,1.0
x[412],-2.183,3.193,-8.13,3.865,0.042,0.064,5709.0,1536.0,1.0
x[413],0.021,3.276,-6.36,6.121,0.046,0.09,5116.0,1218.0,1.0
x[414],0.71,2.417,-3.9,5.301,0.042,0.05,3398.0,1536.0,1.0
x[415],5.528,2.453,0.815,10.039,0.039,0.033,3951.0,1556.0,1.0
x[416],-0.354,2.908,-6.094,4.966,0.044,0.079,4455.0,1191.0,1.0
x[417],-0.839,3.2,-7.173,4.685,0.043,0.079,5598.0,1473.0,1.0
x[418],-0.306,2.757,-5.649,4.6,0.041,0.079,4422.0,1273.0,1.0
x[419],0.747,3.662,-5.942,7.18,0.052,0.092,4969.0,1261.0,1.0
x[420],-1.282,2.825,-6.413,3.744,0.042,0.063,4611.0,1463.0,1.0
x[421],-1.03,3.069,-7.199,4.409,0.039,0.08,6080.0,1290.0,1.0
x[422],1.929,1.981,-1.647,5.759,0.03,0.037,4413.0,1313.0,1.0
x[423],-2.045,2.784,-7.139,3.207,0.043,0.053,4262.0,1448.0,1.0
x[424],-2.518,3.318,-9.001,3.44,0.047,0.064,5044.0,1211.0,1.0
x[425],-0.036,2.303,-3.989,4.477,0.033,0.053,4788.0,1683.0,1.0
x[426],1.222,2.616,-3.576,6.123,0.037,0.054,4963.0,1566.0,1.0
