,rating,Team,Type,mu,sd,name
1,4.23982463177234,Orlando Magic,Rookie,0.46968,5,Ryan Anderson
4,4.23982463177234,Orlando Magic,Rookie,0.63292,5,Earl Clark
13,2.2266183009673903,Cleveland Cavaliers,Rookie,0.157868,5,Semih Erden
14,2.2266183009673903,Cleveland Cavaliers,Rookie,0.34032,5,Christian Eyenga
15,2.2266183009673903,Cleveland Cavaliers,Rookie,0.15991166666666667,5,Alonzo Gee
18,2.2266183009673903,Cleveland Cavaliers,Rookie,0.157868,5,Luke Harangody
19,2.2266183009673903,Cleveland Cavaliers,Rookie,0.157868,5,Manny Harris
24,2.2266183009673903,Cleveland Cavaliers,Rookie,0.16666666666666666,5,Samardo Samuels
25,2.2266183009673903,Cleveland Cavaliers,Rookie,1.32144,5,Ramon Sessions
27,2.2266183009673903,Cleveland Cavaliers,Rookie,0.10721733333333333,5,Jawad Williams
34,1.97745199044767,Los Angeles Lakers,Rookie,0.157868,5,Derrick Caracter
35,1.97745199044767,Los Angeles Lakers,Rookie,0.157868,5,Devin Ebanks
42,1.79811123912632,Phoenix Suns,Rookie,0.6722306666666666,5,Aaron Brooks
45,1.79811123912632,Phoenix Suns,Rookie,0.08079133333333334,5,Zabian Dowdell
46,1.79811123912632,Phoenix Suns,Rookie,0.7170226666666667,5,Jared Dudley
48,1.79811123912632,Phoenix Suns,Rookie,2.10744,5,Marcin Gortat
50,1.79811123912632,Phoenix Suns,Rookie,0.15788,5,Gani Lawal
51,1.79811123912632,Phoenix Suns,Rookie,0.62244,5,Robin Lopez
54,1.79811123912632,Phoenix Suns,Rookie,0.15788,5,Garret Siler
58,1.4974279466787699,Utah Jazz,Rookie,0.157868,5,Jeremy Evans
59,1.4974279466787699,Utah Jazz,Rookie,1.37776,5,Derrick Favors
60,1.4974279466787699,Utah Jazz,Rookie,0.3625,5,Kyrylo Fesenko
62,1.4974279466787699,Utah Jazz,Rookie,0.78544,5,Gordon Hayward
69,1.04356716543027,San Antonio Spurs,Rookie,0.4538,5,James Anderson
70,1.04356716543027,San Antonio Spurs,Rookie,0.306,5,DeJuan Blair
74,1.04356716543027,San Antonio Spurs,Rookie,0.38572,5,George Hill
77,1.04356716543027,San Antonio Spurs,Rookie,0.175,5,Gary Neal
78,1.04356716543027,San Antonio Spurs,Rookie,0.018572666666666668,5,Larry Owens
81,1.04356716543027,San Antonio Spurs,Rookie,1.1333333333333333,5,Tiago Splitter
84,0.8607358286262009,Boston Celtics,Rookie,0.47272,5,Avery Bradley
85,0.8607358286262009,Boston Celtics,Rookie,1.1,5,Glen Davis
87,0.8607358286262009,Boston Celtics,Rookie,1.4853293333333333,5,Jeff Green
88,0.8607358286262009,Boston Celtics,Rookie,0.045503,5,Chris Johnson
96,0.5938333053928211,Denver Nuggets,Rookie,0.6531923333333334,5,Arron Afflalo
98,0.5938333053928211,Denver Nuggets,Rookie,0.7101606666666667,5,Wilson Chandler
101,0.5938333053928211,Denver Nuggets,Rookie,0.157868,5,Gary Forbes
102,0.5938333053928211,Denver Nuggets,Rookie,1.10152,5,Danilo Gallinari
105,0.5938333053928211,Denver Nuggets,Rookie,0.45088,5,Kosta Koufos
106,0.5938333053928211,Denver Nuggets,Rookie,0.51552,5,Ty Lawson
108,0.5938333053928211,Denver Nuggets,Rookie,1.189032,5,Timofey Mozgov
109,0.0273835597512733,Oklahoma City Thunder,Rookie,0.70884,5,Cole Aldrich
111,0.0273835597512733,Oklahoma City Thunder,Rookie,0.7232856666666667,5,Daequan Cook
112,0.0273835597512733,Oklahoma City Thunder,Rookie,2.0178876666666667,5,Kevin Durant
113,0.0273835597512733,Oklahoma City Thunder,Rookie,1.43484,5,James Harden
114,0.0273835597512733,Oklahoma City Thunder,Rookie,0.4014,5,Serge Ibaka
116,0.0273835597512733,Oklahoma City Thunder,Rookie,0.4726,5,Eric Maynor
118,0.0273835597512733,Oklahoma City Thunder,Rookie,0.4014,5,Byron Mullens
122,0.0273835597512733,Oklahoma City Thunder,Rookie,1.33924,5,Russell Westbrook
127,0.0,Atlanta Hawks,Rookie,1.8149523333333333,5,Al Horford
132,0.0,Atlanta Hawks,Rookie,0.49228,5,Jeff Teague
137,-0.781615950778244,Dallas Mavericks,Rookie,0.38536,5,Rodrigue Beaubois
142,-0.781615950778244,Dallas Mavericks,Rookie,0.37004,5,Dominique Jones
144,-0.781615950778244,Dallas Mavericks,Rookie,0.2540653333333333,5,Ian Mahinmi
152,-0.9027477954034001,Portland Trailblazers,Rookie,0.54848,5,Luke Babbitt
153,-0.9027477954034001,Portland Trailblazers,Rookie,0.39892,5,Nicolas Batum
155,-0.9027477954034001,Portland Trailblazers,Rookie,0.41556,5,Rudy Fernandez
156,-0.9027477954034001,Portland Trailblazers,Rookie,0.157868,5,Armon Johnson
157,-0.9027477954034001,Portland Trailblazers,Rookie,1.9216666666666666,5,Wesley Matthews
159,-0.9027477954034001,Portland Trailblazers,Rookie,0.31239833333333333,5,Patty Mills
162,-1.8462680657178403,Miami Heat,Rookie,1.1,5,Joel Anthony
165,-1.8462680657178403,Miami Heat,Rookie,0.2847963333333333,5,Mario Chalmers
177,-2.25449311294375,Milwaukee Bucks,Rookie,0.3333333333333333,5,Jon Brockman
180,-2.25449311294375,Milwaukee Bucks,Rookie,0.2847963333333333,5,Chris Douglas-Roberts
183,-2.25449311294375,Milwaukee Bucks,Rookie,0.77704,5,Brandon Jennings
185,-2.25449311294375,Milwaukee Bucks,Rookie,0.2847963333333333,5,Luc Mbah a Moute
187,-2.25449311294375,Milwaukee Bucks,Rookie,0.57732,5,Larry Sanders
189,-2.25449311294375,Milwaukee Bucks,Rookie,0.032879,5,Garrett Temple
190,-2.38318862338914,Charlotte Hornets,Rookie,0.8468,5,D.J. Augustin
191,-2.38318862338914,Charlotte Hornets,Rookie,0.254065,5,Derrick Brown
194,-2.38318862338914,Charlotte Hornets,Rookie,0.157868,5,Sherron Collins
195,-2.38318862338914,Charlotte Hornets,Rookie,0.254065,5,Dante Cunningham
202,-2.38318862338914,Charlotte Hornets,Rookie,0.2947066666666667,5,Dominic McGuire
207,-3.55198731096608,Houston Rockets,Rookie,0.26029033333333335,5,Chase Budinger
208,-3.55198731096608,Houston Rockets,Rookie,0.3618,5,DeMarre Carroll
209,-3.55198731096608,Houston Rockets,Rookie,0.6573333333333333,5,Goran Dragic
