,mu,sd,name
166,0.0,5,PJ Dozier
167,0.56328,5,Kyle Kuzma
168,3.0,5,Rajon Rondo
169,0.7166666666666667,5,Raul Neto
170,4.991666666666666,5,Ricky Rubio
171,0.7574636666666666,5,Larry Nance Jr.
172,0.0,5,Jared Terrell
173,0.459414,5,Royce O'Neale
174,0.0,5,Shake Milton
175,0.003158,5,Duncan Robinson
176,0.4951466666666667,5,Mitchell Robinson
177,0.030001666666666666,5,Chris Chiozza
178,1.7312,5,Aron Baynes
179,0.8386826666666667,5,Justin Anderson
180,0.5520306666666667,5,Spencer Dinwiddie
181,0.8892,5,Guerschon Yabusele
182,0.459414,5,Semi Ojeleye
183,7.704688666666667,5,Kawhi Leonard
184,0.5983383333333333,5,Trey Burke
185,0.0,5,Daryl Macon
186,0.056971666666666664,5,Jimmer Fredette
187,5.956284,5,Evan Turner
188,0.5149836666666666,5,Ivica Zubac
189,0.44979433333333335,5,Tyrone Wallace
190,8.489083333333333,5,Joel Embiid
191,0.0,5,Devin Robinson
192,4.084593333333333,5,Courtney Lee
193,0.0,5,PJ Tucker
194,0.004737,5,Yante Maten
195,1.9166666666666667,5,Anthony Tolliver
196,0.279488,5,Keita Bates-Diop
197,0.014211333333333333,5,Billy Garrett
198,0.0,5,Haywood Highsmith
199,0.547,5,Pat Connaughton
200,0.5042003333333334,5,Quincy Pondexter
201,3.5318353333333334,5,Meyers Leonard
202,0.5149836666666666,5,Damian Jones
203,7.0,5,Victor Oladipo
204,1.483,5,Kyle O'Quinn
205,0.0,5,Mo Bamba
206,1.65636,5,Jonathan Isaac
207,10.140618,5,James Harden
208,0.279488,5,Isaiah Hartenstein
209,0.0,5,Luc Mbah a Moute
210,2.01384,5,Josh Jackson
211,1.1047883333333333,5,Devin Booker
212,3.4880306666666665,5,Robert Covington
213,2.77996,5,Markelle Fultz
214,0.58,5,Furkan Korkmaz
215,0.0,5,Isaiah Briscoe
216,2.880333333333333,5,Kyle Anderson
217,0.459414,5,Dillon Brooks
218,0.0,5,Omri Casspi
219,0.827,5,Donte DiVincenzo
220,3.775822,5,John Henson
221,3.2025,5,Matthew Dellavedova
222,0.16236966666666666,5,Enes Kanter
223,0.5042003333333334,5,Noah Vonleh
224,0.44979433333333335,5,Ryan Arcidiacono
225,11.884716666666666,5,LeBron James
226,2.48732,5,Lonzo Ball
227,1.157629,5,Rodney Hood
228,0.050529,5,Deonte Burton
229,0.0,5,Svi Mykhailiuk
230,0.0,5,DeVaughn Akoon-Purcell
231,0.54488,5,DeAndre' Bembry
232,0.0,5,Alex Poythress
233,2.4,5,Dewayne Dedmon
234,8.478087666666667,5,Hassan Whiteside
235,0.279488,5,Chimezie Metu
236,6.807182,5,Ryan Anderson
237,0.0,5,Troy Williams
238,1.565625,5,Willie Cauley-Stein
239,0.0,5,Ish Smith
240,0.459414,5,Frank Jackson
241,0.0,5,Andrew Harrison
242,1.0416666666666667,5,Bryn Forbes
243,0.0,5,Dennis Schroder
244,11.884716666666666,5,Russell Westbrook
245,0.0,5,Alex Abrines
246,1.4804,5,Wendell Carter Jr.
247,0.459414,5,Ivan Rabb
248,4.666666666666667,5,Taj Gibson
249,2.613145,5,Karl-Anthony Towns
250,0.0,5,Johnathan Williams
251,5.505952333333333,5,Gary Harris
252,9.743589666666667,5,Paul Millsap
253,1.6666666666666667,5,Tony Parker
254,0.5149836666666666,5,Quinn Cook
255,0.5042003333333334,5,Vince Carter
256,0.75032,5,Kevin Huerter
257,0.5042003333333334,5,Derrick Jones Jr.
258,0.437088,5,Shaquille Harrison
259,0.0,5,Marcus Derrickson
260,0.55172,5,Josh Hart
261,1.779,5,Dwight Howard
262,0.54408,5,Dzanan Musa
263,0.0,5,Marcin Gortat
264,3.5,5,Bojan Bogdanovic
265,0.279488,5,Brad Wanamaker
266,0.17091533333333334,5,Salah Mejri
267,0.0,5,Malachi Richardson
268,0.0,5,Ike Anigbogu
269,0.0,5,CJ McCollum
270,0.0,5,Tyler Davis
271,0.76636,5,John Collins
272,0.0,5,Jaron Blossomgame
273,0.0,5,Jalen Jones
274,0.0,5,Jawun Evans
275,3.1766666666666667,5,Jared Dudley
276,0.0,5,Nick Young
277,0.72024,5,Josh Okogie
278,0.0,5,Ben McLemore
279,6.415123333333334,5,Tyler Johnson
280,5.633333333333334,5,Derrick Favors
281,0.0,5,Naz Mitrou-Long
282,1.0695433333333333,5,Kelly Oubre Jr.
283,0.0,5,J.P. Macura
284,0.44438,5,Tyson Chandler
285,0.59128,5,Malik Beasley
286,0.26207033333333335,5,Patrick McCaw
287,0.8314486666666666,5,Bobby Portis
288,0.0,5,Quincy Acy
289,0.0,5,Brandon Goodwin
290,3.9434526666666665,5,Will Barton
291,10.696310666666667,5,Blake Griffin
292,0.5042003333333334,5,Zaza Pachulia
293,7.222222333333334,5,Serge Ibaka
294,6.666666666666667,5,Jabari Parker
295,1.51204,5,Lauri Markkanen
296,0.001579,5,Theo Pinson
297,0.0,5,Gary Payton II
298,0.5042003333333334,5,Luol Deng
299,0.5042003333333334,5,Dwyane Wade
300,0.0,5,Alan Williams
301,4.120370333333334,5,Jusuf Nurkic
302,2.0,5,Jonathon Simmons
303,0.5149836666666666,5,Cheick Diallo
304,0.62488,5,Tyler Lydon
305,0.0,5,Tahjere McCall
306,0.5149836666666666,5,Timothe Luwawu-Cabarrot
307,8.035752666666667,5,Chandler Parsons
308,0.0,5,CJ Miles
309,0.91636,5,Troy Brown Jr.
310,0.58736,5,Moritz Wagner
311,1.2092806666666667,5,Frank Kaminsky
312,0.5149836666666666,5,Willy Hernangomez
313,0.0,5,Lou Williams
314,0.0,5,BJ Johnson
315,0.61184,5,Anfernee Simons
316,0.5633333333333334,5,Jonah Bolden
317,12.485718,5,Stephen Curry
318,2.6666666666666665,5,Garrett Temple
319,2.4444446666666666,5,Doug McDermott
320,0.6666666666666666,5,Torrey Craig
321,9.642903,5,Al Horford
322,5.666666666666667,5,Evan Fournier
323,0.15247266666666667,5,Malcolm Miller
324,0.061582,5,Ray Spalding
325,3.445693,5,Maurice Harkless
326,4.695833333333334,5,Marvin Williams
327,2.1666666666666665,5,Nemanja Bjelica
328,0.5042003333333334,5,David Nwaba
329,0.5397533333333333,5,Luke Kornet
330,0.0,5,Yuta Watanabe
331,1.1367613333333333,5,Myles Turner
332,0.0,5,Scott Machado
333,0.279488,5,Jevon Carter
334,1.3134673333333333,5,Stanley Johnson
335,10.173705,5,Mike Conley
336,0.5042003333333334,5,Ian Clark
337,1.75,5,Thabo Sefolosha
338,2.3398993333333333,5,D'Angelo Russell
339,1.3583333333333334,5,Glenn Robinson III
340,2.8846156666666665,5,Jerami Grant
341,1.0154,5,Jerome Robinson
342,0.0,5,JJ Redick
343,0.0,5,Jemerrio Jones
344,0.0,5,Melvin Frazier Jr.
345,0.459414,5,Maxi Kleber
346,0.0,5,Davon Reed
347,6.333333333333333,5,George Hill
348,1.27332,5,Dennis Smith Jr.
349,0.0,5,Brandon Sampson
350,0.0,5,Mitchell Creek
351,5.056929,5,Gorgui Dieng
352,8.489083333333333,5,Andrew Wiggins
353,0.0,5,Isaiah Hicks
354,0.01994,5,Donatas Motiejunas
355,5.6811593333333334,5,Reggie Jackson
