,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[327],0.918,2.823,-4.542,5.863,0.059,0.071,2250.0,1211.0,1.0
x[328],-1.019,3.096,-6.928,4.398,0.08,0.073,1509.0,1249.0,1.0
x[329],3.181,2.672,-1.753,8.297,0.06,0.052,1953.0,1350.0,1.0
x[330],0.18,2.906,-5.372,5.457,0.065,0.074,2024.0,1282.0,1.0
x[331],-1.208,2.79,-6.296,4.05,0.062,0.066,2053.0,1031.0,1.0
x[332],-1.221,3.1,-7.409,4.154,0.07,0.076,2004.0,1060.0,1.0
x[333],3.032,3.116,-2.491,9.188,0.067,0.059,2175.0,1234.0,1.0
x[334],-1.045,2.962,-6.692,4.32,0.065,0.068,2040.0,1435.0,1.0
x[335],0.448,2.909,-5.122,6.013,0.062,0.069,2232.0,1258.0,1.0
x[336],-1.052,2.82,-5.917,4.718,0.065,0.068,1859.0,1151.0,1.0
x[337],0.945,2.845,-4.081,6.414,0.06,0.071,2265.0,1193.0,1.0
x[338],-1.134,2.937,-6.55,4.145,0.074,0.076,1554.0,898.0,1.0
x[339],1.618,2.739,-3.365,6.613,0.065,0.06,1800.0,1264.0,1.0
x[340],0.464,2.977,-4.833,6.17,0.06,0.076,2418.0,1322.0,1.0
x[341],0.969,3.053,-4.419,6.995,0.068,0.078,2038.0,1044.0,1.0
x[342],0.422,2.969,-5.352,5.975,0.078,0.084,1474.0,1032.0,1.01
x[343],-0.879,2.644,-6.004,3.998,0.067,0.06,1556.0,1206.0,1.0
x[344],-0.977,3.088,-6.572,4.687,0.069,0.08,2029.0,1199.0,1.0
x[345],-0.97,2.774,-5.997,4.334,0.062,0.062,1990.0,1472.0,1.0
x[346],-0.92,2.933,-6.443,4.224,0.068,0.067,1840.0,1321.0,1.0
x[347],-0.942,2.932,-6.223,5.006,0.068,0.074,1877.0,1149.0,1.0
x[348],-0.976,2.915,-6.406,4.79,0.062,0.081,2254.0,965.0,1.0
x[349],0.987,2.801,-4.467,6.048,0.071,0.075,1578.0,902.0,1.0
x[350],-0.807,2.779,-6.027,4.061,0.072,0.064,1493.0,1296.0,1.0
x[351],-1.265,2.988,-6.799,4.062,0.074,0.08,1643.0,967.0,1.0
x[352],-0.428,2.763,-5.662,4.8,0.059,0.072,2202.0,1073.0,1.0
x[353],0.387,3.876,-6.867,7.332,0.097,0.103,1595.0,1075.0,1.0
x[354],-1.062,3.025,-6.713,4.494,0.07,0.079,1848.0,987.0,1.0
x[355],-0.269,2.845,-5.47,5.222,0.061,0.066,2200.0,1416.0,1.0
x[356],2.694,2.668,-2.024,7.812,0.059,0.05,2042.0,1328.0,1.0
x[357],-1.396,3.041,-7.249,4.133,0.068,0.072,2021.0,997.0,1.01
x[358],-0.554,2.786,-5.709,4.579,0.061,0.067,2072.0,1398.0,1.0
x[359],0.29,2.916,-5.692,5.349,0.068,0.072,1871.0,1043.0,1.0
x[360],-1.613,3.027,-7.117,4.119,0.061,0.069,2443.0,1187.0,1.0
x[361],-1.068,2.745,-6.012,4.46,0.06,0.066,2104.0,1180.0,1.0
x[362],-0.994,3.094,-6.869,4.646,0.073,0.074,1812.0,1159.0,1.0
x[363],-0.802,2.843,-5.77,5.141,0.064,0.061,1962.0,1421.0,1.0
x[364],-0.955,2.938,-6.45,4.614,0.064,0.083,2114.0,979.0,1.0
x[365],0.796,2.818,-4.393,6.039,0.063,0.068,2022.0,1462.0,1.0
x[366],0.259,2.82,-5.166,5.281,0.062,0.072,2038.0,1296.0,1.0
x[367],-1.478,2.667,-6.148,3.748,0.058,0.058,2080.0,1275.0,1.0
x[368],3.657,2.709,-1.956,8.344,0.061,0.05,1992.0,1029.0,1.0
x[369],-0.678,2.976,-6.148,5.041,0.062,0.078,2304.0,1440.0,1.0
x[370],0.771,3.011,-4.527,6.579,0.07,0.079,1856.0,1199.0,1.0
x[371],0.116,2.82,-5.538,5.027,0.062,0.077,2084.0,945.0,1.01
x[372],-0.133,2.825,-4.996,5.319,0.062,0.07,2059.0,1416.0,1.0
x[373],1.749,2.938,-3.82,7.201,0.067,0.061,1937.0,1319.0,1.0
x[374],-0.863,2.931,-6.297,4.873,0.066,0.068,2012.0,1323.0,1.0
x[375],0.299,2.863,-4.798,5.875,0.064,0.074,1972.0,1185.0,1.0
x[376],1.282,2.843,-3.793,6.56,0.067,0.068,1831.0,964.0,1.0
x[377],-0.812,2.996,-6.667,4.538,0.064,0.074,2217.0,1353.0,1.0
x[378],-0.027,2.73,-5.678,4.799,0.061,0.081,2022.0,742.0,1.0
x[379],0.34,2.728,-4.801,5.474,0.059,0.067,2125.0,1246.0,1.0
x[380],-2.133,2.764,-7.042,3.124,0.065,0.063,1839.0,1224.0,1.0
x[381],1.979,2.589,-2.869,6.765,0.06,0.049,1846.0,1399.0,1.0
x[382],-1.149,2.917,-6.281,4.695,0.07,0.067,1730.0,1251.0,1.0
x[383],2.175,2.692,-2.62,7.036,0.062,0.052,1889.0,1393.0,1.0
x[384],0.101,2.929,-5.694,5.306,0.061,0.075,2320.0,1265.0,1.0
x[385],0.103,2.8,-4.853,5.639,0.064,0.077,1951.0,1188.0,1.0
x[386],-0.997,2.839,-6.501,4.052,0.066,0.067,1872.0,1197.0,1.0
x[387],-0.455,2.834,-6.084,4.437,0.063,0.076,2005.0,1147.0,1.0
x[388],-0.676,2.904,-6.131,4.545,0.07,0.071,1719.0,1098.0,1.0
x[389],-0.012,2.862,-5.118,5.482,0.063,0.073,2063.0,1321.0,1.0
x[390],-0.591,2.875,-6.24,4.488,0.065,0.076,1986.0,966.0,1.01
x[391],-0.184,2.883,-5.589,5.26,0.073,0.083,1521.0,926.0,1.0
x[392],-0.717,2.982,-6.295,4.865,0.066,0.076,2063.0,983.0,1.0
x[393],1.13,2.744,-3.716,6.397,0.065,0.064,1787.0,1348.0,1.0
