rating,Unnamed: 0,Team,Type,mu,sd,name
9.804994905,832,San Antonio Spurs,Rookie,0.692333333,5,Aron Baynes
9.804994905,1514,San Antonio Spurs,Rookie,0.050733333,5,Bryce Cotton
9.804994905,2314,San Antonio Spurs,Rookie,0.674420333,5,Cory Joseph
9.804994905,5357,San Antonio Spurs,Rookie,0.609583333,5,Jeff Ayres
9.804994905,6301,San Antonio Spurs,Rookie,0.964686333,5,Kawhi Leonard
9.804994905,6808,San Antonio Spurs,Rookie,0.36456,5,Kyle Anderson
7.952642725,880,Los Angeles Clippers,Rookie,0.81328,5,Austin Rivers
7.952642725,6044,Los Angeles Clippers,Rookie,0.050197,5,Jordan Hamilton
7.952642725,8250,Los Angeles Clippers,Rookie,0.1,5,Miroslav Raduljica
6.984503849,455,Oklahoma City Thunder,Rookie,0.38696,5,Andre Roberson
6.984503849,2376,Oklahoma City Thunder,Rookie,1,5,D.J. Augustin
6.984503849,3282,Oklahoma City Thunder,Rookie,1.354,5,Dion Waiters
6.984503849,3800,Oklahoma City Thunder,Rookie,1.898224667,5,Enes Kanter
6.984503849,5461,Oklahoma City Thunder,Rookie,0.734,5,Jeremy Lamb
6.984503849,6847,Oklahoma City Thunder,Rookie,0.363333333,5,Kyle Singler
6.984503849,8262,Oklahoma City Thunder,Rookie,0.46668,5,Mitch McGary
6.984503849,10530,Oklahoma City Thunder,Rookie,0.72832,5,Steven Adams
5.685672759,2222,Houston Rockets,Rookie,0.3964,5,Clint Capela
5.685672759,3369,Houston Rockets,Rookie,0.49464,5,Donatas Motiejunas
5.685672759,4736,Houston Rockets,Rookie,0.327028,5,Ish Smith
5.685672759,6757,Houston Rockets,Rookie,1.6,5,Kostas Papanikolaou
5.685672759,8498,Houston Rockets,Rookie,0.169112,5,Nick Johnson
5.685672759,8700,Houston Rockets,Rookie,0.554320333,5,Pablo Prigioni
5.685672759,8727,Houston Rockets,Rookie,0.305081,5,Patrick Beverley
5.685672759,9423,Houston Rockets,Rookie,0.333333333,5,Robert Covington
5.685672759,10655,Houston Rockets,Rookie,0.53956,5,Terrence Jones
5.678119932,3482,Golden State Warriors,Rookie,0.305081,5,Draymond Green
5.678119932,4027,Golden State Warriors,Rookie,0.37096,5,Festus Ezeli
5.678119932,4515,Golden State Warriors,Rookie,1.01664,5,Harrison Barnes
5.678119932,5023,Golden State Warriors,Rookie,0.055707333,5,James Michael McAdoo
5.678119932,6230,Golden State Warriors,Rookie,0.272160667,5,Justin Holiday
5.678119932,6718,Golden State Warriors,Rookie,1.025293333,5,Klay Thompson
5.678119932,8596,Golden State Warriors,Rookie,0.272160667,5,Ognjen Kuzmic
5.678119932,10019,Golden State Warriors,Rookie,0.011666667,5,Sean Kilpatrick
4.843455287,4576,Miami Heat,Rookie,0.038474,5,Henry Walker
4.843455287,10100,Miami Heat,Rookie,0.41288,5,Shabazz Napier
4.843455287,11277,Miami Heat,Rookie,0.169112,5,Tyler Johnson
4.843455287,11818,Miami Heat,Rookie,0.654034333,5,Zoran Dragic
4.697485711,279,Portland Trailblazers,Rookie,0.287333333,5,Allen Crabbe
4.697485711,2443,Portland Trailblazers,Rookie,1.11364,5,Damian Lillard
4.697485711,5761,Portland Trailblazers,Rookie,1.004504,5,Joel Freeland
4.697485711,7937,Portland Trailblazers,Rookie,0.77264,5,Meyers Leonard
4.697485711,10811,Portland Trailblazers,Rookie,0.019895333,5,Tim Frazier
3.929483884,1002,Dallas Mavericks,Rookie,0.305081,5,Bernard James
3.929483884,1003,Dallas Mavericks,Rookie,0.305081,5,Bernard James
3.929483884,1763,Dallas Mavericks,Rookie,4.9,5,Chandler Parsons
3.929483884,3555,Dallas Mavericks,Rookie,0.169112,5,Dwight Powell
3.929483884,4094,Dallas Mavericks,Rookie,0.272160667,5,Gal Mekel
3.929483884,4453,Dallas Mavericks,Rookie,0.316054333,5,Greg Smith
3.929483884,9395,Dallas Mavericks,Rookie,0.272160667,5,Ricky Ledo
3.756516897,121,Minnesota Timberwolves,Rookie,0.61844,5,Adreian Payne
3.756516897,548,Minnesota Timberwolves,Rookie,1.83688,5,Andrew Wiggins
3.756516897,606,Minnesota Timberwolves,Rookie,1.85464,5,Anthony Bennett
3.756516897,815,Minnesota Timberwolves,Rookie,0.014408667,5,Arinze Onuaku
3.756516897,4330,Minnesota Timberwolves,Rookie,0.47116,5,Gorgui Dieng
3.756516897,6223,Minnesota Timberwolves,Rookie,0.272160667,5,Justin Hamilton
3.756516897,7194,Minnesota Timberwolves,Rookie,0.094455667,5,Lorenzo Brown
3.756516897,8251,Minnesota Timberwolves,Rookie,0.1,5,Miroslav Raduljica
3.756516897,9408,Minnesota Timberwolves,Rookie,1.690228667,5,Ricky Rubio
3.756516897,9418,Minnesota Timberwolves,Rookie,0.293333333,5,Robbie Hummel
3.756516897,10020,Minnesota Timberwolves,Rookie,0.011666667,5,Sean Kilpatrick
3.756516897,10096,Minnesota Timberwolves,Rookie,0.65732,5,Shabazz Muhammad
3.756516897,11762,Minnesota Timberwolves,Rookie,0.68528,5,Zach LaVine
3.692789504,239,Phoenix Suns,Rookie,1.21664,5,Alex Len
3.692789504,810,Phoenix Suns,Rookie,0.37076,5,Archie Goodwin
3.692789504,1293,Phoenix Suns,Rookie,1.184639,5,Brandon Knight
3.692789504,5450,Phoenix Suns,Rookie,0.009947667,5,Jerel McNeal
3.692789504,6418,Phoenix Suns,Rookie,0.305081,5,Kendall Marshall
3.692789504,7532,Phoenix Suns,Rookie,0.981073667,5,Marcus Morris
3.692789504,7690,Phoenix Suns,Rookie,0.996413,5,Markieff Morris
3.692789504,9211,Phoenix Suns,Rookie,0.40024,5,Reggie Bullock
3.692789504,10091,Phoenix Suns,Rookie,0.033333333,5,Seth Curry
3.692789504,10581,Phoenix Suns,Rookie,0.65104,5,T.J. Warren
3.649442113,1940,Indiana Pacers,Rookie,1.045,5,Chris Copeland
3.649442113,2464,Indiana Pacers,Rookie,0.366666667,5,Damjan Rudez
3.649442113,3364,Indiana Pacers,Rookie,0.316054333,5,Donald Sloan
3.649442113,7038,Indiana Pacers,Rookie,0.316054333,5,Lavoy Allen
3.649442113,10254,Indiana Pacers,Rookie,0.169112,5,Shayne Whittington
3.649442113,10310,Indiana Pacers,Rookie,0.43428,5,Solomon Hill
2.782586408,4896,Memphis Grizzlies,Rookie,0.054432,5,Jamaal Franklin
2.782586408,5077,Memphis Grizzlies,Rookie,0.019895333,5,JaMychal Green
2.782586408,5135,Memphis Grizzlies,Rookie,0.241666667,5,Jarnell Stokes
2.782586408,5978,Memphis Grizzlies,Rookie,0.3225,5,Jon Leuer
2.782586408,6015,Memphis Grizzlies,Rookie,0.44804,5,Jordan Adams
2.782586408,8481,Memphis Grizzlies,Rookie,0.272160667,5,Nick Calathes
2.782586408,9743,Memphis Grizzlies,Rookie,0.272160667,5,Russ Smith
2.77124204,1482,Toronto Raptors,Rookie,0.48612,5,Bruno Caboclo
2.77124204,4458,Toronto Raptors,Rookie,0.327028,5,Greg Stiemsma
2.77124204,5993,Toronto Raptors,Rookie,1.22612,5,Jonas Valanciunas
2.77124204,7212,Toronto Raptors,Rookie,1.816666667,5,Lou Williams
2.77124204,7263,Toronto Raptors,Rookie,0.58756,5,Lucas Nogueira
2.77124204,10662,Toronto Raptors,Rookie,0.93132,5,Terrence Ross
2.77124204,11653,Toronto Raptors,Rookie,0.008333333,5,Will Cherry
1.428163833,1249,Washington Wizards,Rookie,1.50176,5,Bradley Beal
0,2988,Atlanta Hawks,Rookie,0.56356,5,Dennis Schroder
0,5838,Atlanta Hawks,Rookie,0.43764,5,John Jenkins
0,6490,Atlanta Hawks,Rookie,0.666666667,5,Kent Bazemore
0,8183,Atlanta Hawks,Rookie,0.272160667,5,Mike Muscala
0,8197,Atlanta Hawks,Rookie,1.111111,5,Mike Scott
0,8852,Atlanta Hawks,Rookie,0.416666667,5,Pero Antic
0,10269,Atlanta Hawks,Rookie,0.811111,5,Shelvin Mack
-0.489994087,188,Brooklyn Nets,Rookie,0.425353667,5,Alan Anderson
-0.489994087,1190,Brooklyn Nets,Rookie,1.092666667,5,Bojan Bogdanovic
-0.489994087,2309,Brooklyn Nets,Rookie,0.169112,5,Cory Jefferson
-0.489994087,2677,Brooklyn Nets,Rookie,0.234252,5,Darius Morris
-0.489994087,5524,Brooklyn Nets,Rookie,0.305081,5,Jerome Jordan
-0.489994087,7684,Brooklyn Nets,Rookie,0.169112,5,Markel Brown
-0.489994087,7778,Brooklyn Nets,Rookie,0.45236,5,Mason Plumlee
-0.489994087,8258,Brooklyn Nets,Rookie,1.1227,5,Mirza Teletovic
-0.489994087,10083,Brooklyn Nets,Rookie,0.51128,5,Sergey Karasev
-0.73806419,3924,Denver Nuggets,Rookie,0.169112,5,Erick Green
-0.73806419,4122,Denver Nuggets,Rookie,0.5064,5,Gary Harris
-0.73806419,4656,Denver Nuggets,Rookie,0.272160667,5,Ian Clark
-0.73806419,4897,Denver Nuggets,Rookie,0.054432,5,Jamaal Franklin
-0.73806419,5554,Denver Nuggets,Rookie,0.011666667,5,Jerrelle Benimon
-0.73806419,5785,Denver Nuggets,Rookie,0.59676,5,Joffrey Lauvergne
-0.73806419,6244,Denver Nuggets,Rookie,0.58756,5,Jusuf Nurkic
-0.73806419,6437,Denver Nuggets,Rookie,0.749922667,5,Kenneth Faried
-0.73806419,8957,Denver Nuggets,Rookie,0.05,5,Quincy Miller
-0.73806419,11406,Denver Nuggets,Rookie,0.456666667,5,Victor Claver
-0.73806419,11642,Denver Nuggets,Rookie,0.305081,5,Will Barton
-0.755792366,237,New York Knicks,Rookie,0.021666667,5,Alex Kirk
-0.755792366,254,New York Knicks,Rookie,1.094018667,5,Alexey Shved
-0.755792366,2192,New York Knicks,Rookie,0.169112,5,Cleanthony Early
-0.755792366,6924,New York Knicks,Rookie,0.134594667,5,Lance Thomas
-0.755792366,6933,New York Knicks,Rookie,0.078587333,5,Langston Galloway
-0.755792366,8943,New York Knicks,Rookie,0.305081,5,Quincy Acy
-0.755792366,9396,New York Knicks,Rookie,0.272160667,5,Ricky Ledo
-0.755792366,10137,New York Knicks,Rookie,0.53536,5,Shane Larkin
-0.755792366,11151,New York Knicks,Rookie,0.169112,5,Travis Wear
-1.300282737,639,New Orleans Pelicans,Rookie,1.86908,5,Anthony Davis
-1.300282737,2672,New Orleans Pelicans,Rookie,0.133333333,5,Darius Miller
-1.300282737,4095,New Orleans Pelicans,Rookie,0.272160667,5,Gal Mekel
-1.300282737,5429,New Orleans Pelicans,Rookie,0.272160667,5,Jeff Withey
-1.300282737,5628,New Orleans Pelicans,Rookie,0.316054333,5,Jimmer Fredette
-1.300282737,8414,New Orleans Pelicans,Rookie,0.272160667,5,Nate Wolters
