,mu,sd,name,type,finalpriors,finalse,player_id,index,player_name,Team
39,0.55172,3,Josh Hart,Rookie,-0.5664477576043553,3.422606053325247,1628404.0,260,Josh Hart,Los Angeles Lakers
40,0.76636,3,John Collins,Rookie,-0.29844350716596774,3.422606053325247,1628381.0,271,John Collins,Atlanta Hawks
41,1.0695433333333333,3,Kelly Oubre Jr.,Rookie,-0.1663938510478719,3.422606053325247,1626162.0,282,Kelly Oubre Jr.,Washington Wizards
42,0.59128,3,Malik Beasley,Rookie,-0.5610274608793698,3.422606053325247,1627736.0,285,Malik Beasley,Denver Nuggets
43,0.8314486666666666,3,Bobby Portis,Rookie,-0.3612444450744075,3.422606053325247,1626171.0,287,Bobby Portis,Chicago Bulls
44,1.51204,3,Lauri Markkanen,Rookie,-0.3189131192002454,3.422606053325247,1628374.0,295,Lauri Markkanen,Chicago Bulls
45,0.62488,3,Tyler Lydon,Rookie,-0.6097436359214223,3.422606053325247,1628399.0,304,Tyler Lydon,Denver Nuggets
46,0.5149836666666666,3,Timothe Luwawu-Cabarrot,Rookie,-0.5645611744345149,3.422606053325247,1627789.0,306,Timothe Luwawu-Cabarrot,Philadelphia 76ers
47,1.209280666666667,3,Frank Kaminsky,Rookie,-0.3439183965149655,3.422606053325247,1626163.0,311,Frank Kaminsky,Charlotte Hornets
48,1.1367613333333333,3,Myles Turner,Rookie,-0.32070721830411797,3.422606053325247,1626167.0,331,Myles Turner,Indiana Pacers
49,1.313467333333333,3,Stanley Johnson,Rookie,-0.3618646698241721,3.422606053325247,1626169.0,334,Stanley Johnson,Detroit Pistons
50,2.3398993333333333,3,D'Angelo Russell,Rookie,-0.18514693992729497,3.422606053325247,1626156.0,338,D'Angelo Russell,Brooklyn Nets
51,1.27332,3,Dennis Smith Jr.,Rookie,-0.3618646698241721,3.422606053325247,1628372.0,348,Dennis Smith Jr.,Dallas Mavericks
52,0.58,3,Caleb Swanigan,Rookie,-0.5757022688434394,3.422606053325247,1628403.0,372,Caleb Swanigan,Portland Trailblazers
53,0.8866,3,Domantas Sabonis,Rookie,-0.1596611540764685,3.422606053325247,1627734.0,377,Domantas Sabonis,Indiana Pacers
54,2.1448400000000003,3,Ben Simmons,Rookie,1.1257571393753607,3.422606053325247,1627732.0,381,Ben Simmons,Philadelphia 76ers
55,0.8797713333333333,3,Jerian Grant,Rookie,-0.1596611540764685,3.422606053325247,1626170.0,398,Jerian Grant,Chicago Bulls
56,1.0687200000000001,3,Marquese Chriss,Rookie,-0.1663938510478719,3.422606053325247,1627737.0,409,Marquese Chriss,Phoenix Suns
57,1.38524,3,Frank Ntilikina,Rookie,-0.3018127327279916,3.422606053325247,1628373.0,415,Frank Ntilikina,New York Knicks
58,0.55572,3,Derrick White,Rookie,-0.5722140399878888,3.422606053325247,1628401.0,423,Derrick White,San Antonio Spurs
59,1.09176,3,Luke Kennard,Rookie,-0.2289640353397776,3.422606053325247,1628379.0,438,Luke Kennard,Detroit Pistons
60,1.55376,3,Dragan Bender,Rookie,-0.37259981872644277,3.422606053325247,1627733.0,442,Dragan Bender,Phoenix Suns
61,0.55984,3,Tony Bradley,Rookie,-0.5722140399878888,3.422606053325247,1628396.0,444,Tony Bradley,Utah Jazz
62,1.1214163333333331,3,Trey Lyles,Rookie,-0.2766310954361651,3.422606053325247,1626168.0,445,Trey Lyles,Denver Nuggets
63,1.4069999999999998,3,Kris Dunn,Rookie,-0.3018127327279916,3.422606053325247,1627739.0,448,Kris Dunn,Chicago Bulls
64,1.20964,3,Zach Collins,Rookie,-0.3439183965149655,3.422606053325247,1628380.0,458,Zach Collins,Portland Trailblazers
65,1.03716,3,Donovan Mitchell,Rookie,-0.18401831314272235,3.422606053325247,1628378.0,459,Donovan Mitchell,Utah Jazz
66,0.93596,3,Justin Jackson,Rookie,-0.1771309582090424,3.422606053325247,1628382.0,472,Justin Jackson,Sacramento Kings
67,1.2779200000000002,3,Buddy Hield,Rookie,-0.3618646698241721,3.422606053325247,1627741.0,481,Buddy Hield,Sacramento Kings
68,0.8422799999999999,3,Dario Saric,Rookie,-0.10859590127456929,3.422606053325247,203967.0,494,Dario Saric,Philadelphia 76ers
69,1.91904,3,Brandon Ingram,Rookie,1.1574266095321584,3.422606053325247,1627742.0,514,Brandon Ingram,Los Angeles Lakers
