rating,Unnamed: 0,Team,Type,mu,sd,name
5.326318549,830,San Antonio Spurs,Rookie,0.133723333,5,Aron Baynes
5.326318549,2312,San Antonio Spurs,Rookie,0.36852,5,Cory Joseph
5.326318549,2608,San Antonio Spurs,Rookie,1.166666667,5,Danny Green
5.326318549,2913,San Antonio Spurs,Rookie,0.351333333,5,DeJuan Blair
5.326318549,4130,San Antonio Spurs,Rookie,0.284796333,5,Gary Neal
5.326318549,4975,San Antonio Spurs,Rookie,0.048583,5,James Anderson
5.326318549,6299,San Antonio Spurs,Rookie,0.62064,5,Kawhi Leonard
5.326318549,10780,San Antonio Spurs,Rookie,1.314666667,5,Tiago Splitter
4.677344995,5633,Chicago Bulls,Rookie,0.36584,5,Jimmy Butler
4.677344995,7717,Chicago Bulls,Rookie,0.3428,5,Marquis Teague
4.677344995,10588,Chicago Bulls,Rookie,0.718603667,5,Taj Gibson
4.630109502,2553,Oklahoma City Thunder,Rookie,0.252570667,5,Daniel Orton
4.630109502,2889,Oklahoma City Thunder,Rookie,0.254065,5,DeAndre Liggins
4.630109502,4532,Oklahoma City Thunder,Rookie,0.4,5,Hasheem Thabeet
4.630109502,5459,Oklahoma City Thunder,Rookie,0.6734,5,Jeremy Lamb
4.630109502,9229,Oklahoma City Thunder,Rookie,0.41436,5,Reggie Jackson
4.630109502,10073,Oklahoma City Thunder,Rookie,0.751020667,5,Serge Ibaka
4.532255542,5173,Miami Heat,Rookie,0.091935,5,Jarvis Varnado
4.532255542,6113,Miami Heat,Rookie,0.118065667,5,Josh Harrellson
4.532255542,7566,Miami Heat,Rookie,1.333333333,5,Mario Chalmers
4.532255542,8578,Miami Heat,Rookie,0.36084,5,Norris Cole
4.532255542,10640,Miami Heat,Rookie,0.062218667,5,Terrel Harris
1.315252307,827,Philadelphia 76ers,Rookie,0.34744,5,Arnett Moultrie
1.315252307,1788,Philadelphia 76ers,Rookie,0.254065,5,Charles Jenkins
1.315252307,3991,Philadelphia 76ers,Rookie,1.76436,5,Evan Turner
1.315252307,5474,Philadelphia 76ers,Rookie,0.254065,5,Jeremy Pargo
1.315252307,6168,Philadelphia 76ers,Rookie,0.891617333,5,Jrue Holiday
1.315252307,7036,Philadelphia 76ers,Rookie,1,5,Lavoy Allen
1.315252307,7353,Philadelphia 76ers,Rookie,0.072433667,5,Maalik Wayns
1.315252307,10266,Philadelphia 76ers,Rookie,0.02989,5,Shelvin Mack
0.743769207,711,Denver Nuggets,Rookie,0.558213667,5,Anthony Randolph
0.743769207,3983,Denver Nuggets,Rookie,0.4538,5,Evan Fournier
0.743769207,6042,Denver Nuggets,Rookie,0.3846,5,Jordan Hamilton
0.743769207,6207,Denver Nuggets,Rookie,0.254065,5,Julyan Stone
0.743769207,6435,Denver Nuggets,Rookie,0.4496,5,Kenneth Faried
0.743769207,8955,Denver Nuggets,Rookie,0.157868,5,Quincy Miller
0.743769207,10875,Denver Nuggets,Rookie,1.046809667,5,Timofey Mozgov
0.743769207,11256,Denver Nuggets,Rookie,0.848176333,5,Ty Lawson
0.593227333,958,Indiana Pacers,Rookie,0.157868,5,Ben Hansbrough
0.593227333,2374,Indiana Pacers,Rookie,1.166666667,5,D.J. Augustin
0.593227333,6914,Indiana Pacers,Rookie,0.29,5,Lance Stephenson
0.593227333,8232,Indiana Pacers,Rookie,0.35776,5,Miles Plumlee
0.593227333,8642,Indiana Pacers,Rookie,0.183333333,5,Orlando Johnson
0.593227333,8788,Indiana Pacers,Rookie,0.85804,5,Paul George
0.593227333,9871,Indiana Pacers,Rookie,0.241238667,5,Sam Young
0.593227333,11271,Indiana Pacers,Rookie,1.018419667,5,Tyler Hansbrough
0.110018763,874,Memphis Grizzlies,Rookie,0.986025667,5,Austin Daye
0.110018763,2001,Memphis Grizzlies,Rookie,0.149099333,5,Chris Johnson
0.110018763,2001,Memphis Grizzlies,Rookie,0.149099333,5,Chris Johnson
0.110018763,3224,Memphis Grizzlies,Rookie,0.284796333,5,Dexter Pittman
0.110018763,3618,Memphis Grizzlies,Rookie,0.73568,5,Ed Davis
0.110018763,5977,Memphis Grizzlies,Rookie,0.254065,5,Jon Leuer
0.110018763,8963,Memphis Grizzlies,Rookie,0.41144,5,Quincy Pondexter
0.110018763,11069,Memphis Grizzlies,Rookie,0.37004,5,Tony Wroten
0.080305063,1085,Los Angeles Clippers,Rookie,2.408964,5,Blake Griffin
0.080305063,3810,Los Angeles Clippers,Rookie,0.56924,5,Eric Bledsoe
0,4750,Atlanta Hawks,Rookie,0.320731667,5,Ivan Johnson
0,5417,Atlanta Hawks,Rookie,0.811025667,5,Jeff Teague
