,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,1.113,0.466,0.272,1.992,0.008,0.006,3287.0,1188.0,1.0
x[0],1.933,2.278,-2.286,6.142,0.034,0.038,4417.0,1387.0,1.0
x[1],2.354,2.271,-1.858,6.352,0.034,0.034,4510.0,1399.0,1.0
x[2],-3.898,2.58,-8.576,0.918,0.037,0.039,4960.0,1277.0,1.0
x[3],-1.129,2.03,-5.036,2.564,0.031,0.043,4353.0,1612.0,1.01
x[4],1.11,2.28,-2.893,5.429,0.039,0.051,3437.0,1394.0,1.0
x[5],0.183,2.384,-4.476,4.383,0.035,0.061,4842.0,1319.0,1.0
x[6],2.296,2.31,-2.392,6.367,0.036,0.045,4210.0,1137.0,1.0
x[7],-2.253,2.32,-6.718,1.896,0.033,0.041,5028.0,1609.0,1.0
x[8],3.281,2.252,-0.919,7.385,0.032,0.031,4998.0,1688.0,1.0
x[9],6.348,2.45,1.747,10.786,0.034,0.028,5139.0,1584.0,1.0
x[10],0.439,2.618,-4.386,5.507,0.041,0.07,4041.0,1190.0,1.0
x[11],0.738,2.299,-3.473,4.933,0.034,0.058,4518.0,1428.0,1.0
x[12],-2.511,2.313,-6.892,1.792,0.035,0.037,4458.0,1482.0,1.0
x[13],-1.195,2.502,-5.759,3.331,0.038,0.057,4242.0,1457.0,1.0
x[14],-1.327,2.463,-5.92,3.317,0.034,0.059,5175.0,1293.0,1.0
x[15],1.386,2.343,-3.024,5.719,0.031,0.045,5683.0,1284.0,1.0
x[16],0.537,2.321,-3.616,4.916,0.033,0.055,4876.0,1443.0,1.0
x[17],3.379,2.167,-0.529,7.563,0.032,0.031,4610.0,1290.0,1.0
x[18],-0.334,2.289,-4.602,4.045,0.035,0.066,4165.0,1403.0,1.0
x[19],0.366,2.586,-4.463,5.009,0.034,0.065,5641.0,1399.0,1.0
x[20],0.9,2.172,-3.035,5.19,0.033,0.053,4443.0,1403.0,1.0
x[21],-0.544,2.266,-4.835,3.707,0.032,0.059,4966.0,991.0,1.0
x[22],-0.619,2.183,-4.552,3.555,0.032,0.049,4484.0,1531.0,1.0
x[23],4.773,2.169,0.381,8.467,0.029,0.025,5568.0,1402.0,1.0
x[24],-2.528,2.348,-7.16,1.799,0.035,0.039,4476.0,1463.0,1.0
x[25],-1.295,2.808,-6.001,4.273,0.043,0.062,4269.0,1482.0,1.0
x[26],1.415,2.329,-2.495,6.268,0.034,0.044,4601.0,1579.0,1.0
x[27],5.515,2.292,1.033,9.499,0.033,0.027,4952.0,1564.0,1.0
x[28],-1.271,2.617,-6.081,3.431,0.037,0.064,5088.0,1406.0,1.0
x[29],1.538,2.247,-2.742,5.597,0.028,0.041,6425.0,1587.0,1.0
x[30],1.436,2.432,-3.207,5.964,0.039,0.053,3967.0,1378.0,1.0
x[31],-2.52,2.724,-7.156,2.797,0.037,0.052,5526.0,1365.0,1.0
x[32],4.678,2.266,0.601,9.029,0.033,0.03,4767.0,1414.0,1.0
x[33],-0.039,2.159,-3.773,4.027,0.03,0.06,5047.0,1240.0,1.0
x[34],-0.462,2.261,-4.963,3.527,0.032,0.05,4816.0,1712.0,1.0
x[35],6.04,2.191,2.214,10.277,0.032,0.025,4544.0,1363.0,1.0
