,Team,rating,Unnamed: 0,Type,mu,sd,name
322,New York Knicks,-2.742011328,2494,Rookie,0.366666667,5,Damyean Dotson
323,New York Knicks,-2.742011328,3452,Rookie,1.098331333,5,Doug McDermott
324,New York Knicks,-2.742011328,3803,Non-rookie,6.855600667,5,Enes Kanter
325,New York Knicks,-2.742011328,4062,Rookie,1.16704,5,Frank Ntilikina
326,New York Knicks,-2.742011328,5153,Non-rookie,0.776217333,5,Jarrett Jack
327,New York Knicks,-2.742011328,5655,Non-rookie,5.921666667,5,Joakim Noah
328,New York Knicks,-2.742011328,6777,Rookie,1.5012,5,Kristaps Porzingis
329,New York Knicks,-2.742011328,6927,Non-rookie,2.218441667,5,Lance Thomas
330,New York Knicks,-2.742011328,7732,Rookie,0.033333333,5,Marshall Plumlee
331,New York Knicks,-2.742011328,7958,Non-rookie,0.705651667,5,Michael Beasley
332,New York Knicks,-2.742011328,8249,Rookie,1.008345,5,Mindaugas Kuzminskas
333,New York Knicks,-2.742011328,8538,Rookie,0.016666667,5,Nigel Hayes
334,New York Knicks,-2.742011328,9053,Non-rookie,0.776217333,5,Ramon Sessions
335,New York Knicks,-2.742011328,9579,Rookie,1.442666667,5,Ron Baker
336,New York Knicks,-2.742011328,11707,Rookie,0.478583333,5,Willy Hernangomez
337,Phoenix Suns,-4.014177796,206,Rookie,2,5,Alan Williams
338,Phoenix Suns,-4.014177796,242,Non-rookie,1.395866333,5,Alex Len
339,Phoenix Suns,-4.014177796,2869,Rookie,0.271871667,5,Davon Reed
340,Phoenix Suns,-4.014177796,3188,Rookie,0.77312,5,Devin Booker
341,Phoenix Suns,-4.014177796,3478,Rookie,1.4896,5,Dragan Bender
342,Phoenix Suns,-4.014177796,4434,Non-rookie,5.961392,5,Greg Monroe
343,Phoenix Suns,-4.014177796,5105,Non-rookie,3.333333333,5,Jared Dudley
344,Phoenix Suns,-4.014177796,6127,Rookie,1.69668,5,Josh Jackson
345,Phoenix Suns,-4.014177796,7708,Rookie,1.0246,5,Marquese Chriss
346,Phoenix Suns,-4.014177796,10584,Rookie,1.050977,5,T.J. Warren
347,Phoenix Suns,-4.014177796,11226,Rookie,1.136173333,5,Troy Daniels
348,Phoenix Suns,-4.014177796,11283,Rookie,0.437537,5,Tyler Ulis
349,Phoenix Suns,-4.014177796,11357,Non-rookie,4.333333333,5,Tyson Chandler
350,Philadelphia 76ers,-4.722418349,378,Non-rookie,3.666666667,5,Amir Johnson
351,Philadelphia 76ers,-4.722418349,965,Rookie,2.05628,5,Ben Simmons
352,Philadelphia 76ers,-4.722418349,2656,Rookie,0.80752,5,Dario Saric
353,Philadelphia 76ers,-4.722418349,4092,Rookie,0.48864,5,Furkan Korkmaz
354,Philadelphia 76ers,-4.722418349,4861,Rookie,1.66504,5,Jahlil Okafor
355,Philadelphia 76ers,-4.722418349,5590,Non-rookie,3,5,Jerryd Bayless
356,Philadelphia 76ers,-4.722418349,5758,Rookie,2.033422,5,Joel Embiid
357,Philadelphia 76ers,-4.722418349,6222,Rookie,0.52648,5,Justin Anderson
358,Philadelphia 76ers,-4.722418349,7686,Rookie,2.34208,5,Markelle Fultz
359,Philadelphia 76ers,-4.722418349,8542,Rookie,1.269048667,5,Nik Stauskas
360,Philadelphia 76ers,-4.722418349,9343,Rookie,0.490460667,5,Richaun Holmes
361,Philadelphia 76ers,-4.722418349,9426,Rookie,5.566034333,5,Robert Covington
362,Philadelphia 76ers,-4.722418349,10580,Rookie,0.490460667,5,T.J. McConnell
363,Philadelphia 76ers,-4.722418349,10882,Rookie,0.4622,5,Timothe Luwawu-Cabarrot
364,Los Angeles Lakers,-5.179052184,507,Non-rookie,0.776217333,5,Andrew Bogut
365,Los Angeles Lakers,-5.179052184,1281,Rookie,1.8398,5,Brandon Ingram
366,Los Angeles Lakers,-5.179052184,1454,Rookie,0.016666667,5,Briante Weber
367,Los Angeles Lakers,-5.179052184,1468,Non-rookie,7.54745,5,Brook Lopez
368,Los Angeles Lakers,-5.179052184,2261,Non-rookie,2.526455333,5,Corey Brewer
369,Los Angeles Lakers,-5.179052184,4757,Rookie,0.437537,5,Ivica Zubac
370,Los Angeles Lakers,-5.179052184,6022,Rookie,3.854166667,5,Jordan Clarkson
371,Los Angeles Lakers,-5.179052184,6115,Rookie,0.46484,5,Josh Hart
372,Los Angeles Lakers,-5.179052184,6205,Rookie,1.383080667,5,Julius Randle
373,Los Angeles Lakers,-5.179052184,6498,Non-rookie,5.915298,5,Kentavious Caldwell-Pope
374,Los Angeles Lakers,-5.179052184,6827,Rookie,0.47452,5,Kyle Kuzma
375,Los Angeles Lakers,-5.179052184,7171,Rookie,2.09552,5,Lonzo Ball
376,Los Angeles Lakers,-5.179052184,7344,Non-rookie,5.73,5,Luol Deng
377,Los Angeles Lakers,-5.179052184,10763,Rookie,0.271871667,5,Thomas Bryant
378,Los Angeles Lakers,-5.179052184,11267,Rookie,0.508101667,5,Tyler Ennis
379,Los Angeles Lakers,-5.179052184,11379,Rookie,0.016666667,5,Vander Blue
380,Orlando Magic,-5.497607056,41,Rookie,1.834806667,5,Aaron Gordon
381,Orlando Magic,-5.497607056,846,Non-rookie,0.776217333,5,Arron Afflalo
382,Orlando Magic,-5.497607056,1066,Rookie,5.666666667,5,Bismack Biyombo
383,Orlando Magic,-5.497607056,2379,Non-rookie,2.416666667,5,D.J. Augustin
384,Orlando Magic,-5.497607056,3740,Rookie,1.11078,5,Elfrid Payton
385,Orlando Magic,-5.497607056,3988,Non-rookie,5.666666667,5,Evan Fournier
386,Orlando Magic,-5.497607056,6006,Rookie,1.39544,5,Jonathan Isaac
387,Orlando Magic,-5.497607056,6011,Rookie,2.1,5,Jonathon Simmons
388,Orlando Magic,-5.497607056,6686,Rookie,0.271871667,5,Khem Birch
389,Orlando Magic,-5.497607056,7582,Rookie,1.35944,5,Mario Hezonja
390,Orlando Magic,-5.497607056,7729,Non-rookie,0.705651667,5,Marreese Speights
391,Orlando Magic,-5.497607056,8564,Non-rookie,4.083333333,5,Nikola Vucevic
392,Orlando Magic,-5.497607056,10272,Non-rookie,2,5,Shelvin Mack
393,Orlando Magic,-5.497607056,10665,Non-rookie,3.5,5,Terrence Ross
394,Brooklyn Nets,-5.629013734,282,Rookie,6.444166667,5,Allen Crabbe
395,Brooklyn Nets,-5.629013734,1633,Rookie,0.54416,5,Caris LeVert
396,Brooklyn Nets,-5.629013734,2971,Non-rookie,4.933333333,5,DeMarre Carroll
397,Brooklyn Nets,-5.629013734,4735,Rookie,0.437537,5,Isaiah Whitehead
398,Brooklyn Nets,-5.629013734,5138,Rookie,0.57124,5,Jarrett Allen
399,Brooklyn Nets,-5.629013734,5471,Non-rookie,4,5,Jeremy Lin
400,Brooklyn Nets,-5.629013734,5685,Rookie,0.508101667,5,Joe Harris
401,Brooklyn Nets,-5.629013734,8947,Non-rookie,0.569846,5,Quincy Acy
402,Brooklyn Nets,-5.629013734,9618,Rookie,0.490460667,5,Rondae Hollis-Jefferson
403,Brooklyn Nets,-5.629013734,10024,Rookie,0.508101667,5,Sean Kilpatrick
404,Brooklyn Nets,-5.629013734,10340,Rookie,0.508101667,5,Spencer Dinwiddie
405,Brooklyn Nets,-5.629013734,10880,Non-rookie,5.093333333,5,Timofey Mozgov
406,Brooklyn Nets,-5.629013734,11195,Non-rookie,3.041666667,5,Trevor Booker
407,Brooklyn Nets,-5.629013734,11289,Non-rookie,0.569846,5,Tyler Zeller
408,Portland Trailblazers,,267,Non-rookie,2.439678333,5,Al-Farouq Aminu
409,Portland Trailblazers,,1613,Rookie,0.48864,5,Caleb Swanigan
410,Portland Trailblazers,,2446,Non-rookie,8.717685667,5,Damian Lillard
411,Portland Trailblazers,,3623,Non-rookie,2.117510333,5,Ed Davis
412,Portland Trailblazers,,3996,Non-rookie,5.710382667,5,Evan Turner
413,Portland Trailblazers,,4867,Rookie,0.437537,5,Jake Layman
414,Portland Trailblazers,,6247,Rookie,0.982435,5,Jusuf Nurkic
415,Portland Trailblazers,,7890,Non-rookie,3.387640667,5,Maurice Harkless
416,Portland Trailblazers,,7940,Non-rookie,3.301498333,5,Meyers Leonard
417,Portland Trailblazers,,8570,Rookie,1.168411,5,Noah Vonleh
418,Portland Trailblazers,,8713,Rookie,0.490460667,5,Pat Connaughton
419,Portland Trailblazers,,10103,Rookie,0.78712,5,Shabazz Napier
420,Portland Trailblazers,,11761,Rookie,1.01908,5,Zach Collins
421,Toronto Raptors,,268,Rookie,0.271871667,5,Alfonzo McKinnie
422,Toronto Raptors,,1485,Rookie,0.817075,5,Bruno Caboclo
423,Toronto Raptors,,2937,Rookie,0.5484,5,Delon Wright
424,Toronto Raptors,,2954,Non-rookie,9.246658333,5,DeMar DeRozan
425,Toronto Raptors,,4087,Rookie,0.437537,5,Fred VanVleet
426,Toronto Raptors,,4883,Rookie,0.94188,5,Jakob Poeltl
427,Toronto Raptors,,5996,Non-rookie,5.153558333,5,Jonas Valanciunas
428,Toronto Raptors,,6839,Non-rookie,9.567901333,5,Kyle Lowry
429,Toronto Raptors,,7266,Rookie,0.982435,5,Lucas Nogueira
430,Toronto Raptors,,8576,Rookie,0.490460667,5,Norman Powell
431,Toronto Raptors,,8595,Rookie,0.5484,5,OG Anunoby
432,Toronto Raptors,,8708,Rookie,0.437537,5,Pascal Siakam
433,Toronto Raptors,,10078,Non-rookie,6.687243,5,Serge Ibaka
