,Team,rating,Unnamed: 0,Type,mu,sd,name
74,Utah Jazz,4.969595181,3383,Rookie,0.87376,5,Donovan Mitchell
75,Utah Jazz,4.969595181,3717,Non-rookie,1.066666667,5,Ekpe Udoh
76,Utah Jazz,4.969595181,5689,Rookie,4.712121333,5,Joe Ingles
77,Utah Jazz,4.969595181,5707,Non-rookie,3.501666667,5,Joe Johnson
78,Utah Jazz,4.969595181,5754,Rookie,0.437537,5,Joel Bolomboy
79,Utah Jazz,4.969595181,5990,Non-rookie,1.333333333,5,Jonas Jerebko
80,Utah Jazz,4.969595181,9174,Rookie,0.490460667,5,Raul Neto
81,Utah Jazz,4.969595181,9411,Non-rookie,4.758333333,5,Ricky Rubio
82,Utah Jazz,4.969595181,9522,Rookie,0.795621333,5,Rodney Hood
83,Utah Jazz,4.969595181,9736,Non-rookie,7.324906333,5,Rudy Gobert
84,Utah Jazz,4.969595181,10737,Non-rookie,1.75,5,Thabo Sefolosha
85,Utah Jazz,4.969595181,11006,Rookie,0.47164,5,Tony Bradley
86,Boston Celtics,2.709757135,83,Rookie,0.389111,5,Abdel Nader
87,Boston Celtics,2.709757135,165,Non-rookie,9.244801667,5,Al Horford
88,Boston Celtics,2.709757135,835,Non-rookie,1.442666667,5,Aron Baynes
89,Boston Celtics,2.709757135,2558,Rookie,0.271871667,5,Daniel Theis
90,Boston Celtics,2.709757135,2975,Rookie,0.030952667,5,Demetrius Jackson
91,Boston Celtics,2.709757135,4328,Non-rookie,9.9093,5,Gordon Hayward
92,Boston Celtics,2.709757135,4469,Rookie,0.74916,5,Guerschon Yabusele
93,Boston Celtics,2.709757135,5340,Rookie,1.65216,5,Jaylen Brown
94,Boston Celtics,2.709757135,5341,Rookie,1.8818,5,Jayson Tatum
95,Boston Celtics,2.709757135,6859,Non-rookie,6.289541667,5,Kyrie Irving
96,Boston Celtics,2.709757135,7535,Non-rookie,1.666666667,5,Marcus Morris
97,Boston Celtics,2.709757135,7540,Rookie,1.512673333,5,Marcus Smart
98,Boston Celtics,2.709757135,10067,Rookie,0.430630667,5,Semi Ojeleye
99,Boston Celtics,2.709757135,10139,Non-rookie,0.508101667,5,Shane Larkin
100,Boston Celtics,2.709757135,10723,Rookie,0.66284,5,Terry Rozier
101,Washington Wizards,2.37472787,1252,Non-rookie,7.925168667,5,Bradley Beal
102,Washington Wizards,2.37472787,2023,Rookie,0.490460667,5,Chris McCullough
103,Washington Wizards,2.37472787,4671,Non-rookie,5.553880333,5,Ian Mahinmi
104,Washington Wizards,2.37472787,5269,Non-rookie,1.741666667,5,Jason Smith
105,Washington Wizards,2.37472787,5664,Non-rookie,1.096666667,5,Jodie Meeks
106,Washington Wizards,2.37472787,5916,Non-rookie,6.021283333,5,John Wall
107,Washington Wizards,2.37472787,7471,Non-rookie,4.260869667,5,Marcin Gortat
108,Washington Wizards,2.37472787,7693,Non-rookie,2.666666667,5,Markieff Morris
109,Washington Wizards,2.37472787,8200,Non-rookie,0.569846,5,Mike Scott
110,Washington Wizards,2.37472787,10815,Rookie,0.666666667,5,Tim Frazier
111,Washington Wizards,2.37472787,10954,Rookie,1,5,Tomas Satoransky
112,Oklahoma City Thunder,2.082185522,227,Rookie,1.908333333,5,Alex Abrines
113,Oklahoma City Thunder,2.082185522,458,Non-rookie,3.086419667,5,Andre Roberson
114,Oklahoma City Thunder,2.082185522,1705,Non-rookie,8.74792,5,Carmelo Anthony
115,Oklahoma City Thunder,2.082185522,2412,Rookie,0.271871667,5,Dakari Johnson
116,Oklahoma City Thunder,2.082185522,5449,Rookie,0.508101667,5,Jerami Grant
117,Oklahoma City Thunder,2.082185522,6126,Rookie,0.490460667,5,Josh Huestis
118,Oklahoma City Thunder,2.082185522,6850,Non-rookie,1.5555,5,Kyle Singler
119,Oklahoma City Thunder,2.082185522,8496,Non-rookie,0.776217333,5,Nick Collison
120,Oklahoma City Thunder,2.082185522,8763,Non-rookie,1.730666667,5,Patrick Patterson
