"","Name","Team","Season","Salary"
"161","Cory Alexander","San Antonio Spurs",1995,490000
"162","Cory Alexander","San Antonio Spurs",1996,521000
"163","Cory Alexander","San Antonio Spurs",1997,562380
"164","Cory Alexander","Denver Nuggets",1999,1980000
"165","Cory Alexander","Denver Nuggets",2000,2160000
"166","Cory Alexander","Denver Nuggets",2001,1995741
"167","Cory Alexander","Denver Nuggets",2002,2149259
"168","Cory Alexander","Denver Nuggets",2003,2302778
"169","Courtney Alexander","Dallas Mavericks",2000,1319400
"170","Courtney Alexander","Washington Wizards",2001,1418400
"171","Courtney Alexander","New Orleans Hornets",2002,1517280
"172","Courtney Alexander","New Orleans Hornets",2003,2168193
"173","Courtney Alexander","Sacramento Kings",2004,79029
"174","Gary Alexander","Cleveland Cavaliers",1994,150000
"175","Joe Alexander","Milwaukee Bucks",2008,2403120
"176","Joe Alexander","Chicago Bulls",2009,2583360
"177","Joe Alexander","New Orleans Hornets",2010,90465
"178","Victor Alexander","Golden State Warriors",1991,750000
"179","Victor Alexander","Golden State Warriors",1992,942000
"180","Victor Alexander","Golden State Warriors",1993,1160000
"181","Victor Alexander","Golden State Warriors",1994,1377500
"182","Victor Alexander","Toronto Raptors",1995,1595000
"183","Victor Alexander","Detroit Pistons",2001,653350
"184","Steve Alford","Dallas Mavericks",1987,100000
"185","Steve Alford","Golden State Warriors",1988,150000
"186","Steve Alford","Dallas Mavericks",1990,250000
"187","Jarrett Allen","Brooklyn Nets",2017,1713720
"188","Jerome Allen","Minnesota Timberwolves",1995,200000
"189","Jerome Allen","Indiana Pacers",1996,247500
"190","Jerome Allen","Cleveland Cavaliers",1997,35000
"191","Jerome Allen","Milwaukee Bucks",1999,510000
"192","Lavoy Allen","Philadelphia 76ers",2011,473604
"193","Lavoy Allen","Philadelphia 76ers",2012,3000000
"194","Lavoy Allen","Philadelphia 76ers",2013,3060000
"195","Lavoy Allen","Indiana Pacers",2014,948163
"196","Lavoy Allen","Indiana Pacers",2015,3700000
"197","Lavoy Allen","Indiana Pacers",2016,4000000
"198","Malik Allen","Miami Heat",2001,332817
"199","Malik Allen","Miami Heat",2002,512435
"200","Malik Allen","Miami Heat",2003,1510000
"201","Malik Allen","Miami Heat",2004,1950625
"202","Malik Allen","Chicago Bulls",2005,1670000
"203","Malik Allen","Chicago Bulls",2006,1803600
"204","Malik Allen","Dallas Mavericks",2007,998398
"205","Malik Allen","Milwaukee Bucks",2008,1300000
"206","Malik Allen","Denver Nuggets",2009,1300000
"207","Malik Allen","Orlando Magic",2010,1229255
"208","Ray Allen","Milwaukee Bucks",1996,1785000
"209","Ray Allen","Milwaukee Bucks",1997,2052360
"210","Ray Allen","Milwaukee Bucks",1998,2320000
"211","Ray Allen","Milwaukee Bucks",1999,9000000
"212","Ray Allen","Milwaukee Bucks",2000,10130000
"213","Ray Allen","Milwaukee Bucks",2001,11250000
"214","Ray Allen","Milwaukee Bucks",2002,12375000
"215","Ray Allen","Seattle SuperSonics",2003,13500000
"216","Ray Allen","Seattle SuperSonics",2004,14625000
"217","Ray Allen","Seattle SuperSonics",2005,13223140
"218","Ray Allen","Seattle SuperSonics",2006,14611570
"219","Ray Allen","Boston Celtics",2007,16000000
"220","Ray Allen","Boston Celtics",2008,18388430
"221","Ray Allen","Boston Celtics",2009,18776860
"222","Ray Allen","Boston Celtics",2010,10000000
"223","Ray Allen","Boston Celtics",2011,10000000
"224","Ray Allen","Miami Heat",2012,3090000
"225","Ray Allen","Miami Heat",2013,3229050
"226","Tony Allen","Boston Celtics",2004,901920
"227","Tony Allen","Boston Celtics",2005,969696
"228","Tony Allen","Boston Celtics",2006,1037280
"229","Tony Allen","Boston Celtics",2007,1868141
"230","Tony Allen","Boston Celtics",2008,2500000
"231","Tony Allen","Boston Celtics",2009,2500000
"232","Tony Allen","Memphis Grizzlies",2010,3000000
"233","Tony Allen","Memphis Grizzlies",2011,3150000
"234","Tony Allen","Memphis Grizzlies",2012,3300000
"235","Tony Allen","Memphis Grizzlies",2013,4494382
"236","Tony Allen","Memphis Grizzlies",2014,4831461
"237","Tony Allen","Memphis Grizzlies",2015,5168539
"238","Tony Allen","Memphis Grizzlies",2016,5505618
"239","Tony Allen","Chicago Bulls",2017,1471382
"240","Morris Almond","Utah Jazz",2007,1005960
"241","Morris Almond","Utah Jazz",2008,1081440
"242","Derrick Alston","Philadelphia 76ers",1994,150000
"243","Derrick Alston","Philadelphia 76ers",1995,350000
"244","Rafer Alston","Milwaukee Bucks",1999,301875
"245","Rafer Alston","Milwaukee Bucks",2000,423500
"246","Rafer Alston","Milwaukee Bucks",2001,625000
"247","Rafer Alston","Toronto Raptors",2002,37344
"248","Rafer Alston","Miami Heat",2003,688679
"249","Rafer Alston","Toronto Raptors",2004,3500000
"250","Rafer Alston","Houston Rockets",2005,3850000
"251","Rafer Alston","Houston Rockets",2006,4200000
"252","Rafer Alston","Houston Rockets",2007,4550000
"253","Rafer Alston","Orlando Magic",2008,4900000
"254","Rafer Alston","New Jersey Nets",2009,4300000
"255","Rafer Alston","Miami Heat",2009,753133
"256","John Amaechi","Cleveland Cavaliers",1995,200000
"257","John Amaechi","Orlando Magic",1999,385000
"258","John Amaechi","Orlando Magic",2000,600000
"259","John Amaechi","Utah Jazz",2001,2175000
"260","John Amaechi","Utah Jazz",2002,2392500
"261","John Amaechi","New York Knicks",2003,2610000
"262","John Amaechi","New York Knicks",2004,1200000
"263","Ashraf Amaya","Vancouver Grizzlies",1995,225000
"264","Ashraf Amaya","Washington Bullets",1996,247500
"265","Al-Farouq Aminu","Los Angeles Clippers",2010,2563320
"266","Al-Farouq Aminu","New Orleans Hornets",2011,2755560
"267","Al-Farouq Aminu","New Orleans Hornets",2012,2947800
"268","Al-Farouq Aminu","New Orleans Pelicans",2013,3700000
"269","Al-Farouq Aminu","Dallas Mavericks",2014,981084
"270","Al-Farouq Aminu","Portland Trail Blazers",2015,7500000
"271","Al-Farouq Aminu","Portland Trail Blazers",2016,7680965
"272","Al-Farouq Aminu","Portland Trail Blazers",2017,7319035
"273","Lou Amundson","Philadelphia 76ers",2006,105696
"274","Lou Amundson","Sacramento Kings",2006,75000
"275","Lou Amundson","Utah Jazz",2006,35232
"276","Lou Amundson","Philadelphia 76ers",2007,687456
"277","Lou Amundson","Phoenix Suns",2008,797581
"278","Lou Amundson","Phoenix Suns",2009,855189
"279","Lou Amundson","Golden State Warriors",2010,2225000
"280","Lou Amundson","Indiana Pacers",2011,2403000
"281","Lou Amundson","Minnesota Timberwolves",2012,1069509
"282","Lou Amundson","New York Knicks",2014,409167
"283","Lou Amundson","New York Knicks",2015,1650000
"284","Lou Amundson","New York Knicks",2016,1551659
"285","Alan Anderson","Charlotte Bobcats",2005,398762
"286","Alan Anderson","Charlotte Bobcats",2006,102131
"287","Alan Anderson","Toronto Raptors",2012,885120
"288","Alan Anderson","Brooklyn Nets",2013,947907
"289","Alan Anderson","Brooklyn Nets",2014,1276061
"290","Alan Anderson","Washington Wizards",2015,4000000
"291","Alan Anderson","Los Angeles Clippers",2016,1315448
"292","Chris Andersen","Denver Nuggets",2001,288171
"293","Chris Andersen","Denver Nuggets",2002,512435
"294","Chris Andersen","Denver Nuggets",2003,638679
"295","Chris Andersen","New Orleans Hornets",2004,1600000
"296","Chris Andersen","New Orleans/Oklahoma City Hornets",2005,3500000
"297","Chris Andersen","Denver Nuggets",2008,998398
"298","Chris Andersen","Denver Nuggets",2009,3650000
"299","Chris Andersen","Denver Nuggets",2010,4533300
"300","Chris Andersen","Denver Nuggets",2011,4234000
"301","Chris Andersen","Denver Nuggets",2012,4526000
"302","Chris Andersen","Miami Heat",2012,699952
"303","Chris Andersen","Miami Heat",2013,1399507
"304","Chris Andersen","Miami Heat",2014,5375000
"305","Chris Andersen","Memphis Grizzlies",2015,5000000
"306","Chris Andersen","Charlotte Hornets",2016,1551659
"307","David Andersen","Houston Rockets",2009,2300000
"308","David Andersen","New Orleans Hornets",2010,2500000
"309","Derek Anderson","Cleveland Cavaliers",1997,1107240
"310","Derek Anderson","Cleveland Cavaliers",1998,1273000
"311","Derek Anderson","Los Angeles Clippers",1999,1439400
"312","Derek Anderson","San Antonio Spurs",2000,2250000
"313","Derek Anderson","Portland Trail Blazers",2001,6495000
"314","Derek Anderson","Portland Trail Blazers",2002,7144500
"315","Derek Anderson","Portland Trail Blazers",2003,7794000
"316","Derek Anderson","Portland Trail Blazers",2004,8443500
"317","Derek Anderson","Portland Trail Blazers",2005,9093000
"318","Derek Anderson","Houston Rockets",2005,1670000
"319","Derek Anderson","Portland Trail Blazers",2006,9742500
"320","Derek Anderson","Charlotte Bobcats",2006,901397
"321","Derek Anderson","Miami Heat",2006,400000
"322","Derek Anderson","Charlotte Bobcats",2007,1219590
"323","Eric Anderson","New York Knicks",1992,140000
"324","Eric Anderson","New York Knicks",1993,250000
"325","Greg Anderson","San Antonio Spurs",1987,185000
"326","Greg Anderson","San Antonio Spurs",1988,200000
"327","Greg Anderson","Denver Nuggets",1990,1365000
"328","Greg Anderson","Denver Nuggets",1991,1465000
"329","Greg Anderson","Detroit Pistons",1993,650000
"330","Greg Anderson","Detroit Pistons",1994,400000
"331","Greg Anderson","Atlanta Hawks",1994,110000
"332","Greg Anderson","San Antonio Spurs",1995,485000
"333","Greg Anderson","San Antonio Spurs",1996,584000
"334","Greg Anderson","Atlanta Hawks",1997,272250
"335","James Anderson","San Antonio Spurs",2010,1361400
"336","James Anderson","San Antonio Spurs",2011,1463520
"337","James Anderson","Houston Rockets",2012,472427
"338","James Anderson","San Antonio Spurs",2012,145749
"339","James Anderson","Philadelphia 76ers",2013,916099
"340","James Anderson","Sacramento Kings",2015,1015421
"341","Justin Anderson","Dallas Mavericks",2015,1449000
"342","Justin Anderson","Philadelphia 76ers",2016,1514160
"343","Justin Anderson","Philadelphia 76ers",2017,1579440
"344","Kenny Anderson","New Jersey Nets",1991,1828000
"345","Kenny Anderson","New Jersey Nets",1992,2376000
"346","Kenny Anderson","New Jersey Nets",1993,2925000
"347","Kenny Anderson","New Jersey Nets",1994,3463200
"348","Kenny Anderson","New Jersey Nets",1995,3898000
"349","Kenny Anderson","Portland Trail Blazers",1996,4175000
"350","Kenny Anderson","Portland Trail Blazers",1997,5010000
"351","Kenny Anderson","Boston Celtics",1998,5845000
"352","Kenny Anderson","Boston Celtics",1999,6680000
"353","Kenny Anderson","Boston Celtics",2000,7520000
"354","Kenny Anderson","Boston Celtics",2001,8350000
"355","Kenny Anderson","Seattle SuperSonics",2002,9185000
"356","Kenny Anderson","Indiana Pacers",2003,1070000
"357","Kenny Anderson","Atlanta Hawks",2004,1100000
"358","Kyle Anderson","San Antonio Spurs",2014,1093680
"359","Kyle Anderson","San Antonio Spurs",2015,1142879
"360","Kyle Anderson","San Antonio Spurs",2016,1192080
"361","Kyle Anderson","San Antonio Spurs",2017,2151704
"362","Nick Anderson","Orlando Magic",1990,725000
"363","Nick Anderson","Orlando Magic",1991,750000
"364","Nick Anderson","Orlando Magic",1992,800000
"365","Nick Anderson","Orlando Magic",1993,2670000
"366","Nick Anderson","Orlando Magic",1994,3090000
"367","Nick Anderson","Orlando Magic",1995,3200000
"368","Nick Anderson","Orlando Magic",1996,3790000
"369","Nick Anderson","Orlando Magic",1997,4000000
"370","Nick Anderson","Orlando Magic",1998,3200000
"371","Nick Anderson","Sacramento Kings",1999,5051906
"372","Nick Anderson","Sacramento Kings",2000,3750000
"373","Nick Anderson","Memphis Grizzlies",2001,5401906
"374","Nick Anderson","Cleveland Cavaliers",2002,6101906
"375","Richard Anderson","Portland Trail Blazers",1987,150000
"376","Richard Anderson","Portland Trail Blazers",1988,375000
"377","Ron Anderson","Cleveland Cavaliers",1985,115000
"378","Ron Anderson","Indiana Pacers",1987,200000
"379","Ron Anderson","Philadelphia 76ers",1988,300000
"380","Ron Anderson","Philadelphia 76ers",1990,425000
"381","Ron Anderson","Philadelphia 76ers",1991,1000000
"382","Ron Anderson","Philadelphia 76ers",1992,950000
"383","Ron Anderson","Philadelphia 76ers",1993,300000
"384","Ryan Anderson","New Jersey Nets",2008,1225200
"385","Ryan Anderson","Orlando Magic",2009,1317120
"386","Ryan Anderson","Orlando Magic",2010,1409040
"387","Ryan Anderson","Orlando Magic",2011,2244601
"388","Ryan Anderson","New Orleans Hornets",2012,8700000
"389","Ryan Anderson","New Orleans Pelicans",2013,8308500
"390","Ryan Anderson","New Orleans Pelicans",2014,8491500
"391","Ryan Anderson","New Orleans Pelicans",2015,8500000
"392","Ryan Anderson","Houston Rockets",2016,18735364
"393","Ryan Anderson","Houston Rockets",2017,19578455
"394","Shandon Anderson","Utah Jazz",1996,220000
"395","Shandon Anderson","Utah Jazz",1997,1200000
"396","Shandon Anderson","Utah Jazz",1998,1300000
"397","Shandon Anderson","Houston Rockets",1999,2000000
"398","Shandon Anderson","Houston Rockets",2000,2200000
"399","Shandon Anderson","New York Knicks",2001,5500000
"400","Shandon Anderson","New York Knicks",2002,6100000
"401","Shandon Anderson","New York Knicks",2003,6700000
"402","Shandon Anderson","New York Knicks",2004,7300000
"403","Shandon Anderson","Miami Heat",2004,873699
"404","Shandon Anderson","New York Knicks",2005,7900000
"405","Shandon Anderson","Miami Heat",2005,1035000
"406","Shandon Anderson","New York Knicks",2006,7244726
"407","Willie Anderson","San Antonio Spurs",1988,500000
"408","Willie Anderson","San Antonio Spurs",1990,725000
"409","Willie Anderson","San Antonio Spurs",1991,775000
"410","Willie Anderson","San Antonio Spurs",1992,2075000
"411","Willie Anderson","San Antonio Spurs",1993,2075000
"412","Willie Anderson","San Antonio Spurs",1994,2075000
"413","Willie Anderson","Toronto Raptors",1995,2075000
"414","Willie Anderson","Miami Heat",1999,510000
"415","Martynas Andriuskevicius","Cleveland Cavaliers",2005,398762
"416","Martynas Andriuskevicius","Chicago Bulls",2006,664209
"417","Ike Anigbogu","Indiana Pacers",2017,950000
"418","Michael Ansley","Orlando Magic",1990,200000
"419","Chris Anstey","Dallas Mavericks",1997,713900
"420","Chris Anstey","Dallas Mavericks",1998,985200
"421","Chris Anstey","Chicago Bulls",1999,1113720
"422","Giannis Antetokounmpo","Milwaukee Bucks",2013,1792560
"423","Giannis Antetokounmpo","Milwaukee Bucks",2014,1873200
"424","Giannis Antetokounmpo","Milwaukee Bucks",2015,1953960
"425","Giannis Antetokounmpo","Milwaukee Bucks",2016,2995421
"426","Giannis Antetokounmpo","Milwaukee Bucks",2017,22471910
"427","Thanasis Antetokounmpo","New York Knicks",2015,105888
"428","Carmelo Anthony","Denver Nuggets",2003,3229200
"429","Carmelo Anthony","Denver Nuggets",2004,3471360
"430","Carmelo Anthony","Denver Nuggets",2005,3713640
"431","Carmelo Anthony","Denver Nuggets",2006,4694041
"432","Carmelo Anthony","Denver Nuggets",2007,13041250
"433","Carmelo Anthony","Denver Nuggets",2008,14410581
"434","Carmelo Anthony","Denver Nuggets",2009,15779912
"435","Carmelo Anthony","New York Knicks",2010,17149243
"436","Carmelo Anthony","New York Knicks",2011,18518574
"437","Carmelo Anthony","New York Knicks",2012,19450000
"438","Carmelo Anthony","New York Knicks",2013,22407474
"439","Carmelo Anthony","New York Knicks",2014,22458000
"440","Carmelo Anthony","New York Knicks",2015,22875000
"441","Carmelo Anthony","New York Knicks",2016,24559380
"442","Carmelo Anthony","Oklahoma City Thunder",2017,26243760
"443","Greg Anthony","New York Knicks",1991,865000
"444","Greg Anthony","New York Knicks",1992,1067000
"445","Greg Anthony","New York Knicks",1993,1269000
"446","Greg Anthony","New York Knicks",1994,1471000
"447","Greg Anthony","Vancouver Grizzlies",1995,1673000
"448","Greg Anthony","Vancouver Grizzlies",1996,1875000
"449","Greg Anthony","Seattle SuperSonics",1997,272250
"450","Greg Anthony","Portland Trail Blazers",1998,1000000
"451","Greg Anthony","Portland Trail Blazers",1999,1100000
"452","Greg Anthony","Portland Trail Blazers",2000,3500000
"453","Greg Anthony","Chicago Bulls",2001,3000000
"454","Greg Anthony","Chicago Bulls",2002,1500000
"455","Joel Anthony","Miami Heat",2007,427163
"456","Joel Anthony","Miami Heat",2008,711517
"457","Joel Anthony","Miami Heat",2009,825497
"458","Joel Anthony","Miami Heat",2010,3300000
"459","Joel Anthony","Miami Heat",2011,3600000
"460","Joel Anthony","Miami Heat",2012,3750000
"461","Joel Anthony","Miami Heat",2013,3800000
"462","Joel Anthony","Detroit Pistons",2014,3800000
"463","Joel Anthony","Detroit Pistons",2015,2500000
"464","Joel Anthony","San Antonio Spurs",2016,663810
"465","Pero Antic","Atlanta Hawks",2014,1250000
"466","OG Anunoby","Toronto Raptors",2017,1645200
"467","Keith Appling","Orlando Magic",2015,161776
"468","Rafael Araujo","Toronto Raptors",2004,2082720
"469","Rafael Araujo","Toronto Raptors",2005,2238960
"470","Rafael Araujo","Utah Jazz",2006,2395200
"471","Robert Archibald","Memphis Grizzlies",2002,349458
"472","Robert Archibald","Orlando Magic",2003,563679
"473","Gilbert Arenas","Golden State Warriors",2001,332817
"474","Gilbert Arenas","Golden State Warriors",2002,512435
"475","Gilbert Arenas","Washington Wizards",2003,8536000
"476","Gilbert Arenas","Washington Wizards",2004,9389600
"477","Gilbert Arenas","Washington Wizards",2005,10243200
"478","Gilbert Arenas","Washington Wizards",2006,11096800
"479","Gilbert Arenas","Washington Wizards",2007,11950400
"480","Gilbert Arenas","Washington Wizards",2008,14653466
"481","Gilbert Arenas","Washington Wizards",2009,16192080
"482","Gilbert Arenas","Orlando Magic",2010,17730694
"483","Gilbert Arenas","Orlando Magic",2011,19269307
"484","Gilbert Arenas","Orlando Magic",2012,20807922
"485","Trevor Ariza","New York Knicks",2004,385277
"486","Trevor Ariza","New York Knicks",2005,682051
"487","Trevor Ariza","Orlando Magic",2006,3100000
"488","Trevor Ariza","Los Angeles Lakers",2007,3100000
"489","Trevor Ariza","Los Angeles Lakers",2008,3100000
"490","Trevor Ariza","Houston Rockets",2009,5854000
"491","Trevor Ariza","New Orleans Hornets",2010,6322320
"492","Trevor Ariza","New Orleans Hornets",2011,6790640
"493","Trevor Ariza","Washington Wizards",2012,7258960
"494","Trevor Ariza","Washington Wizards",2013,7727280
"495","Trevor Ariza","Houston Rockets",2014,8579089
"496","Trevor Ariza","Houston Rockets",2015,8193030
"497","Trevor Ariza","Houston Rockets",2016,7806971
"498","Trevor Ariza","Houston Rockets",2017,7420912
