,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,1.727,0.439,0.889,2.554,0.006,0.005,4658.0,1546.0,1.0
x[0],-0.759,2.466,-5.604,3.667,0.04,0.057,3852.0,1195.0,1.0
x[1],4.6,2.531,0.022,9.393,0.039,0.035,4225.0,1435.0,1.0
x[2],-2.674,2.163,-6.904,1.154,0.034,0.033,3984.0,1610.0,1.0
x[3],-2.669,2.198,-6.476,1.822,0.035,0.035,3861.0,1421.0,1.0
x[4],3.637,2.639,-1.232,8.423,0.039,0.039,4448.0,1432.0,1.0
x[5],-0.404,2.99,-6.061,5.346,0.047,0.074,4044.0,1589.0,1.0
x[6],-2.714,2.397,-6.844,1.98,0.037,0.038,4165.0,1358.0,1.0
x[7],-4.425,2.221,-8.909,-0.592,0.035,0.029,3896.0,1370.0,1.0
x[8],1.925,2.813,-3.617,6.793,0.044,0.055,4002.0,1511.0,1.0
x[9],-2.905,3.07,-8.25,3.096,0.047,0.055,4332.0,1454.0,1.0
x[10],3.767,2.225,-0.774,7.624,0.035,0.031,4042.0,1690.0,1.0
x[11],-6.173,2.383,-10.523,-1.606,0.037,0.029,4208.0,1529.0,1.0
x[12],1.426,2.619,-3.357,6.488,0.037,0.056,5090.0,1469.0,1.0
x[13],0.991,2.436,-3.743,5.362,0.037,0.059,4262.0,1286.0,1.0
x[14],-2.031,2.503,-6.66,2.591,0.038,0.043,4269.0,1501.0,1.0
x[15],0.016,2.283,-4.059,4.503,0.039,0.053,3340.0,1615.0,1.0
x[16],-0.014,2.323,-4.495,4.266,0.035,0.052,4378.0,1668.0,1.0
x[17],-2.7,2.755,-7.843,2.292,0.039,0.046,4890.0,1581.0,1.0
x[18],-0.048,2.635,-5.159,4.84,0.042,0.056,3929.0,1822.0,1.0
x[19],-1.667,2.62,-6.232,3.58,0.042,0.052,3848.0,1583.0,1.0
x[20],4.231,2.605,-0.801,8.936,0.047,0.038,3107.0,1565.0,1.0
x[21],-2.95,3.099,-8.345,3.125,0.051,0.058,3750.0,1249.0,1.0
x[22],-1.544,2.858,-7.447,3.378,0.043,0.053,4426.0,1525.0,1.0
x[23],-0.444,2.501,-5.273,4.18,0.043,0.058,3443.0,1447.0,1.0
x[24],-0.201,2.384,-4.422,4.375,0.04,0.056,3480.0,1552.0,1.0
