,mu,sd,name
168,1.1,5,Rajon Rondo
169,0.49046066666666666,5,Raul Neto
170,4.758333333333334,5,Ricky Rubio
171,0.0,5,Larry Nance Jr.
172,0.0,5,Jared Terrell
173,0.0,5,Royce O'Neale
174,0.0,5,Shake Milton
175,0.0,5,Duncan Robinson
176,0.0,5,Mitchell Robinson
177,0.0,5,Chris Chiozza
178,1.4426666666666668,5,Aron Baynes
179,0.52648,5,Justin Anderson
180,0.5081016666666667,5,Spencer Dinwiddie
181,0.74916,5,Guerschon Yabusele
182,0.43063066666666666,5,Semi Ojeleye
183,6.289541666666667,5,Kawhi Leonard
184,0.0,5,Trey Burke
185,0.0,5,Daryl Macon
186,0.0,5,Jimmer Fredette
187,5.710382666666667,5,Evan Turner
188,0.437537,5,Ivica Zubac
189,0.0,5,Tyrone Wallace
190,2.033422,5,Joel Embiid
191,0.0,5,Devin Robinson
192,3.9159633333333335,5,Courtney Lee
193,0.0,5,PJ Tucker
194,0.0,5,Yante Maten
195,1.0966666666666667,5,Anthony Tolliver
196,0.0,5,Keita Bates-Diop
197,0.0,5,Billy Garrett
198,0.0,5,Haywood Highsmith
199,0.49046066666666666,5,Pat Connaughton
200,1.2846436666666667,5,Quincy Pondexter
201,3.3014983333333334,5,Meyers Leonard
202,0.437537,5,Damian Jones
203,7.0,5,Victor Oladipo
204,0.0,5,Kyle O'Quinn
205,0.0,5,Mo Bamba
206,1.39544,5,Jonathan Isaac
207,9.433133,5,James Harden
208,0.0,5,Isaiah Hartenstein
209,0.7056516666666667,5,Luc Mbah a Moute
210,1.69668,5,Josh Jackson
211,0.77312,5,Devin Booker
212,5.5660343333333335,5,Robert Covington
213,2.34208,5,Markelle Fultz
214,0.48864,5,Furkan Korkmaz
215,0.0,5,Isaiah Briscoe
216,0.7172346666666667,5,Kyle Anderson
217,0.2718716666666667,5,Dillon Brooks
218,0.7021566666666667,5,Omri Casspi
219,0.0,5,Donte DiVincenzo
220,3.807512,5,John Henson
221,3.2025,5,Matthew Dellavedova
222,6.855600666666667,5,Enes Kanter
223,1.168411,5,Noah Vonleh
224,0.0,5,Ryan Arcidiacono
225,11.095236333333334,5,LeBron James
226,2.09552,5,Lonzo Ball
227,0.7956213333333333,5,Rodney Hood
228,0.0,5,Deonte Burton
229,0.0,5,Svi Mykhailiuk
230,0.0,5,DeVaughn Akoon-Purcell
231,0.0,5,DeAndre' Bembry
232,0.0,5,Alex Poythress
233,2.0,5,Dewayne Dedmon
234,7.925168666666667,5,Hassan Whiteside
235,0.0,5,Chimezie Metu
236,6.526151666666666,5,Ryan Anderson
237,0.49046066666666666,5,Troy Williams
238,1.23472,5,Willie Cauley-Stein
239,2.0,5,Ish Smith
240,0.2718716666666667,5,Frank Jackson
241,0.437537,5,Andrew Harrison
242,0.437537,5,Bryn Forbes
243,5.166666666666667,5,Dennis Schroder
244,9.510202666666666,5,Russell Westbrook
245,1.9083333333333334,5,Alex Abrines
246,0.0,5,Wendell Carter Jr.
247,0.31666666666666665,5,Ivan Rabb
248,4.666666666666667,5,Taj Gibson
249,2.07228,5,Karl-Anthony Towns
250,0.0,5,Johnathan Williams
251,0.8500183333333333,5,Gary Harris
