"team","rating"
"Orlando Magic",4.23982463177234
"Cleveland Cavaliers",2.22661830096739
"Los Angeles Lakers",1.97745199044767
"Phoenix Suns",1.79811123912632
"Utah Jazz",1.49742794667877
"San Antonio Spurs",1.04356716543027
"Boston Celtics",0.860735828626201
"Denver Nuggets",0.593833305392821
"Oklahoma City Thunder",0.0273835597512733
"Atlanta Hawks",0
"Dallas Mavericks",-0.781615950778244
"Portland Trailblazers",-0.9027477954034
"Miami Heat",-1.84626806571784
"Milwaukee Bucks",-2.25449311294375
"Charlotte Hornets",-2.38318862338914
"Houston Rockets",-3.55198731096608
"Memphis Grizzlies",-4.9271585212986
"Chicago Bulls",-5.2566602130235
"Toronto Raptors",-5.37245793771178
"New Orleans Pelicans",-5.80622624522781
"Indiana Pacers",-6.65352975573434
"Golden State Warriors",-6.80486994974059
"Philadelphia 76ers",-7.45928852485815
"New York Knicks",-7.55291839612619
"Sacramento Kings",-7.59519112729826
"Washington Wizards",-8.25957572021112
"Detroit Pistons",-8.57377381584402
"Los Angeles Clippers",-9.54786248913377
"Brooklyn Nets",-12.4720312897174
"Minnesota Timberwolves",-12.5987525855499
