,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,1.231,0.687,-0.008,2.578,0.01,0.009,4850.0,1304.0,1.0
x[0],2.544,2.516,-2.031,7.249,0.041,0.044,3737.0,1426.0,1.0
x[1],0.827,2.392,-3.64,5.278,0.037,0.053,4193.0,1396.0,1.0
x[2],-3.229,2.625,-8.168,1.819,0.039,0.045,4656.0,1300.0,1.0
x[3],-2.236,2.511,-6.997,2.546,0.036,0.05,4845.0,1377.0,1.0
x[4],1.009,2.52,-3.735,5.794,0.042,0.053,3846.0,1408.0,1.0
x[5],-0.061,2.616,-5.387,4.727,0.041,0.066,3997.0,1311.0,1.0
x[6],-0.203,2.608,-5.361,4.431,0.039,0.068,4435.0,1175.0,1.0
x[7],-1.172,2.739,-6.092,4.021,0.037,0.076,5438.0,1280.0,1.0
x[8],2.683,2.47,-2.075,7.109,0.04,0.039,3725.0,1445.0,1.0
x[9],5.466,2.522,0.927,10.352,0.036,0.032,4838.0,1316.0,1.0
x[10],-0.118,2.725,-4.921,5.543,0.039,0.075,4666.0,1085.0,1.0
x[11],1.024,2.661,-4.138,5.857,0.04,0.059,4458.0,1418.0,1.0
x[12],-2.064,2.72,-7.2,3.159,0.043,0.054,4034.0,1579.0,1.0
x[13],-1.206,2.793,-6.287,4.063,0.045,0.069,3786.0,1366.0,1.0
x[14],-1.263,2.796,-6.549,3.882,0.045,0.064,3923.0,1483.0,1.0
x[15],0.76,2.65,-4.027,6.048,0.043,0.07,3839.0,1175.0,1.0
x[16],-1.188,2.746,-6.181,4.133,0.048,0.066,3204.0,1300.0,1.0
x[17],4.042,2.568,-1.149,8.582,0.032,0.031,6429.0,1639.0,1.0
x[18],-0.059,2.714,-5.418,4.735,0.039,0.075,4914.0,1336.0,1.0
x[19],-1.173,2.724,-6.322,3.686,0.046,0.089,3543.0,961.0,1.0
x[20],-0.015,2.43,-4.337,4.825,0.035,0.059,4744.0,1357.0,1.0
x[21],1.146,2.543,-3.454,5.967,0.036,0.067,5069.0,1550.0,1.0
x[22],-0.428,2.565,-5.143,4.333,0.038,0.06,4617.0,1590.0,1.0
x[23],3.416,2.508,-1.415,7.769,0.035,0.039,5013.0,1351.0,1.0
x[24],0.55,2.589,-4.618,4.955,0.041,0.066,3931.0,1380.0,1.0
x[25],-1.052,2.93,-6.154,4.787,0.048,0.067,3733.0,1278.0,1.0
x[26],-0.794,2.49,-5.393,3.963,0.041,0.056,3730.0,1195.0,1.0
x[27],3.563,2.543,-0.991,8.569,0.035,0.04,5306.0,1179.0,1.0
x[28],-1.227,2.676,-5.98,3.878,0.045,0.065,3585.0,1160.0,1.0
x[29],2.459,2.489,-2.174,7.523,0.039,0.048,4143.0,1167.0,1.0
