,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,1.097,0.871,-0.504,2.802,0.013,0.013,4685.0,1258.0,1.0
x[0],2.243,2.651,-2.461,7.477,0.051,0.049,2740.0,1506.0,1.0
x[1],0.403,2.481,-4.084,5.031,0.036,0.058,4680.0,1610.0,1.0
x[2],-3.089,2.748,-8.19,2.162,0.042,0.05,4347.0,1193.0,1.0
x[3],-2.05,2.752,-7.527,2.741,0.043,0.057,4138.0,1153.0,1.0
x[4],0.032,2.677,-5.327,4.648,0.043,0.063,3929.0,1522.0,1.0
x[5],-0.213,2.825,-5.321,5.116,0.047,0.074,3576.0,1498.0,1.0
x[6],-0.856,2.797,-6.06,4.439,0.05,0.075,3114.0,1340.0,1.0
x[7],-0.553,2.654,-5.357,4.607,0.045,0.065,3405.0,1551.0,1.0
x[8],2.518,2.693,-2.205,7.738,0.045,0.045,3406.0,1435.0,1.0
x[9],5.288,2.656,0.388,10.172,0.04,0.035,4525.0,1455.0,1.0
x[10],-0.122,2.624,-4.655,5.313,0.039,0.065,4493.0,1637.0,1.0
x[11],0.815,2.588,-3.864,5.58,0.052,0.059,2514.0,1390.0,1.0
x[12],-2.332,2.811,-7.73,2.801,0.046,0.054,3740.0,1193.0,1.0
x[13],-1.276,2.695,-6.122,3.909,0.048,0.067,3096.0,1353.0,1.0
x[14],-1.468,2.904,-6.821,3.959,0.052,0.057,3083.0,1629.0,1.0
x[15],0.645,2.559,-4.281,5.209,0.039,0.063,4441.0,1293.0,1.0
x[16],-0.131,2.797,-5.551,4.921,0.05,0.076,3153.0,1249.0,1.0
x[17],4.314,2.61,-0.85,9.005,0.042,0.035,3901.0,1510.0,1.0
x[18],0.953,2.792,-4.162,6.309,0.049,0.066,3230.0,1389.0,1.0
x[19],-0.653,2.747,-5.87,4.473,0.047,0.068,3409.0,1342.0,1.0
x[20],0.699,2.74,-4.543,6.092,0.046,0.068,3445.0,1311.0,1.0
x[21],0.653,2.658,-4.738,5.332,0.047,0.067,3237.0,1287.0,1.0
x[22],-0.59,2.51,-5.09,4.39,0.041,0.071,3798.0,1361.0,1.0
x[23],2.662,2.522,-2.11,7.21,0.04,0.046,3958.0,1442.0,1.0
x[24],0.485,2.832,-4.804,5.966,0.041,0.072,4703.0,1292.0,1.0
x[25],-1.2,2.831,-6.236,4.139,0.042,0.061,4319.0,1659.0,1.0
x[26],0.271,2.593,-4.337,5.233,0.039,0.066,4451.0,1214.0,1.0
x[27],3.155,2.684,-1.515,8.275,0.043,0.048,3802.0,1178.0,1.0
x[28],-1.156,2.787,-6.586,3.889,0.044,0.066,4070.0,1294.0,1.0
x[29],2.226,2.659,-2.582,7.256,0.035,0.062,5765.0,1381.0,1.0
x[30],0.245,2.632,-4.825,5.271,0.043,0.067,3743.0,1165.0,1.0
x[31],-1.52,2.871,-6.485,4.105,0.043,0.057,4381.0,1385.0,1.0
x[32],4.332,2.743,-1.087,9.156,0.05,0.045,2962.0,1351.0,1.0
x[33],-0.68,2.602,-5.453,4.027,0.041,0.066,4101.0,1453.0,1.0
x[34],-1.517,2.898,-6.811,3.815,0.057,0.07,2587.0,1177.0,1.0
x[35],4.768,2.621,-0.117,9.481,0.046,0.036,3255.0,1480.0,1.0
x[36],0.463,2.614,-4.553,5.209,0.046,0.067,3318.0,1372.0,1.0
x[37],1.036,2.849,-4.003,6.711,0.048,0.07,3424.0,1428.0,1.0
x[38],3.525,2.562,-1.453,8.205,0.048,0.038,2920.0,1331.0,1.0
x[39],-1.696,2.806,-6.649,3.789,0.045,0.06,3882.0,1440.0,1.0
x[40],-0.853,2.801,-6.038,4.664,0.051,0.081,3082.0,1013.0,1.0
x[41],-0.875,3.829,-8.054,6.269,0.062,0.093,3795.0,1318.0,1.0
x[42],4.896,2.581,0.271,9.688,0.044,0.034,3497.0,1356.0,1.0
x[43],-0.404,2.751,-5.325,4.711,0.044,0.087,3890.0,887.0,1.0
x[44],-1.226,2.618,-5.993,3.807,0.041,0.067,4075.0,1217.0,1.0
x[45],-0.237,2.834,-5.57,5.1,0.05,0.073,3279.0,1327.0,1.0
x[46],-0.099,2.52,-5.096,4.395,0.043,0.061,3429.0,1683.0,1.0
x[47],-2.215,2.957,-7.588,3.289,0.047,0.066,3958.0,1060.0,1.0
x[48],2.812,2.527,-1.605,7.816,0.041,0.038,3746.0,1664.0,1.0
x[49],-2.54,3.503,-8.815,4.129,0.051,0.079,4525.0,1360.0,1.0
x[50],-3.114,2.668,-8.268,1.786,0.035,0.04,5719.0,1485.0,1.0
x[51],0.539,2.765,-4.721,5.356,0.045,0.074,3848.0,1326.0,1.0
x[52],3.072,2.699,-2.024,8.103,0.052,0.044,2693.0,1367.0,1.0
x[53],0.295,2.714,-4.808,5.153,0.039,0.075,4763.0,1272.0,1.0
x[54],0.62,2.506,-4.303,5.161,0.04,0.053,3932.0,1550.0,1.0
x[55],2.778,2.684,-2.064,7.946,0.042,0.043,4191.0,1419.0,1.0
x[56],0.452,2.668,-4.608,5.422,0.045,0.066,3568.0,1369.0,1.0
x[57],-0.147,2.724,-5.482,4.867,0.044,0.079,3780.0,1242.0,1.0
x[58],0.193,2.952,-5.346,6.016,0.051,0.079,3295.0,1224.0,1.0
x[59],0.319,2.595,-4.52,5.085,0.043,0.066,3606.0,1383.0,1.0
x[60],-0.731,2.638,-5.474,4.599,0.043,0.067,3699.0,1421.0,1.0
x[61],1.23,2.611,-3.383,6.172,0.041,0.055,3977.0,1516.0,1.0
x[62],0.289,2.648,-4.332,5.388,0.049,0.081,2983.0,1010.0,1.0
x[63],2.147,2.622,-2.724,6.952,0.047,0.051,3115.0,1189.0,1.0
x[64],-1.387,2.549,-6.474,2.953,0.041,0.052,3850.0,1242.0,1.0
x[65],-0.685,2.95,-6.269,4.796,0.047,0.083,3974.0,1102.0,1.0
x[66],-1.25,2.506,-6.174,3.09,0.04,0.049,3922.0,1321.0,1.0
x[67],-0.696,2.412,-5.341,3.751,0.038,0.055,3915.0,1427.0,1.0
x[68],0.399,2.701,-4.649,5.531,0.037,0.074,5126.0,1237.0,1.0
x[69],-1.194,2.934,-6.586,4.299,0.057,0.073,2632.0,1144.0,1.0
x[70],-0.698,3.064,-7.078,4.594,0.049,0.089,3945.0,1227.0,1.0
x[71],-1.453,2.774,-6.761,3.441,0.047,0.073,3481.0,1120.0,1.0
x[72],0.004,2.875,-5.397,5.469,0.046,0.085,3918.0,1143.0,1.0
x[73],-0.221,2.731,-5.202,4.794,0.049,0.069,3086.0,1277.0,1.0
x[74],1.493,2.571,-3.728,5.934,0.043,0.054,3549.0,1302.0,1.0
x[75],-0.316,2.73,-5.604,4.771,0.044,0.068,3903.0,1464.0,1.0
x[76],0.141,2.62,-4.821,4.809,0.042,0.066,4013.0,1482.0,1.0
x[77],-0.646,2.692,-5.947,4.26,0.042,0.071,4005.0,1330.0,1.0
x[78],3.553,2.52,-1.211,8.226,0.041,0.034,3682.0,1672.0,1.01
x[79],-1.954,2.693,-6.728,3.484,0.048,0.052,3182.0,1316.0,1.0
x[80],-0.834,2.883,-5.957,4.967,0.046,0.076,3949.0,1398.0,1.0
x[81],-2.006,2.831,-7.772,2.971,0.046,0.063,3830.0,1071.0,1.0
x[82],6.78,2.727,1.025,11.405,0.044,0.035,3739.0,1327.0,1.0
x[83],0.953,2.527,-3.871,5.503,0.041,0.056,3703.0,1316.0,1.0
x[84],0.765,2.869,-4.652,6.077,0.04,0.078,5030.0,1284.0,1.0
x[85],-3.19,2.607,-7.83,1.884,0.038,0.045,4645.0,1348.0,1.0
x[86],0.046,2.817,-5.204,5.144,0.047,0.071,3546.0,1433.0,1.01
x[87],0.925,2.766,-3.979,6.243,0.044,0.073,3901.0,1252.0,1.01
x[88],-2.072,2.594,-7.082,2.71,0.049,0.05,2826.0,1129.0,1.0
x[89],1.179,2.522,-3.49,5.837,0.045,0.058,3118.0,1307.0,1.0
x[90],0.282,2.644,-4.601,5.406,0.045,0.066,3452.0,1556.0,1.0
x[91],0.194,2.561,-4.611,4.959,0.039,0.062,4378.0,1581.0,1.0
x[92],0.034,2.847,-5.283,5.43,0.049,0.082,3367.0,1068.0,1.0
x[93],5.145,2.661,0.271,10.107,0.046,0.038,3296.0,1798.0,1.0
x[94],1.345,2.647,-3.553,6.236,0.046,0.057,3202.0,1158.0,1.0
x[95],0.561,2.793,-4.629,5.835,0.047,0.076,3639.0,1204.0,1.0
x[96],0.203,2.635,-4.828,5.114,0.04,0.065,4372.0,1581.0,1.0
x[97],1.035,2.746,-3.792,6.159,0.043,0.067,3970.0,1455.0,1.01
x[98],3.097,2.721,-2.008,8.198,0.038,0.045,5332.0,1498.0,1.0
x[99],-1.719,2.621,-6.403,3.459,0.036,0.05,5323.0,1521.0,1.0
x[100],1.801,2.501,-3.146,6.143,0.047,0.047,2783.0,1651.0,1.0
x[101],-0.166,2.526,-4.992,4.608,0.037,0.068,4603.0,1441.0,1.01
x[102],0.117,2.691,-5.116,4.932,0.043,0.07,3952.0,1377.0,1.0
x[103],2.837,2.58,-2.043,7.525,0.042,0.044,3829.0,1720.0,1.0
x[104],-0.924,2.837,-5.852,4.485,0.047,0.066,3612.0,1396.0,1.0
x[105],0.183,2.491,-4.644,4.946,0.042,0.068,3614.0,1409.0,1.01
x[106],-0.177,2.732,-5.185,4.895,0.038,0.075,5047.0,1149.0,1.0
x[107],-1.351,2.9,-6.704,4.191,0.047,0.066,3864.0,1244.0,1.0
x[108],0.988,3.263,-4.787,7.469,0.047,0.08,4753.0,1418.0,1.0
x[109],-0.169,2.916,-5.784,5.219,0.054,0.082,2910.0,1259.0,1.0
x[110],-1.379,2.699,-6.156,3.982,0.044,0.057,3763.0,1341.0,1.0
x[111],3.405,2.444,-0.994,7.978,0.04,0.038,3687.0,1524.0,1.0
x[112],-1.372,2.966,-7.08,3.977,0.05,0.067,3586.0,1463.0,1.0
x[113],-0.285,2.898,-6.046,4.978,0.043,0.08,4480.0,1181.0,1.0
x[114],3.945,3.273,-2.202,10.14,0.058,0.058,3259.0,1188.0,1.0
x[115],5.206,2.657,0.364,10.294,0.042,0.037,3982.0,1579.0,1.0
x[116],-0.051,2.549,-5.092,4.499,0.04,0.06,4125.0,1639.0,1.0
x[117],-1.192,2.747,-6.5,3.774,0.042,0.061,4181.0,1213.0,1.0
x[118],0.648,2.722,-4.295,5.719,0.044,0.059,3701.0,1666.0,1.0
x[119],0.367,2.978,-4.973,6.046,0.055,0.075,2916.0,1456.0,1.0
x[120],2.7,2.629,-2.386,7.479,0.043,0.041,3777.0,1348.0,1.0
x[121],3.308,2.642,-1.752,8.139,0.042,0.041,4019.0,1506.0,1.0
x[122],-0.552,2.726,-5.516,4.406,0.051,0.076,2847.0,1108.0,1.0
x[123],-2.067,2.771,-7.014,3.211,0.045,0.058,3874.0,1406.0,1.0
x[124],-1.668,2.852,-6.831,3.822,0.043,0.074,4345.0,1194.0,1.0
x[125],-2.346,2.653,-7.275,2.563,0.038,0.056,4778.0,1250.0,1.0
x[126],-0.301,2.418,-4.616,4.388,0.039,0.057,3897.0,1586.0,1.0
x[127],0.268,2.623,-4.708,5.072,0.036,0.066,5191.0,1336.0,1.0
x[128],0.968,2.738,-4.116,6.238,0.045,0.063,3675.0,1316.0,1.0
x[129],-0.345,2.915,-5.866,4.82,0.057,0.074,2597.0,1271.0,1.0
x[130],0.775,2.588,-4.127,5.378,0.05,0.062,2740.0,1367.0,1.0
x[131],0.867,2.674,-4.241,5.589,0.046,0.061,3310.0,1537.0,1.01
x[132],0.19,2.932,-4.79,6.208,0.046,0.075,4057.0,1324.0,1.0
x[133],-0.826,2.981,-6.073,5.195,0.045,0.078,4350.0,1097.0,1.01
x[134],0.862,2.669,-3.938,6.033,0.039,0.06,4556.0,1420.0,1.0
x[135],-0.509,2.687,-5.193,4.991,0.046,0.069,3347.0,1267.0,1.0
x[136],-0.701,2.575,-5.655,4.167,0.043,0.061,3688.0,1304.0,1.0
x[137],3.113,2.362,-1.447,7.468,0.036,0.036,4235.0,1474.0,1.0
x[138],4.895,2.489,-0.099,9.45,0.044,0.035,3190.0,1448.0,1.0
x[139],3.026,2.577,-1.474,8.215,0.042,0.038,3800.0,1350.0,1.0
x[140],-1.735,2.61,-6.687,3.235,0.042,0.05,3797.0,1454.0,1.0
x[141],1.345,2.597,-3.314,6.301,0.046,0.053,3254.0,1602.0,1.0
x[142],-1.815,2.458,-6.573,2.691,0.039,0.046,3918.0,1532.0,1.0
x[143],-1.538,2.95,-6.792,4.393,0.048,0.064,3728.0,1374.0,1.0
x[144],-1.516,2.564,-6.538,3.094,0.046,0.052,3083.0,1467.0,1.0
x[145],1.41,2.762,-3.829,6.382,0.041,0.065,4466.0,1357.0,1.0
x[146],-0.242,2.811,-5.64,4.884,0.048,0.084,3415.0,1099.0,1.0
x[147],1.867,2.805,-3.28,6.798,0.048,0.06,3417.0,1296.0,1.0
x[148],-0.819,2.721,-5.662,4.508,0.047,0.071,3266.0,1228.0,1.0
x[149],2.341,2.506,-2.361,7.047,0.044,0.048,3272.0,1421.0,1.0
x[150],-0.699,2.651,-5.359,4.701,0.043,0.063,3814.0,1519.0,1.0
x[151],-0.477,2.718,-5.552,4.704,0.045,0.069,3638.0,1279.0,1.0
x[152],-0.681,2.799,-6.034,4.409,0.046,0.062,3687.0,1602.0,1.0
x[153],-0.984,2.708,-6.429,3.728,0.044,0.068,3821.0,1354.0,1.0
x[154],-0.003,2.691,-5.272,4.838,0.043,0.071,3799.0,1448.0,1.0
x[155],-1.398,2.866,-6.534,4.083,0.056,0.062,2708.0,1115.0,1.0
x[156],-2.5,2.712,-7.517,2.39,0.047,0.052,3386.0,1517.0,1.0
x[157],-1.304,2.846,-6.911,3.813,0.039,0.068,5462.0,1238.0,1.0
x[158],-1.209,2.739,-5.96,4.161,0.05,0.065,3081.0,1505.0,1.0
x[159],0.283,2.826,-4.558,5.749,0.046,0.077,3859.0,1257.0,1.0
x[160],-2.868,2.921,-8.3,2.525,0.044,0.05,4388.0,1473.0,1.0
x[161],-1.073,3.126,-7.147,4.454,0.053,0.085,3446.0,1146.0,1.0
x[162],0.635,2.68,-4.184,5.813,0.043,0.071,3987.0,1178.0,1.0
x[163],2.761,2.498,-1.883,7.43,0.043,0.042,3293.0,1203.0,1.0
x[164],0.673,2.585,-4.136,5.396,0.041,0.06,4010.0,1476.0,1.0
x[165],-0.281,3.973,-7.662,7.509,0.061,0.105,4204.0,1144.0,1.0
x[166],-1.223,2.763,-6.504,3.774,0.042,0.067,4256.0,1349.0,1.0
x[167],0.95,2.723,-4.081,6.062,0.048,0.061,3252.0,1454.0,1.0
x[168],-0.282,2.587,-4.685,4.721,0.044,0.059,3510.0,1606.0,1.0
x[169],2.589,2.725,-2.712,7.501,0.043,0.046,3999.0,1629.0,1.0
x[170],0.324,2.692,-4.442,5.531,0.041,0.072,4233.0,1485.0,1.0
x[171],1.006,2.775,-4.259,6.35,0.044,0.064,3971.0,1591.0,1.0
x[172],-1.147,2.868,-6.367,4.382,0.046,0.078,3909.0,1274.0,1.01
x[173],-1.088,3.14,-6.949,4.755,0.048,0.081,4198.0,1102.0,1.0
