,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,1.429,0.594,0.337,2.515,0.009,0.008,4343.0,1689.0,1.0
x[0],2.333,2.392,-2.448,6.539,0.036,0.041,4367.0,1508.0,1.0
x[1],1.314,2.342,-3.326,5.436,0.034,0.05,4804.0,1349.0,1.0
x[2],-3.26,2.669,-8.766,1.355,0.041,0.042,4351.0,1420.0,1.0
x[3],-1.795,2.423,-6.098,2.886,0.038,0.051,4093.0,1359.0,1.01
x[4],0.575,2.457,-3.851,5.262,0.034,0.065,5125.0,1489.0,1.0
x[5],0.063,2.569,-4.752,4.707,0.042,0.062,3737.0,1586.0,1.0
x[6],1.337,2.644,-3.605,6.321,0.046,0.076,3267.0,1030.0,1.0
x[7],-1.223,2.481,-6.056,3.169,0.041,0.055,3620.0,1457.0,1.01
x[8],2.681,2.361,-1.517,7.308,0.036,0.037,4350.0,1545.0,1.0
x[9],5.662,2.526,1.079,10.478,0.037,0.031,4691.0,1501.0,1.01
x[10],0.602,2.683,-4.613,5.622,0.038,0.079,4938.0,1078.0,1.0
x[11],0.144,2.454,-4.669,4.626,0.036,0.062,4719.0,1280.0,1.0
x[12],-1.323,2.635,-6.262,3.677,0.045,0.053,3415.0,1433.0,1.0
x[13],-1.333,2.724,-6.393,3.815,0.042,0.062,4170.0,1150.0,1.0
x[14],-1.202,2.638,-6.468,3.411,0.041,0.058,4156.0,1583.0,1.0
x[15],1.073,2.473,-3.473,5.742,0.04,0.052,3812.0,1620.0,1.0
x[16],-0.218,2.584,-4.831,4.672,0.041,0.07,3918.0,1365.0,1.0
x[17],4.519,2.405,-0.581,8.621,0.032,0.028,5519.0,1602.0,1.0
x[18],0.146,2.5,-4.928,4.474,0.037,0.06,4470.0,1492.0,1.0
x[19],-0.622,2.735,-5.729,4.241,0.051,0.064,2831.0,1367.0,1.0
x[20],-0.431,2.3,-4.937,3.616,0.035,0.055,4423.0,1557.0,1.0
x[21],-0.108,2.419,-4.389,4.514,0.037,0.062,4129.0,1557.0,1.0
x[22],-1.236,2.268,-5.455,3.109,0.037,0.052,3695.0,1263.0,1.0
x[23],3.236,2.323,-1.308,7.33,0.037,0.037,3922.0,1189.0,1.0
x[24],0.387,2.607,-4.438,5.154,0.042,0.063,3767.0,1388.0,1.0
x[25],-1.161,2.994,-6.695,4.368,0.046,0.075,4242.0,1106.0,1.0
x[26],-0.351,2.337,-4.703,4.103,0.038,0.057,3723.0,1450.0,1.0
x[27],4.528,2.351,0.423,8.911,0.038,0.03,3833.0,1615.0,1.0
x[28],-1.241,2.656,-6.469,3.566,0.034,0.058,6139.0,1329.0,1.0
x[29],2.433,2.375,-1.994,6.922,0.037,0.04,4175.0,1456.0,1.0
x[30],1.562,2.462,-2.911,6.057,0.038,0.045,4141.0,1571.0,1.0
x[31],-1.949,2.823,-7.41,3.021,0.048,0.052,3403.0,1423.0,1.0
x[32],4.03,2.361,-0.298,8.35,0.034,0.029,4981.0,1651.0,1.0
x[33],-0.039,2.449,-4.719,4.459,0.031,0.064,6006.0,1490.0,1.0
x[34],-0.99,2.311,-5.18,3.305,0.041,0.057,3232.0,1326.0,1.0
x[35],4.415,2.372,0.337,9.297,0.036,0.031,4297.0,1363.0,1.0
x[36],0.616,2.519,-3.976,5.397,0.038,0.059,4287.0,1503.0,1.0
x[37],1.836,2.469,-3.199,6.084,0.041,0.046,3621.0,1385.0,1.0
x[38],4.203,2.432,-0.58,8.472,0.037,0.032,4277.0,1621.0,1.0
x[39],-0.326,2.704,-5.535,4.794,0.044,0.075,3847.0,1256.0,1.0
x[40],1.161,2.553,-3.723,5.913,0.039,0.06,4272.0,1256.0,1.0
x[41],-0.283,3.688,-7.008,6.854,0.057,0.1,4167.0,1359.0,1.0
x[42],4.852,2.478,0.068,9.341,0.04,0.034,3917.0,1340.0,1.0
x[43],0.932,2.301,-3.109,5.589,0.035,0.051,4215.0,1484.0,1.0
x[44],-0.874,2.295,-5.126,3.344,0.037,0.05,3873.0,1597.0,1.0
x[45],0.037,2.604,-4.974,4.836,0.044,0.066,3469.0,1516.0,1.01
x[46],-1.667,2.427,-6.037,3.097,0.038,0.046,4039.0,1446.0,1.0
x[47],-2.478,2.785,-7.444,2.685,0.04,0.056,4801.0,1355.0,1.0
x[48],4.066,2.376,-0.481,8.441,0.042,0.034,3090.0,1418.0,1.0
x[49],-2.048,3.112,-7.511,3.948,0.047,0.072,4434.0,1366.0,1.0
x[50],-2.759,2.414,-7.345,1.769,0.036,0.037,4534.0,1289.0,1.0
x[51],0.588,2.508,-4.51,4.889,0.034,0.064,5473.0,1193.0,1.0
x[52],3.172,2.474,-1.595,7.713,0.038,0.044,4157.0,1058.0,1.0
x[53],0.327,2.685,-4.7,5.32,0.039,0.067,4512.0,1321.0,1.0
x[54],0.806,2.2,-3.219,4.853,0.034,0.046,4047.0,1502.0,1.0
x[55],2.194,2.396,-1.912,7.08,0.035,0.044,4595.0,1321.0,1.0
x[56],-0.715,2.436,-5.452,3.529,0.038,0.066,4062.0,1529.0,1.0
x[57],0.642,2.468,-3.882,5.29,0.045,0.063,3047.0,1401.0,1.0
x[58],-1.562,2.749,-6.509,3.835,0.048,0.057,3299.0,1213.0,1.0
x[59],-0.028,2.414,-4.801,4.246,0.038,0.067,3958.0,1163.0,1.0
x[60],-0.813,2.374,-5.283,3.804,0.036,0.056,4149.0,1444.0,1.0
x[61],1.841,2.364,-2.651,6.317,0.037,0.053,4028.0,1292.0,1.0
x[62],0.727,2.472,-3.671,5.505,0.045,0.064,3044.0,1332.0,1.0
x[63],2.363,2.31,-1.801,6.743,0.033,0.04,4931.0,1535.0,1.0
x[64],-1.237,2.368,-5.977,3.067,0.034,0.051,5036.0,1300.0,1.0
x[65],-1.589,2.785,-6.678,3.593,0.042,0.058,4294.0,1522.0,1.0
x[66],-0.67,2.447,-5.285,3.906,0.033,0.067,5448.0,1116.0,1.0
x[67],0.258,2.525,-4.59,4.686,0.042,0.062,3576.0,1409.0,1.0
x[68],0.355,2.498,-4.698,4.948,0.038,0.073,4406.0,1034.0,1.0
x[69],-0.694,2.865,-5.613,4.874,0.045,0.066,4165.0,1460.0,1.0
x[70],-1.235,2.919,-6.528,4.503,0.045,0.074,4231.0,1330.0,1.0
x[71],-2.602,2.5,-7.1,2.311,0.039,0.044,4070.0,1409.0,1.0
x[72],-0.242,2.44,-4.72,4.536,0.043,0.065,3232.0,1366.0,1.0
x[73],0.404,2.531,-4.329,4.918,0.039,0.06,4268.0,1414.0,1.0
x[74],1.386,2.431,-3.352,5.719,0.037,0.062,4352.0,1153.0,1.0
x[75],-0.74,2.64,-5.737,4.317,0.046,0.062,3244.0,1438.0,1.0
x[76],-1.44,2.468,-6.086,3.145,0.046,0.05,2847.0,1420.0,1.0
x[77],-0.59,2.395,-4.852,4.02,0.04,0.057,3709.0,1337.0,1.0
x[78],4.247,2.405,-0.605,8.471,0.038,0.031,4046.0,1333.0,1.0
x[79],-3.355,2.341,-7.516,1.194,0.037,0.034,3909.0,1630.0,1.0
x[80],-0.761,2.69,-5.715,4.185,0.04,0.056,4448.0,1529.0,1.0
x[81],-3.876,2.499,-8.243,0.949,0.038,0.038,4248.0,1397.0,1.0
x[82],6.742,2.416,1.881,10.83,0.04,0.03,3624.0,1354.0,1.0
x[83],0.24,2.388,-4.352,4.798,0.036,0.059,4397.0,1241.0,1.0
x[84],0.976,2.805,-4.542,5.975,0.043,0.075,4181.0,1122.0,1.0
x[85],-3.646,2.32,-8.259,0.502,0.042,0.036,3063.0,1516.0,1.0
x[86],0.204,2.741,-4.655,5.639,0.04,0.075,4633.0,1484.0,1.0
x[87],0.958,2.82,-4.264,6.333,0.045,0.073,3832.0,1209.0,1.0
x[88],-1.718,2.289,-6.103,2.545,0.034,0.042,4455.0,1389.0,1.0
x[89],0.621,2.28,-3.809,4.487,0.037,0.051,3839.0,1670.0,1.0
x[90],0.405,2.309,-3.722,4.787,0.035,0.054,4291.0,1328.0,1.0
