"team","rating"
"Golden State Warriors",6.23915524185265
"Los Angeles Clippers",2.72685865156104
"San Antonio Spurs",2.38846342928413
"Cleveland Cavaliers",0.900291420547856
"Atlanta Hawks",0
"Portland Trailblazers",-0.00795403336555387
"Memphis Grizzlies",-0.153245222115501
"Houston Rockets",-0.161675770812095
"Dallas Mavericks",-0.847521089036945
"Chicago Bulls",-1.12251761215489
"Oklahoma City Thunder",-1.56916182375863
"Toronto Raptors",-2.28297660824612
"New Orleans Pelicans",-2.84686127845562
"Washington Wizards",-3.14618698550637
"Utah Jazz",-3.32697659971212
"Indiana Pacers",-4.25185452688767
"Phoenix Suns",-4.41588510879457
"Boston Celtics",-4.61165919231679
"Milwaukee Bucks",-4.68894126760017
"Detroit Pistons",-5.44359301307502
"Miami Heat",-6.95908467674342
"Brooklyn Nets",-7.06328427784918
"Sacramento Kings",-7.09474467152587
"Denver Nuggets",-7.10489066209997
"Charlotte Hornets",-7.48814909632736
"Orlando Magic",-9.92346405842899
"Los Angeles Lakers",-10.2038225855083
"Minnesota Timberwolves",-12.0329004742743
"Philadelphia 76ers",-13.0964578477965
"New York Knicks",-13.5988448234497
