,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[357],-0.653,3.853,-8.542,6.033,0.06,0.093,4231.0,1189.0,1.0
x[358],-1.74,2.22,-5.911,2.242,0.03,0.041,5343.0,1557.0,1.0
x[359],-1.087,2.948,-6.596,4.356,0.049,0.071,3626.0,1390.0,1.0
x[360],0.729,2.194,-3.02,4.923,0.033,0.05,4293.0,1577.0,1.0
x[361],1.666,2.249,-2.477,5.847,0.033,0.037,4568.0,1788.0,1.0
x[362],-2.004,2.804,-7.167,3.223,0.042,0.057,4511.0,1485.0,1.0
x[363],2.496,2.31,-1.707,6.714,0.034,0.042,4525.0,1589.0,1.0
x[364],1.794,2.12,-2.286,5.557,0.034,0.04,3847.0,1245.0,1.0
x[365],-0.937,2.935,-6.296,4.57,0.045,0.072,4174.0,1345.0,1.0
x[366],-2.396,2.123,-6.516,1.352,0.03,0.033,4877.0,1582.0,1.01
x[367],-0.073,2.143,-4.168,3.823,0.03,0.057,5002.0,1368.0,1.0
x[368],1.675,2.242,-2.739,5.6,0.034,0.037,4417.0,1604.0,1.0
x[369],-0.037,2.162,-3.947,4.281,0.032,0.054,4530.0,1431.0,1.0
x[370],-2.109,2.836,-7.743,2.872,0.041,0.053,4880.0,1458.0,1.0
x[371],0.197,3.41,-5.795,6.904,0.05,0.089,4551.0,1291.0,1.0
x[372],-3.237,2.545,-8.218,1.392,0.037,0.039,4628.0,1738.0,1.0
x[373],0.204,3.966,-7.297,7.586,0.06,0.108,4398.0,1221.0,1.0
x[374],-1.491,2.9,-6.842,4.23,0.043,0.072,4604.0,1286.0,1.0
x[375],0.03,2.754,-4.883,5.446,0.039,0.081,5140.0,1294.0,1.0
x[376],0.557,3.903,-6.676,7.709,0.053,0.099,5472.0,1409.0,1.0
x[377],-0.596,2.266,-4.889,3.604,0.038,0.047,3591.0,1523.0,1.0
x[378],-0.27,3.02,-6.028,5.391,0.044,0.088,4832.0,1324.0,1.01
x[379],-0.025,4.091,-7.353,7.913,0.055,0.115,5645.0,1518.0,1.0
x[380],-0.012,3.624,-6.866,6.835,0.053,0.091,4799.0,1594.0,1.0
x[381],0.548,2.415,-4.011,4.929,0.037,0.059,4361.0,1279.0,1.0
x[382],-1.14,3.09,-6.719,4.697,0.041,0.072,5692.0,1525.0,1.0
x[383],-0.492,3.787,-7.537,6.512,0.06,0.104,4026.0,1435.0,1.0
x[384],-1.232,2.973,-7.073,4.071,0.042,0.075,5122.0,1298.0,1.0
x[385],4.927,2.778,-0.356,9.899,0.037,0.034,5834.0,1352.0,1.0
x[386],1.589,2.452,-3.044,5.993,0.033,0.055,5672.0,1222.0,1.01
x[387],-1.807,2.95,-7.345,3.552,0.041,0.063,5301.0,1466.0,1.0
x[388],-0.354,2.744,-5.287,4.482,0.038,0.072,5367.0,1294.0,1.0
x[389],0.522,2.133,-3.152,4.866,0.03,0.052,4944.0,1544.0,1.0
x[390],-0.574,2.84,-5.601,4.51,0.041,0.068,4745.0,1453.0,1.0
x[391],4.046,2.139,0.024,8.057,0.034,0.027,3851.0,1600.0,1.0
x[392],4.939,2.378,0.848,9.508,0.033,0.029,5153.0,1465.0,1.0
x[393],0.558,3.841,-6.758,7.392,0.053,0.092,5376.0,1545.0,1.0
x[394],-2.618,2.148,-6.506,1.484,0.034,0.034,3920.0,1470.0,1.01
x[395],-0.368,2.951,-5.936,5.009,0.04,0.086,5430.0,1101.0,1.01
x[396],1.843,2.171,-2.268,5.785,0.032,0.039,4683.0,1439.0,1.0
x[397],-0.808,2.879,-6.014,4.59,0.041,0.071,4821.0,1464.0,1.0
x[398],0.625,2.683,-4.486,5.363,0.04,0.059,4539.0,1519.0,1.0
x[399],-0.972,2.868,-6.274,4.399,0.042,0.074,4734.0,1321.0,1.0
x[400],2.137,2.265,-2.343,6.385,0.032,0.035,4881.0,1604.0,1.0
x[401],-1.19,2.446,-5.721,3.298,0.034,0.05,5044.0,1407.0,1.0
x[402],-0.106,3.94,-7.348,7.102,0.056,0.104,5001.0,1455.0,1.0
x[403],-0.496,3.013,-6.017,5.158,0.044,0.085,4710.0,1234.0,1.0
x[404],0.688,2.588,-3.935,5.792,0.035,0.06,5279.0,1389.0,1.0
x[405],2.719,2.25,-1.523,6.834,0.033,0.032,4604.0,1525.0,1.01
x[406],-0.24,2.491,-4.868,4.306,0.035,0.064,4978.0,1386.0,1.0
x[407],0.483,3.779,-6.688,7.574,0.052,0.103,5314.0,1400.0,1.0
x[408],-0.599,2.951,-6.174,4.949,0.042,0.081,4982.0,1286.0,1.0
x[409],0.537,2.168,-3.629,4.543,0.033,0.05,4284.0,1470.0,1.01
x[410],-0.51,2.312,-4.582,4.168,0.031,0.052,5426.0,1708.0,1.0
x[411],3.103,2.17,-0.892,7.224,0.029,0.028,5554.0,1502.0,1.0
x[412],-0.671,3.716,-7.919,5.986,0.061,0.1,3645.0,1384.0,1.0
x[413],-0.13,2.446,-4.859,4.279,0.031,0.062,6315.0,1419.0,1.0
x[414],1.681,2.243,-3.063,5.391,0.035,0.038,4180.0,1598.0,1.0
