,rating,Unnamed: 0,Team,Type,mu,sd,name
0,7.63261481,1919,Miami Heat,Non-rookie,5.340833333,5,Chris Bosh
1,7.63261481,3223,Miami Heat,Rookie,0.254065,5,Dexter Pittman
2,7.63261481,3564,Miami Heat,Non-rookie,5.230333333,5,Dwyane Wade
3,7.63261481,3697,Miami Heat,Non-rookie,0.409751667,5,Eddy Curry
4,7.63261481,5017,Miami Heat,Non-rookie,0.5,5,James Jones
5,7.63261481,5747,Miami Heat,Non-rookie,1.2,5,Joel Anthony
6,7.63261481,6266,Miami Heat,Non-rookie,0.450727,5,Juwan Howard
7,7.63261481,7074,Miami Heat,Non-rookie,5.340833333,5,LeBron James
8,7.63261481,7565,Miami Heat,Rookie,1.333333333,5,Mario Chalmers
9,7.63261481,8100,Miami Heat,Rookie,0.082754333,5,Mickell Gladness
10,7.63261481,8175,Miami Heat,Non-rookie,1.8,5,Mike Miller
11,7.63261481,8577,Miami Heat,Rookie,0.34532,5,Norris Cole
12,7.63261481,10131,Miami Heat,Non-rookie,1,5,Shane Battier
13,7.63261481,10639,Miami Heat,Rookie,0.157868,5,Terrel Harris
14,7.63261481,11370,Miami Heat,Non-rookie,1.26,5,Udonis Haslem
15,7.158873307,1422,Chicago Bulls,Non-rookie,0.450727,5,Brian Scalabrine
16,7.158873307,1588,Chicago Bulls,Non-rookie,1.133333333,5,C.J. Watson
17,7.158873307,1670,Chicago Bulls,Non-rookie,4.5,5,Carlos Boozer
18,7.158873307,3121,Chicago Bulls,Rookie,2.331236,5,Derrick Rose
19,7.158873307,5632,Chicago Bulls,Rookie,0.34032,5,Jimmy Butler
20,7.158873307,5650,Chicago Bulls,Non-rookie,4,5,Joakim Noah
21,7.158873307,6820,Chicago Bulls,Non-rookie,1.666666667,5,Kyle Korver
22,7.158873307,7338,Chicago Bulls,Non-rookie,4.108333333,5,Luol Deng
23,7.158873307,8163,Chicago Bulls,Non-rookie,0.092522,5,Mike James
24,7.158873307,8624,Chicago Bulls,Rookie,0.619166667,5,Omer Asik
25,7.158873307,9318,Chicago Bulls,Non-rookie,4.166666667,5,Richard Hamilton
26,7.158873307,9623,Chicago Bulls,Non-rookie,1.57,5,Ronnie Brewer
27,7.158873307,10587,Chicago Bulls,Rookie,0.39856,5,Taj Gibson
28,6.376479301,514,Los Angeles Lakers,Non-rookie,4.966666667,5,Andrew Bynum
29,6.376479301,528,Los Angeles Lakers,Rookie,0.157868,5,Andrew Goudelock
30,6.376479301,2674,Los Angeles Lakers,Rookie,0.157868,5,Darius Morris
31,6.376479301,3032,Los Angeles Lakers,Non-rookie,1.133333333,5,Derek Fisher
32,6.376479301,3198,Los Angeles Lakers,Rookie,0.254065,5,Devin Ebanks
33,6.376479301,4213,Los Angeles Lakers,Non-rookie,0.147727,5,Gerald Green
34,6.376479301,5218,Los Angeles Lakers,Non-rookie,0.407722,5,Jason Kapono
35,6.376479301,6132,Los Angeles Lakers,Non-rookie,1,5,Josh McRoberts
36,6.376479301,6737,Los Angeles Lakers,Non-rookie,8.414831,5,Kobe Bryant
37,6.376479301,7329,Los Angeles Lakers,Non-rookie,1.893333333,5,Luke Walton
