,rating,Team,mu,sd,name,Contract Value,Year,Type
104,7.507833506,Minnesota Timberwolves,2.433333333,5,Cole Aldrich,"$7,300,000.00 ",2017,Non-rookie
105,7.507833506,Minnesota Timberwolves,4.70412,5,Gorgui Dieng,"$14,112,360.00 ",2017,Non-rookie
106,7.507833506,Minnesota Timberwolves,3.647587333,5,Jamal Crawford,"$10,942,762.00 ",2017,Non-rookie
108,7.507833506,Minnesota Timberwolves,6.333333333,5,Jeff Teague,"$19,000,000.00 ",2017,Non-rookie
109,7.507833506,Minnesota Timberwolves,6.43369,5,Jimmy Butler,"$19,301,070.00 ",2017,Non-rookie
111,7.507833506,Minnesota Timberwolves,2.07228,5,Karl-Anthony Towns,"$6,216,840.00 ",2017,Non-rookie
114,7.507833506,Minnesota Timberwolves,0.525743333,5,Shabazz Muhammad,"$1,577,230.00 ",2017,Non-rookie
115,7.507833506,Minnesota Timberwolves,4.666666667,5,Taj Gibson,"$14,000,000.00 ",2017,Non-rookie
117,7.476474607,Portland Trail Blazers,2.439678333,5,Al-Farouq Aminu,"$7,319,035.00 ",2017,Non-rookie
119,7.476474607,Portland Trail Blazers,8.717685667,5,Damian Lillard,"$26,153,057.00 ",2017,Non-rookie
120,7.476474607,Portland Trail Blazers,2.117510333,5,Ed Davis,"$6,352,531.00 ",2017,Non-rookie
121,7.476474607,Portland Trail Blazers,5.710382667,5,Evan Turner,"$17,131,148.00 ",2017,Non-rookie
124,7.476474607,Portland Trail Blazers,3.387640667,5,Maurice Harkless,"$10,162,922.00 ",2017,Non-rookie
125,7.476474607,Portland Trail Blazers,3.301498333,5,Meyers Leonard,"$9,904,495.00 ",2017,Non-rookie
130,7.100591941,New Orleans Pelicans,7.925168667,5,Anthony Davis,"$23,775,506.00 ",2017,Non-rookie
132,7.100591941,New Orleans Pelicans,0.766666667,5,Dante Cunningham,"$2,300,000.00 ",2017,Non-rookie
133,7.100591941,New Orleans Pelicans,0.7,5,Darius Miller,"$2,100,000.00 ",2017,Non-rookie
134,7.100591941,New Orleans Pelicans,6.021283333,5,DeMarcus Cousins,"$18,063,850.00 ",2017,Non-rookie
138,7.100591941,New Orleans Pelicans,0.083333333,5,Jordan Crawford,"$250,000.00 ",2017,Non-rookie
141,7.100591941,New Orleans Pelicans,8.562222333,5,Jrue Holiday,"$25,686,667.00 ",2017,Non-rookie
142,7.100591941,New Orleans Pelicans,3.531835,5,Omer Asik,"$10,595,505.00 ",2017,Non-rookie
145,7.100591941,New Orleans Pelicans,1.1,5,Rajon Rondo,"$3,300,000.00 ",2017,Non-rookie
147,7.100591941,New Orleans Pelicans,4.078845,5,Solomon Hill,"$12,236,535.00 ",2017,Non-rookie
148,7.100591941,New Orleans Pelicans,0.705651667,5,Tony Allen,"$2,116,955.00 ",2017,Non-rookie
149,6.91526888,Indiana Pacers,3.256607,5,Al Jefferson,"$9,769,821.00 ",2017,Non-rookie
150,6.91526888,Indiana Pacers,3.5,5,Bojan Bogdanovic,"$10,500,000.00 ",2017,Non-rookie
151,6.91526888,Indiana Pacers,2.543333333,5,Cory Joseph,"$7,630,000.00 ",2017,Non-rookie
152,6.91526888,Indiana Pacers,0.705651667,5,Damien Wilkins,"$2,116,955.00 ",2017,Non-rookie
153,6.91526888,Indiana Pacers,3.333333333,5,Darren Collison,"$10,000,000.00 ",2017,Non-rookie
158,6.91526888,Indiana Pacers,1.393333333,5,Lance Stephenson,"$4,180,000.00 ",2017,Non-rookie
160,6.91526888,Indiana Pacers,4.932116,5,Thaddeus Young,"$14,796,348.00 ",2017,Non-rookie
161,6.91526888,Indiana Pacers,7,5,Victor Oladipo,"$21,000,000.00 ",2017,Non-rookie
162,6.899803629,Denver Nuggets,2.488304,5,Darrell Arthur,"$7,464,912.00 ",2017,Non-rookie
166,6.899803629,Denver Nuggets,1.578683333,5,Jameer Nelson,"$4,736,050.00 ",2017,Non-rookie
168,6.899803629,Denver Nuggets,4.307116,5,Kenneth Faried,"$12,921,348.00 ",2017,Non-rookie
170,6.899803629,Denver Nuggets,4.680365333,5,Mason Plumlee,"$14,041,096.00 ",2017,Non-rookie
172,6.899803629,Denver Nuggets,10.423077,5,Paul Millsap,"$31,269,231.00 ",2017,Non-rookie
177,6.899803629,Denver Nuggets,1.177777667,5,Will Barton,"$3,533,333.00 ",2017,Non-rookie
178,6.899803629,Denver Nuggets,4.005618,5,Wilson Chandler,"$12,016,854.00 ",2017,Non-rookie
179,6.065728513,Washington Wizards,7.925168667,5,Bradley Beal,"$23,775,506.00 ",2017,Non-rookie
