,rating,Team,Type,mu,sd,name
2,5.3263185486029005,San Antonio Spurs,Non-rookie,1.21,5,Matt Bonner
4,5.3263185486029005,San Antonio Spurs,Non-rookie,1.5,5,Boris Diaw
5,5.3263185486029005,San Antonio Spurs,Non-rookie,3.2128513333333335,5,Tim Duncan
6,5.3263185486029005,San Antonio Spurs,Non-rookie,4.7024973333333335,5,Manu Ginobili
8,5.3263185486029005,San Antonio Spurs,Non-rookie,3.35325,5,Stephen Jackson
13,5.3263185486029005,San Antonio Spurs,Non-rookie,4.166666666666667,5,Tony Parker
15,4.6773449947718495,Chicago Bulls,Non-rookie,0.6523333333333333,5,Marco Belinelli
16,4.6773449947718495,Chicago Bulls,Non-rookie,5.0,5,Carlos Boozer
18,4.6773449947718495,Chicago Bulls,Non-rookie,4.435,5,Luol Deng
20,4.6773449947718495,Chicago Bulls,Non-rookie,1.6666666666666667,5,Richard Hamilton
21,4.6773449947718495,Chicago Bulls,Non-rookie,1.3136666666666668,5,Kirk Hinrich
22,4.6773449947718495,Chicago Bulls,Non-rookie,0.450727,5,Nazr Mohammed
23,4.6773449947718495,Chicago Bulls,Non-rookie,3.7666666666666666,5,Joakim Noah
24,4.6773449947718495,Chicago Bulls,Non-rookie,0.450727,5,Vladimir Radmanovic
25,4.6773449947718495,Chicago Bulls,Non-rookie,0.38211233333333333,5,Nate Robinson
27,4.63010950205916,Oklahoma City Thunder,Non-rookie,0.356503,5,Ronnie Brewer
28,4.63010950205916,Oklahoma City Thunder,Non-rookie,0.976444,5,Nick Collison
29,4.63010950205916,Oklahoma City Thunder,Non-rookie,5.556543333333333,5,Kevin Durant
30,4.63010950205916,Oklahoma City Thunder,Non-rookie,0.13786933333333334,5,Derek Fisher
35,4.63010950205916,Oklahoma City Thunder,Non-rookie,4.146558333333333,5,Kevin Martin
37,4.63010950205916,Oklahoma City Thunder,Non-rookie,2.600177,5,Kendrick Perkins
38,4.63010950205916,Oklahoma City Thunder,Non-rookie,1.2,5,Thabo Sefolosha
40,4.63010950205916,Oklahoma City Thunder,Non-rookie,4.55625,5,Russell Westbrook
41,4.532255541526401,Miami Heat,Non-rookie,1.03,5,Ray Allen
42,4.532255541526401,Miami Heat,Non-rookie,1.25,5,Joel Anthony
43,4.532255541526401,Miami Heat,Non-rookie,1.045,5,Shane Battier
44,4.532255541526401,Miami Heat,Non-rookie,5.848333333333334,5,Chris Bosh
45,4.532255541526401,Miami Heat,Non-rookie,1.3333333333333333,5,Mario Chalmers
49,4.532255541526401,Miami Heat,Non-rookie,1.3533333333333333,5,Udonis Haslem
50,4.532255541526401,Miami Heat,Non-rookie,5.848333333333334,5,LeBron James
51,4.532255541526401,Miami Heat,Non-rookie,0.5,5,James Jones
52,4.532255541526401,Miami Heat,Non-rookie,1.9333333333333333,5,Mike Miller
54,4.532255541526401,Miami Heat,Non-rookie,5.727333333333333,5,Dwyane Wade
56,1.3152523065871202,Philadelphia 76ers,Non-rookie,5.353284666666666,5,Elton Brand
57,1.3152523065871202,Philadelphia 76ers,Non-rookie,0.9396813333333334,5,Kwame Brown
58,1.3152523065871202,Philadelphia 76ers,Non-rookie,2.8333333333333335,5,Spencer Hawes
60,1.3152523065871202,Philadelphia 76ers,Non-rookie,0.407722,5,Royal Ivey
64,1.3152523065871202,Philadelphia 76ers,Non-rookie,1.9332083333333334,5,Jason Richardson
67,1.3152523065871202,Philadelphia 76ers,Non-rookie,0.407722,5,Damien Wilkins
68,1.3152523065871202,Philadelphia 76ers,Non-rookie,1.3686666666666667,5,Dorell Wright
69,1.3152523065871202,Philadelphia 76ers,Non-rookie,1.8666666666666667,5,Nick Young
70,1.3152523065871202,Philadelphia 76ers,Non-rookie,2.7630433333333335,5,Thaddeus Young
71,0.743769206746756,Denver Nuggets,Non-rookie,1.5086666666666666,5,Chris Andersen
72,0.743769206746756,Denver Nuggets,Non-rookie,1.081,5,Corey Brewer
73,0.743769206746756,Denver Nuggets,Non-rookie,1.9768046666666668,5,Wilson Chandler
76,0.743769206746756,Denver Nuggets,Non-rookie,3.146333333333333,5,Danilo Gallinari
78,0.743769206746756,Denver Nuggets,Non-rookie,4.989416666666667,5,Andre Iguodala
79,0.743769206746756,Denver Nuggets,Non-rookie,1.0,5,Kosta Koufos
81,0.743769206746756,Denver Nuggets,Non-rookie,3.3333333333333335,5,JaVale McGee
82,0.743769206746756,Denver Nuggets,Non-rookie,1.6666666666666667,5,Andre Miller
85,0.743769206746756,Denver Nuggets,Non-rookie,0.5582136666666667,5,Anthony Randolph
87,0.642463671399346,Boston Celtics,Non-rookie,2.0,5,Brandon Bass
90,0.642463671399346,Boston Celtics,Non-rookie,0.450727,5,Keyon Dooling
91,0.642463671399346,Boston Celtics,Non-rookie,3.8554216666666665,5,Kevin Garnett
92,0.642463671399346,Boston Celtics,Non-rookie,2.795,5,Jeff Green
94,0.642463671399346,Boston Celtics,Non-rookie,1.6666666666666667,5,Courtney Lee
96,0.642463671399346,Boston Celtics,Non-rookie,5.596781666666667,5,Paul Pierce
97,0.642463671399346,Boston Celtics,Non-rookie,3.6666666666666665,5,Rajon Rondo
99,0.642463671399346,Boston Celtics,Non-rookie,1.6666666666666667,5,Jason Terry
100,0.642463671399346,Boston Celtics,Non-rookie,0.450727,5,Chris Wilcox
102,0.593227332539896,Indiana Pacers,Non-rookie,1.1666666666666667,5,D.J. Augustin
104,0.593227332539896,Indiana Pacers,Non-rookie,4.352868666666667,5,Danny Granger
105,0.593227332539896,Indiana Pacers,Non-rookie,1.1666666666666667,5,Gerald Green
108,0.593227332539896,Indiana Pacers,Non-rookie,4.56225,5,Roy Hibbert
109,0.593227332539896,Indiana Pacers,Non-rookie,2.6666666666666665,5,George Hill
111,0.593227332539896,Indiana Pacers,Non-rookie,1.3333333333333333,5,Ian Mahinmi
115,0.593227332539896,Indiana Pacers,Non-rookie,3.3333333333333335,5,David West
117,0.11001876272279301,Memphis Grizzlies,Non-rookie,1.1,5,Tony Allen
118,0.11001876272279301,Memphis Grizzlies,Non-rookie,1.0020723333333332,5,Darrell Arthur
119,0.11001876272279301,Memphis Grizzlies,Non-rookie,1.0,5,Jerryd Bayless
120,0.11001876272279301,Memphis Grizzlies,Non-rookie,2.435262,5,Mike Conley
123,0.11001876272279301,Memphis Grizzlies,Non-rookie,4.630453,5,Marc Gasol
127,0.11001876272279301,Memphis Grizzlies,Non-rookie,2.2546816666666665,5,Tayshaun Prince
128,0.11001876272279301,Memphis Grizzlies,Non-rookie,5.5,5,Zach Randolph
130,0.0803050632948413,Los Angeles Clippers,Non-rookie,0.4097516666666667,5,Matt Barnes
131,0.0803050632948413,Los Angeles Clippers,Non-rookie,1.3333333333333333,5,Chauncey Billups
133,0.0803050632948413,Los Angeles Clippers,Non-rookie,2.6666666666666665,5,Caron Butler
134,0.0803050632948413,Los Angeles Clippers,Non-rookie,1.6666666666666667,5,Jamal Crawford
135,0.0803050632948413,Los Angeles Clippers,Non-rookie,0.491702,5,Willie Green
136,0.0803050632948413,Los Angeles Clippers,Non-rookie,2.408964,5,Blake Griffin
137,0.0803050632948413,Los Angeles Clippers,Non-rookie,0.6583333333333333,5,Grant Hill
138,0.0803050632948413,Los Angeles Clippers,Non-rookie,0.356503,5,Ryan Hollins
139,0.0803050632948413,Los Angeles Clippers,Non-rookie,3.5109923333333333,5,DeAndre Jordan
140,0.0803050632948413,Los Angeles Clippers,Non-rookie,2.7333333333333334,5,Lamar Odom
141,0.0803050632948413,Los Angeles Clippers,Non-rookie,5.926486,5,Chris Paul
142,0.0803050632948413,Los Angeles Clippers,Non-rookie,0.38211233333333333,5,Ronny Turiaf
143,0.0,Atlanta Hawks,Non-rookie,2.8333333333333335,5,Devin Harris
144,0.0,Atlanta Hawks,Non-rookie,4.0,5,Al Horford
147,0.0,Atlanta Hawks,Non-rookie,0.9666666666666667,5,Dahntay Jones
148,0.0,Atlanta Hawks,Non-rookie,1.6666666666666667,5,Kyle Korver
149,0.0,Atlanta Hawks,Non-rookie,1.7495833333333333,5,Zaza Pachulia
150,0.0,Atlanta Hawks,Non-rookie,0.055162333333333334,5,Jannero Pargo
151,0.0,Atlanta Hawks,Non-rookie,1.1666666666666667,5,Johan Petro
153,0.0,Atlanta Hawks,Non-rookie,4.4,5,Josh Smith
154,0.0,Atlanta Hawks,Non-rookie,0.7468166666666667,5,DeShawn Stevenson
156,0.0,Atlanta Hawks,Non-rookie,0.305284,5,Anthony Tolliver
158,0.0,Atlanta Hawks,Non-rookie,1.6666666666666667,5,Lou Williams
159,-0.542028136037502,New York Knicks,Non-rookie,6.483333333333333,5,Carmelo Anthony
160,-0.542028136037502,New York Knicks,Non-rookie,1.5301126666666667,5,Marcus Camby
161,-0.542028136037502,New York Knicks,Non-rookie,4.534729333333333,5,Tyson Chandler
163,-0.542028136037502,New York Knicks,Non-rookie,1.160151,5,Raymond Felton
164,-0.542028136037502,New York Knicks,Non-rookie,1.03,5,Jason Kidd
165,-0.542028136037502,New York Knicks,Non-rookie,0.14582333333333333,5,Kenyon Martin
166,-0.542028136037502,New York Knicks,Non-rookie,1.3513516666666667,5,Steve Novak
169,-0.542028136037502,New York Knicks,Non-rookie,6.649599666666667,5,Amar'e Stoudemire
170,-0.542028136037502,New York Knicks,Non-rookie,0.450727,5,Rasheed Wallace
171,-0.542028136037502,New York Knicks,Non-rookie,0.2847963333333333,5,James White
172,-0.593134507114484,Los Angeles Lakers,Non-rookie,2.419653333333333,5,Metta World Peace
173,-0.593134507114484,Los Angeles Lakers,Non-rookie,1.3333333333333333,5,Steve Blake
174,-0.593134507114484,Los Angeles Lakers,Non-rookie,9.283049666666667,5,Kobe Bryant
176,-0.593134507114484,Los Angeles Lakers,Non-rookie,1.1666666666666667,5,Chris Duhon
178,-0.593134507114484,Los Angeles Lakers,Non-rookie,6.333333333333333,5,Pau Gasol
180,-0.593134507114484,Los Angeles Lakers,Non-rookie,6.51212,5,Dwight Howard
181,-0.593134507114484,Los Angeles Lakers,Non-rookie,0.450727,5,Antawn Jamison
185,-0.593134507114484,Los Angeles Lakers,Non-rookie,2.966666666666667,5,Steve Nash
188,-0.623984687165077,Dallas Mavericks,Non-rookie,1.03,5,Vince Carter
192,-0.623984687165077,Dallas Mavericks,Non-rookie,0.007950666666666667,5,Eddy Curry
193,-0.623984687165077,Dallas Mavericks,Non-rookie,0.024297333333333334,5,Chris Douglas-Roberts
194,-0.623984687165077,Dallas Mavericks,Non-rookie,2.099666666666667,5,Brendan Haywood
196,-0.623984687165077,Dallas Mavericks,Non-rookie,0.26513366666666666,5,Mike James
198,-0.623984687165077,Dallas Mavericks,Non-rookie,2.6666666666666665,5,Chris Kaman
199,-0.623984687165077,Dallas Mavericks,Non-rookie,2.8821213333333335,5,Shawn Marion
200,-0.623984687165077,Dallas Mavericks,Non-rookie,1.34,5,O.J. Mayo
201,-0.623984687165077,Dallas Mavericks,Non-rookie,1.3333333333333333,5,Anthony Morrow
202,-0.623984687165077,Dallas Mavericks,Non-rookie,0.071586,5,Troy Murphy
203,-0.623984687165077,Dallas Mavericks,Non-rookie,6.969042666666667,5,Dirk Nowitzki
205,-1.76836469830392,Houston Rockets,Non-rookie,2.7915486666666665,5,Omer Asik
207,-1.76836469830392,Houston Rockets,Non-rookie,1.030014,5,Daequan Cook
208,-1.76836469830392,Houston Rockets,Non-rookie,1.0,5,Carlos Delfino
209,-1.76836469830392,Houston Rockets,Non-rookie,2.033333333333333,5,Francisco Garcia
214,-1.76836469830392,Houston Rockets,Non-rookie,2.7915486666666665,5,Jeremy Lin
215,-1.76836469830392,Houston Rockets,Non-rookie,0.3333333333333333,5,Shaun Livingston
221,-1.76836469830392,Houston Rockets,Non-rookie,1.7532323333333333,5,Luis Scola
226,-1.9384418457976398,Utah Jazz,Non-rookie,0.8333333333333334,5,Randy Foye
228,-1.9384418457976398,Utah Jazz,Non-rookie,5.0,5,Al Jefferson
230,-1.9384418457976398,Utah Jazz,Non-rookie,2.8678776666666668,5,Paul Millsap
232,-1.9384418457976398,Utah Jazz,Non-rookie,0.6666666666666666,5,Earl Watson
233,-1.9384418457976398,Utah Jazz,Non-rookie,2.8333333333333335,5,Mo Williams
234,-1.9384418457976398,Utah Jazz,Non-rookie,2.7625,5,Marvin Williams
235,-2.07369114909588,Phoenix Suns,Non-rookie,1.9166666666666667,5,Michael Beasley
236,-2.07369114909588,Phoenix Suns,Non-rookie,1.1666666666666667,5,Shannon Brown
237,-2.07369114909588,Phoenix Suns,Non-rookie,2.3333333333333335,5,Josh Childress
238,-2.07369114909588,Phoenix Suns,Non-rookie,2.5,5,Goran Dragic
239,-2.07369114909588,Phoenix Suns,Non-rookie,1.4166666666666667,5,Jared Dudley
241,-2.07369114909588,Phoenix Suns,Non-rookie,2.419653333333333,5,Marcin Gortat
242,-2.07369114909588,Phoenix Suns,Non-rookie,0.43333333333333335,5,Hamed Haddadi
247,-2.07369114909588,Phoenix Suns,Non-rookie,0.450727,5,Jermaine O'Neal
249,-2.35478303683025,Orlando Magic,Non-rookie,2.5833333333333335,5,Arron Afflalo
250,-2.35478303683025,Orlando Magic,Non-rookie,2.1333333333333333,5,Glen Davis
252,-2.35478303683025,Orlando Magic,Non-rookie,2.2291333333333334,5,Al Harrington
257,-2.35478303683025,Orlando Magic,Non-rookie,2.8666666666666667,5,Jameer Nelson
260,-2.35478303683025,Orlando Magic,Non-rookie,0.8758,5,Quentin Richardson
