,rating,Team,Type,mu,sd,name
0,6.239155241852651,Golden State Warriors,Non-rookie,0.8333333333333334,5,Leandro Barbosa
2,6.239155241852651,Golden State Warriors,Non-rookie,4.0,5,Andrew Bogut
4,6.239155241852651,Golden State Warriors,Non-rookie,3.790262,5,Stephen Curry
6,6.239155241852651,Golden State Warriors,Non-rookie,4.766666666666667,5,Draymond Green
7,6.239155241852651,Golden State Warriors,Non-rookie,3.9034853333333333,5,Andre Iguodala
8,6.239155241852651,Golden State Warriors,Non-rookie,1.8479083333333333,5,Shaun Livingston
10,6.239155241852651,Golden State Warriors,Non-rookie,0.4236546666666667,5,Brandon Rush
11,6.239155241852651,Golden State Warriors,Non-rookie,1.2716666666666667,5,Marreese Speights
12,6.239155241852651,Golden State Warriors,Non-rookie,2.14375,5,Jason Thompson
13,6.239155241852651,Golden State Warriors,Non-rookie,5.166666666666667,5,Klay Thompson
15,2.7268586515610402,Los Angeles Clippers,Non-rookie,0.3668666666666667,5,Cole Aldrich
16,2.7268586515610402,Los Angeles Clippers,Non-rookie,1.8916666666666666,5,Jamal Crawford
18,2.7268586515610402,Los Angeles Clippers,Non-rookie,3.066666666666667,5,Jeff Green
19,2.7268586515610402,Los Angeles Clippers,Non-rookie,6.302575,5,Blake Griffin
20,2.7268586515610402,Los Angeles Clippers,Non-rookie,0.3668666666666667,5,Wesley Johnson
21,2.7268586515610402,Los Angeles Clippers,Non-rookie,6.5,5,DeAndre Jordan
22,2.7268586515610402,Los Angeles Clippers,Non-rookie,0.4236546666666667,5,Luc Mbah a Moute
23,2.7268586515610402,Los Angeles Clippers,Non-rookie,7.156232,5,Chris Paul
24,2.7268586515610402,Los Angeles Clippers,Non-rookie,0.105744,5,Jeff Ayres
25,2.7268586515610402,Los Angeles Clippers,Non-rookie,1.1333333333333333,5,Paul Pierce
29,2.38846342928413,San Antonio Spurs,Non-rookie,6.5,5,LaMarcus Aldridge
31,2.38846342928413,San Antonio Spurs,Non-rookie,0.499729,5,Matt Bonner
32,2.38846342928413,San Antonio Spurs,Non-rookie,0.499729,5,Rasual Butler
33,2.38846342928413,San Antonio Spurs,Non-rookie,2.3333333333333335,5,Boris Diaw
34,2.38846342928413,San Antonio Spurs,Non-rookie,1.6666666666666667,5,Tim Duncan
35,2.38846342928413,San Antonio Spurs,Non-rookie,0.169237,5,Jimmer Fredette
36,2.38846342928413,San Antonio Spurs,Non-rookie,0.938,5,Manu Ginobili
37,2.38846342928413,San Antonio Spurs,Non-rookie,3.3333333333333335,5,Danny Green
38,2.38846342928413,San Antonio Spurs,Non-rookie,5.5,5,Kawhi Leonard
41,2.38846342928413,San Antonio Spurs,Non-rookie,1.1929823333333334,5,Patty Mills
42,2.38846342928413,San Antonio Spurs,Non-rookie,4.479166666666667,5,Tony Parker
44,2.38846342928413,San Antonio Spurs,Non-rookie,0.49966666666666665,5,David West
46,0.9002914205478559,Cleveland Cavaliers,Non-rookie,2.6025263333333335,5,Channing Frye
47,0.9002914205478559,Cleveland Cavaliers,Non-rookie,4.915333333333334,5,Kyrie Irving
48,0.9002914205478559,Cleveland Cavaliers,Non-rookie,7.657,5,LeBron James
49,0.9002914205478559,Cleveland Cavaliers,Non-rookie,0.49966666666666665,5,Richard Jefferson
50,0.9002914205478559,Cleveland Cavaliers,Non-rookie,0.002939666666666667,5,Dahntay Jones
51,0.9002914205478559,Cleveland Cavaliers,Non-rookie,0.49966666666666665,5,James Jones
53,0.9002914205478559,Cleveland Cavaliers,Non-rookie,6.5,5,Kevin Love
