Team,Year,Name,Age,Pos,Contract Value,Type
Utah Jazz,2018,Derrick Favors,27,PF,"$16,900,000 ",Bird
Utah Jazz,2018,Ricky Rubio,27,PG,"$14,975,000 ",Bird
Utah Jazz,2018,Joe Ingles,30,SF,"$13,045,455 ",Bird
Utah Jazz,2018,Dante Exum,23,PG,"$9,600,000 ",Bird
Utah Jazz,2018,Kyle Korver,37,SG,"$7,560,000 ",Bird
Utah Jazz,2018,Jae Crowder,28,SF,"$7,305,825 ",Bird
Utah Jazz,2018,Thabo Sefolosha,34,SF,"$5,250,000 ",Cap Space
Utah Jazz,2018,Ekpe Udoh,31,C,"$3,360,000 ",Room
Utah Jazz,2018,Donovan Mitchell,22,SG,"$3,111,480 ",Rookie
Utah Jazz,2018,Raul Neto,26,PG,"$2,150,000 ",Bird
Utah Jazz,2018,Grayson Allen,22,SG,"$2,074,320 ",Rookie
Utah Jazz,2018,Tony Bradley,20,C,"$1,679,520 ",Rookie
Utah Jazz,2018,Georges Niang,25,SF,"$1,512,601 ",Non-Bird
Utah Jazz,2018,Royce O'Neale,25,SF,"$1,378,242 ",Cap Space
Utah Jazz,2019,Mike Conley,31,PG,"$32,511,623 ",Bird
Utah Jazz,2019,Rudy Gobert,27,C,"$25,008,427 ",Bird
Utah Jazz,2019,Bojan Bogdanovic,30,SF,"$17,000,000 ",Cap Space
Utah Jazz,2019,Jordan Clarkson,27,PG,"$13,437,500 ",Early Bird
Utah Jazz,2019,Joe Ingles,31,SF,"$11,954,546 ",Bird
Utah Jazz,2019,Ed Davis,30,PF,"$4,767,000 ",Room
Utah Jazz,2019,Donovan Mitchell,23,SG,"$3,635,760 ",Rookie
Utah Jazz,2019,Tony Bradley,21,C,"$1,962,360 ",Rookie
Utah Jazz,2019,Georges Niang,26,SF,"$1,678,854 ",Non-Bird
Utah Jazz,2019,Emmanuel Mudiay,23,PG,"$1,620,564 ",Minimum
Utah Jazz,2019,Royce O'Neale,26,SF,"$1,618,520 ",Cap Space
Utah Jazz,2019,Nigel Williams-Goss,25,PG,"$1,500,000 ",Cap Space
Utah Jazz,2019,Miye Oni,22,SG,"$898,310 ",Cap Space
Utah Jazz,2019,Juwan Morgan,22,PF,"$746,054 ",Minimum
Utah Jazz,2019,Rayjon Tucker,22,SF,"$578,573 ",Minimum
Washington Wizards,2018,Bradley Beal,25,SG,"$25,434,263 ",Bird
Washington Wizards,2018,Jabari Parker,23,PF,"$20,000,000 ",Cap Space
Washington Wizards,2018,John Wall,28,PG,"$19,169,800 ",Bird
Washington Wizards,2018,Ian Mahinmi,31,C,"$15,944,154 ",Cap Space
Washington Wizards,2018,Trevor Ariza,33,SF,"$15,000,000 ",Cap Space
Washington Wizards,2018,Dwight Howard,32,C,"$5,337,000 ",T-MLE
Washington Wizards,2018,Tomas Satoransky,26,SG,"$3,129,187 ",Cap Space
Washington Wizards,2018,Sam Dekker,24,SF,"$2,760,095 ",Rookie
Washington Wizards,2018,Troy Brown Jr.,19,SF,"$2,749,080 ",Rookie
Washington Wizards,2018,Bobby Portis,23,PF,"$2,494,346 ",Rookie
Washington Wizards,2018,Jeff Green,32,SF,"$1,512,601 ",Minimum
Washington Wizards,2018,Thomas Bryant,21,C,"$1,378,242 ",Minimum
Washington Wizards,2018,Chasson Randle,25,PG,"$869,094 ",Minimum
Washington Wizards,2018,Jordan McRae,27,SG,"$17,092 ",Minimum
Washington Wizards,2018,Tarik Phillip,25,G,"$9,474 ",Minimum
Washington Wizards,2019,John Wall,29,PG,"$38,199,000 ",Bird
Washington Wizards,2019,Ian Mahinmi,32,C,"$15,450,051 ",Cap Space
Washington Wizards,2019,Thomas Bryant,22,C,"$8,000,000 ",Early Bird
Washington Wizards,2019,Ishmael Smith,31,PG,"$6,000,000 ",NT-MLE
Washington Wizards,2019,Rui Hachimura,21,PF,"$4,469,160 ",Rookie
Washington Wizards,2019,Jerome Robinson,22,SG,"$3,567,720 ",Rookie
Washington Wizards,2019,Troy Brown Jr.,20,SF,"$3,219,480 ",Rookie
Washington Wizards,2019,Moritz Wagner,22,PF,"$2,063,520 ",Rookie
Washington Wizards,2019,Shabazz Napier,28,PG,"$1,845,301 ",Cap Space
Washington Wizards,2019,Isaac Bonga,19,PG,"$1,416,852 ",Cap Space
Washington Wizards,2019,Gary Payton II,26,PG,"$1,052,909 ",Hardship
Washington Wizards,2019,Admiral Schofield,22,SF,"$1,000,000 ",NT-MLE
Washington Wizards,2019,Anzejs Pasecniks,23,C,"$482,144 ",NT-MLE
Washington Wizards,2019,Jerian Grant,26,PG,- ,Minimum
Washington Wizards,2019,Jarrod Uthoff,26,PF,- ,Minimum
