"team","rating"
"San Antonio Spurs",5.3263185486029
"Chicago Bulls",4.67734499477185
"Oklahoma City Thunder",4.63010950205916
"Miami Heat",4.5322555415264
"Philadelphia 76ers",1.31525230658712
"Denver Nuggets",0.743769206746756
"Boston Celtics",0.642463671399346
"Indiana Pacers",0.593227332539896
"Memphis Grizzlies",0.110018762722793
"Los Angeles Clippers",0.0803050632948413
"Atlanta Hawks",0
"New York Knicks",-0.542028136037502
"Los Angeles Lakers",-0.593134507114484
"Dallas Mavericks",-0.623984687165077
"Houston Rockets",-1.76836469830392
"Utah Jazz",-1.93844184579764
"Phoenix Suns",-2.07369114909588
"Orlando Magic",-2.35478303683025
"Milwaukee Bucks",-2.57615300650677
"Portland Trailblazers",-2.5798049047455
"Minnesota Timberwolves",-4.18513836751315
"Golden State Warriors",-5.15709026427958
"New Orleans Pelicans",-5.45830001009877
"Toronto Raptors",-5.99463381574544
"Sacramento Kings",-7.31699674007473
"Washington Wizards",-7.47103012246641
"Detroit Pistons",-7.52048502994333
"Brooklyn Nets",-8.71071269912303
"Cleveland Cavaliers",-9.67243498674952
"Charlotte Hornets",-16.3039457447089
