"team","rating"
"Oklahoma City Thunder",8.89502542889076
"San Antonio Spurs",7.76644161566618
"Miami Heat",7.61265411730035
"Los Angeles Clippers",6.16781702096405
"Memphis Grizzlies",5.079826949248
"Denver Nuggets",5.0628365392921
"New York Knicks",3.89028139098416
"Houston Rockets",3.83388189083815
"Indiana Pacers",3.64007393211344
"Golden State Warriors",2.11765794522532
"Brooklyn Nets",1.4255386313699
"Los Angeles Lakers",1.08990750290411
"Utah Jazz",0.474162104981812
"Atlanta Hawks",0
"Dallas Mavericks",-0.0478885355086254
"Chicago Bulls",-0.113410034117841
"Boston Celtics",-0.472144389973656
"Minnesota Timberwolves",-1.64227991187505
"Toronto Raptors",-1.77347515414346
"Milwaukee Bucks",-1.88928560752435
"Portland Trailblazers",-2.35685066432443
"Washington Wizards",-2.59915934894325
"New Orleans Pelicans",-2.92291245977605
"Philadelphia 76ers",-3.32772380796192
"Sacramento Kings",-4.06348436501574
"Detroit Pistons",-4.07185739070818
"Cleveland Cavaliers",-4.69204696609647
"Phoenix Suns",-5.56797041248994
"Orlando Magic",-6.94023052217835
"Charlotte Hornets",-9.10952636980053
