Name,Contract Value,Year,Team,Type
Alan Anderson,1315448,2016,Los Angeles Clippers,Non-rookie
Chris Andersen,"$4,533,300.00 ",2010,Denver Nuggets,Non-rookie
Chris Andersen,4234000,2011,Denver Nuggets,Non-rookie
Chris Andersen,4526000,2012,Denver Nuggets,Non-rookie
Chris Andersen,1399507,2013,Miami Heat,Non-rookie
Chris Andersen,5375000,2014,Miami Heat,Non-rookie
Chris Andersen,5000000,2015,Memphis Grizzlies,Non-rookie
Chris Andersen,1551659,2016,Charlotte Hornets,Non-rookie
David Andersen,"$2,500,000.00 ",2010,New Orleans Pelicans,Rookie
James Anderson,"$1,361,400.00 ",2010,San Antonio Spurs,Rookie
James Anderson,1463520,2011,San Antonio Spurs,Rookie
James Anderson,472427,2012,Houston Rockets,Rookie
James Anderson,916099,2013,Philadelphia 76ers,Rookie
James Anderson,1015421,2015,Sacramento Kings,Non-rookie
Justin Anderson,1449000,2015,Dallas Mavericks,Rookie
Justin Anderson,1514160,2016,Philadelphia 76ers,Rookie
Justin Anderson,1579440,2017,Philadelphia 76ers,Rookie
Kyle Anderson,1093680,2014,San Antonio Spurs,Rookie
Kyle Anderson,1142879,2015,San Antonio Spurs,Rookie
Kyle Anderson,1192080,2016,San Antonio Spurs,Rookie
Kyle Anderson,2151704,2017,San Antonio Spurs,Rookie
Ryan Anderson,"$1,409,040.00 ",2010,Orlando Magic,Rookie
Ryan Anderson,2244601,2011,Orlando Magic,Rookie
Ryan Anderson,8700000,2012,New Orleans Pelicans,Non-rookie
Ryan Anderson,8308500,2013,New Orleans Pelicans,Non-rookie
Ryan Anderson,8491500,2014,New Orleans Pelicans,Non-rookie
Ryan Anderson,8500000,2015,New Orleans Pelicans,Non-rookie
Ryan Anderson,18735364,2016,Houston Rockets,Non-rookie
Ryan Anderson,19578455,2017,Houston Rockets,Non-rookie
Ike Anigbogu,950000,2017,Indiana Pacers,Rookie
Giannis Antetokounmpo,1792560,2013,Milwaukee Bucks,Rookie
Giannis Antetokounmpo,1873200,2014,Milwaukee Bucks,Rookie
Giannis Antetokounmpo,1953960,2015,Milwaukee Bucks,Rookie
Giannis Antetokounmpo,2995421,2016,Milwaukee Bucks,Rookie
Giannis Antetokounmpo,22471910,2017,Milwaukee Bucks,Non-rookie
Thanasis Antetokounmpo,105888,2015,New York Knicks,Rookie
Carmelo Anthony,"$17,149,243.00 ",2010,New York Knicks,Non-rookie
Carmelo Anthony,18518574,2011,New York Knicks,Non-rookie
Carmelo Anthony,19450000,2012,New York Knicks,Non-rookie
Carmelo Anthony,22407474,2013,New York Knicks,Non-rookie
Carmelo Anthony,22458000,2014,New York Knicks,Non-rookie
Carmelo Anthony,22875000,2015,New York Knicks,Non-rookie
Carmelo Anthony,24559380,2016,New York Knicks,Non-rookie
Carmelo Anthony,26243760,2017,Oklahoma City Thunder,Non-rookie
Joel Anthony,"$3,300,000.00 ",2010,Miami Heat,Rookie
Joel Anthony,3600000,2011,Miami Heat,Non-rookie
Joel Anthony,3750000,2012,Miami Heat,Non-rookie
Joel Anthony,3800000,2013,Miami Heat,Non-rookie
Joel Anthony,3800000,2014,Detroit Pistons,Non-rookie
Joel Anthony,2500000,2015,Detroit Pistons,Non-rookie
Joel Anthony,663810,2016,San Antonio Spurs,Non-rookie
Pero Antic,1250000,2014,Atlanta Hawks,Rookie
OG Anunoby,1645200,2017,Toronto Raptors,Rookie
Keith Appling,161776,2015,Orlando Magic,Rookie
Gilbert Arenas,"$17,730,694.00 ",2010,Orlando Magic,Non-rookie
Gilbert Arenas,19269307,2011,Orlando Magic,Non-rookie
Gilbert Arenas,20807922,2012,Orlando Magic,Non-rookie
Trevor Ariza,"$6,322,320.00 ",2010,New Orleans Pelicans,Non-rookie
Trevor Ariza,6790640,2011,New Orleans Pelicans,Non-rookie
Trevor Ariza,7258960,2012,Washington Wizards,Non-rookie
Trevor Ariza,7727280,2013,Washington Wizards,Non-rookie
Trevor Ariza,8579089,2014,Houston Rockets,Non-rookie
Trevor Ariza,8193030,2015,Houston Rockets,Non-rookie
Trevor Ariza,7806971,2016,Houston Rockets,Non-rookie
Trevor Ariza,7420912,2017,Houston Rockets,Non-rookie
Hilton Armstrong,"$992,680.00 ",2010,Atlanta Hawks,Non-rookie
Carlos Arroyo,"$1,223,166.00 ",2010,Miami Heat,Non-rookie
Metta World Peace,"$6,322,320.00 ",2010,Los Angeles Lakers,Non-rookie
Metta World Peace,6790640,2011,Los Angeles Lakers,Non-rookie
Metta World Peace,7258960,2012,Los Angeles Lakers,Non-rookie
Metta World Peace,1590000,2013,New York Knicks,Non-rookie
Metta World Peace,1499187,2015,Los Angeles Lakers,Non-rookie
Metta World Peace,1551659,2016,Los Angeles Lakers,Non-rookie
Darrell Arthur,"$1,123,680.00 ",2010,Memphis Grizzlies,Rookie
Darrell Arthur,2027119,2011,Memphis Grizzlies,Rookie
Darrell Arthur,3006217,2012,Memphis Grizzlies,Non-rookie
Darrell Arthur,3231683,2013,Denver Nuggets,Non-rookie
Darrell Arthur,3457149,2014,Denver Nuggets,Non-rookie
Darrell Arthur,2814000,2015,Denver Nuggets,Non-rookie
Darrell Arthur,8070175,2016,Denver Nuggets,Non-rookie
Darrell Arthur,7464912,2017,Denver Nuggets,Non-rookie
Omer Asik,"$1,721,000.00 ",2010,Chicago Bulls,Rookie
Omer Asik,1857500,2011,Chicago Bulls,Rookie
Omer Asik,8374646,2012,Houston Rockets,Non-rookie
Omer Asik,8374646,2013,Houston Rockets,Non-rookie
Omer Asik,8374646,2014,New Orleans Pelicans,Non-rookie
Omer Asik,11000000,2015,New Orleans Pelicans,Non-rookie
Omer Asik,9904494,2016,New Orleans Pelicans,Non-rookie
Omer Asik,10595505,2017,Chicago Bulls,Non-rookie
D.J. Augustin,"$2,540,400.00 ",2010,Charlotte Hornets,Rookie
D.J. Augustin,3236470,2011,Charlotte Hornets,Rookie
D.J. Augustin,3500000,2012,Indiana Pacers,Non-rookie
D.J. Augustin,1267000,2013,Toronto Raptors,Non-rookie
D.J. Augustin,3000000,2014,Oklahoma City Thunder,Non-rookie
D.J. Augustin,3000000,2015,Denver Nuggets,Non-rookie
D.J. Augustin,7250000,2016,Orlando Magic,Non-rookie
D.J. Augustin,7250000,2017,Orlando Magic,Non-rookie
Gustavo Ayon,1567500,2011,New Orleans Pelicans,Rookie
Gustavo Ayon,1500000,2012,Milwaukee Bucks,Rookie
Gustavo Ayon,1500000,2013,Atlanta Hawks,Rookie
Kelenna Azubuike,"$3,300,000.00 ",2010,New York Knicks,Non-rookie
Kelenna Azubuike,885120,2012,Cleveland Cavaliers,Non-rookie
Chris Babb,48028,2014,Boston Celtics,Rookie
Luke Babbitt,"$1,645,440.00 ",2010,Portland Trailblazers,Rookie
Luke Babbitt,1768800,2011,Portland Trailblazers,Rookie
Luke Babbitt,1892280,2012,Portland Trailblazers,Rookie
Luke Babbitt,981084,2014,New Orleans Pelicans,Non-rookie
Luke Babbitt,1100000,2015,New Orleans Pelicans,Non-rookie
Luke Babbitt,1227000,2016,Miami Heat,Non-rookie
Luke Babbitt,1974159,2017,Miami Heat,Non-rookie
Dwayne Bacon,815615,2017,Charlotte Hornets,Rookie
Cameron Bairstow,507336,2014,Chicago Bulls,Rookie
Cameron Bairstow,845059,2015,Chicago Bulls,Rookie
Ron Baker,543471,2016,New York Knicks,Rookie
Ron Baker,4328000,2017,New York Knicks,Rookie
Renaldo Balkman,"$1,675,000.00 ",2010,New York Knicks,Non-rookie
Renaldo Balkman,1675000,2011,New York Knicks,Non-rookie
Renaldo Balkman,1675000,2012,New York Knicks,Non-rookie
Lonzo Ball,6286560,2017,Los Angeles Lakers,Rookie
Marcus Banks,"$4,847,586.00 ",2010,New Orleans Pelicans,Non-rookie
Leandro Barbosa,"$7,100,000.00 ",2010,Toronto Raptors,Non-rookie
Leandro Barbosa,7600000,2011,Toronto Raptors,Non-rookie
Leandro Barbosa,1229255,2012,Washington Wizards,Non-rookie
Leandro Barbosa,1448490,2014,Golden State Warriors,Non-rookie
Leandro Barbosa,2500000,2015,Golden State Warriors,Non-rookie
Leandro Barbosa,4000000,2016,Phoenix Suns,Non-rookie
Leandro Barbosa,500000,2017,Phoenix Suns,Non-rookie
J.J. Barea,"$1,815,000.00 ",2010,Dallas Mavericks,Non-rookie
J.J. Barea,4300000,2011,Minnesota Timberwolves,Non-rookie
J.J. Barea,4493500,2012,Minnesota Timberwolves,Non-rookie
J.J. Barea,4687000,2013,Minnesota Timberwolves,Non-rookie
J.J. Barea,1310286,2014,Dallas Mavericks,Non-rookie
J.J. Barea,4000000,2015,Dallas Mavericks,Non-rookie
J.J. Barea,4096950,2016,Dallas Mavericks,Non-rookie
J.J. Barea,3903900,2017,Dallas Mavericks,Non-rookie
Andrea Bargnani,"$8,500,000.00 ",2010,Toronto Raptors,Non-rookie
Andrea Bargnani,9250000,2011,Toronto Raptors,Non-rookie
Andrea Bargnani,10000000,2012,Toronto Raptors,Non-rookie
Andrea Bargnani,11862500,2013,New York Knicks,Non-rookie
Andrea Bargnani,11500000,2014,New York Knicks,Non-rookie
Andrea Bargnani,1039298,2015,Brooklyn Nets,Non-rookie
Andrea Bargnani,323599,2016,Brooklyn Nets,Non-rookie
Harrison Barnes,2798040,2012,Golden State Warriors,Rookie
Harrison Barnes,2923920,2013,Golden State Warriors,Rookie
Harrison Barnes,3049920,2014,Golden State Warriors,Rookie
Harrison Barnes,3873398,2015,Golden State Warriors,Rookie
Harrison Barnes,22116750,2016,Dallas Mavericks,Non-rookie
Harrison Barnes,23112004,2017,Dallas Mavericks,Non-rookie
Matt Barnes,"$1,765,000.00 ",2010,Los Angeles Lakers,Non-rookie
Matt Barnes,1906200,2011,Los Angeles Lakers,Non-rookie
Matt Barnes,1229255,2012,Los Angeles Clippers,Non-rookie
Matt Barnes,3250000,2013,Los Angeles Clippers,Non-rookie
Matt Barnes,3396250,2014,Los Angeles Clippers,Non-rookie
Matt Barnes,3542500,2015,Memphis Grizzlies,Non-rookie
Matt Barnes,6125000,2016,Sacramento Kings,Non-rookie
Matt Barnes,2133542,2017,Sacramento Kings,Non-rookie
Earl Barron,"$188,558.00 ",2010,Phoenix Suns,Non-rookie
Earl Barron,185588,2011,Golden State Warriors,Non-rookie
Earl Barron,358600,2012,Washington Wizards,Non-rookie
Earl Barron,107676,2014,Phoenix Suns,Non-rookie
Will Barton,550000,2012,Portland Trailblazers,Rookie
Will Barton,788872,2013,Portland Trailblazers,Rookie
Will Barton,915243,2014,Denver Nuggets,Rookie
Will Barton,3333333,2015,Denver Nuggets,Rookie
Will Barton,3533333,2016,Denver Nuggets,Non-rookie
Will Barton,3533333,2017,Denver Nuggets,Non-rookie
Brandon Bass,"$4,000,000.00 ",2010,Orlando Magic,Non-rookie
Brandon Bass,4250000,2011,Boston Celtics,Non-rookie
Brandon Bass,6000000,2012,Boston Celtics,Non-rookie
Brandon Bass,6450000,2013,Boston Celtics,Non-rookie
Brandon Bass,6900000,2014,Boston Celtics,Non-rookie
Brandon Bass,3000000,2015,Los Angeles Lakers,Non-rookie
Brandon Bass,1551659,2016,Los Angeles Clippers,Non-rookie
Shane Battier,"$7,354,500.00 ",2010,Memphis Grizzlies,Non-rookie
