Name,Contract Value,Year,Team,Type
Travis Leslie,250000,2012,Los Angeles Clippers,Rookie
Jon Leuer,473604,2011,Milwaukee Bucks,Rookie
Jon Leuer,762195,2012,Memphis Grizzlies,Rookie
Jon Leuer,967500,2014,Memphis Grizzlies,Rookie
Jon Leuer,1035000,2015,Phoenix Suns,Non-rookie
Jon Leuer,10991957,2016,Detroit Pistons,Non-rookie
Jon Leuer,10497319,2017,Detroit Pistons,Non-rookie
Caris LeVert,1562280,2016,Brooklyn Nets,Rookie
Caris LeVert,1632480,2017,Brooklyn Nets,Rookie
Rashard Lewis,"$19,573,711.00 ",2010,Washington Wizards,Non-rookie
Rashard Lewis,21136631,2011,Washington Wizards,Non-rookie
Rashard Lewis,13700000,2012,New Orleans Pelicans,Non-rookie
Rashard Lewis,1399507,2013,Miami Heat,Non-rookie
DeAndre Liggins,473604,2011,Orlando Magic,Rookie
DeAndre Liggins,762195,2012,Oklahoma City Thunder,Rookie
DeAndre Liggins,1015696,2016,Dallas Mavericks,Non-rookie
DeAndre Liggins,757427,2017,Milwaukee Bucks,Non-rookie
Damian Lillard,3065040,2012,Portland Trailblazers,Rookie
Damian Lillard,3202920,2013,Portland Trailblazers,Rookie
Damian Lillard,3340920,2014,Portland Trailblazers,Rookie
Damian Lillard,4236287,2015,Portland Trailblazers,Rookie
Damian Lillard,24328425,2016,Portland Trailblazers,Non-rookie
Damian Lillard,26153057,2017,Portland Trailblazers,Non-rookie
Jeremy Lin,"$473,604.00 ",2010,Golden State Warriors,Rookie
Jeremy Lin,762195,2011,New York Knicks,Rookie
Jeremy Lin,8374646,2012,Houston Rockets,Non-rookie
Jeremy Lin,8374646,2013,Houston Rockets,Non-rookie
Jeremy Lin,8374646,2014,Los Angeles Lakers,Non-rookie
Jeremy Lin,2100000,2015,Charlotte Hornets,Non-rookie
Jeremy Lin,11483254,2016,Brooklyn Nets,Non-rookie
Jeremy Lin,12000000,2017,Brooklyn Nets,Non-rookie
Shaun Livingston,"$3,500,000.00 ",2010,Charlotte Hornets,Non-rookie
Shaun Livingston,3500000,2011,Milwaukee Bucks,Non-rookie
Shaun Livingston,1000000,2012,Houston Rockets,Non-rookie
Shaun Livingston,1272279,2013,Brooklyn Nets,Non-rookie
Shaun Livingston,5305000,2014,Golden State Warriors,Non-rookie
Shaun Livingston,5543725,2015,Golden State Warriors,Non-rookie
Shaun Livingston,5782450,2016,Golden State Warriors,Non-rookie
Shaun Livingston,7692308,2017,Golden State Warriors,Non-rookie
Shawn Long,96969,2016,Philadelphia 76ers,Rookie
Kevon Looney,1131960,2015,Golden State Warriors,Rookie
Kevon Looney,1182840,2016,Golden State Warriors,Rookie
Kevon Looney,1471382,2017,Golden State Warriors,Rookie
Brook Lopez,"$2,413,320.00 ",2010,Brooklyn Nets,Rookie
Brook Lopez,3076983,2011,Brooklyn Nets,Rookie
Brook Lopez,13668750,2012,Brooklyn Nets,Non-rookie
Brook Lopez,14693906,2013,Brooklyn Nets,Non-rookie
Brook Lopez,15719063,2014,Brooklyn Nets,Non-rookie
Brook Lopez,20000000,2015,Brooklyn Nets,Non-rookie
Brook Lopez,21165675,2016,Brooklyn Nets,Non-rookie
Brook Lopez,22642350,2017,Los Angeles Lakers,Non-rookie
Robin Lopez,"$1,867,320.00 ",2010,Phoenix Suns,Rookie
Robin Lopez,2862602,2011,Phoenix Suns,Rookie
Robin Lopez,4899293,2012,New Orleans Pelicans,Non-rookie
Robin Lopez,5904261,2013,Portland Trailblazers,Non-rookie
Robin Lopez,6124728,2014,Portland Trailblazers,Non-rookie
Robin Lopez,13000000,2015,New York Knicks,Non-rookie
Robin Lopez,13219250,2016,Chicago Bulls,Non-rookie
Robin Lopez,13788500,2017,Chicago Bulls,Non-rookie
Kevin Love,"$3,638,280.00 ",2010,Minnesota Timberwolves,Rookie
Kevin Love,4609701,2011,Minnesota Timberwolves,Rookie
Kevin Love,13668750,2012,Minnesota Timberwolves,Non-rookie
Kevin Love,14693906,2013,Minnesota Timberwolves,Non-rookie
Kevin Love,15719062,2014,Cleveland Cavaliers,Non-rookie
Kevin Love,19500000,2015,Cleveland Cavaliers,Non-rookie
Kevin Love,21165675,2016,Cleveland Cavaliers,Non-rookie
Kevin Love,22642350,2017,Cleveland Cavaliers,Non-rookie
Kyle Lowry,"$5,750,000.00 ",2010,Houston Rockets,Non-rookie
Kyle Lowry,5750000,2011,Houston Rockets,Non-rookie
Kyle Lowry,5750000,2012,Toronto Raptors,Non-rookie
Kyle Lowry,6210000,2013,Toronto Raptors,Non-rookie
Kyle Lowry,12000000,2014,Toronto Raptors,Non-rookie
Kyle Lowry,12000000,2015,Toronto Raptors,Non-rookie
Kyle Lowry,12000000,2016,Toronto Raptors,Non-rookie
Kyle Lowry,28703704,2017,Toronto Raptors,Non-rookie
John Lucas III,"$208,264.00 ",2010,Chicago Bulls,Non-rookie
John Lucas III,915852,2011,Chicago Bulls,Non-rookie
John Lucas III,1500000,2012,Toronto Raptors,Non-rookie
John Lucas III,1600000,2013,Utah Jazz,Non-rookie
John Lucas III,123827,2014,Detroit Pistons,Non-rookie
John Lucas III,635753,2016,Minnesota Timberwolves,Non-rookie
Timothe Luwawu-Cabarrot,1326960,2016,Philadelphia 76ers,Rookie
Timothe Luwawu-Cabarrot,1386600,2017,Philadelphia 76ers,Rookie
Tyler Lydon,1579440,2017,Denver Nuggets,Rookie
Trey Lyles,2239800,2015,Utah Jazz,Rookie
Trey Lyles,2340600,2016,Utah Jazz,Rookie
Trey Lyles,2441400,2017,Denver Nuggets,Rookie
Scott Machado,192228,2012,Houston Rockets,Rookie
Vernon Macklin,473604,2011,Detroit Pistons,Rookie
Shelvin Mack,473604,2011,Washington Wizards,Rookie
Shelvin Mack,89670,2012,Philadelphia 76ers,Rookie
Shelvin Mack,884293,2013,Atlanta Hawks,Rookie
Shelvin Mack,2433333,2014,Atlanta Hawks,Rookie
Shelvin Mack,2433333,2015,Utah Jazz,Non-rookie
Shelvin Mack,2433334,2016,Utah Jazz,Non-rookie
Shelvin Mack,6000000,2017,Orlando Magic,Non-rookie
Corey Maggette,"$9,600,000.00 ",2010,Milwaukee Bucks,Non-rookie
Corey Maggette,10262069,2011,Charlotte Hornets,Non-rookie
Corey Maggette,10924138,2012,Detroit Pistons,Non-rookie
Jamaal Magloire,"$1,229,255.00 ",2010,Miami Heat,Non-rookie
Jamaal Magloire,1352181,2011,Toronto Raptors,Non-rookie
Ian Mahinmi,"$762,196.00 ",2010,Dallas Mavericks,Rookie
Ian Mahinmi,4000000,2012,Indiana Pacers,Non-rookie
Ian Mahinmi,4000000,2013,Indiana Pacers,Non-rookie
Ian Mahinmi,4000000,2014,Indiana Pacers,Non-rookie
Ian Mahinmi,4000000,2015,Indiana Pacers,Non-rookie
Ian Mahinmi,15944154,2016,Washington Wizards,Non-rookie
Ian Mahinmi,16661641,2017,Washington Wizards,Non-rookie
Thon Maker,2568600,2016,Milwaukee Bucks,Rookie
Thon Maker,2684160,2017,Milwaukee Bucks,Rookie
Devyn Marble,884879,2014,Orlando Magic,Rookie
Devyn Marble,845059,2015,Orlando Magic,Rookie
Shawn Marion,"$7,305,500.00 ",2010,Dallas Mavericks,Non-rookie
Shawn Marion,8022449,2011,Dallas Mavericks,Non-rookie
Shawn Marion,8646364,2012,Dallas Mavericks,Non-rookie
Shawn Marion,9316796,2013,Dallas Mavericks,Non-rookie
Shawn Marion,1448490,2014,Cleveland Cavaliers,Non-rookie
Boban Marjanovic,1200000,2015,San Antonio Spurs,Rookie
Boban Marjanovic,7000000,2016,Detroit Pistons,Rookie
Boban Marjanovic,7000000,2017,Los Angeles Clippers,Rookie
Lauri Markkanen,3821640,2017,Chicago Bulls,Rookie
Sean Marks,"$1,264,687.00 ",2010,Charlotte Hornets,Non-rookie
Kendall Marshall,1919160,2012,Phoenix Suns,Rookie
Kendall Marshall,2005560,2013,Phoenix Suns,Rookie
Kendall Marshall,915243,2014,Phoenix Suns,Rookie
Kendall Marshall,2144722,2015,Philadelphia 76ers,Rookie
Cartier Martin,"$854,389.00 ",2010,Washington Wizards,Rookie
Cartier Martin,915852,2012,Washington Wizards,Non-rookie
Cartier Martin,1145685,2014,Detroit Pistons,Non-rookie
Cartier Martin,1270964,2015,Detroit Pistons,Non-rookie
Jarell Martin,1230840,2015,Memphis Grizzlies,Rookie
Jarell Martin,1286160,2016,Memphis Grizzlies,Rookie
Jarell Martin,1471382,2017,Memphis Grizzlies,Rookie
Kenyon Martin,"$16,545,454.00 ",2010,Denver Nuggets,Non-rookie
Kenyon Martin,2500000,2011,Los Angeles Clippers,Non-rookie
Kenyon Martin,437470,2012,New York Knicks,Non-rookie
Kenyon Martin,1399507,2013,New York Knicks,Non-rookie
Kenyon Martin,414551,2014,Milwaukee Bucks,Non-rookie
Kevin Martin,"$11,100,005.00 ",2010,Houston Rockets,Non-rookie
Kevin Martin,11519840,2011,Houston Rockets,Non-rookie
Kevin Martin,12439675,2012,Oklahoma City Thunder,Non-rookie
Kevin Martin,6500000,2013,Minnesota Timberwolves,Non-rookie
Kevin Martin,6792500,2014,Minnesota Timberwolves,Non-rookie
Kevin Martin,7085000,2015,Minnesota Timberwolves,Non-rookie
Kevin Martin,1360305,2016,Minnesota Timberwolves,Non-rookie
Kevin Martin,1360305,2017,Minnesota Timberwolves,Non-rookie
Frank Mason III,1184385,2017,Sacramento Kings,Rookie
Roger Mason,"$1,400,000.00 ",2010,New York Knicks,Non-rookie
Roger Mason,1146337,2011,Washington Wizards,Non-rookie
Roger Mason,1223116,2012,New Orleans Pelicans,Non-rookie
Wesley Matthews,"$5,765,000.00 ",2010,Portland Trailblazers,Rookie
Wesley Matthews,6135160,2011,Portland Trailblazers,Rookie
Wesley Matthews,6505320,2012,Portland Trailblazers,Rookie
Wesley Matthews,6875480,2013,Portland Trailblazers,Non-rookie
Wesley Matthews,7245640,2014,Portland Trailblazers,Non-rookie
Wesley Matthews,16400000,2015,Dallas Mavericks,Non-rookie
Wesley Matthews,17100000,2016,Dallas Mavericks,Non-rookie
Wesley Matthews,17884176,2017,Dallas Mavericks,Non-rookie
Jason Maxiell,"$5,000,000.00 ",2010,Detroit Pistons,Non-rookie
Jason Maxiell,5000000,2011,Detroit Pistons,Non-rookie
Jason Maxiell,5000000,2012,Detroit Pistons,Non-rookie
Jason Maxiell,2500000,2013,Orlando Magic,Non-rookie
Jason Maxiell,1316809,2014,Charlotte Hornets,Non-rookie
Eric Maynor,"$1,417,800.00 ",2010,Oklahoma City Thunder,Rookie
Eric Maynor,1516680,2011,Oklahoma City Thunder,Rookie
Eric Maynor,2338721,2012,Portland Trailblazers,Rookie
Eric Maynor,2016000,2013,Washington Wizards,Non-rookie
Eric Maynor,2106720,2014,Philadelphia 76ers,Non-rookie
O.J. Mayo,"$4,456,200.00 ",2010,Memphis Grizzlies,Rookie
O.J. Mayo,5632637,2011,Memphis Grizzlies,Rookie
O.J. Mayo,4020000,2012,Dallas Mavericks,Non-rookie
O.J. Mayo,8000000,2013,Milwaukee Bucks,Non-rookie
O.J. Mayo,8000000,2014,Milwaukee Bucks,Non-rookie
O.J. Mayo,8000000,2015,Milwaukee Bucks,Non-rookie
Luc Mbah a Moute,"$854,389.00 ",2010,Milwaukee Bucks,Rookie
Luc Mbah a Moute,5000000,2011,Milwaukee Bucks,Rookie
Luc Mbah a Moute,4795192,2012,Milwaukee Bucks,Non-rookie
Luc Mbah a Moute,4588384,2013,Sacramento Kings,Non-rookie
Luc Mbah a Moute,4382576,2014,Philadelphia 76ers,Non-rookie
Luc Mbah a Moute,1270964,2015,Los Angeles Clippers,Non-rookie
Luc Mbah a Moute,2203000,2016,Los Angeles Clippers,Non-rookie
Luc Mbah a Moute,1471382,2017,Houston Rockets,Non-rookie
D.J. Mbenga,"$1,069,509.00 ",2010,New Orleans Pelicans,Non-rookie
Ray McCallum,816482,2014,Sacramento Kings,Rookie
Ray McCallum,947276,2015,San Antonio Spurs,Rookie
Ray McCallum,119494,2016,Charlotte Hornets,Rookie
Patrick McCaw,543471,2016,Golden State Warriors,Rookie
Patrick McCaw,1312611,2017,Golden State Warriors,Rookie
Sheldon Mac,543471,2016,Washington Wizards,Rookie
Sheldon Mac,1312611,2017,Atlanta Hawks,Rookie
CJ McCollum,2316720,2013,Portland Trailblazers,Rookie
CJ McCollum,2421000,2014,Portland Trailblazers,Rookie
CJ McCollum,2525160,2015,Portland Trailblazers,Rookie
CJ McCollum,3219579,2016,Portland Trailblazers,Rookie
CJ McCollum,23962573,2017,Portland Trailblazers,Non-rookie
T.J. McConnell,525093,2015,Philadelphia 76ers,Rookie
T.J. McConnell,874636,2016,Philadelphia 76ers,Rookie
T.J. McConnell,1471382,2017,Philadelphia 76ers,Rookie
Chris McCullough,1140240,2015,Brooklyn Nets,Rookie
Chris McCullough,1191480,2016,Washington Wizards,Rookie
Chris McCullough,1471382,2017,Washington Wizards,Rookie
K.J. McDaniels,507336,2014,Houston Rockets,Rookie
K.J. McDaniels,3333333,2015,Houston Rockets,Rookie
K.J. McDaniels,3333333,2016,Brooklyn Nets,Rookie
K.J. McDaniels,100000,2017,Toronto Raptors,Rookie
Doug McDermott,2277960,2014,Chicago Bulls,Rookie
Doug McDermott,2380440,2015,Chicago Bulls,Rookie
Doug McDermott,2483040,2016,Oklahoma City Thunder,Rookie
Doug McDermott,3294994,2017,Dallas Mavericks,Rookie
Antonio McDyess,"$4,860,000.00 ",2010,San Antonio Spurs,Non-rookie
Antonio McDyess,2640000,2011,San Antonio Spurs,Non-rookie
Mitch McGary,1400040,2014,Oklahoma City Thunder,Rookie
Mitch McGary,1463040,2015,Oklahoma City Thunder,Rookie
Mitch McGary,1526040,2016,Oklahoma City Thunder,Rookie
JaVale McGee,"$1,601,040.00 ",2010,Washington Wizards,Rookie
JaVale McGee,2462400,2011,Washington Wizards,Rookie
JaVale McGee,10000000,2012,Denver Nuggets,Non-rookie
JaVale McGee,10750000,2013,Denver Nuggets,Non-rookie
JaVale McGee,11250000,2014,Philadelphia 76ers,Non-rookie
JaVale McGee,12000000,2015,Philadelphia 76ers,Non-rookie
JaVale McGee,1403611,2016,Golden State Warriors,Non-rookie
JaVale McGee,1471382,2017,Golden State Warriors,Non-rookie
Tracy McGrady,"$1,352,181.00 ",2010,Detroit Pistons,Non-rookie
Tracy McGrady,1352181,2011,Atlanta Hawks,Non-rookie
Rodney McGruder,543471,2016,Miami Heat,Rookie
Rodney McGruder,1312611,2017,Miami Heat,Rookie
Dominic McGuire,"$884,120.00 ",2010,Charlotte Hornets,Rookie
Dominic McGuire,915852,2011,Golden State Warriors,Non-rookie
Dominic McGuire,181018,2012,Toronto Raptors,Non-rookie
Alfonzo McKinnie,815615,2017,Toronto Raptors,Rookie
Trey McKinney-Jones,46080,2017,Indiana Pacers,Rookie
Ben McLemore,2895960,2013,Sacramento Kings,Rookie
Ben McLemore,3026280,2014,Sacramento Kings,Rookie
Ben McLemore,3156600,2015,Sacramento Kings,Rookie
Ben McLemore,4008882,2016,Sacramento Kings,Rookie
Ben McLemore,5200000,2017,Memphis Grizzlies,Non-rookie
Jerel McNeal,29843,2014,Phoenix Suns,Rookie
Jordan McRae,172972,2015,Cleveland Cavaliers,Rookie
Jordan McRae,874636,2016,Cleveland Cavaliers,Rookie
Josh McRoberts,"$885,120.00 ",2010,Indiana Pacers,Rookie
Josh McRoberts,3000000,2011,Los Angeles Lakers,Non-rookie
Josh McRoberts,3135000,2012,Charlotte Hornets,Non-rookie
Josh McRoberts,2652000,2013,Charlotte Hornets,Non-rookie
Josh McRoberts,5305000,2014,Miami Heat,Non-rookie
Josh McRoberts,5543725,2015,Miami Heat,Non-rookie
Josh McRoberts,5782450,2016,Miami Heat,Non-rookie
Josh McRoberts,6021175,2017,Dallas Mavericks,Non-rookie
Jodie Meeks,"$762,195.00 ",2010,Philadelphia 76ers,Rookie
Jodie Meeks,854389,2011,Philadelphia 76ers,Rookie
Jodie Meeks,1500000,2012,Los Angeles Lakers,Rookie
Jodie Meeks,1550000,2013,Los Angeles Lakers,Non-rookie
Jodie Meeks,6000000,2014,Detroit Pistons,Non-rookie
Jodie Meeks,6270000,2015,Detroit Pistons,Non-rookie
Jodie Meeks,6540000,2016,Orlando Magic,Non-rookie
Jodie Meeks,3290000,2017,Washington Wizards,Non-rookie
Salah Mejri,525093,2015,Dallas Mavericks,Rookie
Salah Mejri,874636,2016,Dallas Mavericks,Rookie
Salah Mejri,1471382,2017,Dallas Mavericks,Rookie
Gal Mekel,816482,2014,Dallas Mavericks,Rookie
Gal Mekel,315760,2015,Dallas Mavericks,Rookie
Gal Mekel,315760,2016,Dallas Mavericks,Rookie
Gal Mekel,315760,2017,Dallas Mavericks,Rookie
Fab Melo,1254720,2012,Boston Celtics,Rookie
Fab Melo,1311240,2013,Memphis Grizzlies,Rookie
Fab Melo,437080,2014,Memphis Grizzlies,Rookie
Pops Mensah-Bonsu,"$364,461.00 ",2010,New Orleans Pelicans,Non-rookie
Jordan Mickey,1200000,2015,Boston Celtics,Rookie
Jordan Mickey,1223653,2016,Boston Celtics,Rookie
Jordan Mickey,1471382,2017,Miami Heat,Rookie
Khris Middleton,473604,2012,Detroit Pistons,Rookie
Khris Middleton,788872,2013,Milwaukee Bucks,Rookie
Khris Middleton,915243,2014,Milwaukee Bucks,Rookie
Khris Middleton,15000000,2015,Milwaukee Bucks,Non-rookie
Khris Middleton,15200000,2016,Milwaukee Bucks,Non-rookie
Khris Middleton,14100000,2017,Milwaukee Bucks,Non-rookie
C.J. Miles,"$3,700,000.00 ",2010,Utah Jazz,Non-rookie
C.J. Miles,3700000,2011,Utah Jazz,Non-rookie
C.J. Miles,2225000,2012,Cleveland Cavaliers,Non-rookie
C.J. Miles,2225000,2013,Cleveland Cavaliers,Non-rookie
C.J. Miles,4205000,2014,Indiana Pacers,Non-rookie
C.J. Miles,4394225,2015,Indiana Pacers,Non-rookie
C.J. Miles,4583450,2016,Indiana Pacers,Non-rookie
C.J. Miles,7936509,2017,Toronto Raptors,Non-rookie
Darko Milicic,"$4,325,000.00 ",2010,Minnesota Timberwolves,Non-rookie
Darko Milicic,4776500,2011,Minnesota Timberwolves,Non-rookie
Darko Milicic,5228000,2012,Minnesota Timberwolves,Non-rookie
Andre Miller,"$7,269,264.00 ",2010,Portland Trailblazers,Non-rookie
Andre Miller,7807728,2011,Denver Nuggets,Non-rookie
Andre Miller,5000000,2012,Denver Nuggets,Non-rookie
Andre Miller,5000000,2013,Denver Nuggets,Non-rookie
Andre Miller,4625000,2014,Sacramento Kings,Non-rookie
Andre Miller,1499187,2015,Minnesota Timberwolves,Non-rookie
Brad Miller,"$4,400,000.00 ",2010,Houston Rockets,Non-rookie
Brad Miller,4752000,2011,Minnesota Timberwolves,Non-rookie
Brad Miller,848000,2012,Phoenix Suns,Non-rookie
Darius Miller,473604,2012,New Orleans Pelicans,Rookie
Darius Miller,788872,2013,New Orleans Pelicans,Rookie
Darius Miller,400000,2014,New Orleans Pelicans,Rookie
Darius Miller,2100000,2017,New Orleans Pelicans,Non-rookie
Mike Miller,"$5,000,000.00 ",2010,Miami Heat,Non-rookie
Mike Miller,5400000,2011,Miami Heat,Non-rookie
Mike Miller,5800000,2012,Miami Heat,Non-rookie
Mike Miller,1399507,2013,Memphis Grizzlies,Non-rookie
Mike Miller,6600000,2014,Miami Heat,Non-rookie
Mike Miller,2854940,2015,Portland Trailblazers,Non-rookie
Mike Miller,3500000,2016,Denver Nuggets,Non-rookie
Quincy Miller,473604,2012,Denver Nuggets,Rookie
Quincy Miller,788872,2013,Denver Nuggets,Rookie
Quincy Miller,150000,2014,Denver Nuggets,Rookie
Quincy Miller,50000,2015,Brooklyn Nets,Rookie
Elijah Millsap,241731,2014,Utah Jazz,Rookie
Elijah Millsap,362878,2015,Utah Jazz,Rookie
Elijah Millsap,23069,2016,Phoenix Suns,Rookie
Paul Millsap,"$7,600,000.00 ",2010,Utah Jazz,Non-rookie
Paul Millsap,8103435,2011,Utah Jazz,Non-rookie
Paul Millsap,8603633,2012,Utah Jazz,Non-rookie
Paul Millsap,9500000,2013,Atlanta Hawks,Non-rookie
Paul Millsap,9500000,2014,Atlanta Hawks,Non-rookie
Paul Millsap,19000000,2015,Atlanta Hawks,Non-rookie
Paul Millsap,20072033,2016,Atlanta Hawks,Non-rookie
Paul Millsap,31269231,2017,Denver Nuggets,Non-rookie
Patty Mills,"$937,195.00 ",2010,Portland Trailblazers,Rookie
Patty Mills,1085120,2012,San Antonio Spurs,Rookie
Patty Mills,1133950,2013,San Antonio Spurs,Non-rookie
Patty Mills,3842105,2014,San Antonio Spurs,Non-rookie
Patty Mills,3578947,2015,San Antonio Spurs,Non-rookie
Patty Mills,3578948,2016,San Antonio Spurs,Non-rookie
Patty Mills,10714286,2017,San Antonio Spurs,Non-rookie
Yao Ming,"$17,686,100.00 ",2010,Houston Rockets,Non-rookie
Nikola Mirotic,5305000,2014,Chicago Bulls,Rookie
Nikola Mirotic,5543725,2015,Chicago Bulls,Rookie
Nikola Mirotic,5782450,2016,Chicago Bulls,Rookie
Nikola Mirotic,12500000,2017,New Orleans Pelicans,Non-rookie
Donovan Mitchell,2621280,2017,Utah Jazz,Rookie
Tony Mitchell,816482,2014,Phoenix Suns,Rookie
Nazr Mohammed,"$6,883,800.00 ",2010,Oklahoma City Thunder,Non-rookie
Nazr Mohammed,3750000,2011,Oklahoma City Thunder,Non-rookie
Nazr Mohammed,1352181,2012,Chicago Bulls,Non-rookie
Nazr Mohammed,1399507,2013,Chicago Bulls,Non-rookie
Nazr Mohammed,1448490,2014,Chicago Bulls,Non-rookie
Nazr Mohammed,352750,2015,Oklahoma City Thunder,Non-rookie
Malik Monk,2904480,2017,Charlotte Hornets,Rookie
Greg Monroe,"$2,798,040.00 ",2010,Detroit Pistons,Rookie
Greg Monroe,3007920,2011,Detroit Pistons,Rookie
Greg Monroe,3217680,2012,Detroit Pistons,Rookie
Greg Monroe,4086454,2013,Detroit Pistons,Rookie
Greg Monroe,5479934,2014,Detroit Pistons,Non-rookie
Greg Monroe,16400000,2015,Milwaukee Bucks,Non-rookie
Greg Monroe,17100000,2016,Milwaukee Bucks,Non-rookie
Greg Monroe,16384175,2017,Phoenix Suns,Non-rookie
Jamario Moon,"$3,000,000.00 ",2010,Los Angeles Clippers,Rookie
E'Twaun Moore,473604,2011,Boston Celtics,Rookie
E'Twaun Moore,762195,2012,Orlando Magic,Rookie
E'Twaun Moore,884293,2013,Orlando Magic,Rookie
E'Twaun Moore,948163,2014,Chicago Bulls,Rookie
E'Twaun Moore,1015421,2015,Chicago Bulls,Non-rookie
E'Twaun Moore,8081363,2016,New Orleans Pelicans,Non-rookie
E'Twaun Moore,8445024,2017,New Orleans Pelicans,Non-rookie
Eric Moreland,507336,2014,Sacramento Kings,Rookie
Eric Moreland,845059,2015,Sacramento Kings,Rookie
Eric Moreland,1739333,2017,Detroit Pistons,Rookie
Darius Morris,473604,2011,Los Angeles Lakers,Rookie
Darius Morris,962195,2012,Los Angeles Lakers,Rookie
Darius Morris,1046269,2013,Philadelphia 76ers,Rookie
Darius Morris,702756,2014,Brooklyn Nets,Rookie
Jaylen Morris,193536,2017,Atlanta Hawks,Rookie
Markieff Morris,1919160,2011,Phoenix Suns,Rookie
Markieff Morris,2063040,2012,Phoenix Suns,Rookie
Markieff Morris,2091840,2013,Phoenix Suns,Rookie
Markieff Morris,2989239,2014,Phoenix Suns,Rookie
Markieff Morris,8000000,2015,Washington Wizards,Non-rookie
Markieff Morris,7400000,2016,Washington Wizards,Non-rookie
Markieff Morris,8000000,2017,Washington Wizards,Non-rookie
Marcus Morris,1823280,2011,Houston Rockets,Rookie
Marcus Morris,1959960,2012,Phoenix Suns,Rookie
Marcus Morris,1987320,2013,Phoenix Suns,Rookie
Marcus Morris,2943221,2014,Phoenix Suns,Rookie
Marcus Morris,5000000,2015,Detroit Pistons,Non-rookie
Marcus Morris,4625000,2016,Detroit Pistons,Non-rookie
Marcus Morris,5000000,2017,Boston Celtics,Non-rookie
Anthony Morrow,"$4,000,000.00 ",2010,Brooklyn Nets,Rookie
Anthony Morrow,4000000,2011,Brooklyn Nets,Rookie
Anthony Morrow,4000000,2012,Dallas Mavericks,Non-rookie
Anthony Morrow,1027424,2013,New Orleans Pelicans,Non-rookie
Anthony Morrow,3200000,2014,Oklahoma City Thunder,Non-rookie
Anthony Morrow,3344000,2015,Oklahoma City Thunder,Non-rookie
Anthony Morrow,3488000,2016,Chicago Bulls,Non-rookie
Donatas Motiejunas,1453520,2012,Houston Rockets,Rookie
Donatas Motiejunas,1422720,2013,Houston Rockets,Rookie
Donatas Motiejunas,1483920,2014,Houston Rockets,Rookie
Donatas Motiejunas,2288205,2015,Houston Rockets,Rookie
Donatas Motiejunas,576724,2016,New Orleans Pelicans,Non-rookie
Arnett Moultrie,1042320,2012,Philadelphia 76ers,Rookie
Arnett Moultrie,1089240,2013,Philadelphia 76ers,Rookie
Arnett Moultrie,1136160,2014,New York Knicks,Rookie
Timofey Mozgov,"$3,567,096.00 ",2010,Denver Nuggets,Rookie
Timofey Mozgov,3343896,2011,Denver Nuggets,Rookie
Timofey Mozgov,3140429,2012,Denver Nuggets,Rookie
Timofey Mozgov,4400000,2013,Denver Nuggets,Rookie
Timofey Mozgov,4650000,2014,Cleveland Cavaliers,Non-rookie
Timofey Mozgov,4950000,2015,Cleveland Cavaliers,Non-rookie
Timofey Mozgov,16000000,2016,Los Angeles Lakers,Non-rookie
Timofey Mozgov,15280000,2017,Brooklyn Nets,Non-rookie
Emmanuel Mudiay,3102240,2015,Denver Nuggets,Rookie
Emmanuel Mudiay,3241800,2016,Denver Nuggets,Rookie
Emmanuel Mudiay,3381480,2017,New York Knicks,Rookie
Shabazz Muhammad,1887120,2013,Minnesota Timberwolves,Rookie
Shabazz Muhammad,1971960,2014,Minnesota Timberwolves,Rookie
Shabazz Muhammad,2056920,2015,Minnesota Timberwolves,Rookie
Shabazz Muhammad,3046299,2016,Minnesota Timberwolves,Rookie
Shabazz Muhammad,1238616,2017,Minnesota Timberwolves,Non-rookie
Byron Mullens,"$1,204,200.00 ",2010,Oklahoma City Thunder,Rookie
Byron Mullens,1288200,2011,Charlotte Hornets,Rookie
Byron Mullens,2253306,2012,Charlotte Hornets,Rookie
Byron Mullens,947907,2013,Los Angeles Clippers,Non-rookie
Erik Murphy,100000,2014,Boston Celtics,Rookie
Kevin Murphy,473604,2012,Utah Jazz,Rookie
Kevin Murphy,65000,2014,Utah Jazz,Rookie
Troy Murphy,"$11,968,253.00 ",2010,Golden State Warriors,Non-rookie
Troy Murphy,1352181,2011,Los Angeles Lakers,Non-rookie
Troy Murphy,214758,2012,Dallas Mavericks,Non-rookie
Dejounte Murray,1180080,2016,San Antonio Spurs,Rookie
Dejounte Murray,1312611,2017,San Antonio Spurs,Rookie
Jamal Murray,3210840,2016,Denver Nuggets,Rookie
Jamal Murray,3355320,2017,Denver Nuggets,Rookie
Toure' Murry,250000,2014,Utah Jazz,Rookie
Mike Muscala,816482,2014,Atlanta Hawks,Rookie
Mike Muscala,947276,2015,Atlanta Hawks,Rookie
Mike Muscala,1015696,2016,Atlanta Hawks,Rookie
Mike Muscala,5000000,2017,Atlanta Hawks,Rookie
Abdel Nader,1167333,2017,Boston Celtics,Rookie
Eduardo Najera,"$3,000,000.00 ",2010,Charlotte Hornets,Non-rookie
Eduardo Najera,2750000,2011,Charlotte Hornets,Non-rookie
Larry Nance Jr.,1155600,2015,Los Angeles Lakers,Rookie
Larry Nance Jr.,1207680,2016,Los Angeles Lakers,Rookie
Larry Nance Jr.,1471382,2017,Cleveland Cavaliers,Rookie
Shabazz Napier,1238640,2014,Miami Heat,Rookie
