rating,Team,mu,sd,name,coefs,index,player_id,finalpriors,finalse
-8.526489449,Oklahoma City Thunder,6.502986,5,Paul George,5.849547638,425,202331,2.239370218,0.375353251
-8.526489449,Oklahoma City Thunder,0.776217333,5,Raymond Felton,1.981786121,373,101109,-0.731712824,0.297064784
-8.526489449,Oklahoma City Thunder,9.510202667,5,Russell Westbrook,4.330412351,244,201566,3.799532845,0.569743397
-8.526489449,Oklahoma City Thunder,7.490636667,5,Steven Adams,3.913315173,129,203500,2.7517695,0.435172585
-8.526489449,Oklahoma City Thunder,0.595,5,Terrance Ferguson,-5.46470954,127,1628390,-0.825729498,0.304866618
-8.267971906,Boston Celtics,0.389111,5,Abdel Nader,-11.45031602,130,1627846,-0.932570524,0.307799539
-8.267971906,Boston Celtics,9.244801667,5,Al Horford,6.318148291,321,201143,3.661816625,0.549425716
-8.267971906,Boston Celtics,1.442666667,5,Aron Baynes,-2.359759861,178,203382,-0.385979321,0.265587955
-8.267971906,Boston Celtics,0.271871667,5,Daniel Theis,1.508158566,141,1628464,-0.993395016,0.313447893
-8.267971906,Boston Celtics,0.030952667,5,Demetrius Jackson,-1.072410205,516,1627743,-1.118385285,0.325535154
-8.267971906,Boston Celtics,9.9093,5,Gordon Hayward,6.974004242,462,202330,4.006562474,0.595820884
-8.267971906,Boston Celtics,0.74916,5,Guerschon Yabusele,-3.115336078,181,1627824,-0.745774874,0.291522374
-8.267971906,Boston Celtics,1.65216,5,Jaylen Brown,-8.33879316,2,1627759,-0.277292883,0.259415787
-8.267971906,Boston Celtics,1.8818,5,Jayson Tatum,3.790331179,1,1628369,-0.158154229,0.253660697
-8.267971906,Boston Celtics,6.289541667,5,Kyrie Irving,7.474955924,405,202681,2.128609439,0.359346391
-8.267971906,Boston Celtics,1.666666667,5,Marcus Morris,-4.003746685,0,202694,-0.269766734,0.259020218
-8.267971906,Boston Celtics,1.512673333,5,Marcus Smart,-2.526955305,492,203935,-0.349659429,0.263431363
-8.267971906,Boston Celtics,0.430630667,5,Semi Ojeleye,0.808617368,182,1628400,-0.911029864,0.305838231
-8.267971906,Boston Celtics,0.66284,5,Terry Rozier,-2.256051596,3,1626179,-0.790558224,0.295268802
-8.012503388,San Antonio Spurs,0.437537,5,Bryn Forbes,-0.870061908,242,1627854,-0.907471064,0.29944702
-8.012503388,San Antonio Spurs,3.333333333,5,Danny Green,10.07221859,465,201980,0.594886003,0.238946039
-8.012503388,San Antonio Spurs,0.437537,5,Davis Bertans,2.200353808,98,202722,-0.907471064,0.29944702
-8.012503388,San Antonio Spurs,0.4682,5,Derrick White,4.975830908,423,1628401,-0.89156291,0.297995897
-8.012503388,San Antonio Spurs,6.289541667,5,Kawhi Leonard,-0.923429553,183,202695,2.12858519,0.355868471
-8.012503388,San Antonio Spurs,0.717234667,5,Kyle Anderson,-2.069205135,216,203937,-0.762362183,0.286660557
-8.012503388,San Antonio Spurs,7.15367,5,LaMarcus Aldridge,-1.864602111,100,200746,2.57690032,0.408152803
-8.012503388,San Antonio Spurs,3.571428667,5,Patty Mills,7.75496594,101,201988,0.718411337,0.242592093
-8.012503388,San Antonio Spurs,5.333333333,5,Pau Gasol,0.065897617,498,2200,1.632498386,0.304602496
-8.012503388,San Antonio Spurs,2.802,5,Rudy Gay,3.703052593,388,200752,0.31922698,0.235810311
-8.012503388,San Antonio Spurs,5.151042,5,Tony Parker,6.373525311,253,2225,1.537924514,0.295906964
-7.507833506,Minnesota Timberwolves,2.524774,5,Andrew Wiggins,3.076373756,352,203952,0.175352513,0.224892682
-7.507833506,Minnesota Timberwolves,4.70412,5,Gorgui Dieng,-4.264043837,351,203476,1.306010711,0.26779658
-7.507833506,Minnesota Timberwolves,3.647587333,5,Jamal Crawford,-3.567059171,374,2037,0.757875022,0.233276739
-7.507833506,Minnesota Timberwolves,6.333333333,5,Jeff Teague,1.654368958,17,201952,2.151256676,0.352688205
-7.507833506,Minnesota Timberwolves,6.43369,5,Jimmy Butler,1.837896263,451,202710,2.203322336,0.358699063
-7.507833506,Minnesota Timberwolves,0.74916,5,Justin Patton,-0.272465646,493,1628383,-0.745847024,0.274014535
-7.507833506,Minnesota Timberwolves,2.07228,5,Karl-Anthony Towns,1.011620538,249,1626157,-0.059404176,0.230790876
-7.507833506,Minnesota Timberwolves,1.316666333,5,Nemanja Bjelica,-1.419381854,327,202357,-0.451421225,0.251350531
-7.507833506,Minnesota Timberwolves,4.666666667,5,Taj Gibson,-3.913796351,248,201959,1.28657969,0.266223662
-7.507833506,Minnesota Timberwolves,0.490460667,5,Tyus Jones,-1.931877742,18,1626145,-0.88006184,0.285975252
-7.476474607,Portland Trail Blazers,2.439678333,5,Al-Farouq Aminu,0.787085426,400,202329,0.131201377,0.224908199
-7.476474607,Portland Trail Blazers,0.48864,5,Caleb Swanigan,-1.131927743,372,1628403,-0.88100939,0.285430735
-7.476474607,Portland Trail Blazers,8.717685667,5,Damian Lillard,4.816413476,63,203081,3.388270453,0.508120604
-7.476474607,Portland Trail Blazers,2.117510333,5,Ed Davis,3.253921946,496,202334,-0.035941376,0.22927195
-7.476474607,Portland Trail Blazers,5.710382667,5,Evan Turner,-2.85222898,187,202323,1.828063037,0.316689012
-7.476474607,Portland Trail Blazers,0.437537,5,Jake Layman,-3.622521999,499,1627774,-0.907521943,0.287902252
-7.476474607,Portland Trail Blazers,0.982435,5,Jusuf Nurkic,5.081778844,301,203994,-0.624825487,0.263396013
-7.476474607,Portland Trail Blazers,3.387640667,5,Maurice Harkless,0.194566761,325,203090,0.623010106,0.227830417
-7.476474607,Portland Trail Blazers,3.301498333,5,Meyers Leonard,-1.203423678,201,203086,0.578318929,0.226595071
-7.476474607,Portland Trail Blazers,1.168411,5,Noah Vonleh,5.366275203,223,203943,-0.528339986,0.256074326
-7.476474607,Portland Trail Blazers,0.490460667,5,Pat Connaughton,0.315531812,199,1626192,-0.880064817,0.28534329
-7.476474607,Portland Trail Blazers,0.78712,5,Shabazz Napier,-0.989009848,446,203894,-0.726156118,0.271688027
-7.476474607,Portland Trail Blazers,1.01908,5,Zach Collins,0.448965722,458,1628380,-0.605813834,0.261907454
-7.100591941,New Orleans Pelicans,7.925168667,5,Anthony Davis,6.347052676,42,203076,2.977072048,0.452063689
-7.100591941,New Orleans Pelicans,0.437537,5,Cheick Diallo,3.221349041,303,1627767,-0.907557621,0.280849189
-7.100591941,New Orleans Pelicans,0.766666667,5,Dante Cunningham,-2.834432961,369,201967,-0.736803112,0.265314313
-7.100591941,New Orleans Pelicans,0.7,5,Darius Miller,-2.102195196,78,203121,-0.771390191,0.268339894
-7.100591941,New Orleans Pelicans,6.021283333,5,DeMarcus Cousins,-7.200406076,402,202326,1.989324549,0.330579831
-7.100591941,New Orleans Pelicans,0.271871667,5,Frank Jackson,-2.503738192,240,1628402,-0.993505821,0.289195469
-7.100591941,New Orleans Pelicans,0.525743333,5,Ian Clark,-2.277892211,336,203546,-0.861795629,0.27654318
-7.100591941,New Orleans Pelicans,8.562222333,5,Jrue Holiday,7.319063972,454,201950,3.307579435,0.495776569
-7.100591941,New Orleans Pelicans,0.033333333,5,Quinn Cook,-4.242515463,254,1626188,-1.117260986,0.301757451
-7.100591941,New Orleans Pelicans,1.1,5,Rajon Rondo,-3.268296284,168,200765,-0.563867715,0.251218864
-7.100591941,New Orleans Pelicans,4.078845,5,Solomon Hill,-3.598701536,79,203524,0.981575515,0.238066037
-6.91526888,Indiana Pacers,3.5,5,Bojan Bogdanovic,7.64900029,264,202711,0.681249555,0.219926445
-6.91526888,Indiana Pacers,2.543333333,5,Cory Joseph,-0.873698656,119,202709,0.184924965,0.21302515
-6.91526888,Indiana Pacers,3.333333333,5,Darren Collison,-0.285995141,121,201954,0.594781856,0.216943992
-6.91526888,Indiana Pacers,0.85,5,Domantas Sabonis,0.125431146,377,1627734,-0.693586853,0.258371811
-6.91526888,Indiana Pacers,0.033333333,5,Georges Niang,-11.3828362,137,1627777,-1.117278576,0.298740877
-6.91526888,Indiana Pacers,0.316666667,5,Ike Anigbogu,-0.023720095,268,1628387,-0.970283488,0.283805341
-6.91526888,Indiana Pacers,1.393333333,5,Lance Stephenson,-0.294244644,363,202362,-0.411702156,0.23703192
-6.91526888,Indiana Pacers,0.85664,5,Myles Turner,-2.499233657,331,1626167,-0.69014198,0.258080645
-6.91526888,Indiana Pacers,4.932116,5,Thaddeus Young,0.214169593,117,201152,1.424240203,0.270497989
-6.91526888,Indiana Pacers,7,5,Victor Oladipo,6.715519618,203,203506,2.497071225,0.389857433
-6.899803629,Denver Nuggets,1.12716,5,Emmanuel Mudiay,2.322921659,87,1626144,-0.549795997,0.24656389
