,rating,Team,Type,mu,sd,name,finalpriors,finalse,player_id,index,player_name
0,7.07248675076478,San Antonio Spurs,Non-rookie,6.858335,5,LaMarcus Aldridge,3.257039937043664,4.382985684235935,200746.0,184,LaMarcus Aldridge
1,7.07248675076478,San Antonio Spurs,Non-rookie,0.22127,5,Joel Anthony,-1.1274237453314127,4.382985684235935,201202.0,348,Joel Anthony
2,7.07248675076478,San Antonio Spurs,Non-rookie,5.166666666666667,5,Pau Gasol,2.9045355425141537,4.382985684235935,2200.0,375,Pau Gasol
3,7.07248675076478,San Antonio Spurs,Non-rookie,4.666666666666667,5,Manu Ginobili,1.8900034493421622,4.382985684235935,1938.0,350,Manu Ginobili
4,7.07248675076478,San Antonio Spurs,Non-rookie,3.333333333333333,5,Danny Green,0.5091073751570362,4.382985684235935,201980.0,426,Danny Green
5,7.07248675076478,San Antonio Spurs,Non-rookie,0.5172196666666666,5,David Lee,-0.7033338699314371,4.382985684235935,101135.0,155,David Lee
6,7.07248675076478,San Antonio Spurs,Non-rookie,5.879354333333334,5,Kawhi Leonard,3.3516953155011127,4.382985684235935,202695.0,31,Kawhi Leonard
7,7.07248675076478,San Antonio Spurs,Non-rookie,1.1929826666666667,5,Patty Mills,0.29176900978182485,4.382985684235935,201988.0,32,Patty Mills
8,7.07248675076478,San Antonio Spurs,Non-rookie,4.815104333333333,5,Tony Parker,2.542477886285657,4.382985684235935,2225.0,291,Tony Parker
9,6.50224258300771,Golden State Warriors,Non-rookie,4.037453,5,Stephen Curry,1.2555286400073196,4.382985684235935,201939.0,279,Stephen Curry
10,6.50224258300771,Golden State Warriors,Non-rookie,8.8467,5,Kevin Durant,3.8188235211344477,4.382985684235935,201142.0,300,Kevin Durant
11,6.50224258300771,Golden State Warriors,Non-rookie,5.110144999999999,5,Draymond Green,2.453853288663007,4.382985684235935,203110.0,15,Draymond Green
12,6.50224258300771,Golden State Warriors,Non-rookie,3.7104559999999998,5,Andre Iguodala,0.5091073751570362,4.382985684235935,2738.0,202,Andre Iguodala
13,6.50224258300771,Golden State Warriors,Non-rookie,1.9274833333333332,5,Shaun Livingston,0.36606516607814527,4.382985684235935,2733.0,201,Shaun Livingston
14,6.50224258300771,Golden State Warriors,Non-rookie,0.4678703333333333,5,JaVale McGee,-0.7033338699314371,4.382985684235935,201580.0,96,JaVale McGee
15,6.50224258300771,Golden State Warriors,Non-rookie,0.966,5,Zaza Pachulia,-0.08204950427504784,4.382985684235935,2585.0,416,Zaza Pachulia
16,6.50224258300771,Golden State Warriors,Non-rookie,5.554525,5,Klay Thompson,3.3516953155011127,4.382985684235935,202691.0,14,Klay Thompson
17,6.50224258300771,Golden State Warriors,Non-rookie,0.5172196666666666,5,David West,-0.7033338699314371,4.382985684235935,2561.0,16,David West
18,4.56459318218398,Oklahoma City Thunder,Non-rookie,0.08266366666666666,5,Norris Cole,-1.181947578952547,4.382985684235935,202708.0,256,Norris Cole
19,4.56459318218398,Oklahoma City Thunder,Non-rookie,1.25,5,Nick Collison,0.29176900978182485,4.382985684235935,2555.0,411,Nick Collison
20,4.56459318218398,Oklahoma City Thunder,Non-rookie,2.9833333333333334,5,Taj Gibson,0.5091073751570362,4.382985684235935,201959.0,53,Taj Gibson
21,4.56459318218398,Oklahoma City Thunder,Non-rookie,5.715279333333332,5,Enes Kanter,3.3516953155011127,4.382985684235935,202683.0,59,Enes Kanter
22,4.56459318218398,Oklahoma City Thunder,Non-rookie,0.8525149999999999,5,Ronnie Price,-0.4268617735004662,4.382985684235935,101179.0,448,Ronnie Price
23,4.56459318218398,Oklahoma City Thunder,Non-rookie,1.6125,5,Kyle Singler,0.36606516607814527,4.382985684235935,202713.0,315,Kyle Singler
24,4.56459318218398,Oklahoma City Thunder,Non-rookie,8.8467,5,Russell Westbrook,3.8188235211344477,4.382985684235935,201566.0,204,Russell Westbrook
25,3.62389773336043,Cleveland Cavaliers,Non-rookie,2.6023236666666665,5,Channing Frye,0.5091073751570362,4.382985684235935,101112.0,299,Channing Frye
26,3.62389773336043,Cleveland Cavaliers,Non-rookie,5.879354333333334,5,Kyrie Irving,3.3516953155011127,4.382985684235935,202681.0,298,Kyrie Irving
27,3.62389773336043,Cleveland Cavaliers,Non-rookie,10.32115,5,LeBron James,3.8188235211344477,4.382985684235935,2544.0,77,LeBron James
28,3.62389773336043,Cleveland Cavaliers,Non-rookie,0.8333333333333334,5,Richard Jefferson,-0.6002133508798956,4.382985684235935,2210.0,78,Richard Jefferson
29,3.62389773336043,Cleveland Cavaliers,Non-rookie,0.008007333333333333,5,Dahntay Jones,-1.0988209355855627,4.382985684235935,2563.0,454,Dahntay Jones
30,3.62389773336043,Cleveland Cavaliers,Non-rookie,0.5172196666666666,5,James Jones,-0.7033338699314371,4.382985684235935,2592.0,80,James Jones
31,3.62389773336043,Cleveland Cavaliers,Non-rookie,1.7464790000000001,5,Kyle Korver,0.36606516607814527,4.382985684235935,2594.0,89,Kyle Korver
32,3.62389773336043,Cleveland Cavaliers,Non-rookie,7.055225,5,Kevin Love,3.257039937043664,4.382985684235935,201567.0,363,Kevin Love
33,3.62389773336043,Cleveland Cavaliers,Non-rookie,3.2333333333333334,5,Iman Shumpert,0.5091073751570362,4.382985684235935,202697.0,79,Iman Shumpert
34,3.62389773336043,Cleveland Cavaliers,Non-rookie,5.110144999999999,5,Tristan Thompson,2.453853288663007,4.382985684235935,202684.0,430,Tristan Thompson
