,Team,rating,Type,mu,sd,name,finalpriors,finalse,player_id,index,player_name
36,Boston Celtics,2.709757135,Rookie,0.014831666666666668,5,Jonathan Gibson,-0.6193475742806888,3.3994436861887696,1626780.0,524,Jonathan Gibson
37,Boston Celtics,2.709757135,Rookie,0.38911100000000004,5,Abdel Nader,-0.6698269847267927,3.3994436861887696,1627846.0,134,Abdel Nader
38,Boston Celtics,2.709757135,Rookie,0.43063066666666666,5,Semi Ojeleye,-0.649841868741477,3.3994436861887696,1628400.0,202,Semi Ojeleye
39,Boston Celtics,2.709757135,Rookie,0.66284,5,Terry Rozier,-0.5454720241529026,3.3994436861887696,1626179.0,119,Terry Rozier
40,Boston Celtics,2.709757135,Rookie,0.024719666666666668,5,Xavier Silas,-0.6193475742806888,3.3994436861887696,202918.0,378,Xavier Silas
41,Boston Celtics,2.709757135,Rookie,1.512673333333333,5,Marcus Smart,-0.38363126071242193,3.3994436861887696,203935.0,511,Marcus Smart
42,Boston Celtics,2.709757135,Rookie,1.8818,5,Jayson Tatum,0.7390430627977267,3.3994436861887696,1628369.0,120,Jayson Tatum
43,Boston Celtics,2.709757135,Rookie,0.2718716666666667,5,Daniel Theis,-0.6949881229754962,3.3994436861887696,1628464.0,280,Daniel Theis
44,Boston Celtics,2.709757135,Rookie,0.74916,5,Guerschon Yabusele,-0.3094272976543182,3.3994436861887696,1627824.0,273,Guerschon Yabusele
45,Boston Celtics,2.709757135,Rookie,0.03095266666666667,5,Demetrius Jackson,-0.5999047172518958,3.3994436861887696,1627743.0,522,Demetrius Jackson
46,Washington Wizards,2.37472787,Rookie,0.6666666666666666,5,Tim Frazier,-0.49908202731676904,3.3994436861887696,204025.0,515,Tim Frazier
47,Washington Wizards,2.37472787,Rookie,0.4904606666666666,5,Chris McCullough,-0.8136412273721847,3.3994436861887696,1626191.0,356,Chris McCullough
48,Washington Wizards,2.37472787,Rookie,0.69768,5,Kelly Oubre Jr.,-0.3280827077634412,3.3994436861887696,1626162.0,394,Kelly Oubre Jr.
49,Washington Wizards,2.37472787,Rookie,1.0,5,Tomas Satoransky,-0.10778941141129116,3.3994436861887696,203107.0,56,Tomas Satoransky
50,Oklahoma City Thunder,2.082185522,Rookie,1.9083333333333332,5,Alex Abrines,0.6388006994123612,3.3994436861887696,203518.0,103,Alex Abrines
51,Oklahoma City Thunder,2.082185522,Rookie,0.595,5,Terrance Ferguson,-0.5097552222688291,3.3994436861887696,1628390.0,99,Terrance Ferguson
52,Oklahoma City Thunder,2.082185522,Rookie,0.5081016666666667,5,Jerami Grant,-0.30213397630035926,3.3994436861887696,203924.0,101,Jerami Grant
53,Oklahoma City Thunder,2.082185522,Rookie,0.4904606666666666,5,Josh Huestis,-0.8136412273721847,3.3994436861887696,203962.0,340,Josh Huestis
54,Oklahoma City Thunder,2.082185522,Rookie,0.2718716666666667,5,Dakari Johnson,-0.6949881229754962,3.3994436861887696,1626177.0,131,Dakari Johnson
55,Memphis Grizzlies,1.934503325,Rookie,0.2718716666666667,5,Dillon Brooks,-0.6949881229754962,3.3994436861887696,1628415.0,501,Dillon Brooks
56,Memphis Grizzlies,1.934503325,Rookie,0.437537,5,Deyonta Davis,-0.6575520540022329,3.3994436861887696,1627738.0,377,Deyonta Davis
57,Memphis Grizzlies,1.934503325,Rookie,0.437537,5,Andrew Harrison,-0.6575520540022329,3.3994436861887696,1626150.0,23,Andrew Harrison
58,Memphis Grizzlies,1.934503325,Rookie,0.44372,5,Brice Johnson,-0.6575520540022329,3.3994436861887696,1627744.0,222,Brice Johnson
59,Memphis Grizzlies,1.934503325,Rookie,0.009216,5,Omari Johnson,-0.5212667636453397,3.3994436861887696,204179.0,266,Omari Johnson
60,Memphis Grizzlies,1.934503325,Rookie,0.4904606666666666,5,Jarell Martin,-0.8136412273721847,3.3994436861887696,1626185.0,22,Jarell Martin
61,Memphis Grizzlies,1.934503325,Rookie,0.31666666666666665,5,Ivan Rabb,-0.702624252113519,3.3994436861887696,1628397.0,163,Ivan Rabb
62,Memphis Grizzlies,1.934503325,Rookie,0.015359999999999999,5,Xavier Rathan-Mayes,-0.6193475742806888,3.3994436861887696,1628504.0,370,Xavier Rathan-Mayes
63,Memphis Grizzlies,1.934503325,Rookie,0.437537,5,Wayne Selden,-0.6575520540022329,3.3994436861887696,1627782.0,105,Wayne Selden
64,Miami Heat,1.904907009,Rookie,0.8301200000000001,5,Bam Adebayo,-0.15820450615938275,3.3994436861887696,1628389.0,84,Bam Adebayo
65,Miami Heat,1.904907009,Rookie,1.96042,5,Tyler Johnson,0.7143057611704926,3.3994436861887696,204020.0,262,Tyler Johnson
66,Miami Heat,1.904907009,Rookie,0.437537,5,Rodney McGruder,-0.6575520540022329,3.3994436861887696,203585.0,218,Rodney McGruder
67,Miami Heat,1.904907009,Rookie,0.4904606666666666,5,Jordan Mickey,-0.8136412273721847,3.3994436861887696,1626175.0,516,Jordan Mickey
68,Miami Heat,1.904907009,Rookie,0.4904606666666666,5,Josh Richardson,-0.8136412273721847,3.3994436861887696,1626196.0,351,Josh Richardson
