,player_id,index,player_name
0,201952,0,Jeff Teague
1,203471,1,Dennis Schroder
2,203488,2,Mike Muscala
3,203145,3,Kent Bazemore
4,203503,4,Tony Snell
5,201166,5,Aaron Brooks
6,202734,6,E'Twaun Moore
7,201959,7,Taj Gibson
8,202691,8,Klay Thompson
9,203110,9,Draymond Green
10,203105,10,Festus Ezeli
11,203084,11,Harrison Barnes
12,2571,12,Leandro Barbosa
13,201578,13,Marreese Speights
14,201575,14,Brandon Rush
15,202696,15,Nikola Vucevic
16,1626209,16,Mario Hezonja
17,202699,17,Tobias Harris
18,201160,18,Jason Smith
19,203473,19,Dewayne Dedmon
20,202340,20,Avery Bradley
21,101161,21,Amir Johnson
22,203109,22,Jae Crowder
23,202738,23,Isaiah Thomas
24,101135,24,David Lee
25,1626179,25,Terry Rozier
26,201152,26,Thaddeus Young
27,201572,27,Brook Lopez
28,1626178,28,Rondae Hollis-Jefferson
29,202694,29,Marcus Morris
30,201229,30,Anthony Tolliver
31,203493,31,Reggie Bullock
32,201609,32,Goran Dragic
33,1626159,33,Justise Winslow
34,101123,34,Gerald Green
35,200768,35,Kyle Lowry
36,201960,36,DeMarre Carroll
37,203082,37,Terrence Ross
38,201935,38,James Harden
39,1626149,39,Montrezl Harrell
40,1891,40,Jason Terry
41,203909,41,KJ McDaniels
42,201188,42,Marc Gasol
43,2754,43,Tony Allen
44,2440,44,Matt Barnes
45,2757,45,Beno Udrih
46,201573,46,Jerryd Bayless
47,203142,47,Chris Copeland
48,203114,48,Khris Middleton
49,203948,49,Johnny O'Bryant III
50,203460,50,Andre Roberson
51,203500,51,Steven Adams
52,202683,52,Enes Kanter
53,201571,53,D.J. Augustin
54,203079,54,Dion Waiters
55,201586,55,Serge Ibaka
56,202688,56,Brandon Knight
57,202720,57,Jon Leuer
58,201603,58,Sonny Weems
59,203081,59,Damian Lillard
60,203459,60,Allen Crabbe
61,203468,61,CJ McCollum
62,203463,62,Ben McLemore
63,201956,63,Omri Casspi
64,201954,64,Darren Collison
65,202341,65,James Anderson
66,201158,66,Marco Belinelli
67,203944,67,Julius Randle
68,201156,68,Nick Young
69,1626273,69,Marcelo Huertas
70,203527,70,Ryan Kelly
71,101133,71,Ian Mahinmi
72,201155,72,Rodney Stuckey
73,202730,73,Lavoy Allen
74,204001,74,Kristaps Porzingis
75,2756,75,Sasha Vujacic
76,1626170,76,Jerian Grant
77,202498,77,Lance Thomas
78,201933,78,Blake Griffin
79,203085,79,Austin Rivers
80,203143,80,Pablo Prigioni
81,201601,81,Luc Mbah a Moute
82,2544,82,LeBron James
83,203521,83,Matthew Dellavedova
84,2760,84,Anderson Varejao
85,2210,85,Richard Jefferson
86,2592,86,James Jones
87,201228,87,C.J. Watson
88,203457,88,Nerlens Noel
89,203917,89,Nik Stauskas
90,204456,90,T.J. McConnell
91,203138,91,Hollis Thompson
92,203118,92,Mike Scott
93,202695,93,Kawhi Leonard
94,201988,94,Patty Mills
95,203937,95,Kyle Anderson
96,2561,96,David West
97,2564,97,Boris Diaw
98,200746,98,LaMarcus Aldridge
99,1626144,99,Emmanuel Mudiay
100,201568,100,Danilo Gallinari
101,203115,101,Will Barton
102,203914,102,Gary Harris
103,2730,103,Dwight Howard
104,203552,104,Seth Curry
105,202339,105,Eric Bledsoe
106,203458,106,Alex Len
107,203524,107,Solomon Hill
108,203490,108,Otto Porter Jr.
109,2400,109,Drew Gooden
110,203078,110,Bradley Beal
111,201569,111,Eric Gordon
112,201600,112,Omer Asik
113,202337,113,Luke Babbitt
114,200755,114,JJ Redick
115,101108,115,Chris Paul
116,202689,116,Kemba Walker
117,203469,117,Cody Zeller
118,203087,118,Jeremy Lamb
119,203461,119,Anthony Bennett
120,202703,120,Nikola Mirotic
121,201565,121,Derrick Rose
122,203496,122,Robert Covington
123,203080,123,Thomas Robinson
124,200745,124,Andrea Bargnani
125,101127,125,Jarrett Jack
126,204038,126,Langston Galloway
127,201577,127,Robin Lopez
128,202338,128,Kevin Seraphin
129,708,129,Kevin Garnett
130,2755,130,Kevin Martin
131,1626157,131,Karl-Anthony Towns
132,201574,132,Jason Thompson
133,203584,133,Troy Daniels
134,203083,134,Andre Drummond
135,2736,135,Luol Deng
136,202087,136,Alonzo Gee
137,203076,137,Anthony Davis
138,202083,138,Wesley Matthews
139,101109,139,Raymond Felton
140,203939,140,Dwight Powell
141,101114,141,Deron Williams
142,2734,142,Devin Harris
143,1626147,143,Justin Anderson
144,1626156,144,D'Angelo Russell
145,977,145,Kobe Bryant
146,203922,146,Glenn Robinson III
147,2403,147,Nene
148,203200,148,Justin Holiday
149,2772,149,Trevor Ariza
150,202349,150,Greivis Vasquez
151,203141,151,Mirza Teletovic
152,203526,152,Raul Neto
153,203497,153,Rudy Gobert
154,202692,154,Alec Burks
155,202407,155,Elijah Millsap
156,203926,156,Doug McDermott
157,203940,157,Adreian Payne
158,203498,158,Shabazz Muhammad
159,1889,159,Andre Miller
160,202379,160,Jeremy Evans
161,1626242,161,Luis Montero
162,201941,162,Jordan Hill
163,2594,163,Kyle Korver
164,202344,164,Trevor Booker
165,203516,165,James Ennis III
166,203943,166,Noah Vonleh
167,201588,167,George Hill
168,2733,168,Shaun Livingston
169,201162,169,Jared Dudley
170,201196,170,Ramon Sessions
171,202685,171,Jonas Valanciunas
172,1626181,172,Norman Powell
173,1626145,173,Tyus Jones
174,202690,174,Jimmer Fredette
175,1626154,175,RJ Hunter
176,2216,176,Zach Randolph
177,201945,177,Gerald Henderson
178,101139,178,CJ Miles
179,2406,179,Caron Butler
