,Unnamed: 0,rating,Team,mu,sd,name,Contract Value,Year,Type,coefs,index,player_id,player_name
38,86,8.267971906,Boston Celtics,0.66284,5,Terry Rozier,"$1,988,520.00 ",2017,Rookie,1.7683909451437358,119,1626179.0,Terry Rozier
39,87,8.012503387999999,San Antonio Spurs,0.271871667,5,Brandon Paul,"$815,615.00 ",2017,Rookie,4.066323286905893,247,203464.0,Brandon Paul
40,88,8.012503387999999,San Antonio Spurs,0.437537,5,Bryn Forbes,"$1,312,611.00 ",2017,Rookie,0.20504735549816824,188,1627854.0,Bryn Forbes
41,90,8.012503387999999,San Antonio Spurs,0.437537,5,Davis Bertans,"$1,312,611.00 ",2017,Rookie,0.008210647552178152,80,202722.0,Davis Bertans
42,91,8.012503387999999,San Antonio Spurs,0.437537,5,Dejounte Murray,"$1,312,611.00 ",2017,Rookie,-2.702436027697224,82,1627749.0,Dejounte Murray
43,92,8.012503387999999,San Antonio Spurs,0.4682,5,Derrick White,"$1,404,600.00 ",2017,Rookie,1.62745566637508,465,1628401.0,Derrick White
44,93,8.012503387999999,San Antonio Spurs,0.508101667,5,Joffrey Lauvergne,"$1,524,305.00 ",2017,Rookie,-4.450499377480078,220,203530.0,Joffrey Lauvergne
45,95,8.012503387999999,San Antonio Spurs,0.717234667,5,Kyle Anderson,"$2,151,704.00 ",2017,Rookie,-0.5567012683478882,81,203937.0,Kyle Anderson
46,110,7.507833506,Minnesota Timberwolves,0.74916,5,Justin Patton,"$2,247,480.00 ",2017,Rookie,0.25944952923958153,523,1628383.0,Justin Patton
47,112,7.507833506,Minnesota Timberwolves,0.437537,5,Marcus Georges-Hunt,"$1,312,611.00 ",2017,Rookie,-1.497682497882976,30,1627875.0,Marcus Georges-Hunt
48,113,7.507833506,Minnesota Timberwolves,1.316666333,5,Nemanja Bjelica,"$3,949,999.00 ",2017,Rookie,-1.1989412798055286,415,202357.0,Nemanja Bjelica
49,116,7.507833506,Minnesota Timberwolves,0.490460667,5,Tyus Jones,"$1,471,382.00 ",2017,Rookie,-0.6815802234685169,28,1626145.0,Tyus Jones
50,118,7.476474607,Portland Trail Blazers,0.48863999999999996,5,Caleb Swanigan,"$1,465,920.00 ",2017,Rookie,0.4036791014089225,231,1628403.0,Caleb Swanigan
51,122,7.476474607,Portland Trail Blazers,0.437537,5,Jake Layman,"$1,312,611.00 ",2017,Rookie,1.1703913488880515,230,1627774.0,Jake Layman
52,123,7.476474607,Portland Trail Blazers,0.9824350000000001,5,Jusuf Nurkic,"$2,947,305.00 ",2017,Rookie,-6.070743971036581,483,203994.0,Jusuf Nurkic
53,126,7.476474607,Portland Trail Blazers,1.168411,5,Noah Vonleh,"$3,505,233.00 ",2017,Rookie,-2.631467036208649,162,203943.0,Noah Vonleh
54,127,7.476474607,Portland Trail Blazers,0.490460667,5,Pat Connaughton,"$1,471,382.00 ",2017,Rookie,1.3929856771545772,123,1626192.0,Pat Connaughton
55,128,7.476474607,Portland Trail Blazers,0.7871199999999999,5,Shabazz Napier,"$2,361,360.00 ",2017,Rookie,-1.0569344004557522,367,203894.0,Shabazz Napier
56,129,7.476474607,Portland Trail Blazers,1.01908,5,Zach Collins,"$3,057,240.00 ",2017,Rookie,-3.41904051423118,482,1628380.0,Zach Collins
57,131,7.100591941,New Orleans Pelicans,0.437537,5,Cheick Diallo,"$1,312,611.00 ",2017,Rookie,-4.804266542628758,372,1627767.0,Cheick Diallo
58,135,7.100591941,New Orleans Pelicans,0.525743333,5,Ian Clark,"$1,577,230.00 ",2017,Rookie,-0.5725473595871344,427,203546.0,Ian Clark
59,143,7.100591941,New Orleans Pelicans,0.033333333,5,Quinn Cook,"$100,000.00 ",2017,Rookie,3.5473070821163537,255,1626188.0,Quinn Cook
60,154,6.91526888,Indiana Pacers,0.85,5,Domantas Sabonis,"$2,550,000.00 ",2017,Rookie,-0.7260834483678059,348,1627734.0,Domantas Sabonis
61,155,6.91526888,Indiana Pacers,0.033333333,5,Georges Niang,"$100,000.00 ",2017,Rookie,-0.05020790473188641,179,1627777.0,Georges Niang
62,156,6.91526888,Indiana Pacers,0.316666667,5,Ike Anigbogu,"$950,000.00 ",2017,Rookie,-3.1130206987154905,271,1628387.0,Ike Anigbogu
63,157,6.91526888,Indiana Pacers,0.490460667,5,Joe Young,"$1,471,382.00 ",2017,Rookie,-5.991034292036768,3,1626202.0,Joe Young
64,159,6.91526888,Indiana Pacers,0.85664,5,Myles Turner,"$2,569,920.00 ",2017,Rookie,1.3724364434417335,309,1626167.0,Myles Turner
65,163,6.899803629,Denver Nuggets,1.12716,5,Emmanuel Mudiay,"$3,381,480.00 ",2017,Rookie,-4.7706620802586315,142,1626144.0,Emmanuel Mudiay
66,164,6.899803629,Denver Nuggets,0.850018333,5,Gary Harris,"$2,550,055.00 ",2017,Rookie,5.1398883550506715,32,203914.0,Gary Harris
67,165,6.899803629,Denver Nuggets,1.1184399999999999,5,Jamal Murray,"$3,355,320.00 ",2017,Rookie,4.613053364520459,31,1627750.0,Jamal Murray
68,169,6.899803629,Denver Nuggets,0.56688,5,Malik Beasley,"$1,700,640.00 ",2017,Rookie,-3.7422993876402577,208,1627736.0,Malik Beasley
69,171,6.899803629,Denver Nuggets,0.490460667,5,Nikola Jokic,"$1,471,382.00 ",2017,Rookie,5.7961730834040734,503,203999.0,Nikola Jokic
70,175,6.899803629,Denver Nuggets,0.8138,5,Trey Lyles,"$2,441,400.00 ",2017,Rookie,0.8588278842100738,448,1626168.0,Trey Lyles
71,176,6.899803629,Denver Nuggets,0.5264800000000001,5,Tyler Lydon,"$1,579,440.00 ",2017,Rookie,0.0,537,1628399.0,Tyler Lydon
72,180,6.065728513,Washington Wizards,0.490460667,5,Chris McCullough,"$1,471,382.00 ",2017,Rookie,0.40646540462869707,356,1626191.0,Chris McCullough
73,188,6.065728513,Washington Wizards,0.666666667,5,Tim Frazier,"$2,000,000.00 ",2017,Rookie,3.022018886197434,515,204025.0,Tim Frazier
74,189,6.065728513,Washington Wizards,1.0,5,Tomas Satoransky,"$3,000,000.00 ",2017,Rookie,-0.4087659199269815,56,203107.0,Tomas Satoransky
75,192,5.4842278989999995,Los Angeles Clippers,0.44372,5,Brice Johnson,"$1,331,160.00 ",2017,Rookie,-6.821649630425088,222,1627744.0,Brice Johnson
76,195,5.4842278989999995,Los Angeles Clippers,0.271871667,5,Jawun Evans,"$815,615.00 ",2017,Rookie,8.963091005338937,70,1628393.0,Jawun Evans
77,198,5.4842278989999995,Los Angeles Clippers,0.490460667,5,Montrezl Harrell,"$1,471,382.00 ",2017,Rookie,2.782002989026048,71,1626149.0,Montrezl Harrell
78,200,5.4842278989999995,Los Angeles Clippers,0.5982,5,Sam Dekker,"$1,794,600.00 ",2017,Rookie,-2.814472740359287,181,1626155.0,Sam Dekker
79,201,5.4842278989999995,Los Angeles Clippers,0.271871667,5,Sindarius Thornwell,"$815,615.00 ",2017,Rookie,-7.060799434848089,182,1628414.0,Sindarius Thornwell
80,203,5.4842278989999995,Los Angeles Clippers,0.525743333,5,Willie Reed,"$1,577,230.00 ",2017,Rookie,0.6349577090122687,344,203186.0,Willie Reed
81,205,5.37038963,Charlotte Hornets,0.271871667,5,Dwayne Bacon,"$815,615.00 ",2017,Rookie,6.775430898484881,461,1628407.0,Dwayne Bacon
82,207,5.37038963,Charlotte Hornets,0.9492,5,Frank Kaminsky,"$2,847,600.00 ",2017,Rookie,2.393027288636195,233,1626163.0,Frank Kaminsky
83,211,5.37038963,Charlotte Hornets,0.96816,5,Malik Monk,"$2,904,480.00 ",2017,Rookie,-8.572503288706095,212,1628370.0,Malik Monk
84,216,5.37038963,Charlotte Hornets,0.437537,5,Treveon Graham,"$1,312,611.00 ",2017,Rookie,-2.4421651650835754,474,1626203.0,Treveon Graham
85,217,5.1297563230000005,Miami Heat,0.8301200000000001,5,Bam Adebayo,"$2,490,360.00 ",2017,Rookie,-6.887809351989362,84,1628389.0,Bam Adebayo
86,222,5.1297563230000005,Miami Heat,0.490460667,5,Jordan Mickey,"$1,471,382.00 ",2017,Rookie,-2.4264748496156967,516,1626175.0,Jordan Mickey
