,rating,Team,mu,sd,name
94,7.507833506,Minnesota Timberwolves,0.490460667,5,Tyus Jones
95,7.476474607,Portland Trail Blazers,2.439678333,5,Al-Farouq Aminu
96,7.476474607,Portland Trail Blazers,0.48864,5,Caleb Swanigan
97,7.476474607,Portland Trail Blazers,8.717685667,5,Damian Lillard
98,7.476474607,Portland Trail Blazers,2.117510333,5,Ed Davis
99,7.476474607,Portland Trail Blazers,5.710382667,5,Evan Turner
100,7.476474607,Portland Trail Blazers,0.437537,5,Jake Layman
101,7.476474607,Portland Trail Blazers,0.982435,5,Jusuf Nurkic
102,7.476474607,Portland Trail Blazers,3.387640667,5,Maurice Harkless
103,7.476474607,Portland Trail Blazers,3.301498333,5,Meyers Leonard
104,7.476474607,Portland Trail Blazers,1.168411,5,Noah Vonleh
105,7.476474607,Portland Trail Blazers,0.490460667,5,Pat Connaughton
106,7.476474607,Portland Trail Blazers,0.78712,5,Shabazz Napier
107,7.476474607,Portland Trail Blazers,1.01908,5,Zach Collins
108,7.100591941,New Orleans Pelicans,7.925168667,5,Anthony Davis
109,7.100591941,New Orleans Pelicans,0.437537,5,Cheick Diallo
110,7.100591941,New Orleans Pelicans,0.766666667,5,Dante Cunningham
111,7.100591941,New Orleans Pelicans,0.7,5,Darius Miller
112,7.100591941,New Orleans Pelicans,6.021283333,5,DeMarcus Cousins
113,7.100591941,New Orleans Pelicans,0.271871667,5,Frank Jackson
114,7.100591941,New Orleans Pelicans,0.525743333,5,Ian Clark
115,7.100591941,New Orleans Pelicans,8.562222333,5,Jrue Holiday
116,7.100591941,New Orleans Pelicans,0.033333333,5,Quinn Cook
117,7.100591941,New Orleans Pelicans,1.1,5,Rajon Rondo
118,7.100591941,New Orleans Pelicans,4.078845,5,Solomon Hill
119,6.91526888,Indiana Pacers,3.5,5,Bojan Bogdanovic
120,6.91526888,Indiana Pacers,2.543333333,5,Cory Joseph
121,6.91526888,Indiana Pacers,3.333333333,5,Darren Collison
122,6.91526888,Indiana Pacers,0.85,5,Domantas Sabonis
123,6.91526888,Indiana Pacers,0.033333333,5,Georges Niang
124,6.91526888,Indiana Pacers,0.316666667,5,Ike Anigbogu
125,6.91526888,Indiana Pacers,1.393333333,5,Lance Stephenson
126,6.91526888,Indiana Pacers,0.85664,5,Myles Turner
127,6.91526888,Indiana Pacers,4.932116,5,Thaddeus Young
128,6.91526888,Indiana Pacers,7,5,Victor Oladipo
129,6.899803629,Denver Nuggets,1.12716,5,Emmanuel Mudiay
130,6.899803629,Denver Nuggets,0.850018333,5,Gary Harris
131,6.899803629,Denver Nuggets,1.11844,5,Jamal Murray
132,6.899803629,Denver Nuggets,4.307116,5,Kenneth Faried
133,6.899803629,Denver Nuggets,0.56688,5,Malik Beasley
134,6.899803629,Denver Nuggets,4.680365333,5,Mason Plumlee
135,6.899803629,Denver Nuggets,0.490460667,5,Nikola Jokic
136,6.899803629,Denver Nuggets,10.423077,5,Paul Millsap
137,6.899803629,Denver Nuggets,0.8138,5,Trey Lyles
138,6.899803629,Denver Nuggets,0.52648,5,Tyler Lydon
139,6.899803629,Denver Nuggets,1.177777667,5,Will Barton
140,6.899803629,Denver Nuggets,4.005618,5,Wilson Chandler
141,6.065728513,Washington Wizards,7.925168667,5,Bradley Beal
142,6.065728513,Washington Wizards,5.553880333,5,Ian Mahinmi
143,6.065728513,Washington Wizards,1.741666667,5,Jason Smith
144,6.065728513,Washington Wizards,1.096666667,5,Jodie Meeks
145,6.065728513,Washington Wizards,6.021283333,5,John Wall
146,6.065728513,Washington Wizards,4.260869667,5,Marcin Gortat
147,6.065728513,Washington Wizards,2.666666667,5,Markieff Morris
148,6.065728513,Washington Wizards,0.569846,5,Mike Scott
149,6.065728513,Washington Wizards,0.666666667,5,Tim Frazier
150,6.065728513,Washington Wizards,1,5,Tomas Satoransky
151,5.484227899,Los Angeles Clippers,3.941666667,5,Austin Rivers
152,5.484227899,Los Angeles Clippers,9.837633333,5,Blake Griffin
153,5.484227899,Los Angeles Clippers,6.853199667,5,Danilo Gallinari
154,5.484227899,Los Angeles Clippers,7.54745,5,DeAndre Jordan
155,5.484227899,Los Angeles Clippers,0.271871667,5,Jawun Evans
156,5.484227899,Los Angeles Clippers,2.333333333,5,Lou Williams
157,5.484227899,Los Angeles Clippers,2,5,Milos Teodosic
158,5.484227899,Los Angeles Clippers,0.490460667,5,Montrezl Harrell
159,5.484227899,Los Angeles Clippers,1.837838,5,Patrick Beverley
160,5.484227899,Los Angeles Clippers,0.5982,5,Sam Dekker
161,5.484227899,Los Angeles Clippers,0.271871667,5,Sindarius Thornwell
162,5.484227899,Los Angeles Clippers,1.96042,5,Wesley Johnson
163,5.37038963,Charlotte Hornets,4.194756667,5,Cody Zeller
164,5.37038963,Charlotte Hornets,0.271871667,5,Dwayne Bacon
165,5.37038963,Charlotte Hornets,7.833333333,5,Dwight Howard
166,5.37038963,Charlotte Hornets,0.9492,5,Frank Kaminsky
167,5.37038963,Charlotte Hornets,2.333333333,5,Jeremy Lamb
168,5.37038963,Charlotte Hornets,4,5,Kemba Walker
169,5.37038963,Charlotte Hornets,0.96816,5,Malik Monk
170,5.37038963,Charlotte Hornets,4.389583333,5,Marvin Williams
171,5.37038963,Charlotte Hornets,0.9,5,Michael Carter-Williams
172,5.37038963,Charlotte Hornets,4.333333333,5,Michael Kidd-Gilchrist
173,5.37038963,Charlotte Hornets,7.478261,5,Nicolas Batum
174,5.37038963,Charlotte Hornets,0.437537,5,Treveon Graham
175,5.129756323,Miami Heat,0.83012,5,Bam Adebayo
176,5.129756323,Miami Heat,3.666666667,5,Dion Waiters
177,5.129756323,Miami Heat,5.666816667,5,Goran Dragic
178,5.129756323,Miami Heat,7.925168667,5,Hassan Whiteside
179,5.129756323,Miami Heat,4.651333333,5,James Johnson
180,5.129756323,Miami Heat,0.490460667,5,Josh Richardson
181,5.129756323,Miami Heat,0.90168,5,Justise Winslow
182,5.129756323,Miami Heat,3.535723,5,Kelly Olynyk
183,5.129756323,Miami Heat,0.437537,5,Okaro White
184,5.129756323,Miami Heat,0.437537,5,Rodney McGruder
185,5.129756323,Miami Heat,1.96042,5,Tyler Johnson
186,5.129756323,Miami Heat,0.776217333,5,Udonis Haslem
187,5.129756323,Miami Heat,2.09,5,Wayne Ellington
188,5.107920036,Milwaukee Bucks,0.71168,5,D.J. Wilson
189,5.107920036,Milwaukee Bucks,4.833333333,5,Eric Bledsoe
