,rating,Unnamed: 0,Team,Type,mu,sd,name
74,0.743769207,429,Denver Nuggets,Non-rookie,4.989416667,5,Andre Iguodala
75,0.743769207,446,Denver Nuggets,Non-rookie,1.666666667,5,Andre Miller
76,0.743769207,711,Denver Nuggets,Rookie,0.558213667,5,Anthony Randolph
77,0.743769207,1904,Denver Nuggets,Non-rookie,1.508666667,5,Chris Andersen
78,0.743769207,2256,Denver Nuggets,Non-rookie,1.081,5,Corey Brewer
79,0.743769207,2563,Denver Nuggets,Non-rookie,3.146333333,5,Danilo Gallinari
80,0.743769207,3983,Denver Nuggets,Rookie,0.4538,5,Evan Fournier
81,0.743769207,5315,Denver Nuggets,Non-rookie,3.333333333,5,JaVale McGee
82,0.743769207,6042,Denver Nuggets,Rookie,0.3846,5,Jordan Hamilton
83,0.743769207,6207,Denver Nuggets,Rookie,0.254065,5,Julyan Stone
84,0.743769207,6435,Denver Nuggets,Rookie,0.4496,5,Kenneth Faried
85,0.743769207,6750,Denver Nuggets,Non-rookie,1,5,Kosta Koufos
86,0.743769207,8955,Denver Nuggets,Rookie,0.157868,5,Quincy Miller
87,0.743769207,10875,Denver Nuggets,Rookie,1.046809667,5,Timofey Mozgov
88,0.743769207,11256,Denver Nuggets,Rookie,0.848176333,5,Ty Lawson
89,0.743769207,11712,Denver Nuggets,Non-rookie,1.976804667,5,Wilson Chandler
90,0.593227333,958,Indiana Pacers,Rookie,0.157868,5,Ben Hansbrough
91,0.593227333,2374,Indiana Pacers,Rookie,1.166666667,5,D.J. Augustin
92,0.593227333,2601,Indiana Pacers,Non-rookie,4.352868667,5,Danny Granger
93,0.593227333,2845,Indiana Pacers,Non-rookie,3.333333333,5,David West
94,0.593227333,3319,Indiana Pacers,Non-rookie,0.060339333,5,Dominic McGuire
95,0.593227333,4169,Indiana Pacers,Non-rookie,2.666666667,5,George Hill
96,0.593227333,4214,Indiana Pacers,Non-rookie,1.166666667,5,Gerald Green
97,0.593227333,4666,Indiana Pacers,Non-rookie,1.333333333,5,Ian Mahinmi
