,Team,rating,Type,mu,sd,name
129,Oklahoma City Thunder,2.082185522,Non-rookie,1.7306666666666666,5,Patrick Patterson
130,Oklahoma City Thunder,2.082185522,Non-rookie,3.0864196666666666,5,Andre Roberson
131,Oklahoma City Thunder,2.082185522,Non-rookie,1.5555,5,Kyle Singler
132,Oklahoma City Thunder,2.082185522,Non-rookie,9.510202666666666,5,Russell Westbrook
134,Memphis Grizzlies,1.934503325,Non-rookie,0.11082566666666667,5,MarShon Brooks
135,Memphis Grizzlies,1.934503325,Non-rookie,0.7021356666666667,5,Mario Chalmers
136,Memphis Grizzlies,1.934503325,Non-rookie,9.510202666666666,5,Mike Conley
138,Memphis Grizzlies,1.934503325,Non-rookie,1.0966666666666667,5,Tyreke Evans
139,Memphis Grizzlies,1.934503325,Non-rookie,7.54745,5,Marc Gasol
140,Memphis Grizzlies,1.934503325,Non-rookie,2.844444333333333,5,JaMychal Green
145,Memphis Grizzlies,1.934503325,Non-rookie,1.7333333333333334,5,Ben McLemore
146,Memphis Grizzlies,1.934503325,Non-rookie,7.704001333333333,5,Chandler Parsons
150,Memphis Grizzlies,1.934503325,Non-rookie,0.05264833333333333,5,Marquis Teague
151,Memphis Grizzlies,1.934503325,Non-rookie,1.7265866666666667,5,Brandan Wright
153,Miami Heat,1.904907009,Non-rookie,0.658053,5,Luke Babbitt
154,Miami Heat,1.904907009,Non-rookie,5.666816666666667,5,Goran Dragic
155,Miami Heat,1.904907009,Non-rookie,2.09,5,Wayne Ellington
156,Miami Heat,1.904907009,Non-rookie,0.49046066666666666,5,Udonis Haslem
157,Miami Heat,1.904907009,Non-rookie,4.6513333333333335,5,James Johnson
161,Miami Heat,1.904907009,Non-rookie,3.535723,5,Kelly Olynyk
163,Miami Heat,1.904907009,Non-rookie,3.6666666666666665,5,Dion Waiters
164,Miami Heat,1.904907009,Non-rookie,7.925168666666667,5,Hassan Whiteside
166,Denver Nuggets,1.813798095,Non-rookie,2.488304,5,Darrell Arthur
167,Denver Nuggets,1.813798095,Non-rookie,1.1777776666666666,5,Will Barton
169,Denver Nuggets,1.813798095,Non-rookie,4.005618,5,Wilson Chandler
170,Denver Nuggets,1.813798095,Non-rookie,4.307116,5,Kenneth Faried
171,Denver Nuggets,1.813798095,Non-rookie,1.4675153333333333,5,Devin Harris
176,Denver Nuggets,1.813798095,Non-rookie,10.423077,5,Paul Millsap
178,Denver Nuggets,1.813798095,Non-rookie,1.5786833333333334,5,Jameer Nelson
179,Denver Nuggets,1.813798095,Non-rookie,4.6803653333333335,5,Mason Plumlee
181,Charlotte Hornets,1.0653689709999998,Non-rookie,7.478261,5,Nicolas Batum
182,Charlotte Hornets,1.0653689709999998,Non-rookie,0.9,5,Michael Carter-Williams
185,Charlotte Hornets,1.0653689709999998,Non-rookie,7.833333333333333,5,Dwight Howard
187,Charlotte Hornets,1.0653689709999998,Non-rookie,4.333333333333333,5,Michael Kidd-Gilchrist
188,Charlotte Hornets,1.0653689709999998,Non-rookie,2.3333333333333335,5,Jeremy Lamb
190,Charlotte Hornets,1.0653689709999998,Non-rookie,0.5081016666666667,5,Julyan Stone
191,Charlotte Hornets,1.0653689709999998,Non-rookie,4.0,5,Kemba Walker
192,Charlotte Hornets,1.0653689709999998,Non-rookie,4.389583333333333,5,Marvin Williams
193,Charlotte Hornets,1.0653689709999998,Non-rookie,4.194756666666667,5,Cody Zeller
194,Milwaukee Bucks,0.8606942540000001,Non-rookie,7.490636666666667,5,Giannis Antetokounmpo
195,Milwaukee Bucks,0.8606942540000001,Non-rookie,4.833333333333333,5,Eric Bledsoe
198,Milwaukee Bucks,0.8606942540000001,Non-rookie,3.2025,5,Matthew Dellavedova
199,Milwaukee Bucks,0.8606942540000001,Non-rookie,3.807512,5,John Henson
200,Milwaukee Bucks,0.8606942540000001,Non-rookie,0.09905633333333333,5,Brandon Jennings
201,Milwaukee Bucks,0.8606942540000001,Non-rookie,0.25247566666666665,5,DeAndre Liggins
203,Milwaukee Bucks,0.8606942540000001,Non-rookie,4.7,5,Khris Middleton
205,Milwaukee Bucks,0.8606942540000001,Non-rookie,3.2738096666666667,5,Tony Snell
206,Milwaukee Bucks,0.8606942540000001,Non-rookie,3.5,5,Mirza Teletovic
207,Milwaukee Bucks,0.8606942540000001,Non-rookie,0.49046066666666666,5,Jason Terry
209,Milwaukee Bucks,0.8606942540000001,Non-rookie,0.569846,5,Tyler Zeller
210,Chicago Bulls,0.8249325909999999,Non-rookie,0.49046066666666666,5,Tony Allen
211,Chicago Bulls,0.8249325909999999,Non-rookie,3.531835,5,Omer Asik
214,Chicago Bulls,0.8249325909999999,Non-rookie,2.6145,5,Cristiano Felicio
219,Chicago Bulls,0.8249325909999999,Non-rookie,4.596166666666667,5,Robin Lopez
223,Chicago Bulls,0.8249325909999999,Non-rookie,1.2846436666666667,5,Quincy Pondexter
228,Chicago Bulls,0.8249325909999999,Non-rookie,5.183333333333334,5,Dwyane Wade
232,Indiana Pacers,0.567018304,Non-rookie,3.5,5,Bojan Bogdanovic
233,Indiana Pacers,0.567018304,Non-rookie,3.3333333333333335,5,Darren Collison
234,Indiana Pacers,0.567018304,Non-rookie,3.256607,5,Al Jefferson
235,Indiana Pacers,0.567018304,Non-rookie,2.5433333333333334,5,Cory Joseph
237,Indiana Pacers,0.567018304,Non-rookie,7.0,5,Victor Oladipo
241,Indiana Pacers,0.567018304,Non-rookie,1.3933333333333333,5,Lance Stephenson
243,Indiana Pacers,0.567018304,Non-rookie,0.33887233333333333,5,Damien Wilkins
245,Indiana Pacers,0.567018304,Non-rookie,4.932116,5,Thaddeus Young
247,Minnesota Timberwolves,0.487595368,Non-rookie,2.433333333333333,5,Cole Aldrich
249,Minnesota Timberwolves,0.487595368,Non-rookie,0.49046066666666666,5,Aaron Brooks
250,Minnesota Timberwolves,0.487595368,Non-rookie,6.43369,5,Jimmy Butler
251,Minnesota Timberwolves,0.487595368,Non-rookie,4.70412,5,Gorgui Dieng
253,Minnesota Timberwolves,0.487595368,Non-rookie,4.666666666666667,5,Taj Gibson
255,Minnesota Timberwolves,0.487595368,Non-rookie,0.412872,5,Shabazz Muhammad
257,Minnesota Timberwolves,0.487595368,Non-rookie,6.333333333333333,5,Jeff Teague
259,Minnesota Timberwolves,0.487595368,Non-rookie,2.524774,5,Andrew Wiggins
260,Atlanta Hawks,0.0,Non-rookie,5.636704333333333,5,Kent Bazemore
261,Atlanta Hawks,0.0,Non-rookie,2.10202,5,Marco Belinelli
266,Atlanta Hawks,0.0,Non-rookie,3.6475873333333335,5,Jamal Crawford
270,Atlanta Hawks,0.0,Non-rookie,0.04437633333333333,5,Jeremy Evans
271,Atlanta Hawks,0.0,Non-rookie,1.8114273333333333,5,Ersan Ilyasova
272,Atlanta Hawks,0.0,Non-rookie,0.8333333333333334,5,Richard Jefferson
276,Atlanta Hawks,0.0,Non-rookie,4.166666666666667,5,Miles Plumlee
278,Atlanta Hawks,0.0,Non-rookie,5.166666666666667,5,Dennis Schroder
282,Detroit Pistons,-0.16488799,Non-rookie,0.8333333333333334,5,Reggie Bullock
284,Detroit Pistons,-0.16488799,Non-rookie,7.925168666666667,5,Andre Drummond
287,Detroit Pistons,-0.16488799,Non-rookie,9.9093,5,Blake Griffin
288,Detroit Pistons,-0.16488799,Non-rookie,5.333333333333333,5,Reggie Jackson
291,Detroit Pistons,-0.16488799,Non-rookie,3.499106333333333,5,Jon Leuer
293,Detroit Pistons,-0.16488799,Non-rookie,2.0,5,Ish Smith
294,Detroit Pistons,-0.16488799,Non-rookie,1.777243,5,Josh Smith
295,Detroit Pistons,-0.16488799,Non-rookie,1.0966666666666667,5,Anthony Tolliver
297,New Orleans Pelicans,-0.5621548279999999,Non-rookie,6.021283333333334,5,DeMarcus Cousins
298,New Orleans Pelicans,-0.5621548279999999,Non-rookie,0.10273,5,Jordan Crawford
299,New Orleans Pelicans,-0.5621548279999999,Non-rookie,7.925168666666667,5,Anthony Davis
302,New Orleans Pelicans,-0.5621548279999999,Non-rookie,4.078845,5,Solomon Hill
303,New Orleans Pelicans,-0.5621548279999999,Non-rookie,8.562222333333333,5,Jrue Holiday
304,New Orleans Pelicans,-0.5621548279999999,Non-rookie,0.7,5,Darius Miller
305,New Orleans Pelicans,-0.5621548279999999,Non-rookie,4.166666666666667,5,Nikola Mirotic
306,New Orleans Pelicans,-0.5621548279999999,Non-rookie,2.815008,5,E'Twaun Moore
307,New Orleans Pelicans,-0.5621548279999999,Non-rookie,0.2583046666666667,5,Emeka Okafor
308,New Orleans Pelicans,-0.5621548279999999,Non-rookie,1.1,5,Rajon Rondo
310,Dallas Mavericks,-1.412858355,Non-rookie,1.3013,5,J.J. Barea
311,Dallas Mavericks,-1.412858355,Non-rookie,7.704001333333333,5,Harrison Barnes
317,Dallas Mavericks,-1.412858355,Non-rookie,5.961392,5,Wesley Matthews
319,Dallas Mavericks,-1.412858355,Non-rookie,2.007058333333333,5,Josh McRoberts
321,Dallas Mavericks,-1.412858355,Non-rookie,1.3958663333333334,5,Nerlens Noel
322,Dallas Mavericks,-1.412858355,Non-rookie,1.6666666666666667,5,Dirk Nowitzki
323,Dallas Mavericks,-1.412858355,Non-rookie,3.0010416666666666,5,Dwight Powell
328,Sacramento Kings,-2.167864662,Non-rookie,0.5,5,Arron Afflalo
329,Sacramento Kings,-2.167864662,Non-rookie,3.156871333333333,5,Bogdan Bogdanovic
331,Sacramento Kings,-2.167864662,Non-rookie,2.6666666666666665,5,Vince Carter
336,Sacramento Kings,-2.167864662,Non-rookie,3.1683333333333334,5,Joe Johnson
337,Sacramento Kings,-2.167864662,Non-rookie,2.7976666666666667,5,Kosta Koufos
340,Sacramento Kings,-2.167864662,Non-rookie,4.102564,5,Zach Randolph
341,Sacramento Kings,-2.167864662,Non-rookie,3.445693,5,Iman Shumpert
342,Sacramento Kings,-2.167864662,Non-rookie,2.6666666666666665,5,Garrett Temple
345,New York Knicks,-2.7420113280000002,Non-rookie,0.49046066666666666,5,Michael Beasley
346,New York Knicks,-2.7420113280000002,Non-rookie,0.26138666666666666,5,Trey Burke
348,New York Knicks,-2.7420113280000002,Non-rookie,5.5,5,Tim Hardaway Jr.
349,New York Knicks,-2.7420113280000002,Non-rookie,0.49046066666666666,5,Jarrett Jack
350,New York Knicks,-2.7420113280000002,Non-rookie,6.855600666666667,5,Enes Kanter
