"X","Unnamed..0","rating","Team","mu","sd","name","Contract.Value","Year","Type","coefs","index","player_id","player_name","finalpriors","finalse"
31,75,-2.709757135,"Boston Celtics",0.271871667,5,"Daniel Theis","$815,615.00 ",2017,"Rookie",3.583572697,280,1628464,"Daniel Theis",-0.3688578922676,0.307625480606997
32,76,-2.709757135,"Boston Celtics",0.030952667,5,"Demetrius Jackson","$92,858.00 ",2017,"Rookie",-0.339243761,522,1627743,"Demetrius Jackson",-0.545298464373716,0.342526125757096
33,78,-2.709757135,"Boston Celtics",0.74916,5,"Guerschon Yabusele","$2,247,480.00 ",2017,"Rookie",2.130797717,273,1627824,"Guerschon Yabusele",-0.0193087635808011,0.274060170785537
34,79,-2.709757135,"Boston Celtics",1.65216,5,"Jaylen Brown","$4,956,480.00 ",2017,"Rookie",4.930657917,117,1627759,"Jaylen Brown",0.642016564068008,0.361425541504969
35,80,-2.709757135,"Boston Celtics",1.8818,5,"Jayson Tatum","$5,645,400.00 ",2017,"Rookie",5.716106913,120,1628369,"Jayson Tatum",0.810196794678498,0.405020668778852
36,83,-2.709757135,"Boston Celtics",1.512673333,5,"Marcus Smart","$4,538,020.00 ",2017,"Rookie",-0.34320387,511,203935,"Marcus Smart",0.539861452488368,0.337864036437086
37,84,-2.709757135,"Boston Celtics",0.430630667,5,"Semi Ojeleye","$1,291,892.00 ",2017,"Rookie",-6.114585594,202,1628400,"Semi Ojeleye",-0.252588404236373,0.290495806921232
38,86,-2.709757135,"Boston Celtics",0.66284,5,"Terry Rozier","$1,988,520.00 ",2017,"Rookie",1.768390945,119,1626179,"Terry Rozier",-0.0825264848240406,0.275928621630916
39,87,-8.154010436,"San Antonio Spurs",0.271871667,5,"Brandon Paul","$815,615.00 ",2017,"Rookie",4.066323287,247,203464,"Brandon Paul",-0.0562990197131627,0.526663900372828
40,88,-8.154010436,"San Antonio Spurs",0.437537,5,"Bryn Forbes","$1,312,611.00 ",2017,"Rookie",0.205047355,188,1627854,"Bryn Forbes",0.0650284228408507,0.514609741637116
41,90,-8.154010436,"San Antonio Spurs",0.437537,5,"Davis Bertans","$1,312,611.00 ",2017,"Rookie",0.008210648,80,202722,"Davis Bertans",0.0650284228408507,0.514609741637116
42,91,-8.154010436,"San Antonio Spurs",0.437537,5,"Dejounte Murray","$1,312,611.00 ",2017,"Rookie",-2.702436028,82,1627749,"Dejounte Murray",0.0650284228408507,0.514609741637116
43,92,-8.154010436,"San Antonio Spurs",0.4682,5,"Derrick White","$1,404,600.00 ",2017,"Rookie",1.627455666,465,1628401,"Derrick White",0.0874849217574569,0.512783154196994
44,93,-8.154010436,"San Antonio Spurs",0.508101667,5,"Joffrey Lauvergne","$1,524,305.00 ",2017,"Rookie",-4.450499377,220,203530,"Joffrey Lauvergne",0.116707494296226,0.510601004252532
45,95,-8.154010436,"San Antonio Spurs",0.717234667,5,"Kyle Anderson","$2,151,704.00 ",2017,"Rookie",-0.556701268,81,203937,"Kyle Anderson",0.269869121923223,0.502864048601716
46,110,-0.487595368,"Minnesota Timberwolves",0.74916,5,"Justin Patton","$2,247,480.00 ",2017,"Rookie",0.259449529,523,1628383,"Justin Patton",-0.146884821880572,0.246366445658744
47,112,-0.487595368,"Minnesota Timberwolves",0.437537,5,"Marcus Georges-Hunt","$1,312,611.00 ",2017,"Rookie",-1.497682498,30,1627875,"Marcus Georges-Hunt",-0.375106508013357,0.260999869778398
48,113,-0.487595368,"Minnesota Timberwolves",1.316666333,5,"Nemanja Bjelica","$3,949,999.00 ",2017,"Rookie",-1.19894128,415,202357,"Nemanja Bjelica",0.268736785665385,0.290146329248882
49,116,-0.487595368,"Minnesota Timberwolves",0.490460667,5,"Tyus Jones","$1,471,382.00 ",2017,"Rookie",-0.681580223,28,1626145,"Tyus Jones",-0.336347082300011,0.256601603334465
50,118,-0.655602464,"Portland Trail Blazers",0.48864,5,"Caleb Swanigan","$1,465,920.00 ",2017,"Rookie",0.403679101,231,1628403,"Caleb Swanigan",-0.328035054762891,0.256762845564041
51,122,-0.655602464,"Portland Trail Blazers",0.437537,5,"Jake Layman","$1,312,611.00 ",2017,"Rookie",1.170391349,230,1627774,"Jake Layman",-0.365461088227826,0.261057100553566
52,123,-0.655602464,"Portland Trail Blazers",0.982435,5,"Jusuf Nurkic","$2,947,305.00 ",2017,"Rookie",-6.070743971,483,203994,"Jusuf Nurkic",0.0336029742142343,0.253771888512839
53,126,-0.655602464,"Portland Trail Blazers",1.168411,5,"Noah Vonleh","$3,505,233.00 ",2017,"Rookie",-2.631467036,162,203943,"Noah Vonleh",0.169805232392324,0.270560601566923
54,127,-0.655602464,"Portland Trail Blazers",0.490460667,5,"Pat Connaughton","$1,471,382.00 ",2017,"Rookie",1.392985677,123,1626192,"Pat Connaughton",-0.32670166251448,0.25662245365642
55,128,-0.655602464,"Portland Trail Blazers",0.78712,5,"Shabazz Napier","$2,361,360.00 ",2017,"Rookie",-1.0569344,367,203894,"Shabazz Napier",-0.109438837933858,0.246332319012434
56,129,-0.655602464,"Portland Trail Blazers",1.01908,5,"Zach Collins","$3,057,240.00 ",2017,"Rookie",-3.419040514,482,1628380,"Zach Collins",0.06044047878975,0.256376226336596
57,131,0.562154828,"New Orleans Pelicans",0.437537,5,"Cheick Diallo","$1,312,611.00 ",2017,"Rookie",-4.804266543,372,1627767,"Cheick Diallo",-0.435373494059963,0.268845849085526
