,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,0.928,0.463,0.136,1.914,0.006,0.006,5134.0,1306.0,1.0
x[0],2.594,2.373,-1.81,7.068,0.035,0.035,4497.0,1706.0,1.0
x[1],1.913,2.219,-2.183,5.985,0.036,0.037,3763.0,1774.0,1.0
x[2],-3.263,2.419,-7.415,1.635,0.037,0.034,4160.0,1636.0,1.0
x[3],-1.212,2.157,-5.165,2.897,0.033,0.04,4354.0,1521.0,1.0
x[4],1.441,2.373,-3.161,5.847,0.034,0.052,4779.0,1364.0,1.0
x[5],0.135,2.336,-3.888,4.588,0.033,0.057,5154.0,1658.0,1.0
x[6],2.51,2.174,-1.511,6.601,0.033,0.038,4452.0,1426.0,1.0
x[7],-2.228,2.205,-6.286,2.054,0.032,0.034,4852.0,1726.0,1.0
x[8],3.264,2.21,-1.089,7.179,0.032,0.032,4691.0,1304.0,1.0
x[9],6.297,2.278,2.414,10.915,0.034,0.028,4446.0,1407.0,1.0
x[10],0.71,2.512,-3.857,5.45,0.032,0.061,6045.0,1751.0,1.0
x[11],0.61,2.076,-3.168,4.596,0.032,0.045,4250.0,1489.0,1.0
x[12],-3.32,2.377,-7.869,0.989,0.033,0.033,5099.0,1581.0,1.0
x[13],-1.396,2.46,-5.799,3.174,0.037,0.045,4385.0,1673.0,1.0
x[14],-1.566,2.432,-6.212,3.051,0.034,0.052,5158.0,1323.0,1.0
x[15],1.226,2.273,-3.324,5.181,0.034,0.046,4331.0,1624.0,1.0
x[16],0.938,2.332,-3.373,5.154,0.036,0.054,4144.0,1467.0,1.0
x[17],2.976,2.026,-0.921,6.571,0.031,0.03,4157.0,1324.0,1.0
x[18],0.187,2.286,-4.094,4.376,0.034,0.053,4491.0,1589.0,1.0
x[19],0.208,2.472,-4.25,4.879,0.032,0.075,6064.0,1204.0,1.0
x[20],0.504,2.117,-3.392,4.482,0.028,0.054,5777.0,1400.0,1.0
x[21],0.097,2.241,-4.122,4.29,0.035,0.059,4135.0,1420.0,1.0
x[22],-1.458,2.162,-5.65,2.411,0.031,0.039,4972.0,1274.0,1.0
x[23],5.388,2.063,1.39,8.966,0.03,0.025,4532.0,1581.0,1.0
x[24],-1.809,2.201,-5.674,2.517,0.033,0.039,4598.0,1789.0,1.0
x[25],-1.376,2.739,-6.373,4.006,0.035,0.059,6217.0,1615.0,1.0
x[26],1.415,2.173,-2.801,5.489,0.032,0.047,4673.0,1365.0,1.0
x[27],5.759,2.29,1.458,9.912,0.037,0.029,3836.0,1330.0,1.0
x[28],-0.918,2.607,-5.545,4.065,0.039,0.066,4526.0,1192.0,1.0
x[29],1.699,2.249,-2.376,6.01,0.032,0.047,4812.0,1246.0,1.0
x[30],1.293,2.318,-2.917,5.741,0.035,0.049,4302.0,1204.0,1.0
x[31],-2.907,2.645,-7.821,2.117,0.042,0.044,3995.0,1339.0,1.0
x[32],4.237,2.266,0.148,8.436,0.033,0.03,4652.0,1542.0,1.0
x[33],0.175,2.031,-3.813,3.78,0.032,0.049,4124.0,1496.0,1.0
x[34],-0.227,2.231,-4.353,3.944,0.034,0.058,4340.0,1319.0,1.0
x[35],6.345,2.045,2.255,9.861,0.029,0.023,5084.0,1271.0,1.0
x[36],0.874,2.532,-3.972,5.685,0.036,0.059,4978.0,1329.0,1.0
x[37],1.49,2.183,-2.324,5.813,0.036,0.044,3711.0,1531.0,1.0
x[38],5.893,2.261,1.737,10.217,0.034,0.029,4384.0,1302.0,1.0
x[39],2.178,2.767,-2.797,7.408,0.038,0.056,5265.0,1504.0,1.0
x[40],3.102,2.2,-0.859,7.202,0.032,0.031,4740.0,1245.0,1.0
x[41],0.43,3.301,-5.335,6.964,0.048,0.08,4783.0,1401.0,1.0
x[42],4.28,2.255,-0.389,8.056,0.034,0.034,4361.0,1084.0,1.0
x[43],1.472,2.193,-2.616,5.449,0.032,0.047,4827.0,1408.0,1.0
x[44],0.018,2.074,-4.023,3.833,0.031,0.057,4473.0,1216.0,1.0
x[45],-0.189,2.343,-4.622,3.949,0.035,0.056,4473.0,1784.0,1.0
x[46],-1.473,2.307,-5.953,2.589,0.034,0.045,4662.0,1315.0,1.0
x[47],-2.429,2.883,-7.903,2.79,0.039,0.071,5415.0,965.0,1.0
x[48],4.718,2.219,0.506,8.742,0.034,0.028,4218.0,1697.0,1.0
x[49],-3.563,2.844,-9.126,1.595,0.045,0.041,3984.0,1666.0,1.0
x[50],-4.269,2.41,-8.589,0.474,0.034,0.03,5290.0,1327.0,1.0
x[51],0.96,2.266,-3.25,5.27,0.035,0.048,4175.0,1547.0,1.0
x[52],1.556,2.12,-2.321,5.572,0.031,0.038,4595.0,1584.0,1.0
x[53],2.213,2.256,-1.72,6.61,0.033,0.036,4602.0,1455.0,1.0
x[54],0.34,2.048,-3.362,4.184,0.03,0.047,4717.0,1471.0,1.0
x[55],2.391,2.288,-2.066,6.605,0.031,0.038,5304.0,1370.0,1.0
x[56],-1.087,2.285,-5.421,2.921,0.035,0.048,4187.0,1396.0,1.0
x[57],0.841,2.471,-3.92,5.386,0.032,0.057,6057.0,1582.0,1.0
x[58],-1.461,2.739,-6.303,3.791,0.039,0.065,5177.0,1177.0,1.0
x[59],0.824,2.311,-3.339,5.313,0.031,0.057,5585.0,1205.0,1.0
x[60],0.162,2.187,-3.774,4.373,0.03,0.053,5228.0,1376.0,1.0
x[61],2.745,2.204,-1.18,7.027,0.031,0.031,4948.0,1529.0,1.0
x[62],0.84,2.217,-3.723,4.46,0.036,0.055,3691.0,1241.0,1.0
x[63],0.497,2.165,-3.556,4.432,0.035,0.059,3873.0,1327.0,1.0
x[64],-1.579,2.061,-5.601,2.032,0.033,0.038,3949.0,1515.0,1.0
x[65],-0.439,2.558,-4.972,4.638,0.031,0.067,6602.0,1459.0,1.0
x[66],0.659,2.175,-3.225,4.69,0.031,0.055,4799.0,1467.0,1.0
x[67],-0.526,2.199,-4.537,3.746,0.033,0.045,4559.0,1667.0,1.0
x[68],-0.432,2.427,-4.997,3.858,0.035,0.062,4855.0,1235.0,1.01
x[69],1.039,2.391,-3.538,5.571,0.036,0.051,4322.0,1650.0,1.0
x[70],-0.935,2.714,-5.791,4.194,0.038,0.071,5019.0,1249.0,1.0
x[71],-1.334,2.388,-5.809,2.984,0.033,0.048,5405.0,1590.0,1.0
x[72],-0.9,2.238,-5.115,3.089,0.036,0.049,3898.0,1387.0,1.0
x[73],0.415,2.205,-3.66,4.561,0.027,0.053,6602.0,1482.0,1.0
x[74],1.219,2.373,-3.082,5.584,0.033,0.051,5067.0,1530.0,1.0
x[75],-0.138,2.526,-5.202,4.253,0.033,0.07,5924.0,1342.0,1.0
x[76],-2.812,2.319,-7.291,1.461,0.033,0.034,4808.0,1554.0,1.0
x[77],0.742,2.243,-3.049,5.35,0.033,0.063,4750.0,1091.0,1.0
x[78],5.306,2.41,0.688,9.629,0.033,0.029,5365.0,1391.0,1.0
x[79],-4.219,2.213,-8.436,-0.196,0.03,0.028,5285.0,1482.0,1.0
x[80],-1.226,2.511,-6.047,3.324,0.036,0.055,4816.0,1385.0,1.0
x[81],-4.808,2.388,-9.272,-0.686,0.041,0.034,3477.0,1234.0,1.01
x[82],7.644,2.242,3.36,11.699,0.034,0.026,4269.0,1391.0,1.0
x[83],1.053,2.158,-2.695,5.282,0.029,0.044,5390.0,1581.0,1.0
x[84],0.418,2.518,-4.269,5.135,0.035,0.074,5110.0,1156.0,1.0
x[85],-2.797,2.189,-6.847,1.309,0.034,0.032,4153.0,1595.0,1.0
x[86],0.992,2.591,-3.77,6.064,0.039,0.066,4317.0,1346.0,1.0
x[87],0.726,2.335,-3.349,5.325,0.033,0.055,4905.0,1395.0,1.0
x[88],-1.3,2.109,-5.017,2.81,0.03,0.042,4794.0,1385.0,1.0
x[89],0.253,2.066,-3.456,4.055,0.029,0.052,4924.0,1455.0,1.0
x[90],-0.068,2.241,-4.302,4.173,0.034,0.056,4175.0,1526.0,1.0
x[91],0.429,2.061,-3.419,4.159,0.03,0.05,4976.0,1304.0,1.0
x[92],-0.886,2.34,-5.103,3.463,0.033,0.053,5162.0,1494.0,1.0
x[93],8.279,2.278,4.11,12.622,0.033,0.026,4726.0,1583.0,1.0
x[94],0.968,2.264,-3.436,4.989,0.037,0.046,3794.0,1542.0,1.0
x[95],2.526,2.235,-1.959,6.338,0.035,0.036,4147.0,1513.0,1.0
x[96],-0.137,2.297,-4.379,4.249,0.035,0.06,4429.0,1531.0,1.0
x[97],0.935,2.254,-3.446,5.158,0.037,0.051,3762.0,1612.0,1.0
x[98],1.21,2.335,-3.18,5.54,0.035,0.046,4564.0,1521.0,1.0
x[99],-1.023,2.233,-5.303,3.037,0.03,0.05,5661.0,1421.0,1.0
x[100],3.196,2.202,-0.506,7.661,0.03,0.033,5560.0,1515.0,1.0
x[101],1.152,2.148,-2.715,5.296,0.034,0.046,3960.0,1432.0,1.0
x[102],-0.881,2.021,-4.641,3.029,0.033,0.048,3636.0,1507.0,1.0
x[103],0.144,2.278,-4.215,4.14,0.033,0.053,4763.0,1555.0,1.0
x[104],-0.073,2.582,-4.641,5.045,0.038,0.072,4720.0,1223.0,1.0
x[105],1.25,2.403,-3.357,5.632,0.038,0.047,3921.0,1624.0,1.0
x[106],-2.399,2.135,-6.087,1.862,0.031,0.032,4865.0,1350.0,1.0
x[107],-2.852,2.335,-7.288,1.374,0.034,0.037,4588.0,1270.0,1.0
x[108],-0.709,2.427,-5.568,3.696,0.035,0.062,4833.0,1184.0,1.0
x[109],-0.444,2.668,-5.348,4.391,0.034,0.067,6191.0,1598.0,1.0
x[110],-1.125,2.159,-5.443,2.676,0.031,0.046,4977.0,1458.0,1.0
x[111],4.78,2.185,0.963,9.122,0.032,0.025,4471.0,1555.0,1.0
x[112],-2.082,2.416,-6.54,2.457,0.036,0.045,4652.0,1372.0,1.0
x[113],-0.086,2.458,-4.503,4.442,0.035,0.062,5002.0,1342.0,1.0
x[114],4.393,2.599,-0.445,9.265,0.04,0.039,4226.0,1279.0,1.0
x[115],3.748,2.405,-1.094,7.912,0.039,0.035,3869.0,1304.0,1.0
x[116],1.548,2.237,-2.362,6.111,0.032,0.048,4635.0,1373.0,1.0
x[117],0.744,2.437,-3.832,5.301,0.039,0.061,4012.0,1439.0,1.0
x[118],1.062,2.381,-3.616,5.354,0.033,0.05,5073.0,1533.0,1.0
x[119],0.93,2.968,-4.513,6.222,0.041,0.075,5472.0,1455.0,1.01
x[120],3.015,2.338,-1.479,7.343,0.031,0.036,5856.0,1361.0,1.0
x[121],0.598,2.223,-3.523,4.769,0.031,0.046,5301.0,1656.0,1.0
x[122],-1.208,2.139,-5.303,2.712,0.033,0.045,4335.0,1304.0,1.0
x[123],-4.431,2.466,-8.958,0.245,0.036,0.035,4600.0,1216.0,1.0
x[124],-2.759,2.516,-7.534,1.99,0.042,0.042,3616.0,1306.0,1.0
x[125],-2.078,2.381,-6.337,2.597,0.039,0.039,3677.0,1641.0,1.0
x[126],0.167,2.093,-3.97,3.946,0.033,0.058,4151.0,1239.0,1.0
x[127],0.131,2.379,-4.394,4.283,0.032,0.067,5489.0,1342.0,1.0
x[128],-0.645,2.692,-5.476,4.439,0.036,0.071,5513.0,1245.0,1.0
x[129],0.225,2.776,-5.477,5.057,0.041,0.082,4604.0,1327.0,1.0
x[130],-0.149,2.381,-4.998,4.027,0.032,0.067,5377.0,1234.0,1.0
x[131],1.615,2.189,-2.569,5.589,0.035,0.04,3989.0,1465.0,1.0
x[132],-0.441,2.612,-5.151,4.4,0.034,0.067,6048.0,1393.0,1.0
x[133],-2.245,2.743,-8.205,2.488,0.037,0.058,5491.0,1180.0,1.0
x[134],0.383,2.276,-3.804,4.746,0.038,0.053,3548.0,1536.0,1.0
x[135],-1.647,2.104,-6.009,1.944,0.031,0.036,4612.0,1579.0,1.0
x[136],-4.517,2.316,-8.891,-0.287,0.031,0.032,5598.0,1259.0,1.0
x[137],1.266,2.222,-2.632,5.617,0.034,0.048,4287.0,1381.0,1.0
x[138],5.818,2.161,1.812,9.833,0.032,0.026,4612.0,1769.0,1.01
x[139],-0.621,2.173,-4.553,3.395,0.036,0.052,3732.0,1104.0,1.0
x[140],-1.037,2.391,-5.506,3.269,0.034,0.047,4980.0,1608.0,1.0
x[141],0.687,2.226,-3.429,4.838,0.03,0.051,5443.0,1388.0,1.0
x[142],-2.229,2.211,-6.301,2.063,0.033,0.036,4548.0,1440.0,1.0
x[143],-1.513,2.466,-6.125,2.991,0.038,0.045,4243.0,1491.0,1.0
x[144],-1.969,2.311,-6.219,2.322,0.032,0.04,5290.0,1333.0,1.0
x[145],0.587,2.322,-3.937,4.696,0.033,0.052,4841.0,1510.0,1.0
x[146],-0.256,2.502,-5.034,4.07,0.038,0.058,4457.0,1505.0,1.0
x[147],2.803,2.295,-1.26,7.23,0.035,0.036,4338.0,1497.0,1.0
x[148],-1.194,2.38,-5.638,3.441,0.037,0.054,4052.0,1168.0,1.0
x[149],0.62,2.221,-3.573,4.674,0.031,0.061,5094.0,913.0,1.0
x[150],-0.893,2.552,-5.521,4.076,0.037,0.06,4873.0,1434.0,1.01
x[151],1.629,2.112,-2.151,5.742,0.033,0.041,4081.0,1352.0,1.0
x[152],1.581,2.235,-2.451,5.805,0.033,0.039,4586.0,1587.0,1.0
x[153],-1.822,2.203,-5.713,2.531,0.034,0.039,4221.0,1482.0,1.0
x[154],-0.475,2.396,-5.49,3.656,0.039,0.057,3688.0,1506.0,1.0
x[155],-1.807,2.781,-6.966,3.273,0.046,0.053,3660.0,1300.0,1.0
x[156],-0.309,2.068,-3.999,3.673,0.031,0.048,4344.0,1453.0,1.0
x[157],-1.411,2.603,-6.49,3.236,0.037,0.055,4851.0,1306.0,1.01
x[158],0.148,2.201,-3.657,4.596,0.031,0.058,5084.0,1354.0,1.0
x[159],1.026,2.627,-4.217,5.765,0.038,0.065,4722.0,1192.0,1.0
x[160],-2.79,2.752,-8.632,1.748,0.035,0.049,6022.0,1208.0,1.0
x[161],-1.413,2.916,-6.3,4.755,0.044,0.072,4496.0,1077.0,1.0
x[162],0.382,2.266,-3.758,4.728,0.029,0.052,6044.0,1484.0,1.0
x[163],5.893,2.164,1.792,9.929,0.032,0.025,4582.0,1637.0,1.0
x[164],-1.367,2.172,-5.325,2.673,0.027,0.044,6299.0,1446.0,1.0
x[165],-0.633,3.527,-7.164,5.909,0.05,0.099,5020.0,1101.0,1.0
x[166],-1.996,2.493,-6.47,2.908,0.036,0.045,4922.0,1484.0,1.0
x[167],1.936,2.206,-2.273,5.923,0.033,0.047,4415.0,978.0,1.01
x[168],0.175,2.101,-3.793,3.865,0.029,0.049,5196.0,1411.0,1.0
x[169],0.472,2.106,-3.219,4.639,0.034,0.047,3871.0,1425.0,1.0
x[170],1.048,2.141,-2.842,5.148,0.031,0.045,4762.0,1389.0,1.0
x[171],2.098,2.413,-2.711,6.455,0.036,0.044,4654.0,1495.0,1.0
x[172],0.763,2.541,-3.776,5.726,0.035,0.064,5457.0,1344.0,1.0
x[173],-1.003,2.504,-5.847,3.367,0.034,0.054,5260.0,1603.0,1.0
