,rating,Team,Type,mu,sd,name
198,-2.8468612784556204,New Orleans Pelicans,Rookie,0.2816863333333333,5,Jarnell Stokes
200,-3.14618698550637,Washington Wizards,Rookie,1.8982246666666667,5,Bradley Beal
202,-3.14618698550637,Washington Wizards,Rookie,0.18723866666666666,5,Jarell Eddie
208,-3.14618698550637,Washington Wizards,Rookie,0.64008,5,Kelly Oubre Jr.
213,-3.32697659971212,Utah Jazz,Rookie,0.88608,5,Trey Burke
216,-3.32697659971212,Utah Jazz,Rookie,0.39196,5,Rudy Gobert
218,-3.32697659971212,Utah Jazz,Rookie,0.44948,5,Rodney Hood
219,-3.32697659971212,Utah Jazz,Rookie,0.75,5,Joe Ingles
221,-3.32697659971212,Utah Jazz,Rookie,0.7466,5,Trey Lyles
223,-3.32697659971212,Utah Jazz,Rookie,0.12095933333333334,5,Elijah Millsap
224,-3.32697659971212,Utah Jazz,Rookie,0.3333333333333333,5,Raul Neto
225,-3.32697659971212,Utah Jazz,Rookie,1.0,5,Tibor Pleiss
226,-3.32697659971212,Utah Jazz,Rookie,0.3157586666666667,5,Jeff Withey
229,-4.25185452688767,Indiana Pacers,Rookie,0.3333333333333333,5,Rakeem Christmas
234,-4.25185452688767,Indiana Pacers,Rookie,0.45296,5,Solomon Hill
236,-4.25185452688767,Indiana Pacers,Rookie,0.2816666666666667,5,Glenn Robinson III
238,-4.25185452688767,Indiana Pacers,Rookie,0.78592,5,Myles Turner
239,-4.25185452688767,Indiana Pacers,Rookie,0.2816863333333333,5,Shayne Whittington
240,-4.25185452688767,Indiana Pacers,Rookie,0.3333333333333333,5,Joe Young
243,-4.415885108794571,Phoenix Suns,Rookie,0.70928,5,Devin Booker
245,-4.415885108794571,Phoenix Suns,Rookie,0.076221,5,Bryce Cotton
246,-4.415885108794571,Phoenix Suns,Rookie,0.38672,5,Archie Goodwin
248,-4.415885108794571,Phoenix Suns,Rookie,0.140483,5,Cory Jefferson
249,-4.415885108794571,Phoenix Suns,Rookie,0.327,5,John Jenkins
251,-4.415885108794571,Phoenix Suns,Rookie,1.26904,5,Alex Len
254,-4.415885108794571,Phoenix Suns,Rookie,1.8333333333333333,5,Mirza Teletovic
255,-4.415885108794571,Phoenix Suns,Rookie,0.68036,5,T.J. Warren
256,-4.415885108794571,Phoenix Suns,Rookie,0.038095,5,Alan Williams
258,-4.6116591923167904,Boston Celtics,Rookie,0.020592,5,Coty Clarke
259,-4.6116591923167904,Boston Celtics,Rookie,2.0,5,Jae Crowder
263,-4.6116591923167904,Boston Celtics,Rookie,0.4,5,Jordan Mickey
264,-4.6116591923167904,Boston Celtics,Rookie,0.72172,5,Kelly Olynyk
265,-4.6116591923167904,Boston Celtics,Rookie,0.60812,5,Terry Rozier
266,-4.6116591923167904,Boston Celtics,Rookie,1.14368,5,Marcus Smart
267,-4.6116591923167904,Boston Celtics,Rookie,0.75642,5,Jared Sullinger
270,-4.6116591923167904,Boston Celtics,Rookie,0.872325,5,Tyler Zeller
271,-4.6116591923167904,Boston Celtics,Rookie,0.58328,5,James Young
272,-4.688941267600169,Milwaukee Bucks,Rookie,0.65132,5,Giannis Antetokounmpo
274,-4.688941267600169,Milwaukee Bucks,Rookie,0.79968,5,Michael Carter-Williams
275,-4.688941267600169,Milwaukee Bucks,Rookie,0.55412,5,Tyler Ennis
276,-4.688941267600169,Milwaukee Bucks,Rookie,0.9810736666666666,5,John Henson
277,-4.688941267600169,Milwaukee Bucks,Rookie,0.285,5,Damien Inglis
281,-4.688941267600169,Milwaukee Bucks,Rookie,1.71748,5,Jabari Parker
282,-4.688941267600169,Milwaukee Bucks,Rookie,0.703098,5,Miles Plumlee
284,-4.688941267600169,Milwaukee Bucks,Rookie,0.57768,5,Rashad Vaughn
286,-5.443593013075019,Detroit Pistons,Rookie,2.1666666666666665,5,Aron Baynes
288,-5.443593013075019,Detroit Pistons,Rookie,0.41748,5,Reggie Bullock
289,-5.443593013075019,Detroit Pistons,Rookie,0.96392,5,Kentavious Caldwell-Pope
290,-5.443593013075019,Detroit Pistons,Rookie,0.2816863333333333,5,Spencer Dinwiddie
291,-5.443593013075019,Detroit Pistons,Rookie,1.090697,5,Andre Drummond
295,-5.443593013075019,Detroit Pistons,Rookie,0.94732,5,Stanley Johnson
300,-5.443593013075019,Detroit Pistons,Rookie,0.175031,5,Darrun Hilliard
301,-5.443593013075019,Detroit Pistons,Rookie,0.039005333333333336,5,Lorenzo Brown
307,-6.95908467674342,Miami Heat,Rookie,0.2816863333333333,5,Tyler Johnson
309,-6.95908467674342,Miami Heat,Rookie,0.175031,5,Josh Richardson
314,-6.95908467674342,Miami Heat,Rookie,0.82724,5,Justise Winslow
316,-7.06328427784918,Brooklyn Nets,Rookie,1.1418366666666666,5,Bojan Bogdanovic
318,-7.06328427784918,Brooklyn Nets,Rookie,0.44516,5,Rondae Hollis-Jefferson
321,-7.06328427784918,Brooklyn Nets,Rookie,0.53328,5,Sergey Karasev
322,-7.06328427784918,Brooklyn Nets,Rookie,0.10686466666666666,5,Sean Kilpatrick
323,-7.06328427784918,Brooklyn Nets,Rookie,0.5,5,Shane Larkin
325,-7.06328427784918,Brooklyn Nets,Rookie,0.38008,5,Chris McCullough
326,-7.06328427784918,Brooklyn Nets,Rookie,0.3157586666666667,5,Willie Reed
327,-7.06328427784918,Brooklyn Nets,Rookie,0.3271,5,Thomas Robinson
328,-7.06328427784918,Brooklyn Nets,Rookie,0.053874,5,Henry Sims
332,-7.06328427784918,Brooklyn Nets,Rookie,0.2816863333333333,5,Markel Brown
333,-7.094744671525871,Sacramento Kings,Rookie,0.327116,5,Quincy Acy
338,-7.094744671525871,Sacramento Kings,Rookie,1.13276,5,Willie Cauley-Stein
341,-7.094744671525871,Sacramento Kings,Rookie,0.3157586666666667,5,Seth Curry
342,-7.094744671525871,Sacramento Kings,Rookie,0.175031,5,Duje Dukan
345,-7.094744671525871,Sacramento Kings,Rookie,1.0522,5,Ben McLemore
346,-7.094744671525871,Sacramento Kings,Rookie,0.2816863333333333,5,Eric Moreland
350,-7.10489066209997,Denver Nuggets,Rookie,1.111111,5,Will Barton
353,-7.10489066209997,Denver Nuggets,Rookie,0.03333333333333333,5,Erick Green
354,-7.10489066209997,Denver Nuggets,Rookie,0.52916,5,Gary Harris
355,-7.10489066209997,Denver Nuggets,Rookie,0.43333333333333335,5,Nikola Jokic
356,-7.10489066209997,Denver Nuggets,Rookie,0.5699066666666667,5,Joffrey Lauvergne
357,-7.10489066209997,Denver Nuggets,Rookie,1.03408,5,Emmanuel Mudiay
360,-7.10489066209997,Denver Nuggets,Rookie,0.614,5,Jusuf Nurkic
361,-7.10489066209997,Denver Nuggets,Rookie,0.11666666666666667,5,Kostas Papanikolaou
362,-7.10489066209997,Denver Nuggets,Rookie,0.041184,5,Axel Toupane
364,-7.488149096327361,Charlotte Hornets,Rookie,0.3157586666666667,5,Troy Daniels
365,-7.488149096327361,Charlotte Hornets,Rookie,0.10048133333333334,5,Jorge Gutierrez
367,-7.488149096327361,Charlotte Hornets,Rookie,0.175031,5,Aaron Harrison
370,-7.488149096327361,Charlotte Hornets,Rookie,0.8708333333333333,5,Frank Kaminsky
371,-7.488149096327361,Charlotte Hornets,Rookie,2.110468,5,Michael Kidd-Gilchrist
372,-7.488149096327361,Charlotte Hornets,Rookie,1.011452,5,Jeremy Lamb
378,-7.488149096327361,Charlotte Hornets,Rookie,1.4014,5,Cody Zeller
379,-9.923464058428989,Orlando Magic,Rookie,0.05392533333333333,5,Keith Appling
380,-9.923464058428989,Orlando Magic,Rookie,0.36666666666666664,5,Chris Copeland
381,-9.923464058428989,Orlando Magic,Rookie,0.327116,5,Jared Cunningham
382,-9.923464058428989,Orlando Magic,Rookie,0.31575933333333334,5,Dewayne Dedmon
383,-9.923464058428989,Orlando Magic,Rookie,0.762735,5,Evan Fournier
384,-9.923464058428989,Orlando Magic,Rookie,1.39056,5,Aaron Gordon
385,-9.923464058428989,Orlando Magic,Rookie,0.2816863333333333,5,Joe Harris
386,-9.923464058428989,Orlando Magic,Rookie,1.24716,5,Mario Hezonja
389,-9.923464058428989,Orlando Magic,Rookie,0.2816863333333333,5,Devyn Marble
390,-9.923464058428989,Orlando Magic,Rookie,0.43148,5,Shabazz Napier
391,-9.923464058428989,Orlando Magic,Rookie,0.7935313333333334,5,Andrew Nicholson
392,-9.923464058428989,Orlando Magic,Rookie,1.73084,5,Victor Oladipo
393,-9.923464058428989,Orlando Magic,Rookie,0.83524,5,Elfrid Payton
399,-10.203822585508302,Los Angeles Lakers,Rookie,0.2816863333333333,5,Tarik Black
401,-10.203822585508302,Los Angeles Lakers,Rookie,0.2816863333333333,5,Jordan Clarkson
403,-10.203822585508302,Los Angeles Lakers,Rookie,0.175031,5,Marcelo Huertas
404,-10.203822585508302,Los Angeles Lakers,Rookie,0.57475,5,Ryan Kelly
405,-10.203822585508302,Los Angeles Lakers,Rookie,0.3852,5,Larry Nance Jr.
406,-10.203822585508302,Los Angeles Lakers,Rookie,1.04408,5,Julius Randle
407,-10.203822585508302,Los Angeles Lakers,Rookie,1.70104,5,D'Angelo Russell
408,-10.203822585508302,Los Angeles Lakers,Rookie,0.327116,5,Robert Sacre
411,-10.203822585508302,Los Angeles Lakers,Rookie,0.23333333333333334,5,Anthony Brown
412,-12.032900474274301,Minnesota Timberwolves,Rookie,1.2166666666666666,5,Anthony Bennett
413,-12.032900474274301,Minnesota Timberwolves,Rookie,1.3333333333333333,5,Nemanja Bjelica
414,-12.032900474274301,Minnesota Timberwolves,Rookie,0.49148,5,Gorgui Dieng
416,-12.032900474274301,Minnesota Timberwolves,Rookie,0.42736,5,Tyus Jones
417,-12.032900474274301,Minnesota Timberwolves,Rookie,0.71612,5,Zach LaVine
420,-12.032900474274301,Minnesota Timberwolves,Rookie,0.68564,5,Shabazz Muhammad
424,-12.032900474274301,Minnesota Timberwolves,Rookie,0.38316666666666666,5,Damjan Rudez
426,-12.032900474274301,Minnesota Timberwolves,Rookie,1.9012,5,Karl-Anthony Towns
427,-12.032900474274301,Minnesota Timberwolves,Rookie,1.91956,5,Andrew Wiggins
428,-12.032900474274301,Minnesota Timberwolves,Rookie,0.64628,5,Adreian Payne
430,-13.0964578477965,Philadelphia 76ers,Rookie,0.3157586666666667,5,Isaiah Canaan
