"team","rating"
"San Antonio Spurs",7.07248675076478
"Golden State Warriors",6.50224258300771
"Oklahoma City Thunder",4.56459318218398
"Cleveland Cavaliers",3.62389773336043
"Los Angeles Clippers",0.540920336441938
"Atlanta Hawks",0
"Toronto Raptors",-0.347019695634259
"Boston Celtics",-1.02893200505136
"Miami Heat",-1.39468416677886
"Indiana Pacers",-1.57258900417228
"Utah Jazz",-1.61856766959306
"Charlotte Hornets",-1.73985441791688
"Portland Trailblazers",-2.09902448658759
"Detroit Pistons",-3.09098918029709
"Houston Rockets",-3.59961726173231
"Washington Wizards",-3.9516568805173
"Dallas Mavericks",-4.01943405905364
"Chicago Bulls",-4.91178773262357
"Orlando Magic",-5.1226081725312
"Sacramento Kings",-5.7865253735793
"Memphis Grizzlies",-6.03227339498386
"New York Knicks",-6.1900736024556
"Denver Nuggets",-6.27459563454534
"Minnesota Timberwolves",-6.84976511270093
"New Orleans Pelicans",-7.03368520640549
"Milwaukee Bucks",-7.43886372944713
"Phoenix Suns",-9.79465871454632
"Brooklyn Nets",-10.5672309849546
"Los Angeles Lakers",-12.3894444559469
"Philadelphia 76ers",-13.379977164515
