,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[447],-2.775,2.615,-7.663,1.899,0.044,0.044,3544.0,1558.0,1.0
x[448],-1.463,1.68,-4.374,1.642,0.03,0.032,3082.0,1414.0,1.0
x[449],2.156,1.741,-0.827,5.494,0.029,0.028,3558.0,1186.0,1.0
x[450],0.102,1.658,-3.167,3.154,0.027,0.044,3706.0,1175.0,1.0
x[451],1.467,1.513,-1.184,4.496,0.024,0.027,3862.0,1503.0,1.0
x[452],0.072,1.153,-2.364,2.036,0.018,0.031,3967.0,1131.0,1.0
x[453],0.675,1.429,-2.028,3.317,0.027,0.034,2728.0,1359.0,1.0
x[454],2.929,1.372,0.367,5.334,0.025,0.02,3177.0,1530.0,1.0
x[455],0.382,1.024,-1.512,2.379,0.017,0.028,3599.0,1195.0,1.0
x[456],-0.076,1.562,-2.789,2.931,0.025,0.037,3898.0,1602.0,1.0
x[457],0.558,1.004,-1.32,2.419,0.017,0.022,3530.0,1369.0,1.0
x[458],0.232,2.516,-4.226,5.024,0.039,0.057,4181.0,1716.0,1.0
x[459],0.756,1.45,-2.025,3.502,0.026,0.03,3096.0,1445.0,1.0
x[460],-0.7,1.384,-3.077,2.039,0.026,0.028,2936.0,1515.0,1.0
x[461],-0.048,1.676,-3.162,3.122,0.033,0.046,2608.0,1127.0,1.0
x[462],5.217,2.011,1.14,8.863,0.031,0.024,4315.0,1355.0,1.0
x[463],-0.927,1.287,-3.47,1.35,0.023,0.029,3107.0,1057.0,1.0
x[464],0.47,1.304,-2.092,2.752,0.024,0.03,3104.0,1414.0,1.0
x[465],1.829,1.136,-0.376,3.886,0.02,0.018,3324.0,1220.0,1.0
x[466],-0.097,1.513,-3.071,2.605,0.023,0.041,4258.0,1159.0,1.0
x[467],-0.159,1.533,-2.952,2.724,0.029,0.039,2819.0,1186.0,1.0
x[468],-0.126,1.562,-2.948,2.791,0.027,0.04,3397.0,1306.0,1.0
x[469],-0.29,1.542,-3.254,2.527,0.025,0.038,3816.0,1423.0,1.0
x[470],0.977,0.916,-0.75,2.653,0.015,0.015,3517.0,1402.0,1.01
x[471],-0.499,1.182,-2.651,1.734,0.019,0.031,4051.0,1477.0,1.0
x[472],-0.149,1.534,-3.05,2.631,0.028,0.038,2939.0,1354.0,1.0
