"X","Unnamed..0","rating","Team","mu","sd","name","Contract.Value","Year","Type","coefs","index","player_id","player_name","finalpriors","finalse"
29,55,-4.969595181,"Utah Jazz",7.324906333,5,"Rudy Gobert","$21,974,719.00 ",2017,"Non-rookie",1.203571778,143,203497,"Rudy Gobert",2.35990203771715,0.476443058665584
30,56,-4.969595181,"Utah Jazz",1.75,5,"Thabo Sefolosha","$5,250,000.00 ",2017,"Non-rookie",-4.455827307,386,200757,"Thabo Sefolosha",-0.589311695353475,0.405162928679208
31,58,-2.082185522,"Oklahoma City Thunder",1.908333333,5,"Alex Abrines","$5,725,000.00 ",2017,"Non-rookie",5.800316078,103,203518,"Alex Abrines",-0.669987940187753,0.327567910268235
32,59,-2.082185522,"Oklahoma City Thunder",3.086419667,5,"Andre Roberson","$9,259,259.00 ",2017,"Non-rookie",1.054220732,129,203460,"Andre Roberson",-0.04676161360193,0.274483623782177
33,60,-2.082185522,"Oklahoma City Thunder",8.74792,5,"Carmelo Anthony","$26,243,760.00 ",2017,"Non-rookie",10.38906667,102,2546,"Carmelo Anthony",2.94826171675104,0.566136611236443
34,64,-2.082185522,"Oklahoma City Thunder",1.5555,5,"Kyle Singler","$4,666,500.00 ",2017,"Non-rookie",-1.293948115,468,202713,"Kyle Singler",-0.856642360730944,0.34990710074208
35,65,-2.082185522,"Oklahoma City Thunder",0.776217333,5,"Nick Collison","$2,328,652.00 ",2017,"Non-rookie",-2.006443122,442,2555,"Nick Collison",-1.26889523211211,0.406135765851217
36,66,-2.082185522,"Oklahoma City Thunder",1.730666667,5,"Patrick Patterson","$5,192,000.00 ",2017,"Non-rookie",-10.21654114,510,202335,"Patrick Patterson",-0.763976419989548,0.338527683316316
37,67,-2.082185522,"Oklahoma City Thunder",6.502986,5,"Paul George","$19,508,958.00 ",2017,"Non-rookie",-4.728312272,416,202331,"Paul George",1.76065608050094,0.379882162498325
38,68,-2.082185522,"Oklahoma City Thunder",0.776217333,5,"Raymond Felton","$2,328,652.00 ",2017,"Non-rookie",-0.229702983,234,101109,"Raymond Felton",-1.26889523211211,0.406135765851217
39,69,-2.082185522,"Oklahoma City Thunder",9.510202667,5,"Russell Westbrook","$28,530,608.00 ",2017,"Non-rookie",6.133106676,130,201566,"Russell Westbrook",3.35152131892418,0.635568162527086
40,70,-2.082185522,"Oklahoma City Thunder",7.490636667,5,"Steven Adams","$22,471,910.00 ",2017,"Non-rookie",6.070395456,100,203500,"Steven Adams",2.28313892354905,0.457210776853495
41,73,-2.709757135,"Boston Celtics",9.244801667,5,"Al Horford","$27,734,405.00 ",2017,"Non-rookie",1.971780364,418,201143,"Al Horford",3.24685999598257,0.610961930202183
42,74,-2.709757135,"Boston Celtics",1.442666667,5,"Aron Baynes","$4,328,000.00 ",2017,"Non-rookie",-9.140388239,324,203382,"Aron Baynes",-0.880592971803646,0.365627752438304
43,77,-2.709757135,"Boston Celtics",9.9093,5,"Gordon Hayward","$29,727,900.00 ",2017,"Non-rookie",0.569601533,538,202330,"Gordon Hayward",3.59839013697985,0.672024137506696
44,81,-2.709757135,"Boston Celtics",6.289541667,5,"Kyrie Irving","$18,868,625.00 ",2017,"Non-rookie",6.052479082,481,202681,"Kyrie Irving",1.68348065717596,0.367449756876566
45,82,-2.709757135,"Boston Celtics",1.666666667,5,"Marcus Morris","$5,000,000.00 ",2017,"Non-rookie",-1.382766102,118,202694,"Marcus Morris",-0.762093424592003,0.350830046725016
46,85,-2.709757135,"Boston Celtics",0.508101667,5,"Shane Larkin","$1,524,305.00 ",2017,"Non-rookie",0.381259293,135,203499,"Shane Larkin",-1.37499265635654,0.434818000631645
47,89,-8.154010436,"San Antonio Spurs",3.333333333,5,"Danny Green","$10,000,000.00 ",2017,"Non-rookie",4.247937158,508,201980,"Danny Green",0.429648173076253,0.488629710566438
48,94,-8.154010436,"San Antonio Spurs",6.289541667,5,"Kawhi Leonard","$18,868,625.00 ",2017,"Non-rookie",7.469447441,79,202695,"Kawhi Leonard",1.99352919558646,0.526282173599919
49,96,-8.154010436,"San Antonio Spurs",7.15367,5,"LaMarcus Aldridge","$21,461,010.00 ",2017,"Non-rookie",5.333597095,156,200746,"LaMarcus Aldridge",2.45066676787776,0.567572979398447
50,97,-8.154010436,"San Antonio Spurs",0.833333333,5,"Manu Ginobili","$2,500,000.00 ",2017,"Non-rookie",1.001509283,428,1938,"Manu Ginobili",-0.892891416339404,0.588990843380129
51,98,-8.154010436,"San Antonio Spurs",3.571428667,5,"Patty Mills","$10,714,286.00 ",2017,"Non-rookie",1.011038678,147,201988,"Patty Mills",0.555604375184311,0.484945688639412
