rating,Unnamed: 0,Team,Type,mu,sd,name
7.63261481,3223,Miami Heat,Rookie,0.254065,5,Dexter Pittman
7.63261481,7565,Miami Heat,Rookie,1.333333333,5,Mario Chalmers
7.63261481,8100,Miami Heat,Rookie,0.082754333,5,Mickell Gladness
7.63261481,8577,Miami Heat,Rookie,0.34532,5,Norris Cole
7.63261481,10639,Miami Heat,Rookie,0.157868,5,Terrel Harris
7.158873307,3121,Chicago Bulls,Rookie,2.331236,5,Derrick Rose
7.158873307,5632,Chicago Bulls,Rookie,0.34032,5,Jimmy Butler
7.158873307,8624,Chicago Bulls,Rookie,0.619166667,5,Omer Asik
7.158873307,10587,Chicago Bulls,Rookie,0.39856,5,Taj Gibson
6.376479301,528,Los Angeles Lakers,Rookie,0.157868,5,Andrew Goudelock
6.376479301,2674,Los Angeles Lakers,Rookie,0.157868,5,Darius Morris
6.376479301,3198,Los Angeles Lakers,Rookie,0.254065,5,Devin Ebanks
6.367721808,3322,Dallas Mavericks,Rookie,0.39776,5,Dominique Jones
6.367721808,9555,Dallas Mavericks,Rookie,0.41224,5,Rodrigue Beaubois
6.295614425,2311,San Antonio Spurs,Rookie,0.3428,5,Cory Joseph
6.295614425,2607,San Antonio Spurs,Rookie,0.284796333,5,Danny Green
6.295614425,2912,San Antonio Spurs,Rookie,0.328666667,5,DeJuan Blair
6.295614425,3816,San Antonio Spurs,Rookie,0.012724,5,Eric Dawson
6.295614425,4129,San Antonio Spurs,Rookie,0.254065,5,Gary Neal
6.295614425,4974,San Antonio Spurs,Rookie,0.48784,5,James Anderson
6.295614425,6298,San Antonio Spurs,Rookie,0.57732,5,Kawhi Leonard
6.295614425,7385,San Antonio Spurs,Rookie,0.034368,5,Malcolm Thomas
6.295614425,10779,San Antonio Spurs,Rookie,1.224,5,Tiago Splitter
5.726091672,885,Boston Celtics,Rookie,0.50816,5,Avery Bradley
5.726091672,4455,Boston Celtics,Rookie,0.254065,5,Greg Stiemsma
5.726091672,4862,Boston Celtics,Rookie,0.34744,5,JaJuan Johnson
5.726091672,9032,Boston Celtics,Rookie,3.348485,5,Rajon Rondo
5.495857605,2552,Orlando Magic,Rookie,0.36852,5,Daniel Orton
5.495857605,2888,Orlando Magic,Rookie,0.157868,5,DeAndre Liggins
5.495857605,3597,Orlando Magic,Rookie,0.386666667,5,Earl Clark
5.495857605,4275,Orlando Magic,Rookie,2.1,5,Glen Davis
5.495857605,6226,Orlando Magic,Rookie,0.157868,5,Justin Harper
5.495857605,9759,Orlando Magic,Rookie,0.748200333,5,Ryan Anderson
5.388137247,2562,Denver Nuggets,Rookie,1.396727333,5,Danilo Gallinari
5.388137247,2966,Denver Nuggets,Rookie,0.181443667,5,DeMarre Carroll
5.388137247,6041,Denver Nuggets,Rookie,0.357762,5,Jordan Hamilton
5.388137247,6206,Denver Nuggets,Rookie,0.157868,5,Julyan Stone
5.388137247,6434,Denver Nuggets,Rookie,0.41824,5,Kenneth Faried
5.388137247,6749,Denver Nuggets,Rookie,0.734597333,5,Kosta Koufos
5.388137247,9719,Denver Nuggets,Rookie,0.726814333,5,Rudy Fernandez
5.388137247,10874,Denver Nuggets,Rookie,1.114632,5,Timofey Mozgov
5.388137247,11255,Denver Nuggets,Rookie,0.55148,5,Ty Lawson
4.981705131,2241,Oklahoma City Thunder,Rookie,0.762,5,Cole Aldrich
4.981705131,3835,Oklahoma City Thunder,Rookie,0.50556,5,Eric Maynor
4.981705131,4998,Oklahoma City Thunder,Rookie,1.53492,5,James Harden
4.981705131,7051,Oklahoma City Thunder,Rookie,0.36584,5,Lazar Hayward
4.981705131,9228,Oklahoma City Thunder,Rookie,0.38544,5,Reggie Jackson
4.981705131,9748,Oklahoma City Thunder,Rookie,1.694138667,5,Russell Westbrook
4.981705131,9802,Oklahoma City Thunder,Rookie,0.158333333,5,Ryan Reid
4.981705131,10072,Oklahoma City Thunder,Rookie,0.4294,5,Serge Ibaka
3.622545361,2641,Memphis Grizzlies,Rookie,0.666666667,5,Dante Cunningham
3.622545361,4502,Memphis Grizzlies,Rookie,0.433333333,5,Hamed Haddadi
3.622545361,5472,Memphis Grizzlies,Rookie,0.333333333,5,Jeremy Pargo
3.622545361,6146,Memphis Grizzlies,Rookie,0.183333333,5,Josh Selby
3.622545361,7447,Memphis Grizzlies,Rookie,4.307398,5,Marc Gasol
3.622545361,7723,Memphis Grizzlies,Rookie,0.907085,5,Marreese Speights
3.622545361,8586,Memphis Grizzlies,Rookie,1.877545667,5,O.J. Mayo
3.622545361,8962,Memphis Grizzlies,Rookie,0.3846,5,Quincy Pondexter
3.622545361,9870,Memphis Grizzlies,Rookie,0.315933333,5,Sam Young
3.224018075,1761,Houston Rockets,Rookie,0.283333333,5,Chandler Parsons
3.224018075,1855,Houston Rockets,Rookie,0.284796333,5,Chase Budinger
3.224018075,2328,Houston Rockets,Rookie,0.741697667,5,Courtney Lee
3.224018075,4310,Houston Rockets,Rookie,0.702666667,5,Goran Dragic
3.224018075,4451,Houston Rockets,Rookie,0.100577667,5,Greg Smith
3.224018075,4531,Houston Rockets,Rookie,1.70924,5,Hasheem Thabeet
3.224018075,5354,Houston Rockets,Rookie,0.090142333,5,Jeff Adrien
3.224018075,6014,Houston Rockets,Rookie,1.13824,5,Jonny Flynn
3.224018075,6048,Houston Rockets,Rookie,0.95192,5,Jordan Hill
3.224018075,7285,Houston Rockets,Rookie,2.863931,5,Luis Scola
