,rating,Unnamed: 0,Team,Type,mu,sd,name
0,6.239155242,391,Golden State Warriors,Non-rookie,3.212851333,5,Anderson Varejao
1,6.239155242,432,Golden State Warriors,Non-rookie,3.903485333,5,Andre Iguodala
2,6.239155242,504,Golden State Warriors,Non-rookie,4,5,Andrew Bogut
3,6.239155242,1315,Golden State Warriors,Non-rookie,0.423654667,5,Brandon Rush
4,6.239155242,3483,Golden State Warriors,Rookie,4.766666667,5,Draymond Green
5,6.239155242,4028,Golden State Warriors,Rookie,0.669582667,5,Festus Ezeli
6,6.239155242,4516,Golden State Warriors,Rookie,1.291132667,5,Harrison Barnes
7,6.239155242,4657,Golden State Warriors,Rookie,0.315758667,5,Ian Clark
8,6.239155242,5024,Golden State Warriors,Rookie,0.281686333,5,James Michael McAdoo
9,6.239155242,5294,Golden State Warriors,Non-rookie,2.14375,5,Jason Thompson
10,6.239155242,6664,Golden State Warriors,Rookie,0.37732,5,Kevon Looney
11,6.239155242,6719,Golden State Warriors,Non-rookie,5.166666667,5,Klay Thompson
12,6.239155242,7064,Golden State Warriors,Non-rookie,0.833333333,5,Leandro Barbosa
13,6.239155242,7727,Golden State Warriors,Non-rookie,1.271666667,5,Marreese Speights
14,6.239155242,10191,Golden State Warriors,Non-rookie,1.847908333,5,Shaun Livingston
15,6.239155242,10405,Golden State Warriors,Non-rookie,3.790262,5,Stephen Curry
16,2.726858652,245,Los Angeles Clippers,Rookie,0.020592,5,Alex Stepheson
17,2.726858652,881,Los Angeles Clippers,Rookie,1.033333333,5,Austin Rivers
18,2.726858652,1088,Los Angeles Clippers,Non-rookie,6.302575,5,Blake Griffin
19,2.726858652,1262,Los Angeles Clippers,Rookie,0.175031,5,Branden Dawson
20,2.726858652,2072,Los Angeles Clippers,Non-rookie,7.156232,5,Chris Paul
21,2.726858652,2244,Los Angeles Clippers,Non-rookie,0.366866667,5,Cole Aldrich
22,2.726858652,2885,Los Angeles Clippers,Non-rookie,6.5,5,DeAndre Jordan
23,2.726858652,4931,Los Angeles Clippers,Non-rookie,1.891666667,5,Jamal Crawford
24,2.726858652,5358,Los Angeles Clippers,Rookie,0.105744,5,Jeff Ayres
25,2.726858652,5381,Los Angeles Clippers,Non-rookie,3.066666667,5,Jeff Green
26,2.726858652,7260,Los Angeles Clippers,Non-rookie,0.423654667,5,Luc Mbah a Moute
27,2.726858652,8701,Los Angeles Clippers,Rookie,0.327116,5,Pablo Prigioni
28,2.726858652,8827,Los Angeles Clippers,Non-rookie,1.133333333,5,Paul Pierce
29,2.726858652,11615,Los Angeles Clippers,Non-rookie,0.366866667,5,Wesley Johnson
30,2.388463429,450,San Antonio Spurs,Non-rookie,0.499729,5,Andre Miller
31,2.388463429,1138,San Antonio Spurs,Rookie,0.4,5,Boban Marjanovic
32,2.388463429,1211,San Antonio Spurs,Non-rookie,2.333333333,5,Boris Diaw
33,2.388463429,2611,San Antonio Spurs,Non-rookie,3.333333333,5,Danny Green
34,2.388463429,2848,San Antonio Spurs,Non-rookie,0.499666667,5,David West
35,2.388463429,5629,San Antonio Spurs,Non-rookie,0.169237,5,Jimmer Fredette
36,2.388463429,6009,San Antonio Spurs,Rookie,0.175031,5,Jonathon Simmons
37,2.388463429,6302,San Antonio Spurs,Non-rookie,5.5,5,Kawhi Leonard
38,2.388463429,6618,San Antonio Spurs,Non-rookie,2.361666667,5,Kevin Martin
39,2.388463429,6809,San Antonio Spurs,Rookie,0.380959667,5,Kyle Anderson
40,2.388463429,6893,San Antonio Spurs,Non-rookie,6.5,5,LaMarcus Aldridge
41,2.388463429,7436,San Antonio Spurs,Non-rookie,0.938,5,Manu Ginobili
42,2.388463429,7814,San Antonio Spurs,Non-rookie,0.499729,5,Matt Bonner
43,2.388463429,9165,San Antonio Spurs,Non-rookie,0.499729,5,Rasual Butler
44,2.388463429,9194,San Antonio Spurs,Rookie,0.315758667,5,Ray McCallum
45,2.388463429,10807,San Antonio Spurs,Non-rookie,1.666666667,5,Tim Duncan
46,2.388463429,11056,San Antonio Spurs,Non-rookie,4.479166667,5,Tony Parker
47,0.900291421,1775,Cleveland Cavaliers,Non-rookie,2.602526333,5,Channing Frye
48,0.900291421,2404,Cleveland Cavaliers,Non-rookie,0.002939667,5,Dahntay Jones
49,0.900291421,4686,Cleveland Cavaliers,Non-rookie,3,5,Iman Shumpert
50,0.900291421,5020,Cleveland Cavaliers,Non-rookie,0.499666667,5,James Jones
51,0.900291421,6054,Cleveland Cavaliers,Rookie,0.057657333,5,Jordan McRae
52,0.900291421,6602,Cleveland Cavaliers,Non-rookie,6.5,5,Kevin Love
53,0.900291421,6857,Cleveland Cavaliers,Non-rookie,4.915333333,5,Kyrie Irving
54,0.900291421,7078,Cleveland Cavaliers,Non-rookie,7.657,5,LeBron James
55,0.900291421,7867,Cleveland Cavaliers,Rookie,0.382426667,5,Matthew Dellavedova
56,0.900291421,8300,Cleveland Cavaliers,Non-rookie,0.7,5,Mo Williams
57,0.900291421,9335,Cleveland Cavaliers,Non-rookie,0.499666667,5,Richard Jefferson
58,0.900291421,9906,Cleveland Cavaliers,Rookie,0.433333333,5,Sasha Kaun
59,0.900291421,10878,Cleveland Cavaliers,Non-rookie,1.65,5,Timofey Mozgov
60,0.900291421,11218,Cleveland Cavaliers,Non-rookie,4.753623333,5,Tristan Thompson
61,0,163,Atlanta Hawks,Non-rookie,4,5,Al Horford
62,0,1625,Atlanta Hawks,Rookie,6.333333333,5,Cameron Bairstow
63,0,2989,Atlanta Hawks,Rookie,0.5878,5,Dennis Schroder
64,0,5420,Atlanta Hawks,Non-rookie,2.666666667,5,Jeff Teague
65,0,6491,Atlanta Hawks,Rookie,0.666666667,5,Kent Bazemore
66,0,6709,Atlanta Hawks,Non-rookie,0.956666667,5,Kirk Hinrich
67,0,6773,Atlanta Hawks,Non-rookie,1.533333333,5,Kris Humphries
68,0,6824,Atlanta Hawks,Non-rookie,1.915493,5,Kyle Korver
69,0,6881,Atlanta Hawks,Rookie,0.175031,5,Lamar Patterson
70,0,8184,Atlanta Hawks,Rookie,0.315758667,5,Mike Muscala
71,0,8198,Atlanta Hawks,Rookie,1.111111,5,Mike Scott
72,0,10735,Atlanta Hawks,Non-rookie,1.333333333,5,Thabo Sefolosha
73,0,10783,Atlanta Hawks,Non-rookie,2.833333333,5,Tiago Splitter
74,-0.007954033,265,Portland Trailblazers,Non-rookie,2.5,5,Al-Farouq Aminu
75,-0.007954033,280,Portland Trailblazers,Rookie,0.315758667,5,Allen Crabbe
