,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,1.163,0.537,0.056,2.07,0.009,0.007,3630.0,1067.0,1.0
x[0],2.578,2.484,-1.899,7.486,0.035,0.037,5079.0,1690.0,1.0
x[1],1.644,2.281,-2.614,6.036,0.037,0.042,3859.0,1663.0,1.0
x[2],-3.382,2.457,-7.898,1.291,0.041,0.039,3559.0,1257.0,1.0
x[3],-1.621,2.35,-6.192,2.759,0.037,0.055,4002.0,1222.0,1.0
x[4],1.174,2.45,-3.182,5.965,0.033,0.055,5646.0,1052.0,1.0
x[5],0.744,2.332,-3.525,5.158,0.036,0.055,4199.0,1511.0,1.0
x[6],1.878,2.407,-2.568,6.427,0.039,0.054,3826.0,1169.0,1.0
x[7],-1.739,2.325,-5.828,2.93,0.035,0.043,4476.0,1218.0,1.0
x[8],3.724,2.372,-0.691,8.038,0.029,0.031,6602.0,1541.0,1.0
x[9],5.592,2.439,1.087,10.141,0.039,0.028,3999.0,984.0,1.0
x[10],0.392,2.57,-4.303,5.295,0.039,0.071,4400.0,1376.0,1.0
x[11],0.884,2.366,-3.645,5.135,0.03,0.058,6141.0,1239.0,1.0
x[12],-2.293,2.397,-6.498,2.397,0.034,0.043,4969.0,1447.0,1.0
x[13],-1.232,2.526,-5.856,3.487,0.039,0.057,4163.0,1481.0,1.0
x[14],-1.913,2.559,-6.607,2.914,0.036,0.048,5082.0,1372.0,1.0
x[15],1.668,2.461,-3.243,6.071,0.042,0.059,3566.0,1090.0,1.0
x[16],0.32,2.392,-4.245,4.639,0.042,0.062,3372.0,1212.0,1.0
x[17],4.089,2.376,-0.465,8.218,0.036,0.035,4259.0,1543.0,1.0
x[18],0.219,2.582,-4.298,5.387,0.035,0.067,5397.0,1455.0,1.0
x[19],-0.193,2.569,-4.739,4.71,0.036,0.071,5043.0,1308.0,1.01
x[20],0.745,2.154,-3.51,4.595,0.031,0.046,4882.0,1713.0,1.0
x[21],-0.56,2.363,-4.91,3.916,0.035,0.059,4613.0,1165.0,1.0
x[22],-0.38,2.267,-4.807,3.673,0.035,0.057,4218.0,1263.0,1.0
x[23],4.082,2.273,-0.532,8.052,0.03,0.028,5752.0,1591.0,1.0
x[24],-0.065,2.594,-4.807,4.787,0.035,0.063,5482.0,1530.0,1.0
x[25],-1.412,2.799,-6.736,3.89,0.039,0.066,5059.0,1240.0,1.0
