X,Unnamed..0,rating,Team,mu,sd,name,Contract.Value,Year,Type,coefs,index,player_id,player_name
40,88,8.154010436,San Antonio Spurs,0.437537,5,Bryn Forbes,"$1,312,611.00 ",2017,Rookie,0.205047355,188,1627854,Bryn Forbes
41,90,8.154010436,San Antonio Spurs,0.437537,5,Davis Bertans,"$1,312,611.00 ",2017,Rookie,0.008210648,80,202722,Davis Bertans
42,91,8.154010436,San Antonio Spurs,0.437537,5,Dejounte Murray,"$1,312,611.00 ",2017,Rookie,-2.702436028,82,1627749,Dejounte Murray
43,92,8.154010436,San Antonio Spurs,0.4682,5,Derrick White,"$1,404,600.00 ",2017,Rookie,1.627455666,465,1628401,Derrick White
44,93,8.154010436,San Antonio Spurs,0.508101667,5,Joffrey Lauvergne,"$1,524,305.00 ",2017,Rookie,-4.450499377,220,203530,Joffrey Lauvergne
45,95,8.154010436,San Antonio Spurs,0.717234667,5,Kyle Anderson,"$2,151,704.00 ",2017,Rookie,-0.556701268,81,203937,Kyle Anderson
46,110,0.487595368,Minnesota Timberwolves,0.74916,5,Justin Patton,"$2,247,480.00 ",2017,Rookie,0.259449529,523,1628383,Justin Patton
47,112,0.487595368,Minnesota Timberwolves,0.437537,5,Marcus Georges-Hunt,"$1,312,611.00 ",2017,Rookie,-1.497682498,30,1627875,Marcus Georges-Hunt
48,113,0.487595368,Minnesota Timberwolves,1.316666333,5,Nemanja Bjelica,"$3,949,999.00 ",2017,Rookie,-1.19894128,415,202357,Nemanja Bjelica
49,116,0.487595368,Minnesota Timberwolves,0.490460667,5,Tyus Jones,"$1,471,382.00 ",2017,Rookie,-0.681580223,28,1626145,Tyus Jones
50,118,0.655602464,Portland Trail Blazers,0.48864,5,Caleb Swanigan,"$1,465,920.00 ",2017,Rookie,0.403679101,231,1628403,Caleb Swanigan
51,122,0.655602464,Portland Trail Blazers,0.437537,5,Jake Layman,"$1,312,611.00 ",2017,Rookie,1.170391349,230,1627774,Jake Layman
52,123,0.655602464,Portland Trail Blazers,0.982435,5,Jusuf Nurkic,"$2,947,305.00 ",2017,Rookie,-6.070743971,483,203994,Jusuf Nurkic
53,126,0.655602464,Portland Trail Blazers,1.168411,5,Noah Vonleh,"$3,505,233.00 ",2017,Rookie,-2.631467036,162,203943,Noah Vonleh
54,127,0.655602464,Portland Trail Blazers,0.490460667,5,Pat Connaughton,"$1,471,382.00 ",2017,Rookie,1.392985677,123,1626192,Pat Connaughton
55,128,0.655602464,Portland Trail Blazers,0.78712,5,Shabazz Napier,"$2,361,360.00 ",2017,Rookie,-1.0569344,367,203894,Shabazz Napier
56,129,0.655602464,Portland Trail Blazers,1.01908,5,Zach Collins,"$3,057,240.00 ",2017,Rookie,-3.419040514,482,1628380,Zach Collins
57,131,-0.562154828,New Orleans Pelicans,0.437537,5,Cheick Diallo,"$1,312,611.00 ",2017,Rookie,-4.804266543,372,1627767,Cheick Diallo
58,135,-0.562154828,New Orleans Pelicans,0.525743333,5,Ian Clark,"$1,577,230.00 ",2017,Rookie,-0.57254736,427,203546,Ian Clark
59,143,-0.562154828,New Orleans Pelicans,0.033333333,5,Quinn Cook,"$100,000.00 ",2017,Rookie,3.547307082,255,1626188,Quinn Cook
60,154,0.567018304,Indiana Pacers,0.85,5,Domantas Sabonis,"$2,550,000.00 ",2017,Rookie,-0.726083448,348,1627734,Domantas Sabonis
61,155,0.567018304,Indiana Pacers,0.033333333,5,Georges Niang,"$100,000.00 ",2017,Rookie,-0.050207905,179,1627777,Georges Niang
62,156,0.567018304,Indiana Pacers,0.316666667,5,Ike Anigbogu,"$950,000.00 ",2017,Rookie,-3.113020699,271,1628387,Ike Anigbogu
63,157,0.567018304,Indiana Pacers,0.490460667,5,Joe Young,"$1,471,382.00 ",2017,Rookie,-5.991034292,3,1626202,Joe Young
64,159,0.567018304,Indiana Pacers,0.85664,5,Myles Turner,"$2,569,920.00 ",2017,Rookie,1.372436443,309,1626167,Myles Turner
