,rating,Team,mu,sd,name,Contract Value,Year,Type
135,7.100591941,New Orleans Pelicans,0.525743333,5,Ian Clark,"$1,577,230.00 ",2017,Rookie
143,7.100591941,New Orleans Pelicans,0.033333333,5,Quinn Cook,"$100,000.00 ",2017,Rookie
154,6.91526888,Indiana Pacers,0.85,5,Domantas Sabonis,"$2,550,000.00 ",2017,Rookie
155,6.91526888,Indiana Pacers,0.033333333,5,Georges Niang,"$100,000.00 ",2017,Rookie
156,6.91526888,Indiana Pacers,0.316666667,5,Ike Anigbogu,"$950,000.00 ",2017,Rookie
157,6.91526888,Indiana Pacers,0.490460667,5,Joe Young,"$1,471,382.00 ",2017,Rookie
159,6.91526888,Indiana Pacers,0.85664,5,Myles Turner,"$2,569,920.00 ",2017,Rookie
163,6.899803629,Denver Nuggets,1.12716,5,Emmanuel Mudiay,"$3,381,480.00 ",2017,Rookie
164,6.899803629,Denver Nuggets,0.850018333,5,Gary Harris,"$2,550,055.00 ",2017,Rookie
165,6.899803629,Denver Nuggets,1.11844,5,Jamal Murray,"$3,355,320.00 ",2017,Rookie
169,6.899803629,Denver Nuggets,0.56688,5,Malik Beasley,"$1,700,640.00 ",2017,Rookie
171,6.899803629,Denver Nuggets,0.490460667,5,Nikola Jokic,"$1,471,382.00 ",2017,Rookie
175,6.899803629,Denver Nuggets,0.8138,5,Trey Lyles,"$2,441,400.00 ",2017,Rookie
176,6.899803629,Denver Nuggets,0.52648,5,Tyler Lydon,"$1,579,440.00 ",2017,Rookie
180,6.065728513,Washington Wizards,0.490460667,5,Chris McCullough,"$1,471,382.00 ",2017,Rookie
188,6.065728513,Washington Wizards,0.666666667,5,Tim Frazier,"$2,000,000.00 ",2017,Rookie
189,6.065728513,Washington Wizards,1,5,Tomas Satoransky,"$3,000,000.00 ",2017,Rookie
192,5.484227899,Los Angeles Clippers,0.44372,5,Brice Johnson,"$1,331,160.00 ",2017,Rookie
195,5.484227899,Los Angeles Clippers,0.271871667,5,Jawun Evans,"$815,615.00 ",2017,Rookie
198,5.484227899,Los Angeles Clippers,0.490460667,5,Montrezl Harrell,"$1,471,382.00 ",2017,Rookie
200,5.484227899,Los Angeles Clippers,0.5982,5,Sam Dekker,"$1,794,600.00 ",2017,Rookie
201,5.484227899,Los Angeles Clippers,0.271871667,5,Sindarius Thornwell,"$815,615.00 ",2017,Rookie
203,5.484227899,Los Angeles Clippers,0.525743333,5,Willie Reed,"$1,577,230.00 ",2017,Rookie
205,5.37038963,Charlotte Hornets,0.271871667,5,Dwayne Bacon,"$815,615.00 ",2017,Rookie
207,5.37038963,Charlotte Hornets,0.9492,5,Frank Kaminsky,"$2,847,600.00 ",2017,Rookie
211,5.37038963,Charlotte Hornets,0.96816,5,Malik Monk,"$2,904,480.00 ",2017,Rookie
216,5.37038963,Charlotte Hornets,0.437537,5,Treveon Graham,"$1,312,611.00 ",2017,Rookie
217,5.129756323,Miami Heat,0.83012,5,Bam Adebayo,"$2,490,360.00 ",2017,Rookie
222,5.129756323,Miami Heat,0.490460667,5,Jordan Mickey,"$1,471,382.00 ",2017,Rookie
223,5.129756323,Miami Heat,0.490460667,5,Josh Richardson,"$1,471,382.00 ",2017,Rookie
224,5.129756323,Miami Heat,0.90168,5,Justise Winslow,"$2,705,040.00 ",2017,Rookie
226,5.129756323,Miami Heat,0.437537,5,Okaro White,"$1,312,611.00 ",2017,Rookie
227,5.129756323,Miami Heat,0.437537,5,Rodney McGruder,"$1,312,611.00 ",2017,Rookie
231,5.107920036,Milwaukee Bucks,0.71168,5,D.J. Wilson,"$2,135,040.00 ",2017,Rookie
240,5.107920036,Milwaukee Bucks,0.437537,5,Malcolm Brogdon,"$1,312,611.00 ",2017,Rookie
243,5.107920036,Milwaukee Bucks,0.62968,5,Rashad Vaughn,"$1,889,040.00 ",2017,Rookie
