,Unnamed: 0,rating,Team,mu,sd,name,Contract Value,Year,Type,coefs,index,player_id,player_name
38,68,8.526489449,Oklahoma City Thunder,0.776217333,5,Raymond Felton,"$2,328,652.00 ",2017,Non-rookie,-0.2297029829607933,234,101109.0,Raymond Felton
39,69,8.526489449,Oklahoma City Thunder,9.510202667,5,Russell Westbrook,"$28,530,608.00 ",2017,Non-rookie,6.133106676142633,130,201566.0,Russell Westbrook
40,70,8.526489449,Oklahoma City Thunder,7.490636667,5,Steven Adams,"$22,471,910.00 ",2017,Non-rookie,6.070395455676213,100,203500.0,Steven Adams
41,73,8.267971906,Boston Celtics,9.244801667,5,Al Horford,"$27,734,405.00 ",2017,Non-rookie,1.97178036423428,418,201143.0,Al Horford
42,74,8.267971906,Boston Celtics,1.442666667,5,Aron Baynes,"$4,328,000.00 ",2017,Non-rookie,-9.14038823924082,324,203382.0,Aron Baynes
43,77,8.267971906,Boston Celtics,9.9093,5,Gordon Hayward,"$29,727,900.00 ",2017,Non-rookie,0.5696015325204142,538,202330.0,Gordon Hayward
44,81,8.267971906,Boston Celtics,6.289541667000001,5,Kyrie Irving,"$18,868,625.00 ",2017,Non-rookie,6.052479082018674,481,202681.0,Kyrie Irving
45,82,8.267971906,Boston Celtics,1.6666666669999999,5,Marcus Morris,"$5,000,000.00 ",2017,Non-rookie,-1.3827661024601268,118,202694.0,Marcus Morris
46,85,8.267971906,Boston Celtics,0.508101667,5,Shane Larkin,"$1,524,305.00 ",2017,Non-rookie,0.3812592930621808,135,203499.0,Shane Larkin
47,89,8.012503387999999,San Antonio Spurs,3.333333333,5,Danny Green,"$10,000,000.00 ",2017,Non-rookie,4.2479371580343255,508,201980.0,Danny Green
48,94,8.012503387999999,San Antonio Spurs,6.289541667000001,5,Kawhi Leonard,"$18,868,625.00 ",2017,Non-rookie,7.469447440773218,79,202695.0,Kawhi Leonard
49,96,8.012503387999999,San Antonio Spurs,7.15367,5,LaMarcus Aldridge,"$21,461,010.00 ",2017,Non-rookie,5.33359709503315,156,200746.0,LaMarcus Aldridge
50,97,8.012503387999999,San Antonio Spurs,0.833333333,5,Manu Ginobili,"$2,500,000.00 ",2017,Non-rookie,1.0015092831322443,428,1938.0,Manu Ginobili
51,98,8.012503387999999,San Antonio Spurs,3.5714286669999997,5,Patty Mills,"$10,714,286.00 ",2017,Non-rookie,1.0110386780154563,147,201988.0,Patty Mills
