,Name,Team,Season,Salary,Type
3228,Carlos Delfino,Los Angeles Clippers,2015,650000,Non-rookie
3229,Carlos Delfino,Los Angeles Clippers,2016,650000,Non-rookie
3230,Carlos Delfino,Los Angeles Clippers,2017,650000,Non-rookie
3241,Matthew Dellavedova,Cleveland Cavaliers,2014,816482,Rookie
3242,Matthew Dellavedova,Cleveland Cavaliers,2015,1147280,Rookie
3243,Matthew Dellavedova,Milwaukee Bucks,2016,9607500,Non-rookie
3244,Matthew Dellavedova,Milwaukee Bucks,2017,9607500,Non-rookie
3264,Luol Deng,Chicago Bulls,2010,11345000,Non-rookie
3265,Luol Deng,Chicago Bulls,2011,12325000,Non-rookie
3266,Luol Deng,Chicago Bulls,2012,13305000,Non-rookie
3267,Luol Deng,Chicago Bulls,2013,14275000,Non-rookie
3268,Luol Deng,Miami Heat,2014,9714461,Non-rookie
3269,Luol Deng,Miami Heat,2015,10151612,Non-rookie
3270,Luol Deng,Los Angeles Lakers,2016,18000000,Non-rookie
3271,Luol Deng,Los Angeles Lakers,2017,17190000,Non-rookie
3273,DeMar DeRozan,Toronto Raptors,2010,2453880,Rookie
3274,DeMar DeRozan,Toronto Raptors,2011,2625000,Rookie
3275,DeMar DeRozan,Toronto Raptors,2012,3344250,Rookie
3276,DeMar DeRozan,Toronto Raptors,2013,9500000,Non-rookie
3277,DeMar DeRozan,Toronto Raptors,2014,9500000,Non-rookie
3278,DeMar DeRozan,Toronto Raptors,2015,9500000,Non-rookie
3279,DeMar DeRozan,Toronto Raptors,2016,26540100,Non-rookie
3280,DeMar DeRozan,Toronto Raptors,2017,27739975,Non-rookie
3285,Cheick Diallo,New Orleans Pelicans,2016,543471,Rookie
3286,Cheick Diallo,New Orleans Pelicans,2017,1312611,Rookie
3298,Boris Diaw,Charlotte Bobcats,2010,9000000,Non-rookie
3299,Boris Diaw,Charlotte Bobcats,2011,9000000,Non-rookie
3300,Boris Diaw,San Antonio Spurs,2012,4500000,Non-rookie
3301,Boris Diaw,San Antonio Spurs,2013,4702500,Non-rookie
3302,Boris Diaw,San Antonio Spurs,2014,7500000,Non-rookie
3303,Boris Diaw,San Antonio Spurs,2015,7000000,Non-rookie
3304,Boris Diaw,Utah Jazz,2016,7000000,Non-rookie
3328,Gorgui Dieng,Minnesota Timberwolves,2013,1352640,Rookie
3329,Gorgui Dieng,Minnesota Timberwolves,2014,1413480,Rookie
3330,Gorgui Dieng,Minnesota Timberwolves,2015,1474440,Rookie
3331,Gorgui Dieng,Minnesota Timberwolves,2016,2348783,Rookie
3332,Gorgui Dieng,Minnesota Timberwolves,2017,14112360,Non-rookie
3333,Spencer Dinwiddie,Detroit Pistons,2014,700000,Rookie
3334,Spencer Dinwiddie,Detroit Pistons,2015,845059,Rookie
3335,Spencer Dinwiddie,Brooklyn Nets,2016,726672,Rookie
3336,Spencer Dinwiddie,Brooklyn Nets,2017,1524305,Rookie
3342,Ike Diogu,Los Angeles Clippers,2010,608772,Non-rookie
3343,Ike Diogu,San Antonio Spurs,2011,64028,Non-rookie
3353,DeSagana Diop,Charlotte Bobcats,2010,6478600,Non-rookie
3354,DeSagana Diop,Charlotte Bobcats,2011,6925400,Non-rookie
3355,DeSagana Diop,Charlotte Bobcats,2012,7372200,Non-rookie
3405,Keyon Dooling,Milwaukee Bucks,2010,2000000,Non-rookie
3406,Keyon Dooling,Boston Celtics,2011,2246400,Non-rookie
3407,Keyon Dooling,Boston Celtics,2012,1352181,Non-rookie
3410,Joey Dorsey,Toronto Raptors,2010,854389,Rookie
3411,Joey Dorsey,Houston Rockets,2014,948163,Non-rookie
3412,Joey Dorsey,Denver Nuggets,2015,1015421,Non-rookie
3413,Tyler Dorsey,Atlanta Hawks,2017,815615,Rookie
3414,Damyean Dotson,New York Knicks,2017,1100000,Rookie
3421,Chris Douglas-Roberts,Milwaukee Bucks,2010,854389,Rookie
3422,Chris Douglas-Roberts,Dallas Mavericks,2012,72892,Non-rookie
3423,Chris Douglas-Roberts,Boston Celtics,2014,915243,Non-rookie
3437,Toney Douglas,New York Knicks,2010,1071000,Rookie
3438,Toney Douglas,New York Knicks,2011,1145640,Rookie
3439,Toney Douglas,Sacramento Kings,2012,2067880,Rookie
3440,Toney Douglas,Golden State Warriors,2013,1600000,Non-rookie
3441,Toney Douglas,New Orleans Pelicans,2014,268974,Non-rookie
3442,Toney Douglas,New Orleans Pelicans,2015,1164858,Non-rookie
3443,Toney Douglas,Indiana Pacers,2015,600000,Non-rookie
3444,Toney Douglas,Memphis Grizzlies,2016,603558,Non-rookie
3445,Zabian Dowdell,Phoenix Suns,2010,242374,Rookie
3448,Goran Dragic,Houston Rockets,2010,1972000,Rookie
3449,Goran Dragic,Houston Rockets,2011,2108000,Rookie
3450,Goran Dragic,Phoenix Suns,2012,7500000,Non-rookie
3451,Goran Dragic,Phoenix Suns,2013,7500000,Non-rookie
3452,Goran Dragic,Miami Heat,2014,7500000,Non-rookie
3453,Goran Dragic,Miami Heat,2015,14780000,Non-rookie
3454,Goran Dragic,Miami Heat,2016,15890000,Non-rookie
3455,Goran Dragic,Miami Heat,2017,17000450,Non-rookie
3456,Zoran Dragic,Miami Heat,2014,1962103,Rookie
3457,Zoran Dragic,Boston Celtics,2015,2050397,Rookie
3478,Larry Drew II,Philadelphia 76ers,2014,59686,Rookie
3479,Larry Drew II,New Orleans Pelicans,2017,148318,Rookie
3480,Larry Drew II,Philadelphia 76ers,2017,74159,Rookie
3498,Andre Drummond,Detroit Pistons,2012,2356320,Rookie
3499,Andre Drummond,Detroit Pistons,2013,2462400,Rookie
3500,Andre Drummond,Detroit Pistons,2014,2568360,Rookie
3501,Andre Drummond,Detroit Pistons,2015,3272091,Rookie
3502,Andre Drummond,Detroit Pistons,2016,22116750,Non-rookie
3503,Andre Drummond,Detroit Pistons,2017,23775506,Non-rookie
3532,Jared Dudley,Phoenix Suns,2010,2151068,Rookie
3533,Jared Dudley,Phoenix Suns,2011,4250000,Non-rookie
3534,Jared Dudley,Phoenix Suns,2012,4250000,Non-rookie
3535,Jared Dudley,Los Angeles Clippers,2013,4250000,Non-rookie
3536,Jared Dudley,Milwaukee Bucks,2014,4250000,Non-rookie
3537,Jared Dudley,Washington Wizards,2015,4250000,Non-rookie
3538,Jared Dudley,Phoenix Suns,2016,10470000,Non-rookie
3539,Jared Dudley,Phoenix Suns,2017,10000000,Non-rookie
3546,Chris Duhon,Orlando Magic,2010,3500000,Non-rookie
3547,Chris Duhon,Orlando Magic,2011,3500000,Non-rookie
3548,Chris Duhon,Los Angeles Lakers,2012,3500000,Non-rookie
3549,Chris Duhon,Los Angeles Lakers,2013,1500000,Non-rookie
3550,Duje Dukan,Sacramento Kings,2015,525093,Rookie
3586,Tim Duncan,San Antonio Spurs,2010,18700000,Non-rookie
3587,Tim Duncan,San Antonio Spurs,2011,21164619,Non-rookie
3588,Tim Duncan,San Antonio Spurs,2012,9638554,Non-rookie
3589,Tim Duncan,San Antonio Spurs,2013,10361446,Non-rookie
3590,Tim Duncan,San Antonio Spurs,2014,10000000,Non-rookie
3591,Tim Duncan,San Antonio Spurs,2015,5000000,Non-rookie
3592,Tim Duncan,San Antonio Spurs,2016,1881250,Non-rookie
3593,Tim Duncan,San Antonio Spurs,2017,1881250,Non-rookie
3603,Mike Dunleavy,Indiana Pacers,2010,10561984,Non-rookie
3604,Mike Dunleavy,Milwaukee Bucks,2011,3750000,Non-rookie
3605,Mike Dunleavy,Milwaukee Bucks,2012,3750000,Non-rookie
3606,Mike Dunleavy,Chicago Bulls,2013,3183000,Non-rookie
3607,Mike Dunleavy,Chicago Bulls,2014,3326235,Non-rookie
3608,Mike Dunleavy,Chicago Bulls,2015,4500000,Non-rookie
3609,Mike Dunleavy,Atlanta Hawks,2016,4837500,Non-rookie
3610,Mike Dunleavy,Atlanta Hawks,2017,1662500,Non-rookie
3611,Kris Dunn,Minnesota Timberwolves,2016,3872520,Rookie
3612,Kris Dunn,Chicago Bulls,2017,4046760,Rookie
3619,Ronald Dupree,Toronto Raptors,2010,58393,Non-rookie
3623,Kevin Durant,Oklahoma City Thunder,2010,6053663,Rookie
3624,Kevin Durant,Oklahoma City Thunder,2011,15506632,Non-rookie
3625,Kevin Durant,Oklahoma City Thunder,2012,16669630,Non-rookie
3626,Kevin Durant,Oklahoma City Thunder,2013,17832627,Non-rookie
3627,Kevin Durant,Oklahoma City Thunder,2014,18995624,Non-rookie
3628,Kevin Durant,Oklahoma City Thunder,2015,20158622,Non-rookie
3629,Kevin Durant,Golden State Warriors,2016,26540100,Non-rookie
3630,Kevin Durant,Golden State Warriors,2017,25000000,Non-rookie
3642,Cleanthony Early,New York Knicks,2014,507336,Rookie
3643,Cleanthony Early,New York Knicks,2015,845059,Rookie
3653,Devin Ebanks,Los Angeles Lakers,2010,473604,Rookie
3654,Devin Ebanks,Los Angeles Lakers,2011,762195,Rookie
3655,Devin Ebanks,Los Angeles Lakers,2012,1054389,Rookie
3660,Jarell Eddie,Atlanta Hawks,2014,29843,Rookie
3661,Jarell Eddie,Washington Wizards,2015,561716,Rookie
3662,Jarell Eddie,Washington Wizards,2016,175000,Rookie
3663,Jarell Eddie,Phoenix Suns,2016,102898,Rookie
3664,Jarell Eddie,Chicago Bulls,2017,100353,Rookie
3665,Jarell Eddie,Boston Celtics,2017,83129,Rookie
3757,Henry Ellenson,Detroit Pistons,2016,1704120,Rookie
3758,Henry Ellenson,Detroit Pistons,2017,1780800,Rookie
3760,Wayne Ellington,Minnesota Timberwolves,2010,1078800,Rookie
3761,Wayne Ellington,Minnesota Timberwolves,2011,1154040,Rookie
3762,Wayne Ellington,Cleveland Cavaliers,2012,2083042,Rookie
3763,Wayne Ellington,Dallas Mavericks,2013,2652000,Non-rookie
3764,Wayne Ellington,Los Angeles Lakers,2014,1063384,Non-rookie
3765,Wayne Ellington,Sacramento Kings,2014,923780,Non-rookie
3766,Wayne Ellington,Brooklyn Nets,2015,1500000,Non-rookie
3767,Wayne Ellington,Sacramento Kings,2015,923670,Non-rookie
3768,Wayne Ellington,Miami Heat,2016,6000000,Non-rookie
3769,Wayne Ellington,Sacramento Kings,2016,923670,Non-rookie
3770,Wayne Ellington,Miami Heat,2017,6270000,Non-rookie
3819,Monta Ellis,Golden State Warriors,2010,11000000,Non-rookie
3820,Monta Ellis,Golden State Warriors,2011,11000000,Non-rookie
3821,Monta Ellis,Milwaukee Bucks,2012,11000000,Non-rookie
3822,Monta Ellis,Dallas Mavericks,2013,8000000,Non-rookie
3823,Monta Ellis,Dallas Mavericks,2014,8360000,Non-rookie
3824,Monta Ellis,Indiana Pacers,2015,10300000,Non-rookie
3825,Monta Ellis,Indiana Pacers,2016,10770000,Non-rookie
3826,Monta Ellis,Indiana Pacers,2017,2245400,Non-rookie
3846,Francisco Elson,Utah Jazz,2010,1146337,Non-rookie
3847,Francisco Elson,Philadelphia 76ers,2011,305792,Non-rookie
3855,Melvin Ely,Denver Nuggets,2010,1223166,Non-rookie
3856,Joel Embiid,Philadelphia 76ers,2014,4427640,Rookie
3857,Joel Embiid,Philadelphia 76ers,2015,4626960,Rookie
3858,Joel Embiid,Philadelphia 76ers,2016,4826160,Rookie
3859,Joel Embiid,Philadelphia 76ers,2017,6100266,Rookie
3862,Andre Emmett,New Jersey Nets,2011,61433,Non-rookie
3878,Kim English,Detroit Pistons,2012,473604,Rookie
3879,James Ennis,Miami Heat,2014,507336,Rookie
3880,James Ennis,Memphis Grizzlies,2015,845059,Rookie
3881,James Ennis,New Orleans Pelicans,2015,74564,Rookie
3882,James Ennis,Memphis Grizzlies,2016,2898000,Rookie
3883,James Ennis,Detroit Pistons,2017,3028410,Rookie
3884,Tyler Ennis,Milwaukee Bucks,2014,1590720,Rookie
3885,Tyler Ennis,Milwaukee Bucks,2015,1662360,Rookie
3886,Tyler Ennis,Los Angeles Lakers,2016,1733880,Rookie
3887,Tyler Ennis,Los Angeles Lakers,2017,1524305,Rookie
3888,Semih Erden,Cleveland Cavaliers,2010,473604,Rookie
3889,Semih Erden,Cleveland Cavaliers,2011,762195,Rookie
3903,Jawun Evans,Los Angeles Clippers,2017,815615,Rookie
3904,Jeremy Evans,Utah Jazz,2010,473604,Rookie
3905,Jeremy Evans,Utah Jazz,2011,762195,Rookie
3906,Jeremy Evans,Utah Jazz,2012,1794872,Rookie
3907,Jeremy Evans,Utah Jazz,2013,1660257,Rookie
3908,Jeremy Evans,Utah Jazz,2014,1794871,Non-rookie
3909,Jeremy Evans,Dallas Mavericks,2015,1100602,Non-rookie
3910,Jeremy Evans,Indiana Pacers,2016,1227286,Non-rookie
3911,Jeremy Evans,Atlanta Hawks,2017,133129,Non-rookie
3919,Maurice Evans,Washington Wizards,2010,2500000,Non-rookie
3920,Maurice Evans,Washington Wizards,2011,1223166,Non-rookie
3933,Reggie Evans,Toronto Raptors,2010,5080000,Non-rookie
3934,Reggie Evans,Los Angeles Clippers,2011,1229255,Non-rookie
3935,Reggie Evans,Brooklyn Nets,2012,1622617,Non-rookie
3936,Reggie Evans,Brooklyn Nets,2013,1695635,Non-rookie
3937,Reggie Evans,Sacramento Kings,2014,1768653,Non-rookie
3939,Tyreke Evans,Sacramento Kings,2010,3880920,Rookie
3940,Tyreke Evans,Sacramento Kings,2011,4151640,Rookie
3941,Tyreke Evans,Sacramento Kings,2012,5251825,Rookie
3942,Tyreke Evans,New Orleans Pelicans,2013,10300000,Non-rookie
3943,Tyreke Evans,New Orleans Pelicans,2014,10763500,Non-rookie
3944,Tyreke Evans,New Orleans Pelicans,2015,11227000,Non-rookie
3945,Tyreke Evans,Sacramento Kings,2016,10661286,Non-rookie
3946,Tyreke Evans,Memphis Grizzlies,2017,3290000,Non-rookie
3967,Dante Exum,Utah Jazz,2014,3615000,Rookie
3968,Dante Exum,Utah Jazz,2015,3777720,Rookie
3969,Dante Exum,Utah Jazz,2016,3940320,Rookie
3970,Dante Exum,Utah Jazz,2017,4992385,Rookie
3971,Christian Eyenga,Cleveland Cavaliers,2010,1020960,Rookie
3972,Christian Eyenga,Cleveland Cavaliers,2011,1097520,Rookie
3973,Christian Eyenga,Orlando Magic,2012,1174080,Rookie
3974,Festus Ezeli,Golden State Warriors,2012,1020960,Rookie
3975,Festus Ezeli,Golden State Warriors,2013,1066920,Rookie
3976,Festus Ezeli,Golden State Warriors,2014,1112880,Rookie
3977,Festus Ezeli,Golden State Warriors,2015,2008748,Rookie
3978,Festus Ezeli,Portland Trail Blazers,2016,7400000,Non-rookie
3979,Festus Ezeli,Portland Trail Blazers,2017,333334,Non-rookie
3980,Kenneth Faried,Denver Nuggets,2011,1254720,Rookie
3981,Kenneth Faried,Denver Nuggets,2012,1348800,Rookie
3982,Kenneth Faried,Denver Nuggets,2013,1367640,Rookie
3983,Kenneth Faried,Denver Nuggets,2014,2249768,Rookie
3984,Kenneth Faried,Denver Nuggets,2015,11235955,Non-rookie
3985,Kenneth Faried,Denver Nuggets,2016,12078652,Non-rookie
3986,Kenneth Faried,Denver Nuggets,2017,12921348,Non-rookie
3991,Jordan Farmar,New Jersey Nets,2010,3750000,Non-rookie
3992,Jordan Farmar,New Jersey Nets,2011,4000000,Non-rookie
3993,Jordan Farmar,Atlanta Hawks,2012,1500000,Non-rookie
3994,Jordan Farmar,Los Angeles Lakers,2013,1106941,Non-rookie
3995,Jordan Farmar,Los Angeles Clippers,2014,2077000,Non-rookie
3996,Jordan Farmar,Memphis Grizzlies,2015,191456,Non-rookie
3997,Jordan Farmar,Los Angeles Clippers,2016,510921,Non-rookie
3998,Jordan Farmar,Sacramento Kings,2016,82979,Non-rookie
3999,Jordan Farmar,Los Angeles Clippers,2017,510921,Non-rookie
4006,Vitor Faverani,Boston Celtics,2014,2090000,Rookie
4007,Derrick Favors,Utah Jazz,2010,4133280,Rookie
4008,Derrick Favors,Utah Jazz,2011,4443360,Rookie
4009,Derrick Favors,Utah Jazz,2012,4753320,Rookie
4010,Derrick Favors,Utah Jazz,2013,6008196,Rookie
4011,Derrick Favors,Utah Jazz,2014,12833333,Non-rookie
4012,Derrick Favors,Utah Jazz,2015,11933333,Non-rookie
4013,Derrick Favors,Utah Jazz,2016,11050000,Non-rookie
4014,Derrick Favors,Utah Jazz,2017,12000000,Non-rookie
4026,Cristiano Felicio,Chicago Bulls,2015,525090,Rookie
4027,Cristiano Felicio,Chicago Bulls,2016,874636,Rookie
4028,Cristiano Felicio,Chicago Bulls,2017,7843500,Non-rookie
4029,Carrick Felix,Utah Jazz,2014,816482,Rookie
4030,Carrick Felix,Washington Wizards,2017,140902,Rookie
4036,Raymond Felton,Denver Nuggets,2010,7500000,Non-rookie
4037,Raymond Felton,Portland Trail Blazers,2011,7560000,Non-rookie
4038,Raymond Felton,New York Knicks,2012,3480453,Non-rookie
4039,Raymond Felton,New York Knicks,2013,3637073,Non-rookie
4040,Raymond Felton,Dallas Mavericks,2014,3793693,Non-rookie
4041,Raymond Felton,Dallas Mavericks,2015,3950313,Non-rookie
4042,Raymond Felton,Los Angeles Clippers,2016,1551659,Non-rookie
4043,Raymond Felton,Oklahoma City Thunder,2017,1471382,Non-rookie
4044,Terrance Ferguson,Oklahoma City Thunder,2017,1785000,Rookie
4047,Rudy Fernandez,Portland Trail Blazers,2010,1246680,Rookie
4048,Rudy Fernandez,Denver Nuggets,2011,2180443,Rookie
4061,Yogi Ferrell,Dallas Mavericks,2016,239767,Rookie
4062,Yogi Ferrell,Brooklyn Nets,2016,202300,Rookie
4063,Yogi Ferrell,Dallas Mavericks,2017,1312611,Rookie
4080,Kyrylo Fesenko,Utah Jazz,2010,1087500,Rookie
4082,Landry Fields,New York Knicks,2010,473604,Rookie
4083,Landry Fields,New York Knicks,2011,762195,Rookie
4084,Landry Fields,Toronto Raptors,2012,6250000,Rookie
4085,Landry Fields,Toronto Raptors,2013,6250000,Rookie
4086,Landry Fields,Toronto Raptors,2014,6250000,Non-rookie
4105,Dorian Finney-Smith,Dallas Mavericks,2016,543471,Rookie
4106,Dorian Finney-Smith,Dallas Mavericks,2017,1312611,Rookie
4122,Derek Fisher,Los Angeles Lakers,2010,3700000,Non-rookie
4123,Derek Fisher,Los Angeles Lakers,2011,3400000,Non-rookie
4124,Derek Fisher,Oklahoma City Thunder,2012,413608,Non-rookie
4125,Derek Fisher,Dallas Mavericks,2012,182942,Non-rookie
4126,Derek Fisher,Oklahoma City Thunder,2013,1399507,Non-rookie
4158,Jonny Flynn,Minnesota Timberwolves,2010,3192000,Rookie
4159,Jonny Flynn,Houston Rockets,2011,3414720,Rookie
4160,Jeff Foote,New Orleans Hornets,2011,225341,Rookie
4161,Bryn Forbes,San Antonio Spurs,2016,543471,Rookie
4162,Bryn Forbes,San Antonio Spurs,2017,1312611,Rookie
4163,Gary Forbes,Denver Nuggets,2010,473604,Rookie
4164,Gary Forbes,Toronto Raptors,2011,1500000,Rookie
4165,Gary Forbes,Houston Rockets,2012,1500000,Rookie
4180,T.J. Ford,Indiana Pacers,2010,8500000,Non-rookie
4181,T.J. Ford,San Antonio Spurs,2011,1146337,Non-rookie
4185,Courtney Fortson,Los Angeles Clippers,2011,42009,Rookie
4221,Jeff Foster,Indiana Pacers,2010,6655000,Non-rookie
4222,Jeff Foster,Indiana Pacers,2011,3000000,Non-rookie
4226,Evan Fournier,Denver Nuggets,2012,1361400,Rookie
4227,Evan Fournier,Denver Nuggets,2013,1422720,Rookie
4228,Evan Fournier,Orlando Magic,2014,1483920,Rookie
4229,Evan Fournier,Orlando Magic,2015,2288205,Rookie
4230,Evan Fournier,Orlando Magic,2016,17000000,Non-rookie
4231,Evan Fournier,Orlando Magic,2017,17000000,Non-rookie
4235,De'Aaron Fox,Sacramento Kings,2017,4609200,Rookie
4254,Randy Foye,Los Angeles Clippers,2010,4250000,Non-rookie
4255,Randy Foye,Los Angeles Clippers,2011,4250000,Non-rookie
4256,Randy Foye,Utah Jazz,2012,2500000,Non-rookie
4257,Randy Foye,Denver Nuggets,2013,3000000,Non-rookie
4258,Randy Foye,Denver Nuggets,2014,3135000,Non-rookie
4259,Randy Foye,Oklahoma City Thunder,2015,3270000,Non-rookie
4260,Randy Foye,Brooklyn Nets,2016,2500000,Non-rookie
4292,Jamaal Franklin,Memphis Grizzlies,2014,163296,Rookie
4293,Jamaal Franklin,Denver Nuggets,2014,19914,Rookie
4294,Jamaal Franklin,Memphis Grizzlies,2015,163296,Rookie
4295,Jamaal Franklin,Memphis Grizzlies,2016,163296,Rookie
4296,Jamaal Franklin,Memphis Grizzlies,2017,163296,Rookie
4300,Tim Frazier,Philadelphia 76ers,2014,59686,Rookie
4301,Tim Frazier,Portland Trail Blazers,2014,50734,Rookie
4302,Tim Frazier,Portland Trail Blazers,2015,845059,Rookie
4303,Tim Frazier,New Orleans Pelicans,2015,144157,Rookie
4304,Tim Frazier,New Orleans Pelicans,2016,2090000,Rookie
4305,Tim Frazier,Washington Wizards,2017,2000000,Rookie
4309,Jimmer Fredette,Sacramento Kings,2011,2238360,Rookie
4310,Jimmer Fredette,Sacramento Kings,2012,2406240,Rookie
4311,Jimmer Fredette,Sacramento Kings,2013,2439840,Rookie
4312,Jimmer Fredette,New Orleans Pelicans,2014,948163,Rookie
4313,Jimmer Fredette,San Antonio Spurs,2015,507711,Non-rookie
4314,Jimmer Fredette,New York Knicks,2015,59731,Non-rookie
4315,Jimmer Fredette,New Orleans Pelicans,2015,54812,Non-rookie
4316,Joel Freeland,Portland Trail Blazers,2012,3013512,Rookie
4317,Joel Freeland,Portland Trail Blazers,2013,2897976,Rookie
4318,Joel Freeland,Portland Trail Blazers,2014,3013512,Rookie
4330,Channing Frye,Phoenix Suns,2010,5200000,Non-rookie
4331,Channing Frye,Phoenix Suns,2011,5600000,Non-rookie
4332,Channing Frye,Phoenix Suns,2012,6000000,Non-rookie
4333,Channing Frye,Phoenix Suns,2013,6400000,Non-rookie
4334,Channing Frye,Orlando Magic,2014,8175476,Non-rookie
4335,Channing Frye,Cleveland Cavaliers,2015,7807579,Non-rookie
4336,Channing Frye,Cleveland Cavaliers,2016,7806971,Non-rookie
4337,Channing Frye,Los Angeles Lakers,2017,7420912,Non-rookie
4343,Markelle Fultz,Philadelphia 76ers,2017,7026240,Rookie
4357,Dan Gadzuric,New Jersey Nets,2010,7248325,Non-rookie
4364,Sundiata Gaines,Minnesota Timberwolves,2010,237626,Rookie
4365,Sundiata Gaines,Toronto Raptors,2010,89670,Rookie
4366,Sundiata Gaines,New Jersey Nets,2011,854389,Rookie
4369,Danilo Gallinari,Denver Nuggets,2010,3304560,Rookie
4370,Danilo Gallinari,Denver Nuggets,2011,4190182,Rookie
4371,Danilo Gallinari,Denver Nuggets,2012,9439000,Non-rookie
4372,Danilo Gallinari,Denver Nuggets,2013,10146925,Non-rookie
4373,Danilo Gallinari,Denver Nuggets,2014,10854850,Non-rookie
4374,Danilo Gallinari,Denver Nuggets,2015,14000000,Non-rookie
4375,Danilo Gallinari,Denver Nuggets,2016,15050000,Non-rookie
4376,Danilo Gallinari,Los Angeles Clippers,2017,20559599,Non-rookie
4377,Langston Galloway,New York Knicks,2014,235762,Rookie
4378,Langston Galloway,New York Knicks,2015,845059,Rookie
4379,Langston Galloway,Sacramento Kings,2016,5200000,Rookie
4380,Langston Galloway,Detroit Pistons,2017,6666667,Rookie
4403,Francisco Garcia,Sacramento Kings,2010,5500000,Non-rookie
4404,Francisco Garcia,Sacramento Kings,2011,5800000,Non-rookie
4405,Francisco Garcia,Houston Rockets,2012,6100000,Non-rookie
4406,Francisco Garcia,Houston Rockets,2013,1265977,Non-rookie
4407,Francisco Garcia,Houston Rockets,2014,1316809,Non-rookie
4410,Patricio Garino,San Antonio Spurs,2016,100000,Rookie
4411,Patricio Garino,Orlando Magic,2016,31969,Rookie
4437,Kevin Garnett,Boston Celtics,2010,18800000,Non-rookie
4438,Kevin Garnett,Boston Celtics,2011,21247044,Non-rookie
4439,Kevin Garnett,Boston Celtics,2012,11566265,Non-rookie
4440,Kevin Garnett,Brooklyn Nets,2013,12443735,Non-rookie
4441,Kevin Garnett,Minnesota Timberwolves,2014,12000000,Non-rookie
4442,Kevin Garnett,Minnesota Timberwolves,2015,8500000,Non-rookie
4443,Kevin Garnett,Minnesota Timberwolves,2016,8000000,Non-rookie
4452,Diante Garrett,Phoenix Suns,2012,473604,Rookie
4453,Diante Garrett,Portland Trail Blazers,2014,915243,Rookie
4470,Marc Gasol,Memphis Grizzlies,2010,3480000,Rookie
4471,Marc Gasol,Memphis Grizzlies,2011,12922194,Non-rookie
4472,Marc Gasol,Memphis Grizzlies,2012,13891359,Non-rookie
4473,Marc Gasol,Memphis Grizzlies,2013,14860523,Non-rookie
4474,Marc Gasol,Memphis Grizzlies,2014,15829688,Non-rookie
4475,Marc Gasol,Memphis Grizzlies,2015,19700000,Non-rookie
4476,Marc Gasol,Memphis Grizzlies,2016,21165675,Non-rookie
4477,Marc Gasol,Memphis Grizzlies,2017,22642350,Non-rookie
4487,Pau Gasol,Los Angeles Lakers,2010,17823000,Non-rookie
4488,Pau Gasol,Los Angeles Lakers,2011,18714150,Non-rookie
4489,Pau Gasol,Los Angeles Lakers,2012,19000000,Non-rookie
4490,Pau Gasol,Los Angeles Lakers,2013,19285850,Non-rookie
4491,Pau Gasol,Chicago Bulls,2014,7128000,Non-rookie
4492,Pau Gasol,Chicago Bulls,2015,7448760,Non-rookie
4493,Pau Gasol,San Antonio Spurs,2016,15500000,Non-rookie
4494,Pau Gasol,San Antonio Spurs,2017,16000000,Non-rookie
4518,Rudy Gay,Memphis Grizzlies,2010,13603750,Non-rookie
4519,Rudy Gay,Memphis Grizzlies,2011,15032144,Non-rookie
4520,Rudy Gay,Toronto Raptors,2012,16460538,Non-rookie
4521,Rudy Gay,Sacramento Kings,2013,17888931,Non-rookie
4522,Rudy Gay,Sacramento Kings,2014,19317325,Non-rookie
4523,Rudy Gay,Sacramento Kings,2015,12403101,Non-rookie
4524,Rudy Gay,Sacramento Kings,2016,13333333,Non-rookie
4525,Rudy Gay,San Antonio Spurs,2017,8406000,Non-rookie
4528,Michael Gbinije,Detroit Pistons,2016,650000,Rookie
4529,Michael Gbinije,Detroit Pistons,2017,500000,Rookie
4532,Alonzo Gee,Cleveland Cavaliers,2010,479735,Rookie
4533,Alonzo Gee,Washington Wizards,2010,125538,Rookie
4534,Alonzo Gee,San Antonio Spurs,2010,76219,Rookie
4535,Alonzo Gee,Cleveland Cavaliers,2011,854389,Rookie
4536,Alonzo Gee,Cleveland Cavaliers,2012,3500000,Rookie
4537,Alonzo Gee,Cleveland Cavaliers,2013,3250000,Rookie
4538,Alonzo Gee,Portland Trail Blazers,2014,1063384,Non-rookie
4539,Alonzo Gee,New Orleans Pelicans,2015,1375000,Non-rookie
4540,Alonzo Gee,New Orleans Pelicans,2016,1400000,Non-rookie
4541,Alonzo Gee,Denver Nuggets,2016,495227,Non-rookie
4555,Mickael Gelabale,Minnesota Timberwolves,2012,447298,Non-rookie
4567,Marcus Georges-Hunt,Miami Heat,2016,31969,Rookie
4568,Marcus Georges-Hunt,Orlando Magic,2016,31969,Rookie
4569,Marcus Georges-Hunt,Boston Celtics,2016,25000,Rookie
4570,Marcus Georges-Hunt,Minnesota Timberwolves,2017,1312611,Rookie
4571,Paul George,Indiana Pacers,2010,2238360,Rookie
4572,Paul George,Indiana Pacers,2011,2406240,Rookie
4573,Paul George,Indiana Pacers,2012,2574120,Rookie
4574,Paul George,Indiana Pacers,2013,3282003,Rookie
4575,Paul George,Indiana Pacers,2014,15925680,Non-rookie
4576,Paul George,Indiana Pacers,2015,17120106,Non-rookie
4577,Paul George,Indiana Pacers,2016,18314532,Non-rookie
4578,Paul George,Oklahoma City Thunder,2017,19508958,Non-rookie
