,Name,Team,Season,Salary,Type
282,Lou Amundson,New York Knicks,2015,1650000,Non-rookie
283,Lou Amundson,New York Knicks,2016,1551659,Non-rookie
286,Alan Anderson,Toronto Raptors,2012,885120,Non-rookie
287,Alan Anderson,Brooklyn Nets,2013,947907,Non-rookie
288,Alan Anderson,Brooklyn Nets,2014,1276061,Non-rookie
289,Alan Anderson,Washington Wizards,2015,4000000,Non-rookie
290,Alan Anderson,Los Angeles Clippers,2016,1315448,Non-rookie
298,Chris Andersen,Denver Nuggets,2010,4533300,Non-rookie
299,Chris Andersen,Denver Nuggets,2011,4234000,Non-rookie
300,Chris Andersen,Denver Nuggets,2012,4526000,Non-rookie
301,Chris Andersen,Miami Heat,2012,699952,Non-rookie
302,Chris Andersen,Miami Heat,2013,1399507,Non-rookie
303,Chris Andersen,Miami Heat,2014,5375000,Non-rookie
304,Chris Andersen,Memphis Grizzlies,2015,5000000,Non-rookie
305,Chris Andersen,Charlotte Hornets,2016,1551659,Non-rookie
307,David Andersen,New Orleans Hornets,2010,2500000,Rookie
334,James Anderson,San Antonio Spurs,2010,1361400,Rookie
335,James Anderson,San Antonio Spurs,2011,1463520,Rookie
336,James Anderson,Houston Rockets,2012,472427,Rookie
337,James Anderson,San Antonio Spurs,2012,145749,Rookie
338,James Anderson,Philadelphia 76ers,2013,916099,Rookie
339,James Anderson,Sacramento Kings,2015,1015421,Non-rookie
340,Justin Anderson,Dallas Mavericks,2015,1449000,Rookie
341,Justin Anderson,Philadelphia 76ers,2016,1514160,Rookie
342,Justin Anderson,Philadelphia 76ers,2017,1579440,Rookie
357,Kyle Anderson,San Antonio Spurs,2014,1093680,Rookie
358,Kyle Anderson,San Antonio Spurs,2015,1142879,Rookie
359,Kyle Anderson,San Antonio Spurs,2016,1192080,Rookie
360,Kyle Anderson,San Antonio Spurs,2017,2151704,Rookie
385,Ryan Anderson,Orlando Magic,2010,1409040,Rookie
386,Ryan Anderson,Orlando Magic,2011,2244601,Rookie
387,Ryan Anderson,New Orleans Hornets,2012,8700000,Non-rookie
388,Ryan Anderson,New Orleans Pelicans,2013,8308500,Non-rookie
389,Ryan Anderson,New Orleans Pelicans,2014,8491500,Non-rookie
390,Ryan Anderson,New Orleans Pelicans,2015,8500000,Non-rookie
391,Ryan Anderson,Houston Rockets,2016,18735364,Non-rookie
392,Ryan Anderson,Houston Rockets,2017,19578455,Non-rookie
416,Ike Anigbogu,Indiana Pacers,2017,950000,Rookie
421,Giannis Antetokounmpo,Milwaukee Bucks,2013,1792560,Rookie
422,Giannis Antetokounmpo,Milwaukee Bucks,2014,1873200,Rookie
423,Giannis Antetokounmpo,Milwaukee Bucks,2015,1953960,Rookie
424,Giannis Antetokounmpo,Milwaukee Bucks,2016,2995421,Rookie
425,Giannis Antetokounmpo,Milwaukee Bucks,2017,22471910,Non-rookie
426,Thanasis Antetokounmpo,New York Knicks,2015,105888,Rookie
434,Carmelo Anthony,New York Knicks,2010,17149243,Non-rookie
435,Carmelo Anthony,New York Knicks,2011,18518574,Non-rookie
436,Carmelo Anthony,New York Knicks,2012,19450000,Non-rookie
437,Carmelo Anthony,New York Knicks,2013,22407474,Non-rookie
438,Carmelo Anthony,New York Knicks,2014,22458000,Non-rookie
439,Carmelo Anthony,New York Knicks,2015,22875000,Non-rookie
440,Carmelo Anthony,New York Knicks,2016,24559380,Non-rookie
441,Carmelo Anthony,Oklahoma City Thunder,2017,26243760,Non-rookie
457,Joel Anthony,Miami Heat,2010,3300000,Rookie
458,Joel Anthony,Miami Heat,2011,3600000,Non-rookie
459,Joel Anthony,Miami Heat,2012,3750000,Non-rookie
460,Joel Anthony,Miami Heat,2013,3800000,Non-rookie
461,Joel Anthony,Detroit Pistons,2014,3800000,Non-rookie
462,Joel Anthony,Detroit Pistons,2015,2500000,Non-rookie
463,Joel Anthony,San Antonio Spurs,2016,663810,Non-rookie
464,Pero Antic,Atlanta Hawks,2014,1250000,Rookie
465,OG Anunoby,Toronto Raptors,2017,1645200,Rookie
466,Keith Appling,Orlando Magic,2015,161776,Rookie
481,Gilbert Arenas,Orlando Magic,2010,17730694,Non-rookie
482,Gilbert Arenas,Orlando Magic,2011,19269307,Non-rookie
483,Gilbert Arenas,Orlando Magic,2012,20807922,Non-rookie
490,Trevor Ariza,New Orleans Hornets,2010,6322320,Non-rookie
491,Trevor Ariza,New Orleans Hornets,2011,6790640,Non-rookie
492,Trevor Ariza,Washington Wizards,2012,7258960,Non-rookie
493,Trevor Ariza,Washington Wizards,2013,7727280,Non-rookie
494,Trevor Ariza,Houston Rockets,2014,8579089,Non-rookie
495,Trevor Ariza,Houston Rockets,2015,8193030,Non-rookie
496,Trevor Ariza,Houston Rockets,2016,7806971,Non-rookie
497,Trevor Ariza,Houston Rockets,2017,7420912,Non-rookie
529,Hilton Armstrong,Atlanta Hawks,2010,992680,Non-rookie
538,Carlos Arroyo,Miami Heat,2010,1223166,Non-rookie
550,Metta World Peace,Los Angeles Lakers,2010,6322320,Non-rookie
551,Metta World Peace,Los Angeles Lakers,2011,6790640,Non-rookie
552,Metta World Peace,Los Angeles Lakers,2012,7258960,Non-rookie
553,Metta World Peace,New York Knicks,2013,1590000,Non-rookie
554,Metta World Peace,Los Angeles Lakers,2015,1499187,Non-rookie
555,Metta World Peace,Los Angeles Lakers,2016,1551659,Non-rookie
558,Darrell Arthur,Memphis Grizzlies,2010,1123680,Rookie
559,Darrell Arthur,Memphis Grizzlies,2011,2027119,Rookie
560,Darrell Arthur,Memphis Grizzlies,2012,3006217,Non-rookie
561,Darrell Arthur,Denver Nuggets,2013,3231683,Non-rookie
562,Darrell Arthur,Denver Nuggets,2014,3457149,Non-rookie
563,Darrell Arthur,Denver Nuggets,2015,2814000,Non-rookie
564,Darrell Arthur,Denver Nuggets,2016,8070175,Non-rookie
565,Darrell Arthur,Denver Nuggets,2017,7464912,Non-rookie
566,Omer Asik,Chicago Bulls,2010,1721000,Rookie
567,Omer Asik,Chicago Bulls,2011,1857500,Rookie
568,Omer Asik,Houston Rockets,2012,8374646,Non-rookie
569,Omer Asik,Houston Rockets,2013,8374646,Non-rookie
570,Omer Asik,New Orleans Pelicans,2014,8374646,Non-rookie
571,Omer Asik,New Orleans Pelicans,2015,11000000,Non-rookie
572,Omer Asik,New Orleans Pelicans,2016,9904494,Non-rookie
573,Omer Asik,Chicago Bulls,2017,10595505,Non-rookie
620,D.J. Augustin,Charlotte Bobcats,2010,2540400,Rookie
621,D.J. Augustin,Charlotte Bobcats,2011,3236470,Rookie
622,D.J. Augustin,Indiana Pacers,2012,3500000,Non-rookie
623,D.J. Augustin,Toronto Raptors,2013,1267000,Non-rookie
624,D.J. Augustin,Oklahoma City Thunder,2014,3000000,Non-rookie
625,D.J. Augustin,Denver Nuggets,2015,3000000,Non-rookie
626,D.J. Augustin,Orlando Magic,2016,7250000,Non-rookie
627,D.J. Augustin,Orlando Magic,2017,7250000,Non-rookie
647,Gustavo Ayon,New Orleans Hornets,2011,1567500,Rookie
648,Gustavo Ayon,Milwaukee Bucks,2012,1500000,Rookie
649,Gustavo Ayon,Atlanta Hawks,2013,1500000,Rookie
655,Kelenna Azubuike,New York Knicks,2010,3300000,Non-rookie
656,Kelenna Azubuike,Cleveland Cavaliers,2012,885120,Non-rookie
657,Chris Babb,Boston Celtics,2014,48028,Rookie
658,Luke Babbitt,Portland Trail Blazers,2010,1645440,Rookie
659,Luke Babbitt,Portland Trail Blazers,2011,1768800,Rookie
660,Luke Babbitt,Portland Trail Blazers,2012,1892280,Rookie
661,Luke Babbitt,New Orleans Pelicans,2014,981084,Non-rookie
662,Luke Babbitt,New Orleans Pelicans,2015,1100000,Non-rookie
663,Luke Babbitt,Miami Heat,2016,1227000,Non-rookie
664,Luke Babbitt,Miami Heat,2017,1974159,Non-rookie
666,Dwayne Bacon,Charlotte Hornets,2017,815615,Rookie
696,Cameron Bairstow,Chicago Bulls,2014,507336,Rookie
697,Cameron Bairstow,Chicago Bulls,2015,845059,Rookie
698,Ron Baker,New York Knicks,2016,543471,Rookie
699,Ron Baker,New York Knicks,2017,4328000,Rookie
