"team","rating"
"MIL",14.7190109023372
"GSW",12.6993239929629
"TOR",12.5039129967172
"HOU",11.4324248144358
"UTA",10.849993755974
"DEN",10.2750549408907
"POR",10.2667191416444
"BOS",10.0388380460752
"OKC",9.33676220637981
"PHI",8.82086189917023
"IND",8.53702623932715
"SAS",7.91839027410107
"LAC",6.84540517342197
"ORL",5.91091012663421
"MIA",5.60538234059934
"BRK",5.27337453799311
"SAC",5.22312290074244
"DAL",5.16975578117409
"MIN",5.01105243492043
"NOP",4.94368659927496
"DET",4.85156833224953
"CHO",4.7369747696976
"LAL",4.71026214413405
"MEM",3.95437227768362
"WAS",2.75426017232921
"ATL",0
"CHI",-2.25835794972171
"PHO",-2.57960557054689
"NYK",-2.86575748015848
"CLE",-3.33220186680776
