,rating,Team,Name,mu,sd
92,8.267971906,Boston Celtics,Daniel Theis,0.459414,5
93,8.267971906,Boston Celtics,Brad Wanamaker,0.279488,5
94,8.012503387999999,San Antonio Spurs,DeMar DeRozan,9.246658333333333,5
95,8.012503387999999,San Antonio Spurs,LaMarcus Aldridge,7.449005,5
96,8.012503387999999,San Antonio Spurs,Rudy Gay,3.3624,5
97,8.012503387999999,San Antonio Spurs,Davis Bertans,2.3333333333333335,5
98,8.012503387999999,San Antonio Spurs,Marco Belinelli,2.051282,5
99,8.012503387999999,San Antonio Spurs,Bryn Forbes,1.0416666666666667,5
100,8.012503387999999,San Antonio Spurs,Jakob Poeltl,0.98244,5
101,8.012503387999999,San Antonio Spurs,Dante Cunningham,0.829,5
102,8.012503387999999,San Antonio Spurs,Lonnie Walker IV,0.78572,5
103,8.012503387999999,San Antonio Spurs,Derrick White,0.55572,5
104,8.012503387999999,San Antonio Spurs,Quincy Pondexter,0.5042003333333334,5
105,8.012503387999999,San Antonio Spurs,Chimezie Metu,0.279488,5
106,8.012503387999999,San Antonio Spurs,Donatas Motiejunas,0.01994,5
107,7.507833506,Minnesota Timberwolves,Andrew Wiggins,8.489083333333333,5
108,7.507833506,Minnesota Timberwolves,Jeff Teague,6.333333333333333,5
109,7.507833506,Minnesota Timberwolves,Gorgui Dieng,5.056929,5
110,7.507833506,Minnesota Timberwolves,Taj Gibson,4.666666666666667,5
111,7.507833506,Minnesota Timberwolves,Robert Covington,3.4880306666666665,5
112,7.507833506,Minnesota Timberwolves,Jerryd Bayless,2.8586386666666668,5
113,7.507833506,Minnesota Timberwolves,Karl-Anthony Towns,2.613145,5
114,7.507833506,Minnesota Timberwolves,Anthony Tolliver,1.9166666666666667,5
115,7.507833506,Minnesota Timberwolves,Dario Saric,0.84228,5
116,7.507833506,Minnesota Timberwolves,Tyus Jones,0.8146843333333333,5
117,7.507833506,Minnesota Timberwolves,Josh Okogie,0.72024,5
118,7.507833506,Minnesota Timberwolves,Luol Deng,0.5042003333333334,5
119,7.507833506,Minnesota Timberwolves,Derrick Rose,0.5042003333333334,5
120,7.507833506,Minnesota Timberwolves,Keita Bates-Diop,0.279488,5
121,7.476474607,Portland Trail Blazers,Damian Lillard,9.325896333333333,5
122,7.476474607,Portland Trail Blazers,Evan Turner,5.956284,5
123,7.476474607,Portland Trail Blazers,Jusuf Nurkic,4.120370333333334,5
124,7.476474607,Portland Trail Blazers,Meyers Leonard,3.5318353333333334,5
125,7.476474607,Portland Trail Blazers,Maurice Harkless,3.445693,5
126,7.476474607,Portland Trail Blazers,Al-Farouq Aminu,2.319035,5
127,7.476474607,Portland Trail Blazers,Zach Collins,1.20964,5
128,7.476474607,Portland Trail Blazers,Rodney Hood,1.157629,5
129,7.476474607,Portland Trail Blazers,Seth Curry,0.9316666666666666,5
130,7.476474607,Portland Trail Blazers,Anfernee Simons,0.61184,5
131,7.476474607,Portland Trail Blazers,Skal Labissiere,0.5149836666666666,5
132,7.476474607,Portland Trail Blazers,Jake Layman,0.5149836666666666,5
133,7.476474607,Portland Trail Blazers,Gary Trent Jr.,0.279488,5
134,7.476474607,Portland Trail Blazers,Enes Kanter,0.16236966666666666,5
135,7.100591941,New Orleans Pelicans,Jrue Holiday,8.658703666666666,5
136,7.100591941,New Orleans Pelicans,Anthony Davis,8.478087666666667,5
137,7.100591941,New Orleans Pelicans,Solomon Hill,4.084309333333334,5
138,7.100591941,New Orleans Pelicans,E'Twaun Moore,2.936228333333333,5
139,7.100591941,New Orleans Pelicans,Julius Randle,2.880333333333333,5
140,7.100591941,New Orleans Pelicans,Stanley Johnson,1.3134673333333333,5
141,7.100591941,New Orleans Pelicans,Elfrid Payton,1.0,5
142,7.100591941,New Orleans Pelicans,Darius Miller,0.735,5
143,7.100591941,New Orleans Pelicans,Jahlil Okafor,0.5223356666666666,5
144,7.100591941,New Orleans Pelicans,Cheick Diallo,0.5149836666666666,5
145,7.100591941,New Orleans Pelicans,Ian Clark,0.5042003333333334,5
146,7.100591941,New Orleans Pelicans,Christian Wood,0.5042003333333334,5
147,7.100591941,New Orleans Pelicans,Frank Jackson,0.459414,5
148,7.100591941,New Orleans Pelicans,Kenrich Williams,0.279488,5
149,7.100591941,New Orleans Pelicans,Dairis Bertans,0.06474,5
150,6.91526888,Indiana Pacers,Victor Oladipo,7.0,5
151,6.91526888,Indiana Pacers,Thaddeus Young,4.588015,5
152,6.91526888,Indiana Pacers,Tyreke Evans,4.133333333333334,5
153,6.91526888,Indiana Pacers,Bojan Bogdanovic,3.5,5
154,6.91526888,Indiana Pacers,Darren Collison,3.3333333333333335,5
155,6.91526888,Indiana Pacers,Cory Joseph,2.6483333333333334,5
156,6.91526888,Indiana Pacers,Doug McDermott,2.4444446666666666,5
157,6.91526888,Indiana Pacers,Kyle O'Quinn,1.483,5
158,6.91526888,Indiana Pacers,Myles Turner,1.1367613333333333,5
159,6.91526888,Indiana Pacers,Domantas Sabonis,0.8866,5
160,6.91526888,Indiana Pacers,TJ Leaf,0.80252,5
161,6.91526888,Indiana Pacers,Aaron Holiday,0.63732,5
162,6.91526888,Indiana Pacers,Alize Johnson,0.279488,5
163,6.91526888,Indiana Pacers,Wesley Matthews,0.17091533333333334,5
164,6.91526888,Indiana Pacers,Edmond Sumner,0.14993133333333333,5
